evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_order_to_ship_days,avg_ship_to_delivery_days,avg_order_to_delivery_days,share_pct,notes
monthly_demand_quality,order_month,2018-09,12,17,month_sales_rank,12.0,254,50,183,47,4,2455740.7825,916607.1552,37.3251,11.437,14.3583,5.5906,19.9488,3.3574,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2018-10,27,18,month_sales_rank,27.0,228,50,170,46,4,2062013.9425,769476.645,37.3168,11.1513,15.136,5.614,20.75,2.8191,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-02,9,19,month_sales_rank,9.0,270,50,188,47,4,2466513.88,919739.6307,37.2891,11.6481,14.3556,5.3407,19.6963,3.3722,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-01,1,20,month_sales_rank,1.0,276,50,195,47,4,2811010.6275,1046528.675,37.2296,10.5435,14.5254,5.3297,19.8551,3.8432,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-01,4,21,month_sales_rank,4.0,293,50,204,47,4,2712820.62,1003831.0592,37.0032,11.3225,15.116,5.5256,20.6416,3.7089,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-07,2,22,month_sales_rank,2.0,281,50,189,47,4,2775014.71,1026023.6875,36.9736,10.6762,15.8292,5.3381,21.1673,3.7939,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-03,28,23,month_sales_rank,28.0,236,50,172,47,4,2050076.05,756313.0955,36.892,11.6419,15.7373,5.6822,21.4195,2.8028,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2018-06,24,24,month_sales_rank,24.0,252,49,182,47,4,2180209.6475,804227.961,36.8876,11.8651,15.4484,5.3611,20.8095,2.9807,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2018-12,3,25,month_sales_rank,3.0,297,50,207,47,4,2713434.005,999582.2075,36.8383,11.2458,15.798,5.7037,21.5017,3.7097,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2018-08,7,26,month_sales_rank,7.0,279,50,204,47,4,2563353.8375,944076.7015,36.8297,11.4516,15.1219,5.6738,20.7957,3.5046,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-12,17,27,month_sales_rank,17.0,243,50,178,47,4,2311083.93,850700.6017,36.8096,11.3992,15.4897,5.4403,20.93,3.1597,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-12,14,28,month_sales_rank,14.0,251,50,186,47,4,2415240.2875,883853.5088,36.5948,11.4841,14.4263,5.5219,19.9482,3.3021,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2018-11,6,29,month_sales_rank,6.0,257,50,185,47,4,2661493.7625,970099.8305,36.4494,10.9436,15.8016,5.2257,21.0272,3.6387,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-06,20,30,month_sales_rank,20.0,243,49,185,47,4,2293527.585,830763.1135,36.2221,11.5638,14.8436,5.4198,20.2634,3.1357,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-10,13,31,month_sales_rank,13.0,282,49,202,47,4,2418753.935,856229.9697,35.3996,12.0567,13.7589,5.7092,19.4681,3.3069,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2018-05,32,32,month_sales_rank,32.0,8,8,8,8,4,69636.2825,22313.73,32.0433,7.8125,14.625,7.0,21.625,0.0952,Compare demand seasonality with conversion quality and fulfillment timing.
quarter_region_mix,order_quarter_region,2018-Q3,West,1,region_rank_in_quarter,1.0,273,50,105,46,4,2537567.715,949769.2387,37.4283,12.1245,14.8974,5.4066,20.304,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q3,South,2,region_rank_in_quarter,2.0,250,50,106,47,4,2400373.49,874365.5915,36.4262,10.91,15.044,5.692,20.736,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q3,Midwest,3,region_rank_in_quarter,3.0,192,48,69,45,4,1764684.6925,663098.3015,37.576,10.2474,15.6719,5.75,21.4219,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q3,Northeast,4,region_rank_in_quarter,4.0,79,40,37,40,4,713219.5225,269564.423,37.7954,13.2278,14.5443,5.5696,20.1139,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q4,West,1,region_rank_in_quarter,1.0,278,49,109,47,4,2798909.4225,1040739.6108,37.1838,11.4388,15.9245,5.6079,21.5324,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q4,South,2,region_rank_in_quarter,2.0,259,50,105,47,4,2396793.5125,884228.7592,36.8922,10.7432,15.5444,5.4865,21.0309,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q4,Midwest,3,region_rank_in_quarter,3.0,157,47,72,44,4,1640568.03,604094.9375,36.8223,10.828,15.6624,5.6051,21.2675,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q4,Northeast,4,region_rank_in_quarter,4.0,88,40,38,39,4,600670.745,210095.3755,34.9768,11.733,14.6818,5.1932,19.875,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q3,West,1,region_rank_in_quarter,1.0,289,49,113,47,4,2505055.1275,911811.3402,36.3989,11.4014,15.7197,5.7682,21.4879,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q3,South,2,region_rank_in_quarter,2.0,263,50,101,47,4,2382502.0775,884418.0253,37.1214,11.0551,15.4068,5.5399,20.9468,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q3,Midwest,3,region_rank_in_quarter,3.0,141,48,61,47,4,1393809.8775,536613.919,38.4998,10.2128,15.6454,5.7801,21.4255,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q3,Northeast,4,region_rank_in_quarter,4.0,93,43,41,40,4,778195.955,307785.1907,39.5511,12.4462,15.0538,5.6882,20.7419,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q2,South,1,region_rank_in_quarter,1.0,264,50,107,47,4,2439507.6875,896477.1475,36.7483,11.3447,14.7273,5.1856,19.9129,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q2,West,2,region_rank_in_quarter,2.0,274,50,112,47,4,2379361.1175,920998.618,38.7078,11.9708,14.3285,5.4599,19.7883,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q2,Midwest,3,region_rank_in_quarter,3.0,158,50,66,44,4,1438299.5525,541608.1687,37.6561,12.7532,15.481,5.2152,20.6962,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q2,Northeast,4,region_rank_in_quarter,4.0,97,45,39,45,4,987401.445,342101.077,34.6466,11.0309,16.3918,5.3299,21.7216,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q2,West,1,region_rank_in_quarter,1.0,96,44,67,41,4,881437.595,332222.933,37.691,11.1719,15.1458,5.6875,20.8333,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q2,South,2,region_rank_in_quarter,2.0,70,40,51,33,4,555805.3675,199741.5732,35.9373,11.6071,15.9714,5.0286,21.0,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q2,Midwest,3,region_rank_in_quarter,3.0,63,32,45,37,4,543567.1475,201995.012,37.161,14.0079,14.7143,5.6667,20.381,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2018-Q2,Northeast,4,region_rank_in_quarter,4.0,31,24,22,22,4,269035.82,92582.1727,34.4126,9.1935,16.4839,4.9032,21.3871,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q1,West,1,region_rank_in_quarter,1.0,276,50,109,47,4,2636731.065,957522.3228,36.3148,10.8062,14.5072,5.4167,19.9239,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q1,South,2,region_rank_in_quarter,2.0,246,50,101,46,4,2388438.445,901710.9305,37.7532,11.1484,15.3577,5.5488,20.9065,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q1,Midwest,3,region_rank_in_quarter,3.0,153,48,68,43,4,1309994.05,489377.8822,37.3573,12.0915,14.7451,5.4706,20.2157,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q1,Northeast,4,region_rank_in_quarter,4.0,107,46,41,44,4,992436.9975,373970.2658,37.682,11.472,14.5888,5.2056,19.7944,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q4,West,1,region_rank_in_quarter,1.0,280,50,113,47,4,2682101.6225,1017473.9485,37.9357,11.7679,14.6214,5.475,20.0964,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q4,South,2,region_rank_in_quarter,2.0,223,50,98,46,4,2114956.505,790897.6958,37.3955,11.5247,16.1883,5.6188,21.8072,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q4,Midwest,3,region_rank_in_quarter,3.0,148,46,68,45,4,1630235.96,602497.4125,36.9577,12.2466,15.1149,5.527,20.6419,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q4,Northeast,4,region_rank_in_quarter,4.0,97,44,41,43,4,874127.7275,325029.723,37.1833,11.0052,15.0722,5.9175,20.9897,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q3,West,1,region_rank_in_quarter,1.0,243,50,109,47,4,2345499.485,911890.6322,38.8783,11.1831,15.6132,5.5062,21.1193,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q3,South,2,region_rank_in_quarter,2.0,259,50,104,47,4,2258370.8425,818813.7178,36.2568,10.7239,15.1622,5.3012,20.4633,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q3,Midwest,3,region_rank_in_quarter,3.0,160,48,66,46,4,1371540.4175,505665.6075,36.8684,11.4844,13.5813,5.6063,19.1875,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q3,Northeast,4,region_rank_in_quarter,4.0,89,44,38,42,4,743448.08,297374.9175,39.9994,11.236,13.7978,5.5843,19.382,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q2,West,1,region_rank_in_quarter,1.0,274,50,110,47,4,2291533.33,866999.3983,37.8349,10.9215,15.3394,4.938,20.2774,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q2,South,2,region_rank_in_quarter,2.0,232,50,97,47,4,1943226.795,741148.71,38.1401,11.8103,16.3707,5.6034,21.9741,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q2,Midwest,3,region_rank_in_quarter,3.0,171,48,71,45,4,1664090.39,626322.4008,37.6375,12.0614,15.9123,5.4386,21.3509,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q2,Northeast,4,region_rank_in_quarter,4.0,93,42,38,42,4,870997.4875,347553.0175,39.9029,12.6075,15.6452,5.9032,21.5484,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q1,South,1,region_rank_in_quarter,1.0,259,50,105,47,4,2363065.7125,903056.8502,38.2155,11.1486,15.3861,5.6525,21.0386,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q1,West,2,region_rank_in_quarter,2.0,233,49,109,47,4,2074053.675,782398.3813,37.7232,10.9227,14.7253,5.5236,20.2489,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q1,Midwest,3,region_rank_in_quarter,3.0,162,49,70,46,4,1455108.1775,559891.396,38.4776,11.1111,14.5123,5.3333,19.8457,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2019-Q1,Northeast,4,region_rank_in_quarter,4.0,84,42,37,39,4,697217.5775,242056.811,34.7175,11.994,15.4524,5.5238,20.9762,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q4,West,1,region_rank_in_quarter,1.0,268,49,107,47,4,2581309.335,930396.2317,36.0436,11.8377,14.2537,5.5672,19.8209,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q4,South,2,region_rank_in_quarter,2.0,247,49,104,47,4,2231302.34,802106.979,35.9479,11.6194,14.3563,5.6356,19.9919,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q4,Midwest,3,region_rank_in_quarter,3.0,160,50,67,46,4,1271108.7575,483190.0408,38.0133,11.2187,14.7,5.4813,20.1813,,Check whether seasonal demand peaks are geographically concentrated.
quarter_region_mix,order_quarter_region,2020-Q4,Northeast,4,region_rank_in_quarter,4.0,112,46,42,44,4,945719.07,349731.617,36.9805,13.6607,16.7857,5.6429,22.4286,,Check whether seasonal demand peaks are geographically concentrated.
monthly_channel_mix,order_month_channel,2018-09,In-Store,1,channel_rank_in_month,1.0,104,42,84,43,,1044679.2425,402299.734,38.5094,11.226,13.4135,5.2692,18.6827,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-09,Online,2,channel_rank_in_month,2.0,77,37,70,36,,682865.5075,253084.0417,37.0621,12.3701,15.0649,5.8961,20.961,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-09,Distributor,3,channel_rank_in_month,3.0,49,31,47,30,,470815.03,166903.5193,35.4499,11.2755,15.2245,5.9388,21.1633,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-11,In-Store,1,channel_rank_in_month,1.0,116,45,96,42,,1166681.05,435085.9622,37.2926,10.7759,15.5,5.181,20.681,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-11,Online,2,channel_rank_in_month,2.0,77,39,71,37,,762920.96,281494.3023,36.8969,11.2987,15.8182,5.1429,20.961,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-11,Distributor,3,channel_rank_in_month,3.0,40,28,37,27,,452363.3975,163020.9098,36.0376,9.5625,17.05,5.0,22.05,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-06,In-Store,1,channel_rank_in_month,1.0,110,43,100,42,,1102133.4175,415033.2535,37.6573,12.0,15.1273,5.5273,20.6545,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-06,Online,2,channel_rank_in_month,2.0,72,39,66,36,,625121.39,222129.5585,35.5338,11.0764,14.9306,5.1528,20.0833,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-06,Distributor,3,channel_rank_in_month,3.0,38,27,36,26,,345229.225,120428.9245,34.8838,11.5789,13.7632,5.2368,19.0,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-08,In-Store,1,channel_rank_in_month,1.0,92,42,85,37,,885872.4925,324811.408,36.6657,11.4946,14.6304,5.1848,19.8152,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-08,Online,2,channel_rank_in_month,2.0,81,38,73,39,,664080.0475,238321.9315,35.8875,10.8642,15.3827,6.0494,21.4321,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-08,Distributor,3,channel_rank_in_month,3.0,49,31,46,30,,525906.6175,218443.3338,41.5365,10.102,14.2449,6.0408,20.2857,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-01,In-Store,1,channel_rank_in_month,1.0,127,47,108,47,,1255422.0475,471531.9778,37.5596,9.6654,13.5984,5.4016,19.0,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-01,Online,2,channel_rank_in_month,2.0,69,37,60,35,,726896.065,252275.188,34.7058,11.8116,15.0145,5.2464,20.2609,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-01,Distributor,3,channel_rank_in_month,3.0,47,36,45,29,,494121.315,197168.0445,39.9028,10.5851,15.6596,5.5957,21.2553,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-09,In-Store,1,channel_rank_in_month,1.0,110,45,96,40,,824490.7775,332499.2683,40.3278,11.3182,15.9909,5.9455,21.9364,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-09,Online,2,channel_rank_in_month,2.0,68,36,60,35,,547133.2225,186922.62,34.164,12.7941,15.3382,5.6029,20.9412,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-09,Wholesale,3,channel_rank_in_month,3.0,30,25,30,18,,362592.275,136907.054,37.7579,9.75,16.3667,5.0333,21.4,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-04,In-Store,1,channel_rank_in_month,1.0,108,46,92,44,,911035.515,338243.7458,37.1274,12.3148,15.2407,5.3148,20.5556,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-04,Online,2,channel_rank_in_month,2.0,86,41,76,39,,698105.3275,263846.4033,37.7946,10.7849,14.6977,5.3488,20.0465,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-04,Distributor,3,channel_rank_in_month,3.0,49,31,47,30,,404993.225,164706.5915,40.669,10.6122,15.5306,5.7959,21.3265,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-12,Online,1,channel_rank_in_month,1.0,89,41,84,39,,823273.89,285980.659,34.737,12.0225,16.5281,5.2809,21.809,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-12,In-Store,2,channel_rank_in_month,2.0,83,36,77,38,,755364.03,302784.789,40.0846,11.0241,14.0964,5.5904,19.6867,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-12,Distributor,3,channel_rank_in_month,3.0,41,25,38,27,,395248.5775,155188.5135,39.2635,11.5854,14.8537,6.0732,20.9268,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-10,Online,1,channel_rank_in_month,1.0,91,41,79,39,,900803.4425,309297.6777,34.3358,12.5275,14.3736,6.022,20.3956,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-10,In-Store,2,channel_rank_in_month,2.0,108,43,95,42,,859154.4,316051.3308,36.7863,11.6204,13.8241,5.8333,19.6574,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-10,Distributor,3,channel_rank_in_month,3.0,54,36,51,34,,412926.5275,145597.5837,35.2599,12.4537,13.0556,5.0741,18.1296,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-10,In-Store,1,channel_rank_in_month,1.0,96,41,79,38,,886981.845,342723.9495,38.6393,9.9219,14.9583,5.2813,20.2396,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-10,Online,2,channel_rank_in_month,2.0,75,40,72,39,,659783.17,243875.7215,36.963,12.2,15.8667,5.8133,21.68,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2018-10,Distributor,3,channel_rank_in_month,3.0,38,28,37,25,,372689.3425,131001.9842,35.1505,11.5132,14.3421,5.6842,20.0263,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-04,In-Store,1,channel_rank_in_month,1.0,98,44,92,39,,992389.93,371365.9365,37.4214,12.9847,16.0918,5.6224,21.7143,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-04,Online,2,channel_rank_in_month,2.0,90,43,79,39,,725512.6825,276929.418,38.1702,11.9722,15.1,5.4222,20.5222,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-04,Wholesale,3,channel_rank_in_month,3.0,42,30,38,26,,468959.6325,181129.7828,38.6237,11.7262,15.2857,5.881,21.1667,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-11,In-Store,1,channel_rank_in_month,1.0,106,44,92,44,,1115193.225,413379.3505,37.068,12.0755,15.7264,5.3396,21.066,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-11,Online,2,channel_rank_in_month,2.0,78,39,69,36,,679629.24,244599.0465,35.9901,12.2756,14.4487,6.1667,20.6154,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-11,Distributor,3,channel_rank_in_month,3.0,45,32,44,28,,553418.8275,214291.397,38.7214,9.3889,16.1556,5.3556,21.5111,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-05,In-Store,1,channel_rank_in_month,1.0,112,43,95,43,,1053768.965,402462.716,38.1927,11.7857,14.0,4.8214,18.8214,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-05,Online,2,channel_rank_in_month,2.0,85,38,77,36,,759522.385,295083.9168,38.8512,11.5588,14.2824,5.0824,19.3647,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-05,Wholesale,3,channel_rank_in_month,3.0,38,28,35,26,,330978.66,120446.5725,36.391,11.1842,15.0789,4.5263,19.6053,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-12,In-Store,1,channel_rank_in_month,1.0,110,42,95,45,,1024903.5225,375310.384,36.6191,11.1364,14.3,5.4091,19.7091,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-12,Online,2,channel_rank_in_month,2.0,76,37,72,40,,717773.345,249202.6945,34.7189,12.3355,15.1711,5.5,20.6711,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2019-12,Distributor,3,channel_rank_in_month,3.0,31,22,31,21,,397772.97,161704.304,40.6524,10.5645,11.6774,5.5161,17.1935,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-08,In-Store,1,channel_rank_in_month,1.0,91,40,83,38,,852423.915,316542.3795,37.1344,11.5659,14.8132,5.9451,20.7582,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-08,Online,2,channel_rank_in_month,2.0,82,44,72,38,,590995.7775,233365.7093,39.4869,10.0915,15.7805,5.8171,21.5976,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-08,Distributor,3,channel_rank_in_month,3.0,48,30,46,30,,459462.215,170094.8885,37.0204,13.8021,14.5208,6.1667,20.6875,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-11,In-Store,1,channel_rank_in_month,1.0,105,47,94,46,,947141.6475,337578.911,35.6419,12.3333,14.3333,5.6381,19.9714,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-11,Online,2,channel_rank_in_month,2.0,73,38,69,37,,609453.105,232179.173,38.0963,13.3562,16.274,5.2877,21.5616,,Check whether channel mix shifts across demand months.
monthly_channel_mix,order_month_channel,2020-11,Distributor,3,channel_rank_in_month,3.0,46,31,40,28,,437875.3175,155677.8375,35.553,10.9783,14.6739,5.4565,20.1304,,Check whether channel mix shifts across demand months.
