evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,reviews,tips,avg_business_stars,avg_review_stars,active_rate_pct,long_review_rate_pct,share_pct,notes
category_attribute_interaction,category_attribute,Restaurants,good_for_lunch,,category_attribute_rank,14,2105,125417,33781,3.6451,3.6566,82.2328,17.4572,13.5066,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Shopping,Price Range,,category_attribute_rank,15,2094,18917,5657,3.7025,3.6825,90.9742,16.2656,13.436,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,good_for_dinner,,category_attribute_rank,16,2087,156650,39069,3.6464,3.6549,81.2171,19.9312,13.3911,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Has TV,,category_attribute_rank,17,1993,120654,32471,3.5585,3.5555,87.5564,18.0371,12.7879,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Food,Price Range,,category_attribute_rank,18,1922,45564,15061,3.7758,3.7716,84.5473,14.7294,12.3324,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,ambience_casual,,category_attribute_rank,19,1905,149582,40222,3.6903,3.6954,90.6562,17.709,12.2233,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Food,Accepts Credit Cards,,category_attribute_rank,20,1896,45048,14971,3.7722,3.7701,84.7574,14.4501,12.1655,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Caters,,category_attribute_rank,21,1457,95373,24530,3.6829,3.6857,89.7735,16.9204,9.3487,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Takes Reservations,,category_attribute_rank,22,1352,99382,23423,3.5991,3.6072,76.1095,23.0246,8.675,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Food,Wheelchair Accessible,,category_attribute_rank,23,1094,36158,11481,3.8048,3.8067,78.7934,15.8716,7.0196,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Food,parking_lot,,category_attribute_rank,24,1076,34207,11067,3.8216,3.8319,83.1784,15.5464,6.9041,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Shopping,Wheelchair Accessible,,category_attribute_rank,25,1007,12612,3871,3.7686,3.7582,88.1827,17.4127,6.4613,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Wi-Fi,,category_attribute_rank,26,981,67347,19276,3.6463,3.6391,87.9715,18.1214,6.2945,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Shopping,parking_lot,,category_attribute_rank,27,929,11808,3613,3.775,3.7558,90.7427,16.9718,5.9609,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Beauty & Spas,Price Range,,category_attribute_rank,28,912,7990,1650,3.9589,3.9506,95.1754,15.2334,5.8518,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Beauty & Spas,Accepts Credit Cards,,category_attribute_rank,29,897,7785,1631,3.9571,3.9506,94.9833,15.382,5.7555,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Delivery,,category_attribute_rank,30,745,23970,5903,3.4611,3.4405,81.4765,16.2768,4.7802,large category-attribute overlaps to avoid treating attributes as universal
attribute_review_voice,attribute,Accepts Credit Cards,positive_or_specific_value,,attribute_voice_rank,1,10464,286852,76553,3.6548,3.6475,85.216,17.2752,67.1415,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Price Range,positive_or_specific_value,,attribute_voice_rank,2,9805,285601,76353,3.6207,3.6129,84.1203,17.3079,62.9131,review length and star evidence by attribute presence value
attribute_review_voice,attribute,parking_validated,none_no_false_value,,attribute_voice_rank,3,9207,275058,73757,3.646,3.6399,83.5451,17.1984,59.076,review length and star evidence by attribute presence value
attribute_review_voice,attribute,parking_valet,none_no_false_value,,attribute_voice_rank,4,9053,258133,69966,3.6438,3.6376,83.5524,16.9741,58.0879,review length and star evidence by attribute presence value
attribute_review_voice,attribute,parking_garage,none_no_false_value,,attribute_voice_rank,5,8961,258416,69184,3.6444,3.6382,83.5733,17.0611,57.4976,review length and star evidence by attribute presence value
attribute_review_voice,attribute,parking_street,none_no_false_value,,attribute_voice_rank,6,8560,231910,63553,3.6291,3.6224,84.1472,16.9386,54.9246,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Wheelchair Accessible,positive_or_specific_value,,attribute_voice_rank,7,5369,226806,58894,3.6707,3.6725,78.5435,18.668,34.4498,review length and star evidence by attribute presence value
attribute_review_voice,attribute,parking_lot,positive_or_specific_value,,attribute_voice_rank,8,4921,205352,55103,3.7274,3.7306,84.1902,17.7849,31.5752,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Attire,positive_or_specific_value,,attribute_voice_rank,9,4843,224585,58270,3.5077,3.504,78.98,18.0897,31.0748,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Good for Kids,positive_or_specific_value,,attribute_voice_rank,10,4720,175131,48994,3.6242,3.6262,83.072,17.3606,30.2855,review length and star evidence by attribute presence value
attribute_review_voice,attribute,good_for_dessert,none_no_false_value,,attribute_voice_rank,11,4607,219205,56819,3.5214,3.5199,79.4443,18.1589,29.5605,review length and star evidence by attribute presence value
attribute_review_voice,attribute,good_for_brunch,none_no_false_value,,attribute_voice_rank,12,4595,219071,56700,3.5247,3.523,79.2818,18.1173,29.4835,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Take-out,positive_or_specific_value,,attribute_voice_rank,13,4514,209542,54941,3.5115,3.5088,80.5051,17.3976,28.9637,review length and star evidence by attribute presence value
attribute_review_voice,attribute,good_for_latenight,none_no_false_value,,attribute_voice_rank,14,4473,207968,53415,3.5266,3.5243,79.0744,18.127,28.7007,review length and star evidence by attribute presence value
attribute_review_voice,attribute,good_for_breakfast,none_no_false_value,,attribute_voice_rank,15,4355,200476,51343,3.5139,3.5104,78.5534,18.2204,27.9435,review length and star evidence by attribute presence value
attribute_review_voice,attribute,parking_lot,none_no_false_value,,attribute_voice_rank,16,4333,74166,19902,3.5562,3.5399,82.7602,16.6047,27.8024,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Good For Groups,positive_or_specific_value,,attribute_voice_rank,17,4281,207580,54999,3.544,3.544,77.8556,18.8303,27.4687,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Noise Level,positive_or_specific_value,,attribute_voice_rank,18,4182,222395,59263,3.5617,3.5594,88.5222,17.3276,26.8335,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_touristy,none_no_false_value,,attribute_voice_rank,19,4046,219023,58399,3.5697,3.5688,88.5072,17.3214,25.9609,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_intimate,none_no_false_value,,attribute_voice_rank,20,4003,213355,57476,3.5611,3.56,88.5586,17.1746,25.685,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_hipster,none_no_false_value,,attribute_voice_rank,21,3995,207489,55074,3.5612,3.5604,88.6108,17.2634,25.6336,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_romantic,none_no_false_value,,attribute_voice_rank,22,3986,210673,57014,3.5616,3.5603,88.4847,17.1075,25.5759,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_upscale,none_no_false_value,,attribute_voice_rank,23,3963,214113,57539,3.5647,3.5634,89.1244,17.1837,25.4283,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_classy,none_no_false_value,,attribute_voice_rank,24,3943,205602,55714,3.5583,3.5569,88.562,17.0219,25.3,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_divey,none_no_false_value,,attribute_voice_rank,25,3893,210638,56160,3.5622,3.5617,88.3124,17.3426,24.9791,review length and star evidence by attribute presence value
attribute_review_voice,attribute,ambience_trendy,none_no_false_value,,attribute_voice_rank,26,3855,184003,49445,3.5575,3.5561,88.7938,16.9376,24.7353,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Delivery,none_no_false_value,,attribute_voice_rank,27,3706,195697,51149,3.5208,3.5239,80.2752,18.4356,23.7793,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Takes Reservations,none_no_false_value,,attribute_voice_rank,28,3078,119127,33196,3.4847,3.4776,82.5861,15.8304,19.7498,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Outdoor Seating,positive_or_specific_value,,attribute_voice_rank,29,2973,160054,43328,3.6004,3.6022,77.5311,18.3937,19.076,review length and star evidence by attribute presence value
attribute_review_voice,attribute,Waiter Service,positive_or_specific_value,,attribute_voice_rank,30,2666,164582,41169,3.5311,3.533,75.1313,21.2675,17.1062,review length and star evidence by attribute presence value
active_attribute_mix,active_attribute_presence,true,none_no_false_value,,active_attribute_rank,1,8773,4793106,1291343,3.5877,3.5832,100.0,16.3037,56.2913,whether attribute value coverage differs between active and inactive businesses
active_attribute_mix,active_attribute_presence,true,positive_or_specific_value,,active_attribute_rank,2,10641,3489159,937551,3.6496,3.6479,100.0,17.1643,68.2772,whether attribute value coverage differs between active and inactive businesses
active_attribute_mix,active_attribute_presence,false,none_no_false_value,,active_attribute_rank,3,1634,488709,107319,3.4674,3.4639,0.0,23.5815,10.4844,whether attribute value coverage differs between active and inactive businesses
active_attribute_mix,active_attribute_presence,false,positive_or_specific_value,,active_attribute_rank,4,1714,373096,78998,3.4842,3.4843,0.0,24.2339,10.9978,whether attribute value coverage differs between active and inactive businesses
