evidence_block,grain,item,item_2,item_3,rank_label,rank_value,catalog_book_count,sold_book_count,line_count,order_count,total_price,avg_price,avg_pages,author_count,publisher_count,language_count,share_pct,secondary_value,notes
author_count_demand,author_count,23,,,author_count_value_rank,31.0,2,0,0,0,0.0,,345.5,23.0,,,0.0,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,22,,,author_count_value_rank,32.0,1,0,0,0,0.0,,421.0,22.0,,,0.0,,Single-author and multi-author catalog demand comparison.
author_count_demand,author_count,33,,,author_count_value_rank,33.0,1,0,0,0,0.0,,568.0,33.0,,,0.0,,Single-author and multi-author catalog demand comparison.
catalog_language_baseline,language,English,,,language_value_rank,1.0,8911,4342,5993,5993,59704.11,9.9728,336.6849,1.6095,1848,,79.1305,,Catalog and order-value baseline by language.
catalog_language_baseline,language,United States English,,,language_value_rank,2.0,1409,726,1000,1000,10094.85,10.1663,330.2094,1.4698,577,,13.3795,,Catalog and order-value baseline by language.
catalog_language_baseline,language,British English,,,language_value_rank,3.0,214,118,175,175,1796.88,10.2861,315.5093,1.7196,168,,2.3815,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Spanish,,,language_value_rank,4.0,218,107,146,146,1404.22,9.4652,365.7936,1.3532,102,,1.8611,,Catalog and order-value baseline by language.
catalog_language_baseline,language,French,,,language_value_rank,5.0,144,62,88,88,849.3,9.6807,339.0,1.2847,62,,1.1256,,Catalog and order-value baseline by language.
catalog_language_baseline,language,German,,,language_value_rank,6.0,99,49,63,63,667.49,10.3872,391.9798,1.4343,60,,0.8847,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Japanese,,,language_value_rank,7.0,46,19,29,29,293.9,10.1889,190.8696,0.9565,9,,0.3895,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Multiple Languages,,,language_value_rank,8.0,19,11,14,14,155.75,10.9045,437.2632,2.3158,7,,0.2064,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Portuguese,,,language_value_rank,9.0,10,6,9,9,104.79,10.91,219.8,2.2,5,,0.1389,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Greek,,,language_value_rank,10.0,11,6,8,8,91.83,11.3725,413.3636,2.0,10,,0.1217,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Chinese,,,language_value_rank,11.0,14,7,9,9,90.78,10.935,321.8571,3.2143,5,,0.1203,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Canadian English,,,language_value_rank,12.0,7,3,4,4,50.98,13.9633,252.0,1.1429,7,,0.0676,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Middle English,,,language_value_rank,13.0,3,2,3,3,34.72,11.1575,1060.3333,2.6667,3,,0.046,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Italian,,,language_value_rank,14.0,5,2,2,2,32.75,16.375,400.6,2.6,5,,0.0434,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Aleut,,,language_value_rank,15.0,1,1,2,2,19.8,9.9,512.0,1.0,1,,0.0262,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Latin,,,language_value_rank,16.0,3,1,1,1,18.41,18.41,200.3333,3.3333,3,,0.0244,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Galician,,,language_value_rank,17.0,1,1,1,1,18.37,18.37,741.0,1.0,1,,0.0243,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Serbian,,,language_value_rank,18.0,1,1,1,1,10.17,10.17,222.0,1.0,1,,0.0135,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Russian,,,language_value_rank,19.0,2,1,1,1,7.44,7.44,371.5,1.5,2,,0.0099,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Swedish,,,language_value_rank,20.0,2,1,1,1,3.68,3.68,267.0,2.0,2,,0.0049,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Arabic,,,language_value_rank,21.0,1,0,0,0,0.0,,349.0,3.0,1,,0.0,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Dutch,,,language_value_rank,22.0,1,0,0,0,0.0,,744.0,2.0,1,,0.0,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Gaelic,,,language_value_rank,23.0,1,0,0,0,0.0,,250.0,1.0,1,,0.0,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Malaysian,,,language_value_rank,24.0,1,0,0,0,0.0,,784.0,1.0,1,,0.0,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Norwegian,,,language_value_rank,25.0,1,0,0,0,0.0,,185.0,2.0,1,,0.0,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Turkish,,,language_value_rank,26.0,1,0,0,0,0.0,,403.0,2.0,1,,0.0,,Catalog and order-value baseline by language.
catalog_language_baseline,language,Welsh,,,language_value_rank,27.0,1,0,0,0,0.0,,150.0,2.0,1,,0.0,,Catalog and order-value baseline by language.
page_band_demand,page_band,mid_length_book,,,page_band_value_rank,1.0,5102,2509,3457,3457,34699.99,10.0508,294.4698,1.5774,,,45.9906,,Page-count band checked against order value and coverage.
page_band_demand,page_band,short_book,,,page_band_value_rank,2.0,2901,1389,1944,1944,19308.66,9.9187,119.2389,1.7108,,,25.5913,,Page-count band checked against order value and coverage.
page_band_demand,page_band,long_book,,,page_band_value_rank,3.0,2431,1210,1637,1637,16486.47,10.0994,501.9811,1.4327,,,21.8508,,Page-count band checked against order value and coverage.
page_band_demand,page_band,very_long_book,,,page_band_value_rank,4.0,693,358,512,512,4955.1,9.7548,971.4863,1.6566,,,6.5674,,Page-count band checked against order value and coverage.
publication_era_demand,publication_era,2000_plus,,,era_value_rank,1.0,7700,3822,5248,5248,52628.57,10.0604,331.7981,1.5761,,,69.7527,,Publication-era demand and catalog mix.
publication_era_demand,publication_era,1980_1999,,,era_value_rank,2.0,3100,1490,2087,2087,20684.52,9.8584,350.4494,1.5906,,,27.4148,,Publication-era demand and catalog mix.
publication_era_demand,publication_era,pre_1980,,,era_value_rank,3.0,327,154,215,215,2137.13,10.177,307.6911,1.7584,,,2.8325,,Publication-era demand and catalog mix.
publisher_catalog_demand,publisher,Vintage,,,publisher_value_rank,1.0,318,154,231,231,2206.83,9.8111,351.4025,1.2107,,4,2.9249,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Penguin Books,,,publisher_value_rank,2.0,261,122,160,160,1714.73,10.9097,370.364,1.7701,,3,2.2727,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Penguin Classics,,,publisher_value_rank,3.0,184,90,124,124,1208.91,9.7649,412.875,2.5543,,4,1.6023,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Ballantine Books,,,publisher_value_rank,4.0,145,80,108,108,1100.57,10.3373,393.4828,1.1448,,3,1.4587,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Mariner Books,,,publisher_value_rank,5.0,150,67,95,95,946.6,9.8202,384.3933,1.6267,,5,1.2546,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Harper Perennial,,,publisher_value_rank,6.0,112,63,82,82,885.9,10.8029,365.5,1.2054,,4,1.1742,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,HarperCollins,,,publisher_value_rank,7.0,113,63,85,85,841.57,10.1305,234.6903,1.7168,,3,1.1154,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Pocket Books,,,publisher_value_rank,8.0,111,52,67,67,746.69,11.4267,431.6937,1.4054,,3,0.9896,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Bantam,,,publisher_value_rank,9.0,110,59,71,71,723.91,9.7784,372.5,1.1636,,2,0.9595,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Tor Books,,,publisher_value_rank,10.0,76,39,57,57,615.69,10.5236,461.6579,1.8421,,2,0.816,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Scribner,,,publisher_value_rank,11.0,73,37,57,57,574.29,9.3416,356.4384,1.2466,,3,0.7612,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,VIZ Media LLC,,,publisher_value_rank,12.0,88,41,55,55,556.71,9.7409,204.3295,1.6136,,3,0.7379,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Simon Schuster,,,publisher_value_rank,13.0,69,40,49,49,540.91,10.6076,376.1159,1.1884,,2,0.7169,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Modern Library,,,publisher_value_rank,14.0,82,44,57,57,533.46,9.1681,513.061,1.6707,,2,0.707,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Cambridge University Press,,,publisher_value_rank,15.0,66,38,52,52,530.01,10.0665,320.803,1.3788,,4,0.7025,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Anchor,,,publisher_value_rank,16.0,62,37,59,59,526.75,8.9172,370.4516,1.1935,,2,0.6981,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Oxford University Press,,,publisher_value_rank,17.0,73,34,48,48,486.54,10.101,415.6986,2.0685,,3,0.6448,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Signet,,,publisher_value_rank,18.0,66,32,49,49,466.14,9.6959,429.4394,1.3636,,3,0.6178,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Dover Publications,,,publisher_value_rank,19.0,85,41,52,52,464.81,8.7865,227.0588,1.6118,,5,0.616,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Penguin,,,publisher_value_rank,20.0,58,29,41,41,457.81,10.509,399.3793,1.7414,,3,0.6068,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Avon,,,publisher_value_rank,21.0,56,27,42,42,451.78,11.5552,419.9643,1.4107,,3,0.5988,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Oxford University Press USA,,,publisher_value_rank,22.0,75,35,43,43,426.48,9.8516,375.3333,2.0267,,6,0.5652,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Berkley,,,publisher_value_rank,23.0,86,40,47,47,422.51,8.7438,345.5349,1.5233,,2,0.56,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,W. W. Norton Company,,,publisher_value_rank,24.0,68,28,36,36,407.08,11.3014,482.0,1.7647,,3,0.5395,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Back Bay Books,,,publisher_value_rank,25.0,40,26,38,38,404.32,10.79,446.5,0.95,,2,0.5359,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Harper,,,publisher_value_rank,26.0,40,20,33,33,401.4,11.4733,388.425,1.05,,2,0.532,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,W. W. Norton & Company,,,publisher_value_rank,27.0,43,25,39,39,386.86,10.1051,558.7674,1.5116,,3,0.5127,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,William Morrow Paperbacks,,,publisher_value_rank,28.0,58,27,33,33,381.12,11.9246,358.0,1.3621,,3,0.5051,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Library of America,,,publisher_value_rank,29.0,52,25,38,38,356.35,9.4037,1052.1346,2.9615,,2,0.4723,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Puffin Books,,,publisher_value_rank,30.0,50,24,40,40,353.66,8.3028,149.42,1.7,,3,0.4687,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,University of Chicago Press,,,publisher_value_rank,31.0,50,22,32,32,350.24,10.8658,371.62,2.3,,3,0.4642,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Del Rey,,,publisher_value_rank,32.0,80,31,42,42,349.37,8.0133,343.0125,1.65,,3,0.463,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Random House Books for Young Readers,,,publisher_value_rank,33.0,38,23,32,32,349.33,11.0939,81.3421,1.5789,,3,0.463,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Grand Central Publishing,,,publisher_value_rank,34.0,76,31,36,36,346.87,9.5,373.5658,1.1842,,3,0.4597,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Berkley Books,,,publisher_value_rank,35.0,43,20,29,29,336.32,11.2412,418.814,1.2093,,2,0.4458,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Bantam Books,,,publisher_value_rank,36.0,48,23,34,34,333.23,10.482,334.8333,1.25,,3,0.4417,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Cliffs Notes,,,publisher_value_rank,37.0,39,24,36,36,323.43,8.6419,102.4359,2.1026,,3,0.4287,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,St. Martin's Press,,,publisher_value_rank,38.0,44,24,34,34,321.45,9.0473,356.6136,1.2273,,2,0.426,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,HarperTorch,,,publisher_value_rank,39.0,48,22,30,30,320.4,11.4458,418.9583,1.1458,,3,0.4247,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Vertigo,,,publisher_value_rank,40.0,42,20,29,29,310.22,10.0844,186.9524,5.619,,3,0.4112,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,HarperCollins Publishers,,,publisher_value_rank,41.0,48,23,27,27,299.01,10.8313,345.125,1.3958,,3,0.3963,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Broadway Books,,,publisher_value_rank,42.0,49,23,33,33,291.62,8.6437,361.0408,0.9592,,2,0.3865,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,St. Martin's Paperbacks,,,publisher_value_rank,43.0,37,20,28,28,291.6,10.7968,448.4324,1.1081,,3,0.3865,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,HMH Books for Young Readers,,,publisher_value_rank,44.0,31,16,28,28,287.29,10.5373,148.2258,1.5484,,2,0.3808,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Everyman's Library,,,publisher_value_rank,45.0,39,22,31,31,278.28,9.4063,653.8205,1.4872,,3,0.3688,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Grove Press,,,publisher_value_rank,46.0,39,21,27,27,277.23,10.0358,274.5128,1.4103,,3,0.3674,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Wizards of the Coast,,,publisher_value_rank,47.0,29,16,24,24,275.72,12.7108,362.6207,2.0,,3,0.3654,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Washington Square Press,,,publisher_value_rank,48.0,37,18,22,22,275.05,12.7356,373.8919,1.027,,2,0.3645,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Scholastic Paperbacks,,,publisher_value_rank,49.0,56,26,33,33,273.46,8.0659,158.7321,1.8214,,2,0.3624,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Anchor Books,,,publisher_value_rank,50.0,40,21,30,30,273.44,9.8329,381.9,1.075,,3,0.3624,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Basic Books,,,publisher_value_rank,51.0,43,20,25,25,262.98,9.8863,320.9302,1.2558,,3,0.3485,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Picador,,,publisher_value_rank,52.0,40,16,23,23,262.48,11.5541,346.425,1.1,,3,0.3479,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Picador USA,,,publisher_value_rank,53.0,28,19,26,26,256.99,10.2189,374.8571,1.6429,,2,0.3406,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Simon & Schuster,,,publisher_value_rank,54.0,44,23,29,29,254.78,9.3307,454.5,1.5,,2,0.3377,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Random House,,,publisher_value_rank,55.0,31,13,23,23,254.6,10.7983,371.6129,1.6452,,2,0.3374,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Tor Fantasy,,,publisher_value_rank,56.0,20,13,20,20,250.03,11.7992,410.75,1.2,,3,0.3314,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,St. Martin's Griffin,,,publisher_value_rank,57.0,43,20,23,23,246.5,10.9165,350.3953,1.9302,,2,0.3267,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Del Rey Books,,,publisher_value_rank,58.0,33,17,25,25,245.04,9.5066,400.8182,1.2424,,2,0.3248,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,William Morrow,,,publisher_value_rank,59.0,28,17,25,25,242.65,8.709,320.4643,1.0357,,3,0.3216,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Harper Perennial Modern Classics,,,publisher_value_rank,60.0,26,13,27,27,241.21,9.1186,372.1154,2.0385,,1,0.3197,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,DAW,,,publisher_value_rank,61.0,41,19,23,23,239.51,10.1034,445.2439,4.0244,,3,0.3174,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Dell,,,publisher_value_rank,62.0,25,11,18,18,239.32,14.0656,448.76,1.28,,3,0.3172,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Arrow,,,publisher_value_rank,63.0,28,16,22,22,235.63,10.8641,480.9643,1.0,,3,0.3123,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Vintage Classics,,,publisher_value_rank,64.0,23,14,22,22,231.59,10.6981,405.3913,1.4783,,3,0.3069,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Warner Books,,,publisher_value_rank,65.0,25,15,25,25,225.28,9.1247,388.88,1.04,,3,0.2986,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Farrar Straus and Giroux,,,publisher_value_rank,66.0,43,19,23,23,223.36,9.5503,336.907,1.3953,,4,0.296,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Little Brown and Company,,,publisher_value_rank,67.0,36,15,23,23,221.18,8.407,354.0,1.2778,,2,0.2931,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Routledge,,,publisher_value_rank,68.0,33,16,20,20,221.06,11.0849,298.0909,1.5758,,3,0.293,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Hackett Publishing Company Inc.,,,publisher_value_rank,69.0,31,13,18,18,217.96,12.9219,369.8065,2.9677,,3,0.2889,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Ace,,,publisher_value_rank,70.0,36,17,23,23,212.32,10.0587,314.3611,1.3889,,3,0.2814,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Barnes Noble Classics,,,publisher_value_rank,71.0,32,16,22,22,212.04,9.6773,499.5313,0.8438,,3,0.281,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,VIZ Media,,,publisher_value_rank,72.0,34,18,25,25,211.99,8.5239,206.6471,1.9706,,2,0.281,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Plume,,,publisher_value_rank,73.0,36,13,21,21,207.44,9.3964,383.9167,1.3333,,2,0.2749,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Warner Books (NY),,,publisher_value_rank,74.0,21,12,19,19,207.25,11.5637,374.3333,1.0952,,2,0.2747,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Random House Audio,,,publisher_value_rank,75.0,33,17,21,21,206.99,10.1476,3.9697,1.4545,,3,0.2743,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Harry N. Abrams,,,publisher_value_rank,76.0,45,18,23,23,205.56,8.5125,285.1333,1.4222,,2,0.2724,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,G.P. Putnam's Sons,,,publisher_value_rank,77.0,40,17,19,19,204.12,11.24,387.025,1.1,,2,0.2705,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Baen,,,publisher_value_rank,78.0,14,8,17,17,199.37,11.7991,536.2143,2.7143,,2,0.2642,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Atria Books,,,publisher_value_rank,79.0,24,15,20,20,197.34,9.921,384.5417,0.9583,,3,0.2615,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Penguin Books Ltd,,,publisher_value_rank,80.0,30,15,20,20,191.32,10.7323,392.3667,1.7667,,3,0.2536,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Harper Voyager,,,publisher_value_rank,81.0,20,12,17,17,186.15,11.1569,470.65,1.75,,2,0.2467,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Puffin,,,publisher_value_rank,82.0,21,13,19,19,183.43,9.2912,165.6667,1.4762,,3,0.2431,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Scholastic,,,publisher_value_rank,83.0,33,10,17,17,182.84,9.9402,334.9091,1.3333,,3,0.2423,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Signet Classics,,,publisher_value_rank,84.0,23,15,19,19,182.43,10.2117,366.6522,1.3913,,2,0.2418,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Alfred A. Knopf,,,publisher_value_rank,85.0,31,13,16,16,181.96,10.7564,358.4839,1.1613,,2,0.2412,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Ace Books,,,publisher_value_rank,86.0,24,13,20,20,179.84,7.5314,343.5417,2.1667,,3,0.2384,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Random House Trade,,,publisher_value_rank,87.0,14,9,14,14,178.51,11.7756,348.8571,1.0714,,2,0.2366,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Princeton University Press,,,publisher_value_rank,88.0,33,12,19,19,175.02,8.2969,368.4848,2.4848,,3,0.232,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Spectra,,,publisher_value_rank,89.0,22,10,15,15,173.8,11.6058,478.0909,1.3182,,1,0.2304,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,HarperOne,,,publisher_value_rank,90.0,35,14,22,22,173.03,9.0911,316.4286,1.4571,,4,0.2293,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Yearling,,,publisher_value_rank,91.0,28,14,18,18,169.67,9.9415,193.2857,1.5357,,3,0.2249,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Random House Value Publishing,,,publisher_value_rank,92.0,18,11,16,16,168.19,11.5186,399.8333,1.5,,1,0.2229,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Harvard University Press,,,publisher_value_rank,93.0,38,14,16,16,161.21,10.2025,411.7632,1.8684,,4,0.2137,,Publisher catalog breadth checked against order value.
publisher_catalog_demand,publisher,Delta,,,publisher_value_rank,94.0,30,12,16,16,160.38,9.9704,460.7667,1.1333,,2,0.2126,,Publisher catalog breadth checked against order value.
