evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,users,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,long_review_rate_pct,useful_vote_rate_pct,funny_vote_rate_pct,cool_vote_rate_pct,share_pct,notes
category_review_polarity,category_review_polarity,Italian,positive_review,"",category_polarity_rank,9,357,10716,17122,,,3.9875,4.5414,18.9055,50.6191,21.9776,34.5112,1.6945,largest category and review-polarity cells
category_review_polarity,category_review_polarity,American (Traditional),positive_review,"",category_polarity_rank,10,580,10345,16689,,,3.7508,4.4372,17.4606,49.8772,24.2435,35.9398,1.6516,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Pizza,positive_review,"",category_polarity_rank,11,549,10421,16473,,,3.9149,4.5042,16.4269,50.0759,21.9632,34.1468,1.6302,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Breakfast & Brunch,positive_review,"",category_polarity_rank,12,305,10014,15571,,,3.9214,4.4879,16.9225,51.2234,24.4043,35.7395,1.541,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Sandwiches,positive_review,"",category_polarity_rank,13,578,9465,15494,,,3.9763,4.5083,16.1611,52.601,25.6422,38.0341,1.5333,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Shopping,positive_review,"",category_polarity_rank,14,2329,6672,13746,,,4.0097,4.5581,15.2917,53.441,30.0888,40.7755,1.3604,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Burgers,positive_review,"",category_polarity_rank,15,342,6316,9218,,,3.8147,4.4422,15.7301,51.9419,25.8082,37.5136,0.9123,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Coffee & Tea,positive_review,"",category_polarity_rank,16,400,5735,8841,,,4.1054,4.5607,13.788,49.7794,24.1149,36.4325,0.8749,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Arts & Entertainment,positive_review,"",category_polarity_rank,17,377,4765,8088,,,3.9649,4.4751,21.2166,58.0984,30.91,45.0297,0.8004,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Nightlife,middle_review,"",category_polarity_rank,18,629,3962,6922,,,3.5951,3.0,27.1887,57.0789,33.2852,38.1682,0.685,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Chinese,positive_review,"",category_polarity_rank,19,323,5052,6814,,,3.6861,4.4375,16.2606,51.8638,22.762,33.6366,0.6743,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Nightlife,negative_review,"",category_polarity_rank,20,634,4999,6765,,,3.4266,1.5567,31.4856,65.085,41.9956,33.4664,0.6695,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Sushi Bars,positive_review,"",category_polarity_rank,21,124,5094,6733,,,3.7301,4.4667,16.3671,49.5619,21.8773,33.7591,0.6663,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Beauty & Spas,positive_review,"",category_polarity_rank,22,1068,5235,6489,,,4.1864,4.7041,16.2275,46.2629,18.6932,27.6622,0.6422,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Food,negative_review,"",category_polarity_rank,23,1430,4839,6468,,,3.4527,1.5479,25.2474,59.5547,35.4669,28.4477,0.6401,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Bars,middle_review,"",category_polarity_rank,24,543,3646,6231,,,3.6162,3.0,26.7694,56.8609,33.2531,38.0677,0.6166,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Event Planning & Services,positive_review,"",category_polarity_rank,25,553,5001,6213,,,3.887,4.4859,24.1912,51.4566,21.8413,34.4278,0.6149,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Hotels & Travel,positive_review,"",category_polarity_rank,26,450,4932,6109,,,3.7468,4.4515,24.4394,51.6287,22.6224,35.1449,0.6046,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Active Life,positive_review,"",category_polarity_rank,27,679,4039,6012,,,4.1995,4.5867,23.3866,57.2189,28.0938,40.02,0.595,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Food,middle_review,"",category_polarity_rank,28,1402,3431,5999,,,3.6871,3.0,20.9035,54.0423,31.972,35.8893,0.5937,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Bars,negative_review,"",category_polarity_rank,29,544,4517,5986,,,3.4627,1.5601,30.9389,64.6843,41.0959,32.9435,0.5924,largest category and review-polarity cells
category_review_polarity,category_review_polarity,Mediterranean,positive_review,"",category_polarity_rank,30,120,4673,5865,,,4.011,4.5021,15.4135,50.6053,21.3129,36.3683,0.5804,largest category and review-polarity cells
active_status_polarity,active_review_polarity,true,positive_review,"",active_polarity_rank,1,12918,55162,201812,,,3.9492,4.5252,17.0644,50.7953,24.0377,35.3948,62.4987,active status crossed with review polarity and vote signals
active_status_polarity,active_review_polarity,true,negative_review,"",active_polarity_rank,2,9392,25885,49651,,,3.3344,1.5078,28.1565,58.7581,32.0557,25.4537,15.3763,active status crossed with review polarity and vote signals
active_status_polarity,active_review_polarity,true,middle_review,"",active_polarity_rank,3,7150,14647,40753,,,3.6046,3.0,23.5001,53.5028,28.9279,33.6515,12.6207,active status crossed with review polarity and vote signals
active_status_polarity,active_review_polarity,false,positive_review,"",active_polarity_rank,4,1735,9890,19088,,,3.7856,4.4571,21.7938,60.242,29.935,44.0958,5.9113,active status crossed with review polarity and vote signals
active_status_polarity,active_review_polarity,false,negative_review,"",active_polarity_rank,5,1351,4528,6409,,,3.1599,1.5264,30.0827,64.4406,38.2275,34.3423,1.9848,active status crossed with review polarity and vote signals
active_status_polarity,active_review_polarity,false,middle_review,"",active_polarity_rank,6,1229,2932,5193,,,3.4216,3.0,29.3472,61.6599,35.7212,43.5394,1.6082,active status crossed with review polarity and vote signals
user_activity_polarity,reviewer_activity_polarity,Medium,positive_review,"",user_activity_polarity_rank,1,10205,14181,67950,,,3.9315,4.5385,14.0751,45.7027,17.0979,28.3208,21.0433,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,High,positive_review,"",user_activity_polarity_rank,2,9514,5365,57913,,,3.9001,4.4299,21.3493,60.4424,30.4491,44.9778,17.9349,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Low,positive_review,"",user_activity_polarity_rank,3,10385,35343,57830,,,4.0093,4.6901,9.5642,34.9836,11.1274,18.3486,17.9092,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Uber,positive_review,"",user_activity_polarity_rank,4,8236,2382,37207,,,3.8807,4.3582,29.9379,74.5021,49.824,64.3562,11.5225,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Low,negative_review,"",user_activity_polarity_rank,5,7313,16217,19947,,,3.3061,1.3519,24.2142,48.4133,19.8927,13.1599,6.1773,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Medium,negative_review,"",user_activity_polarity_rank,6,6309,7650,17182,,,3.3434,1.5256,27.8547,58.5031,30.0489,22.9834,5.3211,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,High,middle_review,"",user_activity_polarity_rank,7,5141,3001,15126,,,3.5773,3.0,24.1174,55.9037,29.7501,35.3299,4.6843,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Uber,middle_review,"",user_activity_polarity_rank,8,5144,1529,13069,,,3.5351,3.0,29.9487,70.5563,48.0909,55.888,4.0473,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Medium,middle_review,"",user_activity_polarity_rank,9,4391,5996,12044,,,3.6182,3.0,20.8901,44.3955,18.0671,21.1142,3.7299,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,High,negative_review,"",user_activity_polarity_rank,10,5021,2678,11944,,,3.3107,1.6391,31.991,68.3104,43.0844,36.9642,3.6989,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Uber,negative_review,"",user_activity_polarity_rank,11,3679,1149,6987,,,3.2738,1.7016,35.3657,77.8016,58.523,55.1023,2.1638,reviewer activity label crossed with review polarity
user_activity_polarity,reviewer_activity_polarity,Low,middle_review,"",user_activity_polarity_rank,12,2915,5034,5707,,,3.6411,3.0,17.9254,34.7293,11.9678,13.7375,1.7674,reviewer activity label crossed with review polarity
vote_type_alignment,vote_profile_review_polarity,no_vote_label,positive_review,"",vote_profile_rank,1,12262,40189,93358,,,3.9307,4.5359,8.8552,0.0,0.0,0.0,28.9118,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,useful_and_cool,positive_review,"",vote_profile_rank,2,9773,17667,71214,,,3.9411,4.4883,30.1107,100.0,61.4963,100.0,22.0541,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,useful_only_or_useful_led,positive_review,"",vote_profile_rank,3,8667,20731,42796,,,3.939,4.5288,16.5787,100.0,10.2042,0.0,13.2534,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,useful_only_or_useful_led,negative_review,"",vote_profile_rank,4,6507,13015,19342,,,3.3147,1.4731,30.2089,100.0,25.8401,0.0,5.99,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,no_vote_label,negative_review,"",vote_profile_rank,5,7431,13987,19210,,,3.2927,1.5073,18.8027,0.0,0.0,0.0,5.9491,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,no_vote_label,middle_review,"",vote_profile_rank,6,5762,9733,18250,,,3.5788,3.0,14.2411,0.0,0.0,0.0,5.6518,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,useful_and_cool,middle_review,"",vote_profile_rank,7,5029,4268,14652,,,3.5742,3.0,36.5616,100.0,71.0074,100.0,4.5375,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,useful_and_cool,negative_review,"",vote_profile_rank,8,4823,6803,13962,,,3.3285,1.5776,40.5744,100.0,74.4163,100.0,4.3239,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,useful_only_or_useful_led,middle_review,"",vote_profile_rank,9,4003,5893,10354,,,3.608,3.0,24.9759,100.0,15.6944,0.0,3.2065,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,cool_without_useful,positive_review,"",vote_profile_rank,10,3175,5439,7468,,,3.9511,4.5364,12.3192,0.0,0.0,100.0,2.3127,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,funny_without_useful,positive_review,"",vote_profile_rank,11,3035,4487,6064,,,3.8837,4.5412,14.3964,0.0,100.0,19.2282,1.8779,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,funny_without_useful,negative_review,"",vote_profile_rank,12,2140,2550,2978,,,3.3746,1.4315,22.8005,0.0,100.0,10.3761,0.9222,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,funny_without_useful,middle_review,"",vote_profile_rank,13,1185,1267,1615,,,3.5687,3.0,22.4149,0.0,100.0,15.356,0.5001,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,cool_without_useful,middle_review,"",vote_profile_rank,14,875,902,1075,,,3.5958,3.0,18.3256,0.0,0.0,100.0,0.3329,"which vote profiles align with positive, middle, or negative reviews"
vote_type_alignment,vote_profile_review_polarity,cool_without_useful,negative_review,"",vote_profile_rank,15,515,528,568,,,3.3847,1.6004,19.1901,0.0,0.0,100.0,0.1759,"which vote profiles align with positive, middle, or negative reviews"
