evidence_block,grain,item,item_2,item_3,rank_label,rank_value,store_count,title_count,type_count,order_count,sale_lines,sample_qty,revenue_proxy,share_pct,secondary_value,notes
order_size_concentration,qty_bucket,mid_10_39,4,5,bucket_revenue_rank,1.0,4,14,5,12,16,320.0,3884.85,58.1834,,Check whether larger order lines drive a disproportionate share of revenue proxy.
order_size_concentration,qty_bucket,large_40_plus,2,3,bucket_revenue_rank,2.0,2,3,3,3,3,165.0,2659.25,39.8276,,Check whether larger order lines drive a disproportionate share of revenue proxy.
order_size_concentration,qty_bucket,small_<10,1,2,bucket_revenue_rank,3.0,1,2,2,2,2,8.0,132.8,1.9889,,Check whether larger order lines drive a disproportionate share of revenue proxy.
store_title_dependence,store_title,News & Brews,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,title_rank_in_store,1.0,,1,,,,40.0,838.0,56.3816,1486.3,Top title dependence within each store.
store_title_dependence,store_title,News & Brews,"Sushi, Anyone?",trad_cook,title_rank_in_store,2.0,,1,,,,20.0,299.8,20.1709,1486.3,Top title dependence within each store.
store_title_dependence,store_title,News & Brews,Fifty Years in Buckingham Palace Kitchens,trad_cook,title_rank_in_store,3.0,,1,,,,20.0,239.0,16.0802,1486.3,Top title dependence within each store.
store_title_dependence,store_title,Fricative Bookshop,Straight Talk About Computers,business,title_rank_in_store,1.0,,1,,,,15.0,299.85,49.6112,604.4,Top title dependence within each store.
store_title_dependence,store_title,Fricative Bookshop,Silicon Valley Gastronomic Treats,mod_cook,title_rank_in_store,2.0,,1,,,,10.0,199.9,33.0741,604.4,Top title dependence within each store.
store_title_dependence,store_title,Fricative Bookshop,You Can Combat Computer Stress!,business,title_rank_in_store,3.0,,1,,,,35.0,104.65,17.3147,604.4,Top title dependence within each store.
store_title_dependence,store_title,Doc-U-Mat: Quality Laundry and Books,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,title_rank_in_store,1.0,,1,,,,20.0,431.8,30.8396,1400.15,Top title dependence within each store.
store_title_dependence,store_title,Doc-U-Mat: Quality Laundry and Books,Prolonged Data Deprivation: Four Case Studies,psychology,title_rank_in_store,2.0,,1,,,,15.0,299.85,21.4156,1400.15,Top title dependence within each store.
store_title_dependence,store_title,Doc-U-Mat: Quality Laundry and Books,Is Anger the Enemy?,psychology,title_rank_in_store,3.0,,1,,,,20.0,219.0,15.6412,1400.15,Top title dependence within each store.
store_title_dependence,store_title,Eric the Read Books,The Busy Executive's Database Guide,business,title_rank_in_store,1.0,,1,,,,5.0,99.95,75.2636,132.8,Top title dependence within each store.
store_title_dependence,store_title,Eric the Read Books,Is Anger the Enemy?,psychology,title_rank_in_store,2.0,,1,,,,3.0,32.85,24.7364,132.8,Top title dependence within each store.
store_title_dependence,store_title,Barnum's,Secrets of Silicon Valley,popular_comp,title_rank_in_store,1.0,,1,,,,50.0,1000.0,54.9073,1821.25,Top title dependence within each store.
store_title_dependence,store_title,Barnum's,Is Anger the Enemy?,psychology,title_rank_in_store,2.0,,1,,,,75.0,821.25,45.0927,1821.25,Top title dependence within each store.
store_title_dependence,store_title,Bookbeat,But Is It User Friendly?,popular_comp,title_rank_in_store,1.0,,1,,,,30.0,688.5,55.8847,1232.0,Top title dependence within each store.
store_title_dependence,store_title,Bookbeat,Cooking with Computers: Surreptitious Balance Sheets,business,title_rank_in_store,2.0,,1,,,,25.0,298.75,24.2492,1232.0,Top title dependence within each store.
store_title_dependence,store_title,Bookbeat,The Busy Executive's Database Guide,business,title_rank_in_store,3.0,,1,,,,10.0,199.9,16.2256,1232.0,Top title dependence within each store.
discount_rule_context,discount_rule,Customer Discount,Bookbeat,OR,discount_pct,5.0,,,,,,,,,0.0,Discount rules are sparse and should be checked against store and order-size patterns.
discount_rule_context,discount_rule,Initial Customer,ALL_STORES,ALL,discount_pct,10.5,,,,,,,,,0.0,Discount rules are sparse and should be checked against store and order-size patterns.
discount_rule_context,discount_rule,Volume Discount,ALL_STORES,ALL,discount_pct,6.7,,,,,,,,,100.0,Discount rules are sparse and should be checked against store and order-size patterns.
