evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,inspectors,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,Daycare (2 - 6 Years),,facility_rank_within_supervisor,6.0,284,4,739,25,92,622,77350.0,192,8,48,19.7183,2.6021,272.3592,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,Children's Services Facility,,facility_rank_within_supervisor,7.0,222,4,613,52,108,453,73450.0,153,13,45,26.1261,2.7613,330.8559,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,Daycare Above and Under 2 Years,,facility_rank_within_supervisor,8.0,209,4,688,69,91,528,92000.0,137,9,46,26.3158,3.2919,440.1914,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,Restaurant,,facility_rank_within_supervisor,1.0,11053,3,43092,2757,5312,35023,5156700.0,6627,1214,2056,29.5847,3.8987,466.543,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,Grocery Store,,facility_rank_within_supervisor,2.0,2389,3,9818,598,1466,7754,1136400.0,1366,210,581,33.1101,4.1097,475.6802,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,School,,facility_rank_within_supervisor,3.0,1122,3,3900,147,488,3265,442850.0,817,60,201,23.262,3.4759,394.697,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,unknown,,facility_rank_within_supervisor,4.0,542,3,40,7,8,25,5500.0,36,1,38,7.1956,0.0738,10.1476,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,Daycare (2 - 6 Years),,facility_rank_within_supervisor,5.0,345,3,1004,58,124,822,114650.0,213,12,77,25.7971,2.9101,332.3188,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,Bakery,,facility_rank_within_supervisor,6.0,224,3,943,36,112,795,96550.0,135,9,52,27.2321,4.2098,431.0268,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,Daycare Above and Under 2 Years,,facility_rank_within_supervisor,7.0,185,3,626,30,75,521,65000.0,145,9,27,19.4595,3.3838,351.3514,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Gregory Cardenas,Children's Services Facility,,facility_rank_within_supervisor,8.0,145,3,474,34,76,364,56350.0,101,5,30,24.1379,3.269,388.6207,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,Restaurant,,facility_rank_within_supervisor,1.0,28730,7,110831,7280,13643,89908,13267000.0,17252,3143,5431,29.8434,3.8577,461.7821,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,Grocery Store,,facility_rank_within_supervisor,2.0,5940,7,24460,1623,3457,19380,2872200.0,3432,475,1477,32.862,4.1178,483.5354,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,School,,facility_rank_within_supervisor,3.0,2721,6,9573,330,1173,8070,1064550.0,1999,142,495,23.4105,3.5182,391.2348,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,unknown,,facility_rank_within_supervisor,4.0,1326,6,78,8,18,52,12000.0,77,6,111,8.8235,0.0588,9.0498,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,Daycare (2 - 6 Years),,facility_rank_within_supervisor,5.0,707,6,1985,75,268,1642,212400.0,498,22,126,20.9335,2.8076,300.4243,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,Bakery,,facility_rank_within_supervisor,6.0,614,6,2585,143,339,2103,288550.0,386,34,139,28.1759,4.2101,469.9511,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,Daycare Above and Under 2 Years,,facility_rank_within_supervisor,7.0,481,6,1396,71,184,1141,163200.0,349,25,79,21.6216,2.9023,339.2931,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Kathryn Hopper,Children's Services Facility,,facility_rank_within_supervisor,8.0,469,6,1451,106,199,1146,168050.0,352,13,84,20.6823,3.0938,358.3156,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,Restaurant,,facility_rank_within_supervisor,1.0,17834,5,69387,4433,8464,56490,8280850.0,10714,1918,3397,29.8026,3.8907,464.3294,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,Grocery Store,,facility_rank_within_supervisor,2.0,3799,5,15375,984,2165,12226,1794850.0,2131,318,925,32.7191,4.0471,472.4533,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,School,,facility_rank_within_supervisor,3.0,1712,5,6119,222,685,5212,687550.0,1280,90,287,22.021,3.5742,401.6063,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,unknown,,facility_rank_within_supervisor,4.0,940,5,42,5,5,32,5000.0,50,5,61,7.0213,0.0447,5.3191,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,Daycare (2 - 6 Years),,facility_rank_within_supervisor,5.0,492,5,1544,74,194,1276,165250.0,313,13,119,26.8293,3.1382,335.874,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,Bakery,,facility_rank_within_supervisor,6.0,423,5,1803,78,222,1503,195850.0,260,27,90,27.6596,4.2624,463.0024,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,Daycare Above and Under 2 Years,,facility_rank_within_supervisor,7.0,323,4,1101,71,136,894,132000.0,227,21,59,24.7678,3.4087,408.6687,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Darlisha Jacobs,Children's Services Facility,,facility_rank_within_supervisor,8.0,232,5,669,50,87,532,80000.0,180,7,37,18.9655,2.8836,344.8276,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,Restaurant,,facility_rank_within_supervisor,1.0,6652,3,26508,1687,3214,21607,3109000.0,4037,698,1340,30.6374,3.985,467.3782,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,Grocery Store,,facility_rank_within_supervisor,2.0,1336,3,5592,338,776,4478,639350.0,789,94,365,34.3563,4.1856,478.5554,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,School,,facility_rank_within_supervisor,3.0,713,3,2555,95,275,2185,290900.0,535,37,118,21.7391,3.5835,407.9944,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,unknown,,facility_rank_within_supervisor,4.0,423,2,38,4,2,32,4500.0,22,0,43,10.1655,0.0898,10.6383,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,Daycare (2 - 6 Years),,facility_rank_within_supervisor,5.0,152,2,478,15,67,396,47350.0,111,4,32,23.6842,3.1447,311.5132,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,Bakery,,facility_rank_within_supervisor,6.0,150,3,769,52,91,626,82000.0,91,12,36,32.0,5.1267,546.6667,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,Daycare Above and Under 2 Years,,facility_rank_within_supervisor,7.0,92,2,273,14,43,216,32750.0,72,1,18,20.6522,2.9674,355.9783,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Melanie Ingram,Mobile Food Dispenser,,facility_rank_within_supervisor,8.0,85,2,111,33,14,64,14700.0,54,1,29,35.2941,1.3059,172.9412,Separate team outcome differences from facility assignment mix.
supervisor_risk_mix,supervisor_risk_level,Vincent Rosario,1,,risk_rank_within_supervisor,1.0,18337,4,70606,4488,8806,57312,8475800.0,11015,2015,3370,29.3669,3.8505,462.2239,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Vincent Rosario,2,,risk_rank_within_supervisor,2.0,5434,4,17863,1006,2631,14226,2126600.0,3154,529,978,27.7328,3.2873,391.3508,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Vincent Rosario,3,,risk_rank_within_supervisor,3.0,2224,4,5025,388,900,3737,589700.0,1042,52,476,23.741,2.2594,265.1529,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Vincent Rosario,unknown,,risk_rank_within_supervisor,4.0,6,3,0,0,0,0,0.0,0,0,2,33.3333,0.0,0.0,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Donald Mathews,1,,risk_rank_within_supervisor,1.0,13481,5,51609,3425,6516,41668,6276650.0,8046,1481,2499,29.523,3.8283,465.5923,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Donald Mathews,2,,risk_rank_within_supervisor,2.0,3878,5,12933,808,1966,10159,1578300.0,2174,412,721,29.2161,3.335,406.9881,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Donald Mathews,3,,risk_rank_within_supervisor,3.0,1657,5,3535,278,600,2657,413700.0,752,44,302,20.8811,2.1334,249.6681,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Donald Mathews,unknown,,risk_rank_within_supervisor,4.0,5,3,0,0,0,0,0.0,0,0,4,80.0,0.0,0.0,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Gregory Cardenas,1,,risk_rank_within_supervisor,1.0,11798,3,46715,2888,5600,38227,5524800.0,7245,1189,2263,29.2592,3.9596,468.2828,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Gregory Cardenas,2,,risk_rank_within_supervisor,2.0,3584,3,12433,738,1872,9823,1481950.0,2100,347,673,28.4598,3.469,413.4905,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Gregory Cardenas,3,,risk_rank_within_supervisor,3.0,1676,3,3966,313,655,2998,457450.0,723,57,364,25.1193,2.3663,272.9415,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Gregory Cardenas,unknown,,risk_rank_within_supervisor,4.0,7,2,0,0,0,0,0.0,1,0,3,42.8571,0.0,0.0,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Kathryn Hopper,1,,risk_rank_within_supervisor,1.0,30096,7,117636,7555,13995,96086,13999450.0,18608,3021,5767,29.1999,3.9087,465.1598,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Kathryn Hopper,2,,risk_rank_within_supervisor,2.0,9405,6,32832,1943,4842,26047,3879450.0,5486,918,1850,29.4312,3.4909,412.488,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Kathryn Hopper,3,,risk_rank_within_supervisor,3.0,4198,6,10046,811,1696,7539,1163050.0,1926,86,988,25.5836,2.393,277.0486,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Kathryn Hopper,unknown,,risk_rank_within_supervisor,4.0,4,2,4,0,0,4,400.0,2,0,1,25.0,1.0,100.0,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Darlisha Jacobs,1,,risk_rank_within_supervisor,1.0,18896,5,74329,4606,8678,61045,8802900.0,11692,1865,3596,28.9003,3.9336,465.8605,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Darlisha Jacobs,2,,risk_rank_within_supervisor,2.0,5713,5,20401,1190,2977,16234,2422800.0,3248,579,1151,30.2818,3.571,424.0854,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Darlisha Jacobs,3,,risk_rank_within_supervisor,3.0,2856,5,6210,556,942,4712,704600.0,1249,68,603,23.4944,2.1744,246.7087,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Darlisha Jacobs,unknown,,risk_rank_within_supervisor,4.0,5,3,0,0,0,0,0.0,1,0,2,40.0,0.0,0.0,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Melanie Ingram,1,,risk_rank_within_supervisor,1.0,7090,3,28054,1680,3227,23147,3250250.0,4458,638,1387,28.5614,3.9568,458.4274,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Melanie Ingram,2,,risk_rank_within_supervisor,2.0,2031,3,7532,502,1141,5889,914900.0,1175,219,456,33.2349,3.7085,450.4677,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_risk_mix,supervisor_risk_level,Melanie Ingram,3,,risk_rank_within_supervisor,3.0,1195,3,3132,240,522,2370,355850.0,514,27,336,30.3766,2.6209,297.7824,Check whether supervisor differences are mainly driven by risk-level assignment.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Food Maintenance,,category_rank_within_supervisor,1.0,50614,4,50614,0,0,50614,4503600.0,32002,6157,12308,36.482,1.0,88.9793,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Food Protection,,category_rank_within_supervisor,2.0,28828,4,28828,3052,1227,24549,3811900.0,16355,5003,7408,43.0519,1.0,132.2291,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Insect and Rodent Control,,category_rank_within_supervisor,3.0,5687,4,5687,0,5687,0,929000.0,2365,247,3052,58.0095,1.0,163.355,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Compliance,,category_rank_within_supervisor,4.0,2055,4,2055,323,1732,0,272000.0,765,243,1026,61.7518,1.0,132.3601,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Personnel,,category_rank_within_supervisor,5.0,1770,4,1770,0,1770,0,385500.0,315,844,605,81.8644,1.0,217.7966,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Toilet and Hand Washing Facilities for Staff,,category_rank_within_supervisor,6.0,1313,4,1313,1313,0,0,496500.0,351,280,675,72.7342,1.0,378.1417,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Food Equipment and Utensil,,category_rank_within_supervisor,7.0,1096,4,1096,0,1096,0,173000.0,444,71,575,58.9416,1.0,157.8467,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Vincent Rosario,Wash and Waste Water Disposal,,category_rank_within_supervisor,8.0,575,4,575,575,0,0,198500.0,176,72,323,68.6957,1.0,345.2174,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Food Maintenance,,category_rank_within_supervisor,1.0,36730,5,36730,0,0,36730,3280200.0,22891,4533,9190,37.3618,1.0,89.3057,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Food Protection,,category_rank_within_supervisor,2.0,20763,5,20763,2232,852,17679,2766200.0,11668,3593,5434,43.4764,1.0,133.2274,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Insect and Rodent Control,,category_rank_within_supervisor,3.0,4160,5,4160,0,4160,0,682250.0,1727,195,2219,58.0288,1.0,164.0024,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Compliance,,category_rank_within_supervisor,4.0,1554,4,1554,259,1295,0,214750.0,614,191,740,59.9099,1.0,138.1918,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Personnel,,category_rank_within_supervisor,5.0,1373,4,1373,0,1373,0,294500.0,260,639,466,80.4807,1.0,214.4938,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Toilet and Hand Washing Facilities for Staff,,category_rank_within_supervisor,6.0,998,5,998,998,0,0,385500.0,268,227,501,72.9459,1.0,386.2725,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Food Equipment and Utensil,,category_rank_within_supervisor,7.0,857,4,857,0,857,0,143250.0,351,47,455,58.5764,1.0,167.1529,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Donald Mathews,Wash and Waste Water Disposal,,category_rank_within_supervisor,8.0,502,4,502,502,0,0,178500.0,156,80,261,67.9283,1.0,355.5777,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Food Maintenance,,category_rank_within_supervisor,1.0,34440,3,34440,0,0,34440,3036600.0,21694,3926,8694,36.6434,1.0,88.1707,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Food Protection,,category_rank_within_supervisor,2.0,19317,3,19317,2039,766,16512,2535400.0,11077,3171,5012,42.3617,1.0,131.2523,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Insect and Rodent Control,,category_rank_within_supervisor,3.0,3968,3,3968,0,3968,0,630000.0,1664,163,2120,57.5353,1.0,158.7702,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Compliance,,category_rank_within_supervisor,4.0,1258,3,1258,204,1054,0,172750.0,472,152,625,61.7647,1.0,137.3211,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Personnel,,category_rank_within_supervisor,5.0,1164,3,1164,0,1164,0,244000.0,228,519,406,79.4674,1.0,209.622,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Toilet and Hand Washing Facilities for Staff,,category_rank_within_supervisor,6.0,833,3,833,833,0,0,312000.0,218,162,448,73.2293,1.0,374.5498,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Food Equipment and Utensil,,category_rank_within_supervisor,7.0,696,3,696,0,696,0,109750.0,278,43,367,58.908,1.0,157.6868,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Gregory Cardenas,Wash and Waste Water Disposal,,category_rank_within_supervisor,8.0,408,3,408,408,0,0,144500.0,122,44,240,69.6078,1.0,354.1667,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Food Maintenance,,category_rank_within_supervisor,1.0,87911,7,87911,0,0,87911,7730600.0,55848,9688,22149,36.215,1.0,87.9367,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Food Protection,,category_rank_within_supervisor,2.0,48687,7,48687,5341,1831,41515,6410750.0,27945,7766,12868,42.3809,1.0,131.6727,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Insect and Rodent Control,,category_rank_within_supervisor,3.0,10060,7,10060,0,10060,0,1630250.0,4194,384,5441,57.9026,1.0,162.0527,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Compliance,,category_rank_within_supervisor,4.0,3139,6,3139,529,2610,0,434500.0,1199,354,1576,61.4845,1.0,138.4199,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Personnel,,category_rank_within_supervisor,5.0,2890,7,2890,0,2890,0,611000.0,575,1274,1030,79.7232,1.0,211.4187,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Toilet and Hand Washing Facilities for Staff,,category_rank_within_supervisor,6.0,2314,7,2314,2314,0,0,869000.0,602,444,1260,73.6387,1.0,375.5402,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Food Equipment and Utensil,,category_rank_within_supervisor,7.0,1878,7,1878,0,1878,0,301500.0,739,109,1019,60.0639,1.0,160.5431,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Kathryn Hopper,Wash and Waste Water Disposal,,category_rank_within_supervisor,8.0,1046,6,1046,1046,0,0,356500.0,330,109,605,68.26,1.0,340.8222,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Darlisha Jacobs,Food Maintenance,,category_rank_within_supervisor,1.0,55433,5,55433,0,0,55433,4896700.0,35071,6196,14035,36.4963,1.0,88.3355,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Darlisha Jacobs,Food Protection,,category_rank_within_supervisor,2.0,30805,5,30805,3266,1114,26425,4026050.0,17667,4909,8158,42.4184,1.0,130.6947,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Darlisha Jacobs,Insect and Rodent Control,,category_rank_within_supervisor,3.0,6195,5,6195,0,6195,0,995500.0,2605,252,3305,57.4173,1.0,160.6941,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Darlisha Jacobs,Compliance,,category_rank_within_supervisor,4.0,1896,5,1896,306,1590,0,251750.0,751,192,939,59.6519,1.0,132.7795,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Darlisha Jacobs,Personnel,,category_rank_within_supervisor,5.0,1847,5,1847,0,1847,0,396000.0,363,836,644,80.1299,1.0,214.4017,Look for content differences in the violations surfaced by each supervisor group.
supervisor_violation_category,supervisor_violation_category,Darlisha Jacobs,Toilet and Hand Washing Facilities for Staff,,category_rank_within_supervisor,6.0,1377,5,1377,1377,0,0,509500.0,380,273,719,72.0407,1.0,370.0073,Look for content differences in the violations surfaced by each supervisor group.
