evidence_block,grain,item,item_2,rank_label,rank_value,order_revenue,payment_amount,payment_coverage,gross_margin_proxy,gross_margin_rate,customers,active_order_customers,paying_customers,orders,order_lines,credit_limit,credit_utilization_proxy,notes
high_value_customer_coverage,customer,Kelly's Gift Shop,New Zealand,order_revenue_rank,12.0,137460.79,114497.19,0.8329,51771.5,0.3766,1,1,1,4,48,110000.0,1.2496,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,GiftsForHim.com,New Zealand,order_revenue_rank,37.0,94431.76,56662.38,0.6,39321.91,0.4164,1,1,1,3,26,77700.0,1.2153,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"UK Collectables, Ltd.",UK,order_revenue_rank,26.0,106610.72,61167.18,0.5737,43523.64,0.4082,1,1,1,3,29,92700.0,1.1501,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Handji Gifts& Co,Singapore,order_revenue_rank,25.0,107746.75,105420.57,0.9784,41305.17,0.3834,1,1,1,4,36,97900.0,1.1006,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"AV Stores, Co.",UK,order_revenue_rank,9.0,148410.09,148410.09,1.0,60095.86,0.4049,1,1,1,3,51,136800.0,1.0849,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Rovelli Gifts,Italy,order_revenue_rank,18.0,127529.69,127529.69,1.0,52309.63,0.4102,1,1,1,3,48,119600.0,1.0663,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Saveley & Henriot, Co.",France,order_revenue_rank,16.0,130305.35,130305.35,1.0,53211.19,0.4084,1,1,1,3,41,123900.0,1.0517,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Extreme Desk Decorations, Ltd",New Zealand,order_revenue_rank,40.0,90332.38,66704.94,0.7384,38399.18,0.4251,1,1,1,3,29,86800.0,1.0407,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Scandinavian Gift Ideas,Sweden,order_revenue_rank,21.0,120943.53,76776.44,0.6348,46777.54,0.3868,1,1,1,3,38,116400.0,1.039,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Diecast Classics Inc.,USA,order_revenue_rank,29.0,104358.69,98509.25,0.9439,40429.55,0.3874,1,1,1,4,31,100600.0,1.0374,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,L'ordine Souveniers,Italy,order_revenue_rank,20.0,125505.57,90143.31,0.7182,48516.67,0.3866,1,1,1,3,39,121400.0,1.0338,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Australian Collectables, Ltd",Australia,order_revenue_rank,78.0,55866.02,44920.76,0.8041,22433.82,0.4016,1,1,1,3,23,60300.0,0.9265,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Petit Auto,Belgium,order_revenue_rank,61.0,70851.58,62253.85,0.8787,25861.96,0.365,1,1,1,3,25,79900.0,0.8868,Top order-value customers should be checked against payment coverage and credit exposure.
coverage_bucket_summary,coverage_bucket,payment_coverage_near_orders,,,,8110943.23,7926032.74,0.9898,3236880.93,0.3991,85,,,281,2541,,1.0419,Coverage buckets separate revenue value from cash collection signal.
coverage_bucket_summary,coverage_bucket,payment_coverage_below_75pct,,,,1493247.38,927806.49,0.6126,588999.32,0.3944,13,,,45,455,,1.4224,Coverage buckets separate revenue value from cash collection signal.
coverage_bucket_summary,coverage_bucket,unclassified,,,,0.0,0.0,,0.0,,24,,,0,0,,,Coverage buckets separate revenue value from cash collection signal.
country_payment_quality,country,Sweden,,country_order_revenue_rank,14.0,187638.35,120457.09,0.642,71915.92,0.3833,2,2,,7,57,169500.0,1.107,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Austria,,country_order_revenue_rank,13.0,188540.06,136119.99,0.722,73082.79,0.3876,2,2,,7,55,117000.0,1.6115,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,New Zealand,,country_order_revenue_rank,5.0,476847.01,392486.59,0.8231,189506.58,0.3974,4,4,,15,149,362500.0,1.3154,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,UK,,country_order_revenue_rank,6.0,436947.44,391503.9,0.896,172964.26,0.3958,5,5,,13,144,443700.0,0.9848,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Denmark,,country_order_revenue_rank,10.0,218994.92,197356.3,0.9012,85629.3,0.391,2,2,,7,63,204200.0,1.0725,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Italy,,country_order_revenue_rank,7.0,360616.81,325254.55,0.9019,144459.86,0.4006,4,4,,10,121,388800.0,0.9275,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Spain,,country_order_revenue_rank,2.0,1099389.09,994438.53,0.9045,440004.54,0.4002,7,5,,36,342,517800.0,2.1232,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Australia,,country_order_revenue_rank,4.0,562582.59,509385.82,0.9054,222207.18,0.395,5,5,,19,185,430300.0,1.3074,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Belgium,,country_order_revenue_rank,19.0,100068.76,91471.03,0.9141,37555.95,0.3753,2,2,,7,33,103400.0,0.9678,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,USA,,country_order_revenue_rank,1.0,3273280.05,3040029.52,0.9287,1308815.59,0.3998,36,35,,112,1004,2811700.0,1.1642,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,France,,country_order_revenue_rank,3.0,1007374.02,965750.58,0.9587,413016.12,0.41,12,12,,37,314,932300.0,1.0805,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Singapore,,country_order_revenue_rank,9.0,263997.78,261671.6,0.9912,101782.55,0.3855,3,2,,9,79,201700.0,1.3089,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Japan,,country_order_revenue_rank,15.0,167909.95,167909.95,1.0,67848.06,0.4041,2,2,,6,52,175600.0,0.9562,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Finland,,country_order_revenue_rank,8.0,295149.35,295149.35,1.0,117239.33,0.3972,3,3,,9,92,285800.0,1.0327,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Canada,,country_order_revenue_rank,11.0,205911.86,205911.86,1.0,78858.78,0.383,3,3,,7,70,228600.0,0.9008,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Germany,,country_order_revenue_rank,12.0,196470.99,196470.99,1.0,77505.7,0.3945,13,3,,7,62,257100.0,0.7642,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Norway  ,,country_order_revenue_rank,16.0,166621.51,166621.51,1.0,66257.82,0.3977,2,2,,5,53,191900.0,0.8683,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Switzerland,,country_order_revenue_rank,17.0,108777.92,108777.92,1.0,43393.75,0.3989,3,1,,2,31,141300.0,0.7698,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Ireland,,country_order_revenue_rank,21.0,49898.27,49898.27,1.0,19588.29,0.3926,2,1,,2,16,69400.0,0.719,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Norway,,country_order_revenue_rank,18.0,104224.79,104224.79,1.0,41391.52,0.3971,1,1,,4,32,81700.0,1.2757,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Philippines,,country_order_revenue_rank,20.0,87468.3,87468.3,1.0,35987.68,0.4114,1,1,,3,26,81500.0,1.0732,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Hong Kong,,country_order_revenue_rank,22.0,45480.79,45480.79,1.0,16868.68,0.3709,1,1,,2,16,58600.0,0.7761,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Israel,,country_order_revenue_rank,23.0,0.0,0.0,,0.0,,1,0,,0,0,0.0,,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Netherlands,,country_order_revenue_rank,24.0,0.0,0.0,,0.0,,1,0,,0,0,0.0,,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Poland,,country_order_revenue_rank,25.0,0.0,0.0,,0.0,,1,0,,0,0,0.0,,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Portugal,,country_order_revenue_rank,26.0,0.0,0.0,,0.0,,2,0,,0,0,0.0,,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,Russia,,country_order_revenue_rank,27.0,0.0,0.0,,0.0,,1,0,,0,0,0.0,,Country-level view shows whether customer value and payment coverage differ by market.
country_payment_quality,country,South Africa,,country_order_revenue_rank,28.0,0.0,0.0,,0.0,,1,0,,0,0,0.0,,Country-level view shows whether customer value and payment coverage differ by market.
sales_rep_payment_exposure,sales_rep,Gerard Hernandez,,rep_order_revenue_rank,1.0,1258577.81,1112003.81,0.8835,504644.71,0.401,7,7,,43,,642500.0,1.9589,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Leslie Jennings,,rep_order_revenue_rank,2.0,1081530.54,989906.55,0.9153,435208.35,0.4024,6,6,,34,,602600.0,1.7948,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Pamela Castillo,,rep_order_revenue_rank,3.0,868220.55,750201.87,0.8641,340727.9,0.3924,10,10,,31,,813400.0,1.0674,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Larry Bott,,rep_order_revenue_rank,4.0,732096.79,686653.25,0.9379,290203.59,0.3964,8,8,,22,,729500.0,1.0036,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Barry Jones,,rep_order_revenue_rank,5.0,704853.91,637672.65,0.9047,276659.25,0.3925,9,9,,25,,769600.0,0.9159,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,George Vanauf,,rep_order_revenue_rank,6.0,669377.05,584406.8,0.8731,269596.09,0.4028,8,8,,22,,647100.0,1.0344,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Peter Marsh,,rep_order_revenue_rank,7.0,584593.76,497907.16,0.8517,230811.75,0.3948,5,5,,19,,460400.0,1.2698,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Loui Bondur,,rep_order_revenue_rank,8.0,569485.75,569485.75,1.0,234891.07,0.4125,6,6,,20,,517400.0,1.1007,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Andy Fixter,,rep_order_revenue_rank,9.0,562582.59,509385.82,0.9054,222207.18,0.395,5,5,,19,,430300.0,1.3074,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Steve Patterson,,rep_order_revenue_rank,10.0,505875.42,449219.13,0.888,197879.23,0.3912,6,6,,18,,489200.0,1.0341,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Foon Yue Tseng,,rep_order_revenue_rank,11.0,488212.67,488212.67,1.0,194839.92,0.3991,7,6,,17,,466300.0,1.047,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Mami Nishi,,rep_order_revenue_rank,12.0,457110.07,457110.07,1.0,181181.8,0.3964,5,5,,16,,419500.0,1.0897,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Martin Gerard,,rep_order_revenue_rank,13.0,387477.47,387477.47,1.0,156878.63,0.4049,6,5,,12,,431500.0,0.898,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Julie Firrelli,,rep_order_revenue_rank,14.0,386663.2,386663.2,1.0,152119.31,0.3934,6,6,,14,,443500.0,0.8718,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,Leslie Thompson,,rep_order_revenue_rank,15.0,347533.03,347533.03,1.0,138031.47,0.3972,6,6,,14,,391600.0,0.8875,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
sales_rep_payment_exposure,sales_rep,No assigned sales rep,,rep_order_revenue_rank,16.0,0.0,0.0,,0.0,,22,0,,0,,0.0,,"Rep-level exposure is useful context, but customer-level payments remain the grain of payment evidence."
