evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,inspections_with_violations,pass_count,conditional_count,fail_count,other_count,pass_rate_pct,conditional_rate_pct,fail_rate_pct,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
facility_type_result_profile,facility_type,Daycare (2 Years),,,inspection_volume_rank,26.0,50,13,85,0,0,0,7800.0,36,43,0,3,4,86.0,0.0,6.0,6.0,1.7,156.0,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,DAYCARE,,,inspection_volume_rank,27.0,49,18,59,0,0,0,6650.0,30,36,4,4,5,73.4694,8.1633,8.1633,16.3265,1.2041,135.7143,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,GROCERY/RESTAURANT,,,inspection_volume_rank,28.0,48,8,227,15,0,0,28150.0,42,25,10,7,6,52.0833,20.8333,14.5833,35.4167,4.7292,586.4583,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,CONVENIENCE,,,inspection_volume_rank,29.0,39,14,107,6,0,0,13000.0,28,20,2,9,8,51.2821,5.1282,23.0769,28.2051,2.7436,333.3333,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,RESTAURANT/BAR,,,inspection_volume_rank,30.0,39,9,137,22,0,0,23250.0,32,19,4,14,2,48.7179,10.2564,35.8974,46.1538,3.5128,596.1538,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
ward_result_profile,ward,42,,,inspection_volume_rank,1.0,16377,3419,47377,3654,0,0,6039200.0,12951,10614,2034,2368,1361,64.8104,12.4199,14.4593,26.8792,2.8929,368.7611,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,27,,,inspection_volume_rank,2.0,6349,1489,22374,1775,0,0,2837200.0,4833,3623,645,1327,754,57.0641,10.1591,20.9009,31.06,3.524,446.8735,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,1,,,inspection_volume_rank,3.0,4949,1062,18761,1229,0,0,2209250.0,3858,2801,430,1062,656,56.5973,8.6886,21.4589,30.1475,3.7909,446.4033,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,25,,,inspection_volume_rank,4.0,4930,1068,19420,1251,0,0,2264750.0,4029,2896,389,1096,549,58.7424,7.8905,22.2312,30.1217,3.9391,459.3813,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,44,,,inspection_volume_rank,5.0,4816,1070,17131,1372,0,0,2127600.0,3706,2649,568,939,660,55.0042,11.794,19.4975,31.2915,3.5571,441.7774,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,2,,,inspection_volume_rank,6.0,4525,937,15619,1208,0,0,2009950.0,3518,2546,576,887,516,56.2652,12.7293,19.6022,32.3315,3.4517,444.1878,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,47,,,inspection_volume_rank,7.0,4136,970,14896,954,0,0,1738300.0,3257,2404,392,693,647,58.1238,9.4778,16.7553,26.2331,3.6015,420.2853,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,43,,,inspection_volume_rank,8.0,3641,798,15062,1247,0,0,1879300.0,2853,1841,532,762,506,50.563,14.6114,20.9283,35.5397,4.1368,516.1494,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,4,,,inspection_volume_rank,9.0,3513,621,11490,728,0,0,1385950.0,2791,2190,364,602,357,62.3399,10.3615,17.1364,27.4979,3.2707,394.5204,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,41,,,inspection_volume_rank,10.0,3502,631,12215,716,0,0,1426850.0,2947,2351,324,544,283,67.1331,9.2519,15.534,24.7858,3.488,407.4386,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,28,,,inspection_volume_rank,11.0,3403,735,13472,800,0,0,1578600.0,2741,1947,262,769,425,57.2142,7.6991,22.5977,30.2968,3.9589,463.8848,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,32,,,inspection_volume_rank,12.0,3286,733,11796,658,0,0,1370100.0,2575,1880,340,616,450,57.2124,10.3469,18.7462,29.0931,3.5898,416.9507,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,48,,,inspection_volume_rank,13.0,2886,600,10978,844,0,0,1335550.0,2366,1612,309,602,363,55.8559,10.7069,20.8593,31.5662,3.8039,462.7685,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,50,,,inspection_volume_rank,14.0,2818,663,12801,805,0,0,1412300.0,2227,1489,223,649,457,52.8389,7.9134,23.0305,30.9439,4.5426,501.171,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,3,,,inspection_volume_rank,15.0,2787,585,10575,740,0,0,1262000.0,2253,1598,280,605,304,57.3376,10.0466,21.7079,31.7546,3.7944,452.8166,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,33,,,inspection_volume_rank,16.0,2767,752,10459,626,0,0,1162000.0,2099,1566,216,458,527,56.5956,7.8063,16.5522,24.3585,3.7799,419.9494,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,40,,,inspection_volume_rank,17.0,2718,649,10411,610,0,0,1184300.0,2171,1577,249,505,387,58.0206,9.1611,18.5798,27.741,3.8304,435.7248,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,11,,,inspection_volume_rank,18.0,2680,611,8918,617,0,0,1074850.0,2065,1701,232,483,264,63.4701,8.6567,18.0224,26.6791,3.3276,401.0634,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,12,,,inspection_volume_rank,19.0,2562,566,10310,621,0,0,1196500.0,2108,1510,210,546,296,58.9383,8.1967,21.3115,29.5082,4.0242,467.018,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,29,,,inspection_volume_rank,20.0,2511,583,9512,534,0,0,1054850.0,1992,1429,187,530,365,56.9096,7.4472,21.1071,28.5544,3.7881,420.0916,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,46,,,inspection_volume_rank,21.0,2447,538,8916,759,0,0,1079150.0,1956,1309,276,551,311,53.4941,11.2791,22.5174,33.7965,3.6436,441.0094,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,45,,,inspection_volume_rank,22.0,2446,485,9247,446,0,0,1031050.0,1987,1592,191,360,303,65.0859,7.8087,14.7179,22.5266,3.7805,421.5249,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,6,,,inspection_volume_rank,23.0,2431,569,10015,609,0,0,1204800.0,1931,1283,201,611,336,52.7766,8.2682,25.1337,33.4019,4.1197,495.5985,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,35,,,inspection_volume_rank,24.0,2395,612,9116,599,0,0,1020750.0,1831,1343,179,454,419,56.0752,7.4739,18.9562,26.4301,3.8063,426.2004,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,49,,,inspection_volume_rank,25.0,2359,529,9997,526,0,0,1126400.0,1930,1293,205,538,323,54.8114,8.6901,22.8063,31.4964,4.2378,477.4905,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,8,,,inspection_volume_rank,26.0,2301,488,8995,541,0,0,1098900.0,1889,1317,200,533,251,57.236,8.6919,23.1638,31.8557,3.9092,477.575,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,39,,,inspection_volume_rank,27.0,2277,466,8862,436,0,0,992950.0,1863,1412,179,408,278,62.0114,7.8612,17.9183,25.7795,3.892,436.0782,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,14,,,inspection_volume_rank,28.0,2275,472,8367,518,0,0,987950.0,1914,1380,231,443,221,60.6593,10.1538,19.4725,29.6264,3.6778,434.2637,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,30,,,inspection_volume_rank,29.0,2236,499,8031,418,0,0,902500.0,1744,1340,185,358,353,59.9284,8.2737,16.0107,24.2844,3.5917,403.6225,Check whether weak outcomes are geographically localized rather than citywide.
ward_result_profile,ward,16,,,inspection_volume_rank,30.0,2094,547,7388,475,0,0,878650.0,1619,1143,122,482,347,54.5845,5.8262,23.0181,28.8443,3.5282,419.6036,Check whether weak outcomes are geographically localized rather than citywide.
followup_type_profile,followup_status_and_type,followup,Canvass Re-Inspection,,type_rank_within_followup_status,1.0,14375,8504,77764,3290,0,0,5005150.0,14106,12416,934,822,203,86.3722,6.4974,5.7183,12.2157,5.4097,348.1843,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,License Re-Inspection,,type_rank_within_followup_status,2.0,6681,5712,32263,4336,0,0,1668150.0,6285,5707,77,857,40,85.4213,1.1525,12.8274,13.9799,4.8291,249.6857,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,Complaint Re-Inspection,,type_rank_within_followup_status,3.0,5262,3283,30446,1548,0,0,2060850.0,5155,4337,438,432,55,82.4211,8.3238,8.2098,16.5336,5.786,391.6477,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,Suspected Food Poisoning Re-inspection,,type_rank_within_followup_status,4.0,160,143,925,41,0,0,77400.0,154,140,9,11,0,87.5,5.625,6.875,12.5,5.7813,483.75,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,Short Form Fire-Complaint,,type_rank_within_followup_status,5.0,108,105,286,4,0,0,25050.0,67,66,4,29,9,61.1111,3.7037,26.8519,30.5556,2.6481,231.9444,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,Complaint-Fire Re-inspection,,type_rank_within_followup_status,6.0,44,38,279,16,0,0,23000.0,43,35,2,6,1,79.5455,4.5455,13.6364,18.1818,6.3409,522.7273,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,Pre-License Consultation,,type_rank_within_followup_status,7.0,2,2,12,1,0,0,1550.0,2,1,0,1,0,50.0,0.0,50.0,50.0,6.0,775.0,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,RE-INSPECTION OF CLOSE-UP,,type_rank_within_followup_status,8.0,1,1,9,3,0,0,500.0,1,0,0,1,0,0.0,0.0,100.0,100.0,9.0,500.0,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,followup,citation re-issued,,type_rank_within_followup_status,9.0,1,1,0,0,0,0,0.0,0,1,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Canvass,,type_rank_within_followup_status,1.0,76656,24776,246225,12997,0,0,33083350.0,58668,39817,8296,12688,15855,51.9424,10.8224,16.5519,27.3742,3.2121,431.582,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,License,,type_rank_within_followup_status,2.0,18207,14980,45104,4266,0,0,7156100.0,11324,9979,354,6952,922,54.8086,1.9443,38.1831,40.1274,2.4773,393.0411,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Complaint,,type_rank_within_followup_status,3.0,12821,6795,62045,5207,0,0,9358150.0,12160,6069,2188,4162,402,47.3364,17.0658,32.4624,49.5281,4.8393,729.908,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Short Form Complaint,,type_rank_within_followup_status,4.0,5498,3196,18104,650,0,0,2281900.0,4445,3987,728,709,74,72.5173,13.2412,12.8956,26.1368,3.2928,415.0418,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Suspected Food Poisoning,,type_rank_within_followup_status,5.0,682,620,3252,382,0,0,522100.0,661,346,162,170,4,50.7331,23.7537,24.9267,48.6804,4.7683,765.5425,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Consultation,,type_rank_within_followup_status,6.0,641,585,1715,93,0,0,234350.0,406,406,120,102,13,63.3385,18.7207,15.9126,34.6334,2.6755,365.6006,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,License-Task Force,,type_rank_within_followup_status,7.0,605,590,1634,209,0,0,291100.0,292,236,0,367,2,39.0083,0.0,60.6612,60.6612,2.7008,481.157,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Tag Removal,,type_rank_within_followup_status,8.0,602,549,2471,163,0,0,330750.0,538,406,169,27,0,67.4419,28.0731,4.485,32.5581,4.1047,549.4186,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Out of Business,,type_rank_within_followup_status,9.0,284,282,0,0,0,0,0.0,0,167,0,112,5,58.8028,0.0,39.4366,39.4366,0.0,0.0,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Task Force Liquor 1475,,type_rank_within_followup_status,10.0,253,239,423,56,0,0,72200.0,95,120,0,133,0,47.4308,0.0,52.5692,52.5692,1.6719,285.3755,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Recent Inspection,,type_rank_within_followup_status,11.0,192,185,587,28,0,0,76950.0,144,117,54,16,5,60.9375,28.125,8.3333,36.4583,3.0573,400.7813,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Complaint-Fire,,type_rank_within_followup_status,12.0,160,147,598,26,0,0,78900.0,123,83,12,59,6,51.875,7.5,36.875,44.375,3.7375,493.125,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,License Re-Inspection,,type_rank_within_followup_status,13.0,123,121,579,65,0,0,39800.0,108,92,0,29,2,74.7967,0.0,23.5772,23.5772,4.7073,323.5772,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,No Entry,,type_rank_within_followup_status,14.0,60,57,14,0,0,0,1550.0,2,31,0,29,0,51.6667,0.0,48.3333,48.3333,0.2333,25.8333,Separate initial inspections from follow-up and re-inspection activity.
followup_type_profile,followup_status_and_type,initial_or_unlinked,Package Liquor 1474,,type_rank_within_followup_status,15.0,44,43,39,3,0,0,6000.0,11,28,0,16,0,63.6364,0.0,36.3636,36.3636,0.8864,136.3636,Separate initial inspections from follow-up and re-inspection activity.
