evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,reviews,districts,avg_stars,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,complaint_share_pct,review_share_pct,notes
district_review_signal,district_review,12,Portland,West,low_rating_rank,22.0,,,4,1,4.0,,,,,,1.061,Identify local review satisfaction pockets.
district_review_signal,district_review,27,San Antonio,South,low_rating_rank,23.0,,,4,1,4.0,,,,,,1.061,Identify local review satisfaction pockets.
district_review_signal,district_review,28,Anchorage,unknown,low_rating_rank,24.0,,,4,1,4.0,,,,,,1.061,Identify local review satisfaction pockets.
district_review_signal,district_review,61,Fall River,Northeast,low_rating_rank,25.0,,,4,1,4.0,,,,,,1.061,Identify local review satisfaction pockets.
district_complaint_signal,district_complaint,1,New York City,Northeast,complaint_volume_rank,1.0,2943,654,,1,,2.5059,17.9069,1.4271,3.0921,12.5667,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,74,Chicago,Midwest,complaint_volume_rank,2.0,797,179,,1,,3.409,18.6951,1.6311,1.8821,3.4032,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,70,Los Angeles,West,complaint_volume_rank,3.0,698,166,,1,,2.9398,17.765,1.0029,2.2923,2.9805,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,54,Houston,South,complaint_volume_rank,4.0,680,153,,1,,2.6103,21.1765,1.0294,2.5,2.9036,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,64,Phoenix,West,complaint_volume_rank,5.0,475,108,,1,,2.2758,16.8421,0.8421,1.8947,2.0283,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,72,Philadelphia,Northeast,complaint_volume_rank,6.0,446,103,,1,,2.7152,16.3677,1.7937,3.139,1.9044,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,68,Cranston,Northeast,complaint_volume_rank,7.0,361,85,,1,,2.5235,19.9446,3.3241,2.7701,1.5415,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,8,Washington,South,complaint_volume_rank,8.0,333,68,,1,,2.7357,22.2222,2.4024,2.4024,1.4219,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,59,Quincy,Northeast,complaint_volume_rank,9.0,318,64,,1,,2.0377,18.5535,0.6289,3.1447,1.3579,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,52,New Haven,Northeast,complaint_volume_rank,10.0,311,73,,1,,3.1029,16.7203,1.9293,5.1447,1.328,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,46,San Diego,West,complaint_volume_rank,11.0,304,74,,1,,2.0164,21.7105,2.6316,3.2895,1.2981,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,3,Columbus,Midwest,complaint_volume_rank,12.0,294,63,,1,,1.8639,18.3673,1.0204,2.7211,1.2554,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,36,Providence,Northeast,complaint_volume_rank,13.0,294,66,,1,,2.2687,16.3265,0.6803,2.0408,1.2554,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,47,Charleston,unknown,complaint_volume_rank,14.0,291,63,,1,,3.1168,21.6495,1.3746,3.4364,1.2426,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,19,Atlanta,South,complaint_volume_rank,15.0,288,63,,1,,1.9965,20.1389,0.6944,3.125,1.2298,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,38,Bridgeport,Northeast,complaint_volume_rank,16.0,285,65,,1,,2.4667,19.6491,2.1053,2.807,1.217,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,60,Lynn,Northeast,complaint_volume_rank,17.0,285,60,,1,,3.7053,14.0351,1.4035,1.7544,1.217,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,5,Indianapolis,Midwest,complaint_volume_rank,18.0,280,69,,1,,3.1679,16.0714,1.7857,2.1429,1.1956,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,66,Warwick,Northeast,complaint_volume_rank,19.0,279,66,,1,,2.6022,21.5054,0.7168,3.9427,1.1913,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,15,Louisville,South,complaint_volume_rank,20.0,277,63,,1,,2.4801,22.7437,2.1661,0.722,1.1828,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,73,New Britain,Northeast,complaint_volume_rank,21.0,275,60,,1,,3.0618,17.8182,1.4545,3.6364,1.1743,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,31,Des Moines,Midwest,complaint_volume_rank,22.0,272,58,,1,,2.7757,19.1176,0.0,2.9412,1.1615,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,9,Boston,Northeast,complaint_volume_rank,23.0,271,60,,1,,2.845,22.1402,3.321,4.059,1.1572,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,33,Salt Lake City,West,complaint_volume_rank,24.0,271,66,,1,,2.6421,16.2362,2.583,4.428,1.1572,,Identify local formal complaint burden.
district_complaint_signal,district_complaint,18,Albuquerque,West,complaint_volume_rank,25.0,270,60,,1,,3.2963,22.2222,1.1111,1.8519,1.1529,,Identify local formal complaint burden.
district_review_complaint_alignment,district_alignment,1,New York City,Northeast,complaint_volume_rank,1.0,2943,654,6,1,4.3333,2.5059,17.9069,1.4271,3.0921,12.5667,1.5915,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,74,Chicago,Midwest,complaint_volume_rank,2.0,797,179,5,1,4.2,3.409,18.6951,1.6311,1.8821,3.4032,1.3263,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,70,Los Angeles,West,complaint_volume_rank,3.0,698,166,6,1,5.0,2.9398,17.765,1.0029,2.2923,2.9805,1.5915,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,54,Houston,South,complaint_volume_rank,4.0,680,153,5,1,5.0,2.6103,21.1765,1.0294,2.5,2.9036,1.3263,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,64,Phoenix,West,complaint_volume_rank,5.0,475,108,5,1,5.0,2.2758,16.8421,0.8421,1.8947,2.0283,1.3263,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,72,Philadelphia,Northeast,complaint_volume_rank,6.0,446,103,2,1,1.0,2.7152,16.3677,1.7937,3.139,1.9044,0.5305,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,68,Cranston,Northeast,complaint_volume_rank,7.0,361,85,5,1,3.4,2.5235,19.9446,3.3241,2.7701,1.5415,1.3263,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,8,Washington,South,complaint_volume_rank,8.0,333,68,5,1,4.2,2.7357,22.2222,2.4024,2.4024,1.4219,1.3263,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,59,Quincy,Northeast,complaint_volume_rank,9.0,318,64,8,1,4.0,2.0377,18.5535,0.6289,3.1447,1.3579,2.122,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,52,New Haven,Northeast,complaint_volume_rank,10.0,311,73,2,1,5.0,3.1029,16.7203,1.9293,5.1447,1.328,0.5305,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,46,San Diego,West,complaint_volume_rank,11.0,304,74,3,1,5.0,2.0164,21.7105,2.6316,3.2895,1.2981,0.7958,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,3,Columbus,Midwest,complaint_volume_rank,12.0,294,63,3,1,5.0,1.8639,18.3673,1.0204,2.7211,1.2554,0.7958,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,36,Providence,Northeast,complaint_volume_rank,13.0,294,66,5,1,5.0,2.2687,16.3265,0.6803,2.0408,1.2554,1.3263,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,47,Charleston,unknown,complaint_volume_rank,14.0,291,63,2,1,5.0,3.1168,21.6495,1.3746,3.4364,1.2426,0.5305,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,19,Atlanta,South,complaint_volume_rank,15.0,288,63,4,1,5.0,1.9965,20.1389,0.6944,3.125,1.2298,1.061,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,38,Bridgeport,Northeast,complaint_volume_rank,16.0,285,65,4,1,5.0,2.4667,19.6491,2.1053,2.807,1.217,1.061,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,60,Lynn,Northeast,complaint_volume_rank,17.0,285,60,9,1,3.2222,3.7053,14.0351,1.4035,1.7544,1.217,2.3873,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,5,Indianapolis,Midwest,complaint_volume_rank,18.0,280,69,14,1,4.7143,3.1679,16.0714,1.7857,2.1429,1.1956,3.7135,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,66,Warwick,Northeast,complaint_volume_rank,19.0,279,66,8,1,4.0,2.6022,21.5054,0.7168,3.9427,1.1913,2.122,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,15,Louisville,South,complaint_volume_rank,20.0,277,63,7,1,3.8571,2.4801,22.7437,2.1661,0.722,1.1828,1.8568,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,73,New Britain,Northeast,complaint_volume_rank,21.0,275,60,7,1,3.8571,3.0618,17.8182,1.4545,3.6364,1.1743,1.8568,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,31,Des Moines,Midwest,complaint_volume_rank,22.0,272,58,4,1,5.0,2.7757,19.1176,0.0,2.9412,1.1615,1.061,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,33,Salt Lake City,West,complaint_volume_rank,23.0,271,66,3,1,3.6667,2.6421,16.2362,2.583,4.428,1.1572,0.7958,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,9,Boston,Northeast,complaint_volume_rank,24.0,271,60,6,1,3.0,2.845,22.1402,3.321,4.059,1.1572,1.5915,Compare local review signal with local formal complaint signal.
district_review_complaint_alignment,district_alignment,18,Albuquerque,West,complaint_volume_rank,25.0,270,60,1,1,5.0,3.2963,22.2222,1.1111,1.8519,1.1529,0.2653,Compare local review signal with local formal complaint signal.
region_review_complaint_alignment,region_alignment,Northeast,,,region_complaint_volume_rank,1.0,10957,2468,155,32,4.1806,2.5646,18.7916,1.7432,3.1943,46.7868,41.1141,Check whether review and complaint signals align at broad region level.
region_review_complaint_alignment,region_alignment,South,,,region_complaint_volume_rank,2.0,4468,1005,98,17,4.4388,2.5723,19.4942,1.2757,2.4396,19.0785,25.9947,Check whether review and complaint signals align at broad region level.
region_review_complaint_alignment,region_alignment,West,,,region_complaint_volume_rank,3.0,3769,860,47,13,4.5745,2.4062,19.2624,1.6981,2.6798,16.0938,12.4668,Check whether review and complaint signals align at broad region level.
region_review_complaint_alignment,region_alignment,Midwest,,,region_complaint_volume_rank,4.0,3490,788,68,12,4.4706,2.9201,18.4814,1.3181,2.6361,14.9024,18.0371,Check whether review and complaint signals align at broad region level.
region_review_complaint_alignment,region_alignment,unknown,,,region_complaint_volume_rank,5.0,735,163,9,3,4.5556,2.6109,20.8163,1.7687,2.7211,3.1385,2.3873,Check whether review and complaint signals align at broad region level.
low_review_district_issue_mix,low_review_issue,"Account opening, closing, or management",,,issue_volume_rank_in_low_review_districts,1.0,1606,972,,25,,2.8275,18.4309,1.3076,1.0585,6.8577,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Deposits and withdrawals,,,issue_volume_rank_in_low_review_districts,2.0,1019,721,,25,,2.633,17.0756,1.2758,2.7478,4.3512,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Problems caused by my funds being low,,,issue_volume_rank_in_low_review_districts,3.0,585,475,,25,,1.6325,10.5983,0.3419,1.3675,2.498,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Billing disputes,,,issue_volume_rank_in_low_review_districts,4.0,405,358,,25,,2.7457,26.1728,2.2222,4.1975,1.7294,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,"Making/receiving payments, sending money",,,issue_volume_rank_in_low_review_districts,5.0,360,318,,25,,2.5528,19.4444,2.7778,2.2222,1.5372,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Using a debit or ATM card,,,issue_volume_rank_in_low_review_districts,6.0,310,276,,25,,1.471,15.1613,1.2903,0.9677,1.3237,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Other,,,issue_volume_rank_in_low_review_districts,7.0,267,248,,25,,3.2285,22.8464,2.9963,3.3708,1.1401,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Identity theft / Fraud / Embezzlement,,,issue_volume_rank_in_low_review_districts,8.0,230,210,,25,,3.2478,29.1304,4.3478,4.7826,0.9821,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Closing/Cancelling account,,,issue_volume_rank_in_low_review_districts,9.0,226,204,,25,,2.2522,24.3363,1.7699,4.4248,0.965,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,APR or interest rate,,,issue_volume_rank_in_low_review_districts,10.0,144,135,,25,,2.3264,20.1389,3.4722,9.0278,0.6149,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Customer service / Customer relations,,,issue_volume_rank_in_low_review_districts,11.0,109,105,,25,,2.844,22.0183,1.8349,2.7523,0.4654,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Transaction issue,,,issue_volume_rank_in_low_review_districts,12.0,104,101,,25,,1.2404,24.0385,2.8846,0.9615,0.4441,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Other fee,,,issue_volume_rank_in_low_review_districts,13.0,93,91,,25,,3.1075,13.9785,4.3011,2.1505,0.3971,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Late fee,,,issue_volume_rank_in_low_review_districts,14.0,88,87,,24,,1.6477,12.5,1.1364,1.1364,0.3758,,Show which complaint issues appear inside low-review local markets.
low_review_district_issue_mix,low_review_issue,Credit card protection / Debt protection,,,issue_volume_rank_in_low_review_districts,15.0,85,84,,24,,2.2706,31.7647,5.8824,12.9412,0.363,,Show which complaint issues appear inside low-review local markets.
low_review_district_product_mix,low_review_complaint_product,Bank account or service,,,product_volume_rank_in_low_review_districts,1.0,3880,1340,,25,,2.4624,16.7268,1.2887,1.6495,16.5677,,Show which formal complaint products appear inside low-review local markets.
low_review_district_product_mix,low_review_complaint_product,Credit card,,,product_volume_rank_in_low_review_districts,2.0,2520,1197,,25,,2.5698,23.254,2.8175,4.9206,10.7605,,Show which formal complaint products appear inside low-review local markets.
