evidence_block,grain,item,item_2,rank_label,rank_value,orders,customers,order_lines,products,product_lines,quantity,revenue,gross_margin_proxy,gross_margin_rate,weighted_msrp_realization,avg_days_to_ship,late_orders,non_shipped_orders,share_value,share_label,notes
complex_order_examples,order,10409,Handji Gifts& Co,weak_margin_rank,4.0,1,1,2,2,1,67.0,2326.18,598.53,0.2573,0.8345,1.0,0,0,0.0013,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10290,Auto-Moto Classics Inc.,weak_margin_rank,5.0,1,1,2,2,1,71.0,5858.56,1776.82,0.3033,0.8415,6.0,0,0,0.0033,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10130,Auto-Moto Classics Inc.,weak_margin_rank,6.0,1,1,2,2,2,73.0,6036.96,1841.42,0.305,0.8706,5.0,0,0,0.0034,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10352,Auto-Moto Classics Inc.,weak_margin_rank,7.0,1,1,4,4,2,143.0,9658.74,2967.78,0.3073,0.8757,6.0,0,0,0.0054,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10199,West Coast Collectables Co.,weak_margin_rank,8.0,1,1,3,3,2,115.0,7678.25,2371.11,0.3088,0.8836,5.0,0,0,0.0043,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10160,"Men 'R' US Retailers, Ltd.",weak_margin_rank,9.0,1,1,6,6,1,231.0,20452.5,6329.86,0.3095,0.8531,6.0,0,0,0.0115,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10170,Mini Auto Werke,weak_margin_rank,10.0,1,1,4,4,1,142.0,15130.97,4770.32,0.3153,0.9139,3.0,0,0,0.0085,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10132,"Down Under Souveniers, Inc",weak_margin_rank,11.0,1,1,1,1,1,36.0,2880.0,921.6,0.32,1.0,3.0,0,0,0.0016,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10423,Petit Auto,weak_margin_rank,12.0,1,1,5,5,1,111.0,8597.73,2832.32,0.3294,0.8633,,0,1,0.0048,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10340,Enaco Distributors,weak_margin_rank,13.0,1,1,8,8,3,343.0,24945.21,8353.56,0.3349,0.8699,1.0,0,0,0.014,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10128,Euro+ Shopping Channel,weak_margin_rank,14.0,1,1,4,4,3,157.0,13884.99,4664.75,0.336,0.8529,5.0,0,0,0.0078,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10334,"Volvo Model Replicas, Co",weak_margin_rank,15.0,1,1,6,6,2,217.0,23014.17,7746.89,0.3366,0.8771,,0,1,0.013,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10152,"Australian Gift Network, Co",weak_margin_rank,16.0,1,1,4,4,2,116.0,9821.32,3308.17,0.3368,0.8736,6.0,0,0,0.0055,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10257,The Sharp Gifts Warehouse,weak_margin_rank,17.0,1,1,5,5,1,208.0,16753.3,5644.57,0.3369,0.879,1.0,0,0,0.0094,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10384,Corporate Gift Ideas Co.,weak_margin_rank,18.0,1,1,4,4,3,154.0,14155.57,4798.1,0.339,0.8784,4.0,0,0,0.008,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10372,"Tokyo Collectables, Ltd",weak_margin_rank,19.0,1,1,9,9,4,321.0,33967.73,11554.27,0.3402,0.8817,2.0,0,0,0.0191,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10219,Signal Collectibles Ltd.,weak_margin_rank,20.0,1,1,4,4,2,147.0,12573.28,4291.34,0.3413,0.8183,2.0,0,0,0.0071,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10192,Online Diecast Creations Co.,weak_margin_rank,42.0,1,1,16,16,1,585.0,55425.77,19846.41,0.3581,0.882,5.0,0,0,0.0312,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10212,Euro+ Shopping Channel,weak_margin_rank,56.0,1,1,16,16,1,612.0,59830.55,21873.98,0.3656,0.8829,2.0,0,0,0.0337,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10360,Kelly's Gift Shop,order_complexity_rank,4.0,1,1,18,18,4,620.0,52166.0,19116.11,0.3664,0.8786,2.0,0,0,0.0294,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10275,La Rochelle Gifts,order_complexity_rank,7.0,1,1,18,18,3,601.0,47924.19,17951.01,0.3746,0.8657,6.0,0,0,0.027,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10207,Diecast Collectables,weak_margin_rank,92.0,1,1,16,16,3,615.0,59265.14,22461.46,0.379,0.9155,2.0,0,0,0.0334,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10168,Technics Stores Inc.,order_complexity_rank,6.0,1,1,18,18,3,642.0,50743.65,19310.15,0.3805,0.8858,4.0,0,0,0.0286,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10316,giftsbymail.co.uk,order_complexity_rank,10.0,1,1,18,18,4,623.0,46788.14,17811.85,0.3807,0.888,6.0,0,0,0.0264,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10398,Reims Collectables,order_complexity_rank,11.0,1,1,18,18,3,629.0,46656.94,17767.54,0.3808,0.8809,1.0,0,0,0.0263,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10386,Euro+ Shopping Channel,order_complexity_rank,9.0,1,1,18,18,3,650.0,46968.52,17931.74,0.3818,0.8803,5.0,0,1,0.0265,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10314,Heintze Collectables,weak_margin_rank,109.0,1,1,15,15,5,524.0,53745.34,20702.95,0.3852,0.8876,1.0,0,0,0.0303,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10222,Collectable Mini Designs Co.,order_complexity_rank,2.0,1,1,18,18,4,717.0,56822.65,22089.35,0.3887,0.8883,1.0,0,0,0.032,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10306,"AV Stores, Co.",order_complexity_rank,20.0,1,1,17,17,4,587.0,52825.29,20553.1,0.3891,0.893,3.0,0,0,0.0298,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10165,"Dragon Souveniers, Ltd.",order_complexity_rank,1.0,1,1,18,18,3,670.0,67392.85,26465.57,0.3927,0.8823,65.0,1,0,0.038,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10135,Mini Gifts Distributors Ltd.,order_complexity_rank,17.0,1,1,17,17,2,607.0,55601.84,21908.97,0.394,0.9144,1.0,0,0,0.0313,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10390,Mini Gifts Distributors Ltd.,weak_margin_rank,144.0,1,1,16,16,3,603.0,55902.5,22070.38,0.3948,0.905,3.0,0,0,0.0315,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10105,Danish Wholesale Imports,weak_margin_rank,152.0,1,1,15,15,4,545.0,53959.21,21374.33,0.3961,0.9132,1.0,0,0,0.0304,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10287,"Vida Sport, Ltd",order_complexity_rank,12.0,1,1,17,17,1,595.0,61402.0,24714.51,0.4025,0.8914,2.0,0,0,0.0346,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10142,Mini Gifts Distributors Ltd.,weak_margin_rank,172.0,1,1,16,16,4,577.0,56052.56,22591.77,0.403,0.9052,5.0,0,0,0.0316,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10332,"AV Stores, Co.",order_complexity_rank,8.0,1,1,18,18,2,621.0,47159.11,19053.25,0.404,0.9102,1.0,0,0,0.0266,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10204,Muscle Machine Inc,order_complexity_rank,14.0,1,1,17,17,2,619.0,58793.53,24003.28,0.4083,0.9169,2.0,0,0,0.0331,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10106,Rovelli Gifts,order_complexity_rank,5.0,1,1,18,18,3,675.0,52151.81,21298.22,0.4084,0.9257,4.0,0,0,0.0294,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10181,Herkku Gifts,order_complexity_rank,18.0,1,1,17,17,1,522.0,55069.55,22547.58,0.4094,0.906,3.0,0,0,0.031,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10127,Muscle Machine Inc,weak_margin_rank,205.0,1,1,15,15,3,540.0,58841.35,24097.07,0.4095,0.9196,3.0,0,0,0.0331,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10310,"Toms Spezialitäten, Ltd",order_complexity_rank,13.0,1,1,17,17,2,619.0,61234.67,25106.72,0.41,0.906,2.0,0,0,0.0345,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10126,"Corrida Auto Replicas, Ltd",order_complexity_rank,15.0,1,1,17,17,3,617.0,57131.92,23565.18,0.4125,0.9237,5.0,0,0,0.0322,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10304,Auto Associés & Cie.,order_complexity_rank,19.0,1,1,17,17,3,594.0,53116.99,22201.08,0.418,0.8901,6.0,0,0,0.0299,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10312,Mini Gifts Distributors Ltd.,order_complexity_rank,16.0,1,1,17,17,3,601.0,55639.66,23923.36,0.43,0.9128,2.0,0,0,0.0313,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10159,Corporate Gift Ideas Co.,order_complexity_rank,3.0,1,1,18,18,2,585.0,54682.68,23910.68,0.4373,0.8969,6.0,0,0,0.0308,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
customer_complexity_exposure,customer,Euro+ Shopping Channel,Spain,customer_revenue_rank,1.0,26,1,259,259,60,9327.0,820689.54,326519.66,0.3979,0.899,3.625,0,4,0.1648,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Mini Gifts Distributors Ltd.,USA,customer_revenue_rank,2.0,17,1,180,180,46,6366.0,591827.34,236769.39,0.4001,0.9039,2.875,0,1,0.1189,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Australian Collectors, Co.",Australia,customer_revenue_rank,3.0,5,1,55,55,12,1926.0,180585.07,70311.07,0.3894,0.9003,3.0,0,0,0.0363,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Muscle Machine Inc,USA,customer_complexity_rank,18.0,4,1,48,48,8,1775.0,177913.95,72370.09,0.4068,0.9213,2.25,0,0,0.0357,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,La Rochelle Gifts,France,customer_complexity_rank,8.0,4,1,53,53,11,1832.0,158573.12,60875.3,0.3839,0.8926,3.3333,0,1,0.0319,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Dragon Souveniers, Ltd.",Singapore,customer_revenue_rank,6.0,5,1,43,43,12,1524.0,156251.03,60477.38,0.3871,0.8961,14.6,1,0,0.0314,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Down Under Souveniers, Inc",New Zealand,customer_revenue_rank,7.0,5,1,46,46,9,1691.0,154622.08,60013.99,0.3881,0.8701,2.2,0,0,0.0311,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Land of Toys Inc.,USA,customer_complexity_rank,17.0,4,1,49,49,11,1631.0,149085.15,58669.1,0.3935,0.9059,2.0,0,1,0.0299,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"AV Stores, Co.",UK,customer_complexity_rank,1.0,3,1,51,51,8,1778.0,148410.09,60095.86,0.4049,0.9065,2.0,0,0,0.0298,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,The Sharp Gifts Warehouse,USA,customer_revenue_rank,10.0,4,1,40,40,10,1656.0,143536.27,55931.37,0.3897,0.9003,2.6667,0,1,0.0288,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Salzburg Collectables,Austria,customer_revenue_rank,11.0,4,1,40,40,9,1442.0,137480.07,54724.68,0.3981,0.8923,3.25,0,0,0.0276,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Kelly's Gift Shop,New Zealand,customer_complexity_rank,19.0,4,1,48,48,10,1647.0,137460.79,51771.5,0.3766,0.8832,3.0,0,1,0.0276,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Anna's Decorations, Ltd",Australia,customer_revenue_rank,13.0,4,1,46,46,10,1469.0,137034.22,54551.66,0.3981,0.8918,5.0,0,0,0.0275,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Souveniers And Things Co.,Australia,customer_revenue_rank,14.0,4,1,46,46,10,1601.0,133907.12,52331.45,0.3908,0.8966,4.3333,0,1,0.0269,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Corporate Gift Ideas Co.,USA,customer_revenue_rank,15.0,4,1,41,41,9,1447.0,132340.78,55674.28,0.4207,0.8972,3.0,0,0,0.0266,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Saveley & Henriot, Co.",France,customer_complexity_rank,5.0,3,1,41,41,9,1428.0,130305.35,53211.19,0.4084,0.8995,3.0,0,0,0.0262,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Danish Wholesale Imports,Denmark,customer_revenue_rank,17.0,5,1,36,36,9,1315.0,129085.12,50973.68,0.3949,0.8959,2.6,0,2,0.0259,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Rovelli Gifts,Italy,customer_complexity_rank,2.0,3,1,48,48,8,1650.0,127529.69,52309.63,0.4102,0.9172,4.6667,0,0,0.0256,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Reims Collectables,France,customer_revenue_rank,19.0,5,1,41,41,10,1433.0,126983.19,52698.66,0.415,0.8847,3.2,0,0,0.0255,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,L'ordine Souveniers,Italy,customer_complexity_rank,9.0,3,1,39,39,7,1280.0,125505.57,48516.67,0.3866,0.8986,4.6667,0,0,0.0252,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Scandinavian Gift Ideas,Sweden,customer_complexity_rank,15.0,3,1,38,38,9,1359.0,120943.53,46777.54,0.3868,0.8891,5.5,0,1,0.0243,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Vida Sport, Ltd",Switzerland,customer_complexity_rank,3.0,2,1,31,31,2,1078.0,108777.92,43393.75,0.3989,0.8886,2.0,0,0,0.0218,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Marta's Replicas Co.,USA,customer_complexity_rank,6.0,2,1,27,27,4,976.0,90545.37,36337.69,0.4013,0.9022,3.0,0,0,0.0182,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Heintze Collectables,Denmark,customer_complexity_rank,7.0,2,1,27,27,6,882.0,89909.8,34655.62,0.3854,0.8977,2.0,0,0,0.0181,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Toms Spezialitäten, Ltd",Germany,customer_complexity_rank,10.0,2,1,26,26,4,936.0,89223.14,36744.01,0.4118,0.9015,3.0,0,0,0.0179,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Amica Models & Co.,Italy,customer_complexity_rank,11.0,2,1,26,26,7,843.0,82223.23,34100.63,0.4147,0.8967,3.5,0,0,0.0165,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Collectable Mini Designs Co.,USA,customer_complexity_rank,16.0,2,1,25,25,5,954.0,80375.24,31594.7,0.3931,0.8904,3.0,0,0,0.0161,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,Mini Classics,USA,customer_complexity_rank,12.0,2,1,26,26,6,929.0,78432.16,31815.01,0.4056,0.904,4.0,0,0,0.0158,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,giftsbymail.co.uk,UK,customer_complexity_rank,13.0,2,1,26,26,7,895.0,71783.75,26808.79,0.3735,0.8967,5.5,0,0,0.0144,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Norway Gifts By Mail, Co.",Norway  ,customer_complexity_rank,20.0,2,1,24,24,3,787.0,69059.04,25665.76,0.3716,0.884,4.0,0,0,0.0139,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Royal Canadian Collectables, Ltd.",Canada,customer_complexity_rank,14.0,2,1,26,26,7,873.0,66812.0,24118.93,0.361,0.901,3.5,0,0,0.0134,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
customer_complexity_exposure,customer,"Bavarian Collectables Imports, Co.",Germany,customer_complexity_rank,4.0,1,1,14,14,3,401.0,31310.09,13033.35,0.4163,0.9197,1.0,0,0,0.0063,selected_customer_revenue_share,Customer complexity rows prevent broad order-level patterns from hiding account-level concentration.
status_complexity_mix,status_line_bucket,In Process,11+ lines,bucket_rank_in_status,1.0,2,2,26,26,4,959.0,83874.95,31807.48,0.3792,0.8978,,0,2,0.62,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,In Process,4-6 lines,bucket_rank_in_status,2.0,2,2,11,11,4,380.0,37908.03,16025.84,0.4228,0.8925,,0,2,0.2802,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,In Process,1-3 lines,bucket_rank_in_status,3.0,2,2,4,4,2,151.0,13488.54,6426.42,0.4764,0.9442,,0,2,0.0997,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,On Hold,11+ lines,bucket_rank_in_status,1.0,3,3,38,38,9,1777.0,146561.44,53759.97,0.3668,0.8917,,0,3,0.8643,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,On Hold,4-6 lines,bucket_rank_in_status,2.0,1,1,6,6,2,217.0,23014.17,7746.89,0.3366,0.8771,,0,1,0.1357,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Disputed,4-6 lines,bucket_rank_in_status,1.0,2,2,11,11,4,423.0,39520.16,16565.85,0.4192,0.882,4.5,0,2,0.6462,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Disputed,1-3 lines,bucket_rank_in_status,2.0,1,1,3,3,1,174.0,21638.62,7997.39,0.3696,0.878,6.0,0,1,0.3538,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Resolved,11+ lines,bucket_rank_in_status,1.0,2,2,31,31,5,1119.0,86549.12,35624.53,0.4116,0.8856,4.5,0,2,0.6448,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Resolved,7-10 lines,bucket_rank_in_status,2.0,2,2,16,16,5,541.0,47686.76,18029.73,0.3781,0.8951,2.5,0,2,0.3552,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Shipped,11+ lines,bucket_rank_in_status,1.0,123,72,1753,1753,331,60487.0,5468727.65,2173492.78,0.3974,0.8991,3.9512,1,0,0.6385,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Shipped,7-10 lines,bucket_rank_in_status,2.0,74,57,636,636,179,22691.0,2109514.23,844738.79,0.4004,0.8995,3.5946,0,0,0.2463,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Shipped,4-6 lines,bucket_rank_in_status,3.0,56,43,286,286,100,10535.0,986567.39,399641.08,0.4051,0.9046,3.5357,0,0,0.1152,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Cancelled,11+ lines,bucket_rank_in_status,1.0,4,4,60,60,12,2038.0,178121.2,69958.62,0.3928,0.9067,1.0,0,4,0.7457,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
status_complexity_mix,status_line_bucket,Cancelled,7-10 lines,bucket_rank_in_status,2.0,2,2,19,19,7,596.0,60732.98,24409.66,0.4019,0.9239,2.0,0,2,0.2543,status_revenue_share,Status by complexity checks whether abnormal fulfillment is tied to order structure.
