evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
product_channel_mix,product_channel,Serveware,Wholesale,3,channel_rank_in_product,3.0,24,,,,,258698.2225,107553.4043,41.5749,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wine Storage,In-Store,1,channel_rank_in_product,1.0,75,,,,,660758.1875,251150.9105,38.0095,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wine Storage,Online,2,channel_rank_in_product,2.0,47,,,,,385157.3725,141709.0285,36.7925,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wine Storage,Distributor,3,channel_rank_in_product,3.0,25,,,,,249678.515,97531.5205,39.0628,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Floral,In-Store,1,channel_rank_in_product,1.0,70,,,,,729285.1175,291374.7643,39.9535,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Floral,Online,2,channel_rank_in_product,2.0,51,,,,,509730.1375,179440.2468,35.203,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Floral,Distributor,3,channel_rank_in_product,3.0,31,,,,,268828.455,90813.6878,33.7813,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Outdoor Decor,In-Store,1,channel_rank_in_product,1.0,73,,,,,577239.6725,210885.279,36.5334,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Outdoor Decor,Online,2,channel_rank_in_product,2.0,45,,,,,387030.19,147422.3432,38.0907,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Outdoor Decor,Distributor,3,channel_rank_in_product,3.0,31,,,,,222366.3,81468.6535,36.6371,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Phones,In-Store,1,channel_rank_in_product,1.0,75,,,,,616818.75,235657.1207,38.2052,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Phones,Online,2,channel_rank_in_product,2.0,57,,,,,462330.15,157825.1488,34.1369,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Phones,Distributor,3,channel_rank_in_product,3.0,25,,,,,225515.4675,75672.5565,33.5554,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wall Coverings,In-Store,1,channel_rank_in_product,1.0,66,,,,,542104.035,189422.9583,34.9422,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wall Coverings,Online,2,channel_rank_in_product,2.0,51,,,,,389468.4875,150841.834,38.7302,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wall Coverings,Distributor,3,channel_rank_in_product,3.0,25,,,,,268555.5975,94039.8122,35.0169,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Cocktail Glasses,In-Store,1,channel_rank_in_product,1.0,81,,,,,733750.3325,289275.2385,39.4242,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Cocktail Glasses,Online,2,channel_rank_in_product,2.0,53,,,,,424420.545,178750.8415,42.1164,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Cocktail Glasses,Distributor,3,channel_rank_in_product,3.0,36,,,,,331863.2275,143806.2015,43.333,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Collectibles,In-Store,1,channel_rank_in_product,1.0,61,,,,,614000.06,226461.1758,36.8829,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Collectibles,Online,2,channel_rank_in_product,2.0,54,,,,,557004.6675,204934.8833,36.7923,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Collectibles,Distributor,3,channel_rank_in_product,3.0,43,,,,,439493.87,176379.9842,40.1325,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Outdoor Furniture,Online,1,channel_rank_in_product,1.0,59,,,,,582315.76,209629.8853,35.9993,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Outdoor Furniture,In-Store,2,channel_rank_in_product,2.0,61,,,,,526896.2075,176323.2385,33.4645,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Outdoor Furniture,Distributor,3,channel_rank_in_product,3.0,20,,,,,175734.3,55556.2963,31.6138,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Photo Frames,In-Store,1,channel_rank_in_product,1.0,71,,,,,726322.3775,302273.6785,41.617,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Photo Frames,Online,2,channel_rank_in_product,2.0,51,,,,,559690.195,192466.8083,34.3881,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Photo Frames,Distributor,3,channel_rank_in_product,3.0,30,,,,,316064.9625,130557.3845,41.3071,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Audio,In-Store,1,channel_rank_in_product,1.0,62,,,,,647141.1075,227302.9217,35.1242,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Audio,Distributor,2,channel_rank_in_product,2.0,27,,,,,285655.3375,103165.6253,36.1154,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Audio,Online,3,channel_rank_in_product,3.0,45,,,,,280828.6575,103646.9053,36.9075,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Computers,In-Store,1,channel_rank_in_product,1.0,62,,,,,599196.075,213946.0077,35.7055,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Computers,Online,2,channel_rank_in_product,2.0,57,,,,,398050.1825,154103.325,38.7145,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Computers,Distributor,3,channel_rank_in_product,3.0,21,,,,,156007.9925,59592.711,38.1985,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Mirrors,In-Store,1,channel_rank_in_product,1.0,72,,,,,710979.21,282772.9413,39.7723,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Mirrors,Online,2,channel_rank_in_product,2.0,47,,,,,403603.8125,143903.1805,35.6546,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Mirrors,Distributor,3,channel_rank_in_product,3.0,24,,,,,305483.3175,104059.1843,34.0638,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Stemware,In-Store,1,channel_rank_in_product,1.0,69,,,,,697161.8,270535.9385,38.8053,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Stemware,Online,2,channel_rank_in_product,2.0,45,,,,,490764.28,179007.0855,36.4752,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Stemware,Distributor,3,channel_rank_in_product,3.0,34,,,,,261161.4775,95893.0757,36.7179,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Blankets,In-Store,1,channel_rank_in_product,1.0,65,,,,,735978.92,297149.784,40.3748,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Blankets,Online,2,channel_rank_in_product,2.0,54,,,,,497372.825,200863.1425,40.3848,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Blankets,Wholesale,3,channel_rank_in_product,3.0,25,,,,,221816.9,67458.3263,30.4117,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Dining Furniture,Online,1,channel_rank_in_product,1.0,65,,,,,661238.2425,250346.5937,37.8603,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Dining Furniture,In-Store,2,channel_rank_in_product,2.0,63,,,,,460962.345,158029.0475,34.2824,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Dining Furniture,Distributor,3,channel_rank_in_product,3.0,34,,,,,323608.995,117987.5383,36.4599,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,TV and video,In-Store,1,channel_rank_in_product,1.0,79,,,,,633822.345,257106.0923,40.5644,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,TV and video,Distributor,2,channel_rank_in_product,2.0,37,,,,,436652.5675,167110.7198,38.2709,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,TV and video,Online,3,channel_rank_in_product,3.0,46,,,,,389564.6325,149060.5915,38.2634,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Baseball,In-Store,1,channel_rank_in_product,1.0,73,,,,,673472.7775,261748.9463,38.8656,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Baseball,Online,2,channel_rank_in_product,2.0,53,,,,,484340.4875,178965.584,36.9504,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Baseball,Distributor,3,channel_rank_in_product,3.0,31,,,,,186714.595,66258.1788,35.4863,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bathroom Furniture,Online,1,channel_rank_in_product,1.0,53,,,,,598147.3575,220826.2985,36.9184,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bathroom Furniture,In-Store,2,channel_rank_in_product,2.0,63,,,,,536380.7275,201214.51,37.5134,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bathroom Furniture,Distributor,3,channel_rank_in_product,3.0,34,,,,,414438.3825,142719.7518,34.4369,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wardrobes,In-Store,1,channel_rank_in_product,1.0,69,,,,,644719.895,224817.6343,34.8706,,,,Check whether product performance is tied to specific sales channels.
