evidence_block,grain,item,item_2,item_3,rank_label,rank_value,title_count,item_count,order_count,sale_lines,sample_qty,revenue_proxy,ytd_sales,ytd_revenue_proxy,price_value,advance_value,royalty_tiers,share_pct,secondary_value,notes
royalty_lifecycle_context,title,"Sushi, Anyone?",trad_cook,Binnet & Hardley,royalty_tiers,3.0,1,1,1,1,20.0,299.8,4095.0,61384.05,14.99,8000.0,3.0,4.4901,14.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Is Anger the Enemy?,psychology,New Moon Books,royalty_tiers,4.0,1,1,4,4,108.0,1182.6,2045.0,22392.75,10.95,2275.0,4.0,17.7118,16.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Life Without Fear,psychology,New Moon Books,royalty_tiers,4.0,1,1,1,1,25.0,175.0,111.0,777.0,7.0,6000.0,4.0,2.621,16.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Prolonged Data Deprivation: Four Case Studies,psychology,New Moon Books,royalty_tiers,4.0,1,1,1,1,15.0,299.85,4072.0,81399.28,19.99,2000.0,4.0,4.4909,16.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,royalty_tiers,4.0,1,1,1,1,50.0,1000.0,4095.0,81900.0,20.0,8000.0,4.0,14.977,16.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,But Is It User Friendly?,popular_comp,Algodata Infosystems,royalty_tiers,5.0,1,1,1,1,30.0,688.5,8780.0,201501.0,22.95,7000.0,5.0,10.3117,18.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,Binnet & Hardley,royalty_tiers,5.0,1,1,1,1,20.0,431.8,375.0,8096.25,21.59,7000.0,5.0,6.4671,18.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Silicon Valley Gastronomic Treats,mod_cook,Binnet & Hardley,royalty_tiers,6.0,1,1,1,1,10.0,199.9,2032.0,40619.68,19.99,0.0,6.0,2.9939,20.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Fifty Years in Buckingham Palace Kitchens,trad_cook,Binnet & Hardley,royalty_tiers,7.0,1,1,1,1,20.0,239.0,15096.0,180397.2,11.95,4000.0,7.0,3.5795,22.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Cooking with Computers: Surreptitious Balance Sheets,business,Algodata Infosystems,royalty_tiers,8.0,1,1,1,1,25.0,298.75,3876.0,46318.2,11.95,5000.0,8.0,4.4744,24.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,Binnet & Hardley,royalty_tiers,8.0,1,1,1,1,40.0,838.0,375.0,7856.25,20.95,7000.0,8.0,12.5507,24.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,Straight Talk About Computers,business,Algodata Infosystems,royalty_tiers,8.0,1,1,1,1,15.0,299.85,4095.0,81859.05,19.99,5000.0,8.0,4.4909,24.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,The Gourmet Microwave,mod_cook,Binnet & Hardley,royalty_tiers,8.0,1,1,2,2,40.0,119.6,22246.0,66515.54,2.99,15000.0,8.0,1.7913,24.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,You Can Combat Computer Stress!,business,New Moon Books,royalty_tiers,8.0,1,1,1,1,35.0,104.65,18722.0,55978.78,2.99,10125.0,8.0,1.5673,24.0,Royalty schedule depth viewed alongside lifecycle and demand.
title_lifecycle_baseline,title,Is Anger the Enemy?,psychology,New Moon Books,sample_revenue_rank,1.0,1,1,4,4,108.0,1182.6,2045.0,22392.75,10.95,2275.0,4.0,17.7118,3.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,sample_revenue_rank,2.0,1,1,1,1,50.0,1000.0,4095.0,81900.0,20.0,8000.0,4.0,14.977,-1.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,Binnet & Hardley,sample_revenue_rank,3.0,1,1,1,1,40.0,838.0,375.0,7856.25,20.95,7000.0,8.0,12.5507,1.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,But Is It User Friendly?,popular_comp,Algodata Infosystems,sample_revenue_rank,4.0,1,1,1,1,30.0,688.5,8780.0,201501.0,22.95,7000.0,5.0,10.3117,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,Binnet & Hardley,sample_revenue_rank,5.0,1,1,1,1,20.0,431.8,375.0,8096.25,21.59,7000.0,5.0,6.4671,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Prolonged Data Deprivation: Four Case Studies,psychology,New Moon Books,sample_revenue_rank,6.0,1,1,1,1,15.0,299.85,4072.0,81399.28,19.99,2000.0,4.0,4.4909,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Straight Talk About Computers,business,Algodata Infosystems,sample_revenue_rank,7.0,1,1,1,1,15.0,299.85,4095.0,81859.05,19.99,5000.0,8.0,4.4909,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,The Busy Executive's Database Guide,business,Algodata Infosystems,sample_revenue_rank,8.0,1,1,2,2,15.0,299.85,4095.0,81859.05,19.99,5000.0,2.0,4.4909,3.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,"Sushi, Anyone?",trad_cook,Binnet & Hardley,sample_revenue_rank,9.0,1,1,1,1,20.0,299.8,4095.0,61384.05,14.99,8000.0,3.0,4.4901,1.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Cooking with Computers: Surreptitious Balance Sheets,business,Algodata Infosystems,sample_revenue_rank,10.0,1,1,1,1,25.0,298.75,3876.0,46318.2,11.95,5000.0,8.0,4.4744,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Fifty Years in Buckingham Palace Kitchens,trad_cook,Binnet & Hardley,sample_revenue_rank,11.0,1,1,1,1,20.0,239.0,15096.0,180397.2,11.95,4000.0,7.0,3.5795,1.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Silicon Valley Gastronomic Treats,mod_cook,Binnet & Hardley,sample_revenue_rank,12.0,1,1,1,1,10.0,199.9,2032.0,40619.68,19.99,0.0,6.0,2.9939,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Emotional Security: A New Algorithm,psychology,New Moon Books,sample_revenue_rank,13.0,1,1,1,1,25.0,199.75,3336.0,26654.64,7.99,4000.0,2.0,2.9917,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Life Without Fear,psychology,New Moon Books,sample_revenue_rank,14.0,1,1,1,1,25.0,175.0,111.0,777.0,7.0,6000.0,4.0,2.621,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,The Gourmet Microwave,mod_cook,Binnet & Hardley,sample_revenue_rank,15.0,1,1,2,2,40.0,119.6,22246.0,66515.54,2.99,15000.0,8.0,1.7913,3.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,You Can Combat Computer Stress!,business,New Moon Books,sample_revenue_rank,16.0,1,1,1,1,35.0,104.65,18722.0,55978.78,2.99,10125.0,8.0,1.5673,2.0,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,Net Etiquette,popular_comp,Algodata Infosystems,sample_revenue_rank,17.0,1,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Title-level lifecycle, current sales, and ytd catalog demand."
title_lifecycle_baseline,title,The Psychology of Computer Cooking,UNDECIDED,Binnet & Hardley,sample_revenue_rank,18.0,1,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Title-level lifecycle, current sales, and ytd catalog demand."
unsold_or_incomplete_titles,title,Net Etiquette,popular_comp,Algodata Infosystems,sample_qty,0.0,1,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Titles with no observed sales or incomplete economics.
unsold_or_incomplete_titles,title,The Psychology of Computer Cooking,UNDECIDED,Binnet & Hardley,sample_qty,0.0,1,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,,Titles with no observed sales or incomplete economics.
