evidence_group_id,evidence_block,entity_level,entity,parent_entity,order_count,row_count,profitable_order_count,net_loss_order_count,orders_with_loss_lines,mixed_line_order_count,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,avg_max_discount,gross_loss,gross_loss_share_pct,avg_line_count,avg_category_count,rank_by_sales,rank_by_profit,rank_by_loss,note
G4,line_sign_mixing,line_sign_mix_group,only loss-making lines,line_sign_mix_group,1170,1542,0,1170,1170,0,321989.25,7.01,-113810.79,-35.35,0.499,0.53,-113810.79,36.45,1.32,1.15,,,,Line-sign mixing: check whether order-level net profit hides loss-making lines inside the same basket.
G4,line_sign_mixing,line_sign_mix_group,only profitable lines,line_sign_mix_group,7382,13432,7348,0,0,0,3136596.1,68.27,784735.92,25.02,0.073,0.087,0.0,-0.0,1.82,1.33,,,,Line-sign mixing: check whether order-level net profit hides loss-making lines inside the same basket.
G5,large_order_sales_conversion,order_sales_group,100-499 sales,order_sales_group,3258,6720,2504,738,936,558,824629.65,17.95,87187.15,10.57,0.146,0.196,-68303.4,21.87,2.06,1.46,,,,Large-order conversion: test whether larger revenue orders reliably produce stronger margins.
G5,large_order_sales_conversion,order_sales_group,1000+ sales,order_sales_group,1240,4172,1002,232,402,338,2692439.77,58.6,381953.04,14.19,0.129,0.21,-161551.02,51.74,3.36,1.97,,,,Large-order conversion: test whether larger revenue orders reliably produce stronger margins.
G5,large_order_sales_conversion,order_sales_group,500-999 sales,order_sales_group,1308,3618,976,326,468,332,923839.19,20.11,80434.12,8.71,0.151,0.22,-65533.75,20.99,2.77,1.75,,,,Large-order conversion: test whether larger revenue orders reliably produce stronger margins.
G5,large_order_sales_conversion,order_sales_group,<100 sales,order_sales_group,4212,5478,3458,748,830,238,153493.1,3.34,23219.74,15.13,0.175,0.193,-16874.4,5.4,1.3,1.09,,,,Large-order conversion: test whether larger revenue orders reliably produce stronger margins.
G5,large_order_sales_conversion,selected_order,CA-2017-108196 / East,3 lines / multi-category order / mixed profit/loss lines,1,3,0,1,1,1,5016.55,,-6892.37,-137.39,0.533,0.7,-6904.37,,3.0,2.0,53,10017,1,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2013-108196 / East,3 lines / multi-category order / mixed profit/loss lines,1,3,0,1,1,1,5016.55,,-6892.37,-137.39,0.533,0.7,-6904.37,,3.0,2.0,54,10018,2,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,US-2018-168116 / South,2 lines / multi-category order / mixed profit/loss lines,1,2,0,1,1,1,8167.42,,-3825.34,-46.84,0.35,0.5,-3839.99,,2.0,2.0,25,10015,3,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,US-2014-168116 / South,2 lines / multi-category order / mixed profit/loss lines,1,2,0,1,1,1,8167.42,,-3825.34,-46.84,0.35,0.5,-3839.99,,2.0,2.0,26,10016,4,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2011-169019 / Central,4+ lines / multi-category order / only loss-making lines,1,6,0,1,1,0,2656.72,,-3791.16,-142.7,0.667,0.8,-3791.16,,6.0,3.0,255,10013,5,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2015-169019 / Central,4+ lines / multi-category order / only loss-making lines,1,6,0,1,1,0,2656.72,,-3791.16,-142.7,0.667,0.8,-3791.16,,6.0,3.0,256,10014,6,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2014-134845 / West,4+ lines / multi-category order / mixed profit/loss lines,1,5,0,1,1,1,2613.31,,-3424.35,-131.04,0.6,0.7,-3431.61,,5.0,2.0,267,10011,7,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2018-134845 / West,4+ lines / multi-category order / mixed profit/loss lines,1,5,0,1,1,1,2613.31,,-3424.35,-131.04,0.6,0.7,-3431.61,,5.0,2.0,268,10012,8,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,US-2018-122714 / Central,1 line / single-category order / only loss-making lines,1,1,0,1,1,0,1889.99,,-2929.48,-155.0,0.8,0.8,-2929.48,,1.0,1.0,457,10009,9,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,US-2014-122714 / Central,1 line / single-category order / only loss-making lines,1,1,0,1,1,0,1889.99,,-2929.48,-155.0,0.8,0.8,-2929.48,,1.0,1.0,458,10010,10,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2014-131254 / Central,3 lines / multi-category order / mixed profit/loss lines,1,3,0,1,1,1,1729.29,,-2330.27,-134.75,0.433,0.8,-2334.18,,3.0,2.0,537,10007,11,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2018-131254 / Central,3 lines / multi-category order / mixed profit/loss lines,1,3,0,1,1,1,1729.29,,-2330.27,-134.75,0.433,0.8,-2334.18,,3.0,2.0,538,10008,12,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2012-147830 / East,4+ lines / multi-category order / mixed profit/loss lines,1,4,0,1,1,1,4190.21,,-1980.38,-47.26,0.375,0.7,-2656.99,,4.0,2.0,103,10005,13,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2016-147830 / East,4+ lines / multi-category order / mixed profit/loss lines,1,4,0,1,1,1,4190.21,,-1980.38,-47.26,0.375,0.7,-2656.99,,4.0,2.0,104,10006,14,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2015-139892 / Central,4+ lines / multi-category order / mixed profit/loss lines,1,7,0,1,1,1,10539.9,,-1878.79,-17.83,0.329,0.8,-1897.33,,7.0,3.0,9,10003,15,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2011-139892 / Central,4+ lines / multi-category order / mixed profit/loss lines,1,7,0,1,1,1,10539.9,,-1878.79,-17.83,0.329,0.8,-1897.33,,7.0,3.0,10,10004,16,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2015-145317 / South,4+ lines / multi-category order / mixed profit/loss lines,1,7,0,1,1,1,23661.23,,-1789.73,-7.56,0.286,0.5,-1827.5,,7.0,3.0,1,9997,21,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2011-145317 / South,4+ lines / multi-category order / mixed profit/loss lines,1,7,0,1,1,1,23661.23,,-1789.73,-7.56,0.286,0.5,-1827.5,,7.0,3.0,2,9998,22,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2017-158841 / South,3 lines / multi-category order / only profitable lines,1,3,1,0,0,0,8805.04,,2825.29,32.09,0.0,0.0,0.0,,3.0,3.0,19,15,10003,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2016-145352 / South,4+ lines / single-category order / only profitable lines,1,4,1,0,0,0,6412.77,,3192.07,49.78,0.0,0.0,0.0,,4.0,1.0,33,13,10005,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2012-145352 / South,4+ lines / single-category order / only profitable lines,1,4,1,0,0,0,6412.77,,3192.07,49.78,0.0,0.0,0.0,,4.0,1.0,34,14,10006,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2014-127180 / East,4+ lines / multi-category order / only profitable lines,1,4,1,0,0,0,13716.46,,4597.17,33.52,0.05,0.2,0.0,,4.0,2.0,7,11,10007,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2018-127180 / East,4+ lines / multi-category order / only profitable lines,1,4,1,0,0,0,13716.46,,4597.17,33.52,0.05,0.2,0.0,,4.0,2.0,8,12,10008,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2011-116904 / Central,4+ lines / single-category order / only profitable lines,1,4,1,0,0,0,9900.19,,4668.69,47.16,0.0,0.0,0.0,,4.0,1.0,13,9,10009,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2015-116904 / Central,4+ lines / single-category order / only profitable lines,1,4,1,0,0,0,9900.19,,4668.69,47.16,0.0,0.0,0.0,,4.0,1.0,14,10,10010,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2013-117121 / Central,1 line / single-category order / only profitable lines,1,1,1,0,0,0,9892.74,,4946.37,50.0,0.0,0.0,0.0,,1.0,1.0,15,7,10011,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2017-117121 / Central,1 line / single-category order / only profitable lines,1,1,1,0,0,0,9892.74,,4946.37,50.0,0.0,0.0,0.0,,1.0,1.0,16,8,10012,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2018-166709 / East,1 line / single-category order / only profitable lines,1,1,1,0,0,0,10499.97,,5039.99,48.0,0.0,0.0,0.0,,1.0,1.0,11,5,10013,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2014-166709 / East,1 line / single-category order / only profitable lines,1,1,1,0,0,0,10499.97,,5039.99,48.0,0.0,0.0,0.0,,1.0,1.0,12,6,10014,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2014-140151 / West,3 lines / multi-category order / only profitable lines,1,3,1,0,0,0,14052.48,,6734.47,47.92,0.0,0.0,0.0,,3.0,2.0,5,3,10015,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2018-140151 / West,3 lines / multi-category order / only profitable lines,1,3,1,0,0,0,14052.48,,6734.47,47.92,0.0,0.0,0.0,,3.0,2.0,6,4,10016,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2017-118689 / Central,4+ lines / multi-category order / only profitable lines,1,5,1,0,0,0,18336.74,,8762.39,47.79,0.0,0.0,0.0,,5.0,2.0,3,1,10017,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
G5,large_order_sales_conversion,selected_order,CA-2013-118689 / Central,4+ lines / multi-category order / only profitable lines,1,5,1,0,0,0,18336.74,,8762.39,47.79,0.0,0.0,0.0,,5.0,2.0,4,2,10018,"Selected high-impact orders: compare top-sales, top-profit, and worst-profit orders to avoid equating revenue with profit."
