evidence_block,grain,item,item_2,rank_label,rank_value,products,ordered_products,orders,order_lines,quantity,inventory,revenue,gross_margin_proxy,gross_margin_rate,stock_turnover_proxy,weighted_msrp_realization,share_value,share_label,notes
scale_portfolio_baseline,product_scale,1:32,,scale_revenue_rank,6.0,8,8,221,221,7578.0,30284.0,502827.57,198495.38,0.3948,0.2502,0.9018,0.0524,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
scale_portfolio_baseline,product_scale,1:50,,scale_revenue_rank,7.0,4,4,110,110,4011.0,10323.0,268531.24,102500.91,0.3817,0.3885,0.9027,0.028,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
scale_portfolio_baseline,product_scale,1:24,,scale_revenue_rank,2.0,27,27,728,728,25515.0,128947.0,1810576.24,690485.14,0.3814,0.1979,0.9013,0.1885,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
scale_portfolio_baseline,product_scale,1:72,,scale_revenue_rank,8.0,4,4,111,111,3882.0,6814.0,235603.24,70352.84,0.2986,0.5697,0.902,0.0245,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
vendor_scale_mix,vendor_scale,Highway 66 Mini Classics,1:24,scale_rank_in_vendor,1.0,3,3,83,83,2938.0,10929.0,175444.19,61367.57,0.3498,0.2688,0.8802,0.4385,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Highway 66 Mini Classics,1:18,scale_rank_in_vendor,2.0,2,1,27,27,947.0,11708.0,114648.12,35564.15,0.3102,0.0809,0.8553,0.2866,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Highway 66 Mini Classics,1:10,scale_rank_in_vendor,3.0,1,1,28,28,999.0,6625.0,109998.82,41077.81,0.3734,0.1508,0.9258,0.2749,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Red Start Diecast,1:18,scale_rank_in_vendor,1.0,3,3,81,81,2802.0,19486.0,331058.6,147076.82,0.4443,0.1438,0.8903,0.5824,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Red Start Diecast,1:10,scale_rank_in_vendor,2.0,1,1,28,28,985.0,5582.0,170686.0,81031.3,0.4747,0.1765,0.8948,0.3003,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Red Start Diecast,1:700,scale_rank_in_vendor,3.0,1,1,27,27,1020.0,7083.0,66697.13,32047.73,0.4805,0.144,0.9047,0.1173,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Second Gear Diecast,1:12,scale_rank_in_vendor,1.0,2,2,54,54,1984.0,4668.0,343298.88,165749.42,0.4828,0.425,0.9065,0.5297,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Second Gear Diecast,1:24,scale_rank_in_vendor,2.0,3,3,83,83,2946.0,19245.0,181677.0,79546.6,0.4378,0.1531,0.8999,0.2803,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Second Gear Diecast,1:10,scale_rank_in_vendor,3.0,1,1,28,28,932.0,6791.0,123123.01,26735.57,0.2171,0.1372,0.8942,0.19,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Autoart Studio Design,1:24,scale_rank_in_vendor,1.0,4,4,112,112,3886.0,18174.0,335278.79,153847.35,0.4589,0.2138,0.9051,0.5525,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Autoart Studio Design,1:12,scale_rank_in_vendor,2.0,1,1,27,27,933.0,68.0,161531.48,72579.26,0.4493,13.7206,0.8898,0.2662,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Autoart Studio Design,1:18,scale_rank_in_vendor,3.0,1,1,28,28,957.0,9354.0,109992.01,54026.65,0.4912,0.1023,0.9041,0.1813,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Gearbox Collectibles,1:18,scale_rank_in_vendor,1.0,5,5,135,135,4701.0,32215.0,584806.29,242302.8,0.4143,0.1459,0.8953,0.7702,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Gearbox Collectibles,1:24,scale_rank_in_vendor,2.0,1,1,25,25,894.0,9446.0,87404.81,31878.47,0.3647,0.0946,0.913,0.1151,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Gearbox Collectibles,1:32,scale_rank_in_vendor,3.0,2,2,54,54,1840.0,17842.0,87060.75,40233.43,0.4621,0.1031,0.9214,0.1147,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Classic Metal Creations,1:18,scale_rank_in_vendor,1.0,4,4,106,106,3920.0,24760.0,435889.12,170928.46,0.3921,0.1583,0.8927,0.5215,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Classic Metal Creations,1:24,scale_rank_in_vendor,2.0,3,3,81,81,2876.0,8824.0,210004.48,80610.4,0.3839,0.3259,0.8922,0.2512,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Classic Metal Creations,1:10,scale_rank_in_vendor,3.0,1,1,28,28,961.0,7305.0,190017.96,95282.58,0.5014,0.1316,0.9227,0.2273,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Motor City Art Classics,1:18,scale_rank_in_vendor,1.0,3,3,81,81,3004.0,12361.0,262103.08,77118.3,0.2942,0.243,0.8946,0.5146,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Motor City Art Classics,1:10,scale_rank_in_vendor,2.0,1,1,28,28,1030.0,3252.0,127924.32,39673.92,0.3101,0.3167,0.9132,0.2512,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Motor City Art Classics,1:72,scale_rank_in_vendor,3.0,2,2,56,56,2007.0,5408.0,119310.93,30894.93,0.2589,0.3711,0.9078,0.2342,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Carousel DieCast Legends,1:18,scale_rank_in_vendor,1.0,4,4,111,111,3951.0,19591.0,324918.95,128548.66,0.3956,0.2017,0.9045,0.487,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Carousel DieCast Legends,1:24,scale_rank_in_vendor,2.0,4,4,108,108,3832.0,19258.0,257278.8,86799.11,0.3374,0.199,0.9109,0.3856,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Carousel DieCast Legends,1:700,scale_rank_in_vendor,3.0,1,1,27,27,952.0,1956.0,84992.25,36354.57,0.4277,0.4867,0.8913,0.1274,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Min Lin Diecast,1:18,scale_rank_in_vendor,1.0,5,5,137,137,4787.0,27142.0,439389.08,134962.84,0.3072,0.1764,0.8984,0.7241,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Min Lin Diecast,1:10,scale_rank_in_vendor,2.0,1,1,28,28,1057.0,7933.0,90157.77,38565.6,0.4278,0.1332,0.8913,0.1486,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Min Lin Diecast,1:24,scale_rank_in_vendor,3.0,1,1,27,27,991.0,9173.0,77239.92,30752.11,0.3981,0.108,0.8806,0.1273,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Welly Diecast Productions,1:18,scale_rank_in_vendor,1.0,3,3,80,80,2826.0,13987.0,322892.11,134562.34,0.4167,0.202,0.9,0.4461,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Welly Diecast Productions,1:12,scale_rank_in_vendor,2.0,3,3,82,82,2889.0,18025.0,322014.63,118512.67,0.368,0.1603,0.9053,0.4449,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Welly Diecast Productions,1:700,scale_rank_in_vendor,3.0,1,1,27,27,896.0,5088.0,78919.06,30866.58,0.3911,0.1761,0.8869,0.109,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Unimax Art Galleries,1:18,scale_rank_in_vendor,1.0,3,3,108,108,3744.0,20518.0,506038.46,226058.78,0.4467,0.1825,0.9101,0.6629,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Unimax Art Galleries,1:12,scale_rank_in_vendor,2.0,1,1,28,28,1028.0,9997.0,135767.03,67641.47,0.4982,0.1028,0.8768,0.1779,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Unimax Art Galleries,1:24,scale_rank_in_vendor,3.0,2,2,53,53,1812.0,3761.0,121513.02,45417.23,0.3738,0.4818,0.9198,0.1592,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Exoto Designs,1:18,scale_rank_in_vendor,1.0,4,4,108,108,3924.0,25134.0,339501.84,123337.52,0.3633,0.1561,0.896,0.4822,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Exoto Designs,1:24,scale_rank_in_vendor,2.0,3,3,76,76,2610.0,12729.0,254579.37,86564.55,0.34,0.205,0.9107,0.3616,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Exoto Designs,1:12,scale_rank_in_vendor,3.0,1,1,28,28,1056.0,6125.0,109946.21,51127.01,0.465,0.1724,0.8786,0.1562,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Studio M Art Models,1:18,scale_rank_in_vendor,1.0,5,5,135,135,4680.0,28791.0,299805.69,137382.0,0.4582,0.1626,0.9013,0.6927,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Studio M Art Models,1:700,scale_rank_in_vendor,2.0,1,1,27,27,898.0,737.0,69531.61,30648.21,0.4408,1.2185,0.894,0.1606,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
vendor_scale_mix,vendor_scale,Studio M Art Models,1:12,scale_rank_in_vendor,3.0,1,1,27,27,900.0,5663.0,63489.95,34761.95,0.5475,0.1589,0.884,0.1467,vendor_revenue_share,Vendor-scale mix prevents supplier-level averages from hiding weak scale segments.
top_product_concentration_by_vendor,product_in_vendor,Min Lin Diecast,1995 Honda Civic,product_rank_in_vendor,2.0,1,1,,,917.0,9772.0,119050.95,32953.82,0.2768,0.0938,0.9127,0.1749,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Gearbox Collectibles,1976 Ford Gran Torino,product_rank_in_vendor,3.0,1,1,,,915.0,9127.0,121890.6,54647.25,0.4483,0.1003,0.9063,0.1472,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Autoart Studio Design,1932 Model A Ford J-Coupe,product_rank_in_vendor,3.0,1,1,,,957.0,9354.0,109992.01,54026.65,0.4912,0.1023,0.9041,0.1493,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Unimax Art Galleries,2002 Suzuki XREO,product_rank_in_vendor,2.0,1,1,,,1028.0,9997.0,135767.03,67641.47,0.4982,0.1028,0.8768,0.1536,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Red Start Diecast,1999 Indy 500 Monte Carlo SS,product_rank_in_vendor,3.0,1,1,,,855.0,8164.0,100770.12,52240.32,0.5184,0.1047,0.8929,0.1537,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Unimax Art Galleries,1964 Mercedes Tour Bus,product_rank_in_vendor,3.0,1,1,,,1053.0,8258.0,117669.66,38842.08,0.3301,0.1275,0.9105,0.1331,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Motor City Art Classics,1937 Lincoln Berline,product_rank_in_vendor,3.0,1,1,,,1111.0,8693.0,102563.52,35214.7,0.3433,0.1278,0.8985,0.1455,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Classic Metal Creations,1952 Alpine Renault 1300,product_rank_in_vendor,1.0,1,1,,,961.0,7305.0,190017.96,95282.58,0.5014,0.1316,0.9227,0.2033,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Min Lin Diecast,1969 Harley Davidson Ultimate Chopper,product_rank_in_vendor,3.0,1,1,,,1057.0,7933.0,90157.77,38565.6,0.4278,0.1332,0.8913,0.1325,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Highway 66 Mini Classics,ATA: B757-300,product_rank_in_vendor,3.0,1,1,,,973.0,7106.0,102786.38,45058.29,0.4384,0.1369,0.8903,0.1547,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Second Gear Diecast,1962 LanciaA Delta 16V,product_rank_in_vendor,3.0,1,1,,,932.0,6791.0,123123.01,26735.57,0.2171,0.1372,0.8942,0.1532,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Welly Diecast Productions,1969 Corvair Monza,product_rank_in_vendor,2.0,1,1,,,963.0,6906.0,132363.79,46521.97,0.3515,0.1394,0.9098,0.1705,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Carousel DieCast Legends,1982 Camaro Z28,product_rank_in_vendor,3.0,1,1,,,997.0,6934.0,89272.65,42882.24,0.4804,0.1438,0.8852,0.1338,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Highway 66 Mini Classics,1996 Moto Guzzi 1100i,product_rank_in_vendor,2.0,1,1,,,999.0,6625.0,109998.82,41077.81,0.3734,0.1508,0.9258,0.1655,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Studio M Art Models,1970 Plymouth Hemi Cuda,product_rank_in_vendor,3.0,1,1,,,900.0,5663.0,63489.95,34761.95,0.5475,0.1589,0.884,0.1338,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Classic Metal Creations,1956 Porsche 356A Coupe,product_rank_in_vendor,2.0,1,1,,,1052.0,6600.0,134240.71,30829.11,0.2297,0.1594,0.9087,0.1436,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Min Lin Diecast,1970 Triumph Spitfire,product_rank_in_vendor,1.0,1,1,,,945.0,5545.0,122254.75,35390.35,0.2895,0.1704,0.9008,0.1796,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Exoto Designs,1957 Chevy Pickup,product_rank_in_vendor,1.0,1,1,,,1056.0,6125.0,109946.21,51127.01,0.465,0.1724,0.8786,0.1386,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Red Start Diecast,2003 Harley-Davidson Eagle Drag Bike,product_rank_in_vendor,1.0,1,1,,,985.0,5582.0,170686.0,81031.3,0.4747,0.1765,0.8948,0.2604,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Red Start Diecast,1980s Black Hawk Helicopter,product_rank_in_vendor,2.0,1,1,,,1040.0,5330.0,144959.91,64599.11,0.4456,0.1951,0.8839,0.2211,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Gearbox Collectibles,1998 Chrysler Plymouth Prowler,product_rank_in_vendor,1.0,1,1,,,986.0,4724.0,142530.63,42441.77,0.2978,0.2087,0.8829,0.1721,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Unimax Art Galleries,1992 Ferrari 360 Spider red,product_rank_in_vendor,1.0,1,1,,,1808.0,8347.0,276839.98,135996.78,0.4912,0.2166,0.9042,0.3131,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Highway 66 Mini Classics,1993 Mazda RX-7,product_rank_in_vendor,1.0,1,1,,,947.0,3975.0,114648.12,35564.15,0.3102,0.2382,0.8553,0.1725,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Carousel DieCast Legends,1913 Ford Model T Speedster,product_rank_in_vendor,2.0,1,1,,,1038.0,4189.0,97193.88,34104.24,0.3509,0.2478,0.9242,0.1457,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Second Gear Diecast,2001 Ferrari Enzo,product_rank_in_vendor,1.0,1,1,,,1019.0,3619.0,190755.86,93349.65,0.4894,0.2816,0.9009,0.2373,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Motor City Art Classics,1972 Alfa Romeo GTA,product_rank_in_vendor,1.0,1,1,,,1030.0,3252.0,127924.32,39673.92,0.3101,0.3167,0.9132,0.1815,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Welly Diecast Productions,1917 Grand Touring Sedan,product_rank_in_vendor,1.0,1,1,,,918.0,2724.0,140535.6,60945.0,0.4337,0.337,0.9005,0.1811,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Motor City Art Classics,1940s Ford truck,product_rank_in_vendor,2.0,1,1,,,1061.0,3128.0,114232.79,24302.43,0.2127,0.3392,0.8892,0.1621,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Studio M Art Models,1940 Ford Pickup Truck,product_rank_in_vendor,1.0,1,1,,,999.0,2613.0,105563.12,47291.45,0.448,0.3823,0.9057,0.2225,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Autoart Studio Design,1962 Volkswagen Microbus,product_rank_in_vendor,2.0,1,1,,,1029.0,2327.0,118774.33,55655.47,0.4686,0.4422,0.9033,0.1612,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Exoto Designs,1941 Chevrolet Special Deluxe Cabriolet,product_rank_in_vendor,2.0,1,1,,,1076.0,2378.0,102537.45,33049.37,0.3223,0.4525,0.9001,0.1292,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Carousel DieCast Legends,18th century schooner,product_rank_in_vendor,1.0,1,1,,,1011.0,1898.0,112427.12,29181.38,0.2596,0.5327,0.9049,0.1685,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Exoto Designs,1952 Citroen-15CV,product_rank_in_vendor,3.0,1,1,,,873.0,1452.0,94248.67,30676.81,0.3255,0.6012,0.9193,0.1188,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Welly Diecast Productions,1958 Setra Bus,product_rank_in_vendor,3.0,1,1,,,972.0,1579.0,119085.25,43366.45,0.3642,0.6156,0.8964,0.1534,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Classic Metal Creations,1957 Corvette Convertible,product_rank_in_vendor,3.0,1,1,,,1013.0,1249.0,130749.31,59910.22,0.4582,0.811,0.8674,0.1399,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Second Gear Diecast,1969 Ford Falcon,product_rank_in_vendor,2.0,1,1,,,965.0,1049.0,152543.02,72399.77,0.4746,0.9199,0.9136,0.1898,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Studio M Art Models,The Mayflower,product_rank_in_vendor,2.0,1,1,,,898.0,737.0,69531.61,30648.21,0.4408,1.2185,0.894,0.1466,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Gearbox Collectibles,1928 Mercedes-Benz SSK,product_rank_in_vendor,2.0,1,1,,,880.0,548.0,132275.98,68423.18,0.5173,1.6058,0.8907,0.1598,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
top_product_concentration_by_vendor,product_in_vendor,Autoart Studio Design,1968 Ford Mustang,product_rank_in_vendor,1.0,1,1,,,933.0,68.0,161531.48,72579.26,0.4493,13.7206,0.8898,0.2192,vendor_revenue_share,Top product share shows whether vendor performance is broad-based or product-concentrated.
high_inventory_low_turnover_products,product,1985 Toyota Supra,Highway 66 Mini Classics,low_turnover_rank,1.0,1,0,0,0,0.0,7733.0,0.0,0.0,,0.0,,0.0,selected_product_revenue_share,High-inventory and low-turnover product rows identify supplier/scale portfolio risks hidden in averages.
high_inventory_low_turnover_products,product,1995 Honda Civic,Min Lin Diecast,inventory_rank,2.0,1,1,27,27,917.0,9772.0,119050.95,32953.82,0.2768,0.0938,0.9127,0.0553,selected_product_revenue_share,High-inventory and low-turnover product rows identify supplier/scale portfolio risks hidden in averages.
