evidence_block,grain,item,item_2,rank_label,rank_value,order_lines,orders,customers,products,quantity,revenue,gross_margin_proxy,gross_margin_rate,weighted_msrp_realization,weighted_discount_rate,avg_line_quantity,share_value,share_label,notes
product_price_pressure_examples,product,1968 Ford Mustang,Classic Cars,product_revenue_rank,5.0,27,27,23,1,933.0,161531.48,72579.26,0.4493,0.8898,0.1102,34.5556,0.0516,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1928 Mercedes-Benz SSK,Vintage Cars,product_revenue_rank,13.0,28,28,21,1,880.0,132275.98,68423.18,0.5173,0.8907,0.1093,31.4286,0.0423,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,product_revenue_rank,4.0,28,28,25,1,985.0,170686.0,81031.3,0.4747,0.8948,0.1052,35.1786,0.0545,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1917 Grand Touring Sedan,Vintage Cars,product_revenue_rank,9.0,25,25,24,1,918.0,140535.6,60945.0,0.4337,0.9005,0.0995,36.72,0.0449,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,2001 Ferrari Enzo,Classic Cars,product_revenue_rank,2.0,27,27,23,1,1019.0,190755.86,93349.65,0.4894,0.9009,0.0991,37.7407,0.061,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1992 Ferrari 360 Spider red,Classic Cars,product_revenue_rank,1.0,53,53,40,1,1808.0,276839.98,135996.78,0.4912,0.9042,0.0958,34.1132,0.0885,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1956 Porsche 356A Coupe,Classic Cars,product_revenue_rank,11.0,27,27,22,1,1052.0,134240.71,30829.11,0.2297,0.9087,0.0913,38.963,0.0429,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1969 Corvair Monza,Classic Cars,product_revenue_rank,12.0,27,27,22,1,963.0,132363.79,46521.97,0.3515,0.9098,0.0902,35.6667,0.0423,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1972 Alfa Romeo GTA,Classic Cars,product_revenue_rank,15.0,28,28,27,1,1030.0,127924.32,39673.92,0.3101,0.9132,0.0868,36.7857,0.0409,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1969 Ford Falcon,Classic Cars,product_revenue_rank,6.0,27,27,22,1,965.0,152543.02,72399.77,0.4746,0.9136,0.0864,35.7407,0.0487,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1952 Alpine Renault 1300,Classic Cars,product_revenue_rank,3.0,28,28,27,1,961.0,190017.96,95282.58,0.5014,0.9227,0.0773,34.3214,0.0607,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
customer_price_pressure_examples,customer,Boards & Toys Co.,USA,low_realization_rank,1.0,3,2,1,3,102.0,7918.6,2610.87,0.3297,0.8374,0.1626,34.0,0.0019,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Auto-Moto Classics Inc.,USA,low_realization_rank,2.0,8,3,1,8,287.0,21554.26,6586.02,0.3056,0.8647,0.1353,35.875,0.0052,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Royale Belge,Belgium,low_realization_rank,3.0,8,4,1,8,278.0,29217.18,11693.99,0.4002,0.8656,0.1344,34.75,0.0071,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"Classic Gift Ideas, Inc",USA,low_realization_rank,4.0,21,2,1,21,668.0,57939.34,20737.79,0.3579,0.8661,0.1339,31.8095,0.0141,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"Double Decker Gift Stores, Ltd",UK,low_realization_rank,5.0,12,2,1,12,357.0,29586.15,10868.04,0.3673,0.867,0.133,29.75,0.0072,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"Down Under Souveniers, Inc",New Zealand,customer_revenue_rank,7.0,46,5,1,42,1691.0,154622.08,60013.99,0.3881,0.8701,0.1299,36.7609,0.0376,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Frau da Collezione,Italy,low_realization_rank,7.0,8,2,1,8,272.0,25358.32,9532.93,0.3759,0.8735,0.1265,34.0,0.0062,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Diecast Classics Inc.,USA,low_realization_rank,8.0,31,4,1,31,1111.0,104358.69,40429.55,0.3874,0.8768,0.1232,35.8387,0.0254,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Gift Ideas Corp.,USA,low_realization_rank,9.0,19,3,1,19,666.0,49967.78,18957.41,0.3794,0.8784,0.1216,35.0526,0.0122,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Vitachrome Inc.,USA,low_realization_rank,10.0,25,3,1,25,787.0,72497.64,28279.5,0.3901,0.8791,0.1209,31.48,0.0176,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Collectables For Less Inc.,USA,low_realization_rank,11.0,24,3,1,24,795.0,73533.65,28969.09,0.394,0.8812,0.1188,33.125,0.0179,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Kelly's Gift Shop,New Zealand,customer_revenue_rank,12.0,48,4,1,45,1647.0,137460.79,51771.5,0.3766,0.8832,0.1168,34.3125,0.0334,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"Norway Gifts By Mail, Co.",Norway  ,low_realization_rank,13.0,24,2,1,24,787.0,69059.04,25665.76,0.3716,0.884,0.116,32.7917,0.0168,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"UK Collectables, Ltd.",UK,low_realization_rank,14.0,29,3,1,29,1046.0,106610.72,43523.64,0.4082,0.8846,0.1154,36.069,0.0259,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Technics Stores Inc.,USA,low_realization_rank,15.0,34,4,1,30,1179.0,104545.22,41510.76,0.3971,0.8846,0.1154,34.6765,0.0254,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"Anna's Decorations, Ltd",Australia,customer_revenue_rank,13.0,46,4,1,41,1469.0,137034.22,54551.66,0.3981,0.8918,0.1082,31.9348,0.0333,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Salzburg Collectables,Austria,customer_revenue_rank,11.0,40,4,1,36,1442.0,137480.07,54724.68,0.3981,0.8923,0.1077,36.05,0.0334,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,La Rochelle Gifts,France,customer_revenue_rank,5.0,53,4,1,43,1832.0,158573.12,60875.3,0.3839,0.8926,0.1074,34.566,0.0386,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"Dragon Souveniers, Ltd.",Singapore,customer_revenue_rank,6.0,43,5,1,37,1524.0,156251.03,60477.38,0.3871,0.8961,0.1039,35.4419,0.038,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Souveniers And Things Co.,Australia,customer_revenue_rank,14.0,46,4,1,44,1601.0,133907.12,52331.45,0.3908,0.8966,0.1034,34.8043,0.0326,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Corporate Gift Ideas Co.,USA,customer_revenue_rank,15.0,41,4,1,40,1447.0,132340.78,55674.28,0.4207,0.8972,0.1028,35.2927,0.0322,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Euro+ Shopping Channel,Spain,customer_revenue_rank,1.0,259,26,1,106,9327.0,820689.54,326519.66,0.3979,0.899,0.101,36.0116,0.1996,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,The Sharp Gifts Warehouse,USA,customer_revenue_rank,10.0,40,4,1,39,1656.0,143536.27,55931.37,0.3897,0.9003,0.0997,41.4,0.0349,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"Australian Collectors, Co.",Australia,customer_revenue_rank,3.0,55,5,1,40,1926.0,180585.07,70311.07,0.3894,0.9003,0.0997,35.0182,0.0439,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Mini Gifts Distributors Ltd.,USA,customer_revenue_rank,2.0,180,17,1,77,6366.0,591827.34,236769.39,0.4001,0.9039,0.0961,35.3667,0.1439,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Land of Toys Inc.,USA,customer_revenue_rank,8.0,49,4,1,41,1631.0,149085.15,58669.1,0.3935,0.9059,0.0941,33.2857,0.0363,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,"AV Stores, Co.",UK,customer_revenue_rank,9.0,51,3,1,37,1778.0,148410.09,60095.86,0.4049,0.9065,0.0935,34.8627,0.0361,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
customer_price_pressure_examples,customer,Muscle Machine Inc,USA,customer_revenue_rank,4.0,48,4,1,32,1775.0,177913.95,72370.09,0.4068,0.9213,0.0787,36.9792,0.0433,selected_customer_revenue_share,Customer-level rows show whether concessions are attached to strategically important demand or scattered accounts.
