evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,warehouses,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
customer_discount_pockets,discount_customer,high_discount,Ohio ,3,customer_rank_in_discount_bucket,3.0,32,,31,20,4,6,306279.78,123036.131,40.1712,26.25,20.5313,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,high_discount,Prasco Group,4,customer_rank_in_discount_bucket,4.0,32,,31,20,4,6,295764.13,126460.654,42.7573,25.0,20.125,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,high_discount,"Exact-Rx, Corp",5,customer_rank_in_discount_bucket,5.0,30,,29,21,4,6,291790.36,108960.95,37.3422,28.3333,22.2667,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,high_discount,Victory Ltd,6,customer_rank_in_discount_bucket,6.0,29,,27,22,4,6,283072.99,91089.297,32.1787,25.8621,20.931,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,high_discount,OUR Ltd,7,customer_rank_in_discount_bucket,7.0,19,,19,16,4,6,279988.31,101897.363,36.3934,26.3158,19.8947,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,high_discount,Amylin Group,8,customer_rank_in_discount_bucket,8.0,27,,26,18,4,6,269708.5,91535.133,33.9385,25.9259,20.6667,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,"Apotheca, Ltd",1,customer_rank_in_discount_bucket,1.0,56,,54,33,4,6,643379.56,238009.5915,36.9937,12.4107,20.0,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,Ole Group,2,customer_rank_in_discount_bucket,2.0,64,,60,36,4,6,624002.49,222423.715,35.6447,12.0313,20.2344,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,Qualitest ,3,customer_rank_in_discount_bucket,3.0,56,,51,32,4,6,543257.775,200173.1885,36.8468,12.0536,19.0,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,Llorens Ltd,4,customer_rank_in_discount_bucket,4.0,51,,50,36,4,6,542857.45,190590.012,35.1087,12.1569,20.4706,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,E. Ltd,5,customer_rank_in_discount_bucket,5.0,63,,55,30,4,6,525010.66,170852.158,32.5426,12.1429,22.3016,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,Apollo Ltd,6,customer_rank_in_discount_bucket,6.0,55,,47,33,4,6,508756.795,183464.7835,36.0614,11.8182,22.8545,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,ETUDE Ltd,7,customer_rank_in_discount_bucket,7.0,54,,53,34,4,6,502765.99,221294.916,44.0155,11.3889,21.2963,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,mid_discount,S.S.S. Group,8,customer_rank_in_discount_bucket,8.0,46,,42,32,4,5,502110.73,177130.126,35.2771,11.413,20.1739,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,Medline ,1,customer_rank_in_discount_bucket,1.0,112,,100,42,4,6,1332692.98,523983.366,39.3176,6.1161,22.0179,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,Pure Group,2,customer_rank_in_discount_bucket,2.0,107,,94,44,4,6,1256481.15,465521.0328,37.0496,6.4019,21.8411,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,21st Ltd,3,customer_rank_in_discount_bucket,3.0,92,,81,42,4,6,1067447.35,376163.5458,35.2395,6.1685,21.8261,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,O.E. Ltd,4,customer_rank_in_discount_bucket,4.0,89,,84,39,4,6,1063515.455,391304.3403,36.7935,5.8989,21.5281,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,Sundial ,5,customer_rank_in_discount_bucket,5.0,103,,93,44,4,6,1052140.865,417465.8168,39.6777,6.0922,21.4078,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,Ei ,6,customer_rank_in_discount_bucket,6.0,102,,85,40,4,6,1044082.775,404016.7145,38.6959,6.2255,20.4902,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,"Elorac, Corp",7,customer_rank_in_discount_bucket,7.0,99,,86,37,4,6,1035931.0525,404018.2248,39.0005,6.2374,19.404,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,low_discount,Trigen ,8,customer_rank_in_discount_bucket,8.0,84,,77,38,4,6,1027707.1375,362042.376,35.2282,6.131,20.7619,,Identify customers that dominate each discount tier.
channel_discount_quality,channel_discount_bucket,Distributor,mid_discount,,discount_bucket,,366,50,227,47,,6,3588378.965,1316589.201,36.6904,11.9399,20.9727,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,In-Store,mid_discount,,discount_bucket,,950,50,338,47,,6,8022850.345,3004693.708,37.4517,12.0789,20.4189,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Online,mid_discount,,discount_bucket,,707,50,318,47,,6,6049413.585,2182361.7535,36.0756,12.0863,20.9349,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Wholesale,mid_discount,,discount_bucket,,282,50,201,47,,6,2368901.245,902549.9,38.0999,12.2518,20.5071,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Online,low_discount,,discount_bucket,,1302,50,362,47,,6,12502923.0975,4670629.143,37.3563,6.154,20.9278,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Distributor,low_discount,,discount_bucket,,772,50,320,47,,6,7815123.7125,2918019.5103,37.3381,6.1464,20.9754,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,In-Store,low_discount,,discount_bucket,,1798,50,361,47,,6,17625721.49,6544577.67,37.1308,6.1499,20.7102,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Wholesale,low_discount,,discount_bucket,,481,50,267,47,,6,4855606.915,1873376.322,38.5817,6.159,20.6403,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,In-Store,high_discount,,discount_bucket,,550,50,294,47,,6,4454332.86,1700699.648,38.1808,27.2909,20.0364,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Online,high_discount,,discount_bucket,,416,50,231,47,,6,3146222.18,1159705.182,36.8602,28.0769,20.601,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Distributor,high_discount,,discount_bucket,,237,50,168,47,,6,1765644.97,675242.89,38.2434,27.0464,20.3797,,Check whether discount quality differs by sales channel.
channel_discount_quality,channel_discount_bucket,Wholesale,high_discount,,discount_bucket,,130,48,114,44,,6,948260.38,342943.377,36.1655,28.3846,19.3308,,Check whether discount quality differs by sales channel.
region_discount_quality,region_discount_bucket,Midwest,mid_discount,,discount_bucket,,499,50,78,47,4,4,4358325.21,1623876.892,37.2592,12.0641,20.0501,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,Northeast,low_discount,,discount_bucket,,529,50,46,47,4,3,4775650.9575,1800872.0317,37.7095,6.087,20.9868,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,Midwest,high_discount,,discount_bucket,,286,50,77,47,4,4,2276858.32,844449.472,37.0884,27.2727,20.0559,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,South,mid_discount,,discount_bucket,,730,50,116,47,4,5,6264625.29,2312577.717,36.9149,12.1164,20.9836,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,South,low_discount,,discount_bucket,,1429,50,116,47,4,5,14133049.345,5247079.895,37.1263,6.1984,20.9069,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,West,high_discount,,discount_bucket,,458,50,121,47,4,6,3690623.31,1442489.691,39.0853,27.8166,20.1135,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,West,mid_discount,,discount_bucket,,811,50,127,47,4,6,6980084.79,2567110.9605,36.7776,12.016,20.6708,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,Midwest,low_discount,,discount_bucket,,880,50,78,47,4,4,8847823.5225,3346028.7145,37.8175,6.071,21.1352,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,Northeast,mid_discount,,discount_bucket,,265,50,46,47,4,3,2426508.85,902628.993,37.1987,12.2075,21.0226,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,Northeast,high_discount,,discount_bucket,,176,50,44,44,4,3,1270310.62,454343.566,35.7663,29.2045,20.0057,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,South,high_discount,,discount_bucket,,413,50,115,47,4,5,3076668.14,1137308.368,36.9656,26.9007,20.4939,,Check whether discount quality differs by store region.
region_discount_quality,region_discount_bucket,West,low_discount,,discount_bucket,,1515,50,127,47,4,6,15042851.39,5612622.004,37.3109,6.1766,20.4812,,Check whether discount quality differs by store region.
high_discount_customer_product_pockets,customer_product_high_discount,"Exact-Rx, Corp",Basketball,1,pair_rank_in_high_discount,1.0,3,,3,,2,3,68181.88,31848.512,46.7111,23.3333,21.3333,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,"Apotheca, Ltd",Collectibles,2,pair_rank_in_high_discount,2.0,3,,3,,2,3,59013.6,23755.496,40.2543,20.0,22.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Wuxi Group,Sculptures,3,pair_rank_in_high_discount,3.0,2,,2,,2,2,57274.28,27814.304,48.5633,35.0,17.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Prasco Group,Bar Tools,4,pair_rank_in_high_discount,4.0,3,,3,,2,3,56858.88,17211.2,30.27,20.0,15.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,OUR Ltd,Rugs,5,pair_rank_in_high_discount,5.0,2,,2,,1,1,52469.04,13452.392,25.6387,25.0,22.5,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,OUR Ltd,Table Lamps,6,pair_rank_in_high_discount,6.0,3,,3,,2,1,51854.65,15634.754,30.1511,23.3333,22.3333,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,OHTA'S Corp,Sculptures,7,pair_rank_in_high_discount,7.0,2,,2,,2,1,51702.56,24052.56,46.521,20.0,18.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Apollo Ltd,Outdoor Furniture,8,pair_rank_in_high_discount,8.0,2,,2,,2,2,51230.88,19309.952,37.692,25.0,26.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Amylin Group,Rugs,9,pair_rank_in_high_discount,9.0,3,,3,,2,1,44194.54,22762.208,51.5046,26.6667,19.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Ei ,Sculptures,10,pair_rank_in_high_discount,10.0,2,,2,,2,2,43976.12,24716.686,56.2048,30.0,28.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Medsep Group,Wardrobes,11,pair_rank_in_high_discount,11.0,2,,2,,1,2,42965.76,8090.6,18.8303,20.0,15.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Ole Group,Clocks,12,pair_rank_in_high_discount,12.0,1,,1,,1,1,41036.16,9027.968,22.0,20.0,15.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Apollo Ltd,Serveware,13,pair_rank_in_high_discount,13.0,3,,3,,2,2,39733.68,11384.676,28.6525,23.3333,15.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Rochester Ltd,Candles,14,pair_rank_in_high_discount,14.0,2,,2,,2,2,39607.72,12785.2,32.2796,30.0,23.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Avon Corp,Basketball,15,pair_rank_in_high_discount,15.0,3,,3,,2,3,38767.54,8181.6,21.1043,26.6667,28.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Victory Ltd,Floral,16,pair_rank_in_high_discount,16.0,1,,1,,1,1,38334.72,9200.32,24.0,20.0,32.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Prasco Group,Bedroom Furniture,17,pair_rank_in_high_discount,17.0,2,,2,,1,2,38173.92,20183.184,52.8717,20.0,22.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Weimei Corp,Clocks,18,pair_rank_in_high_discount,18.0,2,,2,,2,2,38130.37,13080.373,34.3043,25.0,16.0,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,Weimei Corp,Candleholders,19,pair_rank_in_high_discount,19.0,4,,4,,4,3,38054.66,10248.49,26.931,32.5,19.5,,Find high-discount customer-product pockets that may need separate interpretation.
high_discount_customer_product_pockets,customer_product_high_discount,ETUDE Ltd,Furniture Cushions,20,pair_rank_in_high_discount,20.0,4,,4,,2,3,37698.22,18304.929,48.5565,30.0,17.0,,Find high-discount customer-product pockets that may need separate interpretation.
