evidence_block,grain,item,item_2,item_3,rank_label,rank_value,users,reviews,businesses,avg_user_stars,avg_review_stars,avg_business_stars,elite_review_rate_pct,long_review_rate_pct,share_pct,notes
compliment_type_overlay,compliment_type,list,Low,,compliment_row_rank,11,2180,44561,8884,3.7815,3.7729,3.744,85.8711,32.7641,2.2063,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cool,Medium,,compliment_row_rank,12,2138,37576,8334,3.7931,3.7807,3.7554,83.8008,27.8209,2.1637,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,plain,Medium,,compliment_row_rank,13,1916,33975,8050,3.7853,3.7785,3.7407,82.3753,29.1096,1.9391,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,note,Medium,,compliment_row_rank,14,1670,41542,8760,3.7658,3.7514,3.7415,86.5221,30.894,1.6901,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,hot,Medium,,compliment_row_rank,15,1546,29042,7458,3.7806,3.7726,3.7495,87.0188,30.0461,1.5646,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,writer,Medium,,compliment_row_rank,16,1362,31998,7822,3.7783,3.7497,3.7431,88.5337,36.2554,1.3784,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,funny,Medium,,compliment_row_rank,17,1084,23602,6931,3.7466,3.727,3.7236,83.4167,32.5269,1.0971,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cool,High,,compliment_row_rank,18,791,22726,6707,3.7672,3.7477,3.7282,89.1666,37.1557,0.8005,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,plain,High,,compliment_row_rank,19,712,18847,6320,3.7407,3.716,3.7233,87.4622,38.4836,0.7206,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,hot,High,,compliment_row_rank,20,576,17410,6067,3.7955,3.7613,3.7237,90.1034,38.0528,0.5829,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,photos,Medium,,compliment_row_rank,21,552,12121,5208,3.7959,3.7645,3.7347,94.9179,36.8121,0.5586,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,more,Medium,,compliment_row_rank,22,529,12958,5291,3.8649,3.8132,3.7324,97.7697,40.1837,0.5354,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,note,High,,compliment_row_rank,23,491,14489,5583,3.7919,3.7563,3.7317,96.5905,39.14,0.4969,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cool,Uber,,compliment_row_rank,24,460,13429,5480,3.8461,3.7989,3.7391,99.5532,43.6295,0.4655,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,plain,Uber,,compliment_row_rank,25,437,13946,5752,3.8581,3.8123,3.7411,98.3221,41.969,0.4423,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,funny,High,,compliment_row_rank,26,419,12296,5164,3.8428,3.7969,3.7171,91.3305,45.1773,0.424,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,writer,High,,compliment_row_rank,27,384,10583,4783,3.8143,3.7699,3.7301,99.2157,41.8785,0.3886,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cute,Medium,,compliment_row_rank,28,382,10077,4544,3.7977,3.7773,3.7367,98.2733,40.8356,0.3866,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,hot,Uber,,compliment_row_rank,29,349,12301,5183,3.8224,3.7759,3.7361,99.7886,43.1428,0.3532,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,profile,Medium,,compliment_row_rank,30,309,4776,2858,3.9182,3.8853,3.7379,99.4556,42.4623,0.3127,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,list,Medium,,compliment_row_rank,31,277,7461,3933,3.85,3.7963,3.7181,96.9843,42.1927,0.2803,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,funny,Uber,,compliment_row_rank,32,246,5118,2962,3.7141,3.7278,3.7287,99.238,48.2024,0.249,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,note,Uber,,compliment_row_rank,33,210,6959,3740,3.8581,3.8109,3.7226,99.5833,44.5754,0.2125,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,writer,Uber,,compliment_row_rank,34,162,4038,2468,3.873,3.8383,3.752,99.6038,51.6345,0.164,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,photos,High,,compliment_row_rank,35,154,3971,2531,3.9273,3.8774,3.7871,98.1617,47.9476,0.1559,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,more,High,,compliment_row_rank,36,122,2175,1587,3.7462,3.777,3.7025,99.5402,51.4483,0.1235,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cute,High,,compliment_row_rank,37,115,1162,861,3.679,3.722,3.6988,99.1394,47.6764,0.1164,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,profile,High,,compliment_row_rank,38,90,2247,1624,3.7559,3.7219,3.7045,99.1989,53.4045,0.0911,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,photos,Uber,,compliment_row_rank,39,78,1422,1094,3.6178,3.6428,3.6195,98.8748,42.6864,0.0789,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,list,High,,compliment_row_rank,40,71,1790,1328,3.8235,3.7905,3.7246,99.2179,57.9888,0.0719,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,cute,Uber,,compliment_row_rank,41,38,887,761,3.9543,3.9402,3.8044,98.9853,63.3596,0.0385,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,profile,Uber,,compliment_row_rank,42,26,156,128,3.8077,3.8397,3.6731,96.1538,60.2564,0.0263,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,more,Uber,,compliment_row_rank,43,23,537,501,3.5689,3.5196,3.6164,98.324,44.3203,0.0233,compliment recognition types joined back to review behavior
compliment_type_overlay,compliment_type,list,Uber,,compliment_row_rank,44,8,52,49,3.5577,3.6346,3.7212,90.3846,63.4615,0.0081,compliment recognition types joined back to review behavior
category_influence_overlay,category,Restaurants,,,category_review_rank,1,55452,224732,5556,3.7588,3.7587,3.7549,28.0494,20.4906,22.2404,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Food,,,category_review_rank,2,18681,46292,2091,3.7975,3.9198,3.9231,33.3276,17.2665,4.5812,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Nightlife,,,category_review_rank,3,17895,42268,752,3.7691,3.7479,3.7518,33.2024,22.6034,4.183,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Bars,,,category_review_rank,4,16706,38294,628,3.7727,3.7609,3.7684,32.8198,22.1392,3.7897,largest categories viewed through reviewer influence composition
category_influence_overlay,category,American (New),,,category_review_rank,5,16598,34085,441,3.7973,3.8666,3.8795,30.2949,24.7646,3.3732,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Mexican,,,category_review_rank,6,15435,28201,822,3.7441,3.6615,3.6459,26.3856,17.8327,2.7909,largest categories viewed through reviewer influence composition
category_influence_overlay,category,American (Traditional),,,category_review_rank,7,14456,26792,607,3.7297,3.6108,3.6201,29.2699,20.3941,2.6514,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Italian,,,category_review_rank,8,13543,23761,365,3.7849,3.8945,3.9095,26.3794,22.2339,2.3515,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Pizza,,,category_review_rank,9,13368,23544,589,3.757,3.816,3.8186,27.1959,19.3255,2.33,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Breakfast & Brunch,,,category_review_rank,10,12806,21988,312,3.7906,3.8456,3.8458,28.5246,20.1564,2.176,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Sandwiches,,,category_review_rank,11,11877,21543,609,3.7884,3.8838,3.8869,30.2001,18.3865,2.132,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Shopping,,,category_review_rank,12,9000,20492,2498,3.7554,3.7347,3.7433,38.0734,17.7874,2.028,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Burgers,,,category_review_rank,13,8657,14179,380,3.7401,3.6819,3.6829,28.2954,18.069,1.4032,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Coffee & Tea,,,category_review_rank,14,6919,11586,404,3.8544,4.0185,4.0159,29.0437,15.6396,1.1466,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Arts & Entertainment,,,category_review_rank,15,6242,11516,385,3.7705,3.8367,3.8283,41.6551,24.5485,1.1397,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Chinese,,,category_review_rank,16,7001,10836,346,3.7081,3.5884,3.5721,25.8306,18.5031,1.0724,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Sushi Bars,,,category_review_rank,17,6939,10538,124,3.7626,3.6607,3.6397,26.5895,19.795,1.0429,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Hotels & Travel,,,category_review_rank,18,7801,10197,494,3.6833,3.5163,3.4859,35.7556,27.7336,1.0091,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Event Planning & Services,,,category_review_rank,19,7414,9597,588,3.7193,3.6656,3.6773,33.3125,27.4982,0.9498,largest categories viewed through reviewer influence composition
category_influence_overlay,category,Beauty & Spas,,,category_review_rank,20,6709,8719,1109,3.8476,3.9794,3.9677,21.3671,19.6467,0.8629,largest categories viewed through reviewer influence composition
