evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,states,calls,reviews,avg_stars,avg_priority,avg_service_seconds,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,complaint_share_pct,review_share_pct,notes
state_complaint_quality,state,West,UT,,state_volume_rank,18.0,271,66,1,1,34,,,0.6471,544.9118,2.6421,16.2362,2.583,4.428,1.1572,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,West,NM,,state_volume_rank,19.0,270,60,1,1,27,,,0.7407,674.8148,3.2963,22.2222,1.1111,1.8519,1.1529,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,South,MD,,state_volume_rank,20.0,260,61,1,1,28,,,1.0357,679.4286,3.6769,18.4615,0.7692,1.9231,1.1102,,Identify states where complaint scale and outcome quality diverge.
district_complaint_quality,district,1,New York City,Northeast,district_volume_rank,1.0,2943,654,1,1,312,,,0.8365,711.6282,2.5059,17.9069,1.4271,3.0921,12.5667,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,74,Chicago,Midwest,district_volume_rank,2.0,797,179,1,1,76,,,0.8026,713.8158,3.409,18.6951,1.6311,1.8821,3.4032,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,70,Los Angeles,West,district_volume_rank,3.0,698,166,1,1,70,,,0.7571,662.9429,2.9398,17.765,1.0029,2.2923,2.9805,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,54,Houston,South,district_volume_rank,4.0,680,153,1,1,64,,,0.8281,764.4531,2.6103,21.1765,1.0294,2.5,2.9036,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,64,Phoenix,West,district_volume_rank,5.0,475,108,1,1,49,,,0.8163,726.7959,2.2758,16.8421,0.8421,1.8947,2.0283,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,72,Philadelphia,Northeast,district_volume_rank,6.0,446,103,1,1,56,,,0.5714,700.4643,2.7152,16.3677,1.7937,3.139,1.9044,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,68,Cranston,Northeast,district_volume_rank,7.0,361,85,1,1,41,,,1.1463,646.0244,2.5235,19.9446,3.3241,2.7701,1.5415,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,8,Washington,South,district_volume_rank,8.0,333,68,1,1,27,,,0.8148,632.9259,2.7357,22.2222,2.4024,2.4024,1.4219,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,59,Quincy,Northeast,district_volume_rank,9.0,318,64,1,1,29,,,0.7931,792.6552,2.0377,18.5535,0.6289,3.1447,1.3579,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,52,New Haven,Northeast,district_volume_rank,10.0,311,73,1,1,35,,,1.0,737.8857,3.1029,16.7203,1.9293,5.1447,1.328,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,46,San Diego,West,district_volume_rank,11.0,304,74,1,1,30,,,0.7333,787.3667,2.0164,21.7105,2.6316,3.2895,1.2981,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,3,Columbus,Midwest,district_volume_rank,12.0,294,63,1,1,28,,,1.0,560.9286,1.8639,18.3673,1.0204,2.7211,1.2554,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,36,Providence,Northeast,district_volume_rank,13.0,294,66,1,1,36,,,0.8333,752.2222,2.2687,16.3265,0.6803,2.0408,1.2554,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,47,Charleston,unknown,district_volume_rank,14.0,291,63,1,1,30,,,0.9667,685.8333,3.1168,21.6495,1.3746,3.4364,1.2426,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,19,Atlanta,South,district_volume_rank,15.0,288,63,1,1,28,,,0.8214,576.9286,1.9965,20.1389,0.6944,3.125,1.2298,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,38,Bridgeport,Northeast,district_volume_rank,16.0,285,65,1,1,31,,,0.6774,667.4194,2.4667,19.6491,2.1053,2.807,1.217,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,60,Lynn,Northeast,district_volume_rank,17.0,285,60,1,1,31,,,0.7097,750.4194,3.7053,14.0351,1.4035,1.7544,1.217,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,5,Indianapolis,Midwest,district_volume_rank,18.0,280,69,1,1,41,,,0.4878,711.9024,3.1679,16.0714,1.7857,2.1429,1.1956,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,66,Warwick,Northeast,district_volume_rank,19.0,279,66,1,1,36,,,0.8333,696.5,2.6022,21.5054,0.7168,3.9427,1.1913,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,15,Louisville,South,district_volume_rank,20.0,277,63,1,1,31,,,0.7097,770.6452,2.4801,22.7437,2.1661,0.722,1.1828,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,73,New Britain,Northeast,district_volume_rank,21.0,275,60,1,1,33,,,0.9697,780.2424,3.0618,17.8182,1.4545,3.6364,1.1743,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,31,Des Moines,Midwest,district_volume_rank,22.0,272,58,1,1,20,,,1.1,615.35,2.7757,19.1176,0.0,2.9412,1.1615,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,9,Boston,Northeast,district_volume_rank,23.0,271,60,1,1,33,,,0.7576,634.5758,2.845,22.1402,3.321,4.059,1.1572,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,33,Salt Lake City,West,district_volume_rank,24.0,271,66,1,1,34,,,0.6471,544.9118,2.6421,16.2362,2.583,4.428,1.1572,,Find local complaint pockets and avoid only reading region totals.
district_complaint_quality,district,18,Albuquerque,West,district_volume_rank,25.0,270,60,1,1,27,,,0.7407,674.8148,3.2963,22.2222,1.1111,1.8519,1.1529,,Find local complaint pockets and avoid only reading region totals.
region_product_mix,region_product,Midwest,Bank account or service,,product_rank_in_region,1.0,2070,743,12,12,255,,,0.7686,651.298,2.4821,16.9082,0.7729,1.256,8.839,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,Midwest,Credit card,,product_rank_in_region,2.0,1420,670,12,12,105,,,0.7238,717.6095,3.5585,20.7746,2.1127,4.6479,6.0635,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,South,Bank account or service,,product_rank_in_region,1.0,2713,957,17,16,332,,,0.8313,734.8133,2.6141,16.2182,1.1795,1.1058,11.5846,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,South,Credit card,,product_rank_in_region,2.0,1755,842,17,16,128,,,0.7422,642.8516,2.5077,24.5584,1.4245,4.5014,7.4939,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,West,Bank account or service,,product_rank_in_region,1.0,2285,800,13,12,294,,,0.7687,686.0136,2.1606,15.8862,1.3567,1.2691,9.757,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,West,Credit card,,product_rank_in_region,2.0,1484,722,13,12,104,,,0.7019,651.1346,2.7844,24.4609,2.2237,4.8518,6.3367,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,Northeast,Bank account or service,,product_rank_in_region,1.0,6574,2317,32,8,860,,,0.8209,707.9209,2.5113,16.6413,1.0952,1.7493,28.0712,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,Northeast,Credit card,,product_rank_in_region,2.0,4383,2030,32,8,340,,,0.8235,736.2471,2.6445,22.0169,2.715,5.3616,18.7156,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,unknown,Bank account or service,,product_rank_in_region,1.0,449,149,3,3,64,,,0.7188,627.0,2.3519,16.7038,0.4454,0.4454,1.9172,,Check whether regional differences are partly product-mix differences.
region_product_mix,region_product,unknown,Credit card,,product_rank_in_region,2.0,286,142,3,3,22,,,1.0,594.2727,3.0175,27.2727,3.8462,6.2937,1.2212,,Check whether regional differences are partly product-mix differences.
district_issue_mix,district_issue,3,"Account opening, closing, or management",Columbus,issue_rank_in_district,1.0,69,39,1,1,7,,,1.2857,552.0,1.7971,15.942,1.4493,1.4493,0.2946,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,3,Deposits and withdrawals,Columbus,issue_rank_in_district,2.0,45,35,1,1,7,,,1.0,416.1429,2.0444,15.5556,0.0,2.2222,0.1922,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,3,Problems caused by my funds being low,Columbus,issue_rank_in_district,3.0,28,22,1,1,2,,,1.0,877.5,2.3571,10.7143,0.0,0.0,0.1196,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,6,"Account opening, closing, or management",Seattle,issue_rank_in_district,1.0,58,38,1,1,12,,,1.0833,618.25,2.3448,20.6897,3.4483,0.0,0.2477,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,6,Deposits and withdrawals,Seattle,issue_rank_in_district,2.0,45,28,1,1,7,,,0.2857,431.4286,1.8222,26.6667,4.4444,2.2222,0.1922,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,6,Billing disputes,Seattle,issue_rank_in_district,3.0,19,16,1,1,2,,,1.0,547.0,1.4211,36.8421,5.2632,10.5263,0.0811,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,38,Deposits and withdrawals,Bridgeport,issue_rank_in_district,1.0,54,36,1,1,8,,,0.875,625.0,3.0556,9.2593,5.5556,1.8519,0.2306,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,38,"Account opening, closing, or management",Bridgeport,issue_rank_in_district,2.0,50,36,1,1,8,,,0.25,642.625,3.72,22.0,0.0,2.0,0.2135,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,38,Problems caused by my funds being low,Bridgeport,issue_rank_in_district,3.0,24,20,1,1,2,,,0.5,247.5,2.9167,25.0,0.0,4.1667,0.1025,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,41,"Account opening, closing, or management",Manchester,issue_rank_in_district,1.0,39,25,1,1,6,,,1.0,593.6667,1.9487,20.5128,5.1282,2.5641,0.1665,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,41,Deposits and withdrawals,Manchester,issue_rank_in_district,2.0,27,19,1,1,4,,,1.75,820.5,4.1481,18.5185,0.0,3.7037,0.1153,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,41,Problems caused by my funds being low,Manchester,issue_rank_in_district,3.0,21,19,1,1,2,,,1.0,665.0,1.619,23.8095,0.0,0.0,0.0897,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,58,"Account opening, closing, or management",Brockton,issue_rank_in_district,1.0,42,26,1,1,7,,,0.8571,789.5714,7.6905,14.2857,4.7619,0.0,0.1793,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,58,Deposits and withdrawals,Brockton,issue_rank_in_district,2.0,34,25,1,1,3,,,0.0,486.6667,1.0882,23.5294,2.9412,0.0,0.1452,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,58,Problems caused by my funds being low,Brockton,issue_rank_in_district,3.0,14,12,1,1,1,,,0.0,829.0,3.2143,7.1429,7.1429,0.0,0.0598,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,73,"Account opening, closing, or management",New Britain,issue_rank_in_district,1.0,81,44,1,1,12,,,1.0,854.75,2.9383,18.5185,0.0,1.2346,0.3459,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,73,Deposits and withdrawals,New Britain,issue_rank_in_district,2.0,38,25,1,1,6,,,1.1667,667.5,6.7895,13.1579,0.0,5.2632,0.1623,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,73,Problems caused by my funds being low,New Britain,issue_rank_in_district,3.0,24,18,1,1,3,,,0.3333,917.0,1.0417,12.5,0.0,0.0,0.1025,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,76,"Account opening, closing, or management",Yonkers,issue_rank_in_district,1.0,77,45,1,1,15,,,1.0667,888.5333,2.5974,15.5844,0.0,1.2987,0.3288,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,76,Deposits and withdrawals,Yonkers,issue_rank_in_district,2.0,37,28,1,1,5,,,1.0,874.8,3.4595,27.027,0.0,0.0,0.158,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,76,Billing disputes,Yonkers,issue_rank_in_district,3.0,19,17,1,1,4,,,0.25,874.25,2.5263,10.5263,0.0,10.5263,0.0811,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,12,"Account opening, closing, or management",Portland,issue_rank_in_district,1.0,57,32,1,1,15,,,0.8,767.6,3.1053,21.0526,1.7544,3.5088,0.2434,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,12,Deposits and withdrawals,Portland,issue_rank_in_district,2.0,33,23,1,1,5,,,0.4,780.8,2.2727,18.1818,3.0303,0.0,0.1409,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,12,Problems caused by my funds being low,Portland,issue_rank_in_district,3.0,30,22,1,1,0,,,,,1.4667,3.3333,0.0,3.3333,0.1281,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,20,"Account opening, closing, or management",Kansas City,issue_rank_in_district,1.0,41,25,1,1,6,,,0.6667,566.5,4.0488,14.6341,2.439,2.439,0.1751,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,20,Deposits and withdrawals,Kansas City,issue_rank_in_district,2.0,34,21,1,1,6,,,0.6667,700.0,3.0882,26.4706,0.0,2.9412,0.1452,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,20,Problems caused by my funds being low,Kansas City,issue_rank_in_district,3.0,22,15,1,1,1,,,0.0,574.0,1.1818,9.0909,0.0,0.0,0.0939,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,36,"Account opening, closing, or management",Providence,issue_rank_in_district,1.0,71,46,1,1,11,,,1.0909,839.0909,1.7183,21.1268,0.0,1.4085,0.3032,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,36,Deposits and withdrawals,Providence,issue_rank_in_district,2.0,51,37,1,1,8,,,0.75,794.125,2.3333,1.9608,0.0,0.0,0.2178,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,36,Problems caused by my funds being low,Providence,issue_rank_in_district,3.0,29,23,1,1,1,,,0.0,520.0,1.4828,6.8966,0.0,0.0,0.1238,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,68,"Account opening, closing, or management",Cranston,issue_rank_in_district,1.0,106,66,1,1,15,,,1.0,628.3333,3.5,16.0377,0.9434,0.9434,0.4526,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,68,Deposits and withdrawals,Cranston,issue_rank_in_district,2.0,57,41,1,1,9,,,1.3333,531.0,2.386,19.2982,3.5088,0.0,0.2434,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,68,Problems caused by my funds being low,Cranston,issue_rank_in_district,3.0,39,34,1,1,4,,,1.0,570.5,2.4872,10.2564,2.5641,2.5641,0.1665,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,69,"Account opening, closing, or management",Lawrence,issue_rank_in_district,1.0,82,44,1,1,12,,,0.9167,536.9167,3.5,21.9512,6.0976,1.2195,0.3501,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,69,Deposits and withdrawals,Lawrence,issue_rank_in_district,2.0,35,26,1,1,5,,,1.0,1003.4,1.7143,22.8571,2.8571,5.7143,0.1495,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,69,Problems caused by my funds being low,Lawrence,issue_rank_in_district,3.0,19,17,1,1,3,,,0.0,676.3333,0.4737,15.7895,0.0,0.0,0.0811,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,53,"Account opening, closing, or management",Hartford,issue_rank_in_district,1.0,55,37,1,1,7,,,1.0,1086.8571,2.2364,18.1818,0.0,3.6364,0.2349,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,53,Deposits and withdrawals,Hartford,issue_rank_in_district,2.0,43,30,1,1,5,,,0.6,691.2,3.3953,11.6279,0.0,2.3256,0.1836,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,53,Problems caused by my funds being low,Hartford,issue_rank_in_district,3.0,18,13,1,1,2,,,0.5,975.5,0.8333,22.2222,0.0,5.5556,0.0769,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,4,Deposits and withdrawals,Charlotte,issue_rank_in_district,1.0,53,33,1,1,2,,,1.0,966.0,3.5472,3.7736,1.8868,0.0,0.2263,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,4,"Account opening, closing, or management",Charlotte,issue_rank_in_district,2.0,49,34,1,1,4,,,0.5,869.25,1.6939,22.449,0.0,0.0,0.2092,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,4,Problems caused by my funds being low,Charlotte,issue_rank_in_district,3.0,19,16,1,1,2,,,0.0,1057.5,2.3684,5.2632,0.0,0.0,0.0811,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,23,"Account opening, closing, or management",Minneapolis,issue_rank_in_district,1.0,61,38,1,1,7,,,0.5714,504.4286,1.5082,21.3115,0.0,1.6393,0.2605,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,23,Deposits and withdrawals,Minneapolis,issue_rank_in_district,2.0,37,28,1,1,6,,,0.8333,762.8333,3.8108,13.5135,0.0,0.0,0.158,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,23,Problems caused by my funds being low,Minneapolis,issue_rank_in_district,3.0,30,24,1,1,4,,,1.25,587.75,0.9,6.6667,0.0,3.3333,0.1281,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,24,"Account opening, closing, or management",New Orleans,issue_rank_in_district,1.0,63,34,1,1,8,,,0.25,795.625,2.1429,22.2222,0.0,1.5873,0.269,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,24,Deposits and withdrawals,New Orleans,issue_rank_in_district,2.0,25,16,1,1,2,,,1.0,890.5,1.84,16.0,0.0,4.0,0.1068,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,24,Problems caused by my funds being low,New Orleans,issue_rank_in_district,3.0,15,10,1,1,0,,,,,1.2,20.0,0.0,0.0,0.0641,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,33,"Account opening, closing, or management",Salt Lake City,issue_rank_in_district,1.0,76,44,1,1,11,,,0.4545,494.7273,2.5263,11.8421,0.0,0.0,0.3245,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,33,Deposits and withdrawals,Salt Lake City,issue_rank_in_district,2.0,37,26,1,1,2,,,0.0,414.0,3.0811,16.2162,0.0,2.7027,0.158,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,33,"Making/receiving payments, sending money",Salt Lake City,issue_rank_in_district,3.0,22,19,1,1,6,,,0.6667,630.5,3.3182,22.7273,0.0,13.6364,0.0939,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,40,"Account opening, closing, or management",Fargo,issue_rank_in_district,1.0,57,33,1,1,10,,,0.8,533.3,2.8947,19.2982,1.7544,1.7544,0.2434,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,40,Deposits and withdrawals,Fargo,issue_rank_in_district,2.0,35,28,1,1,5,,,0.8,658.8,3.4,20.0,0.0,2.8571,0.1495,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,40,Problems caused by my funds being low,Fargo,issue_rank_in_district,3.0,22,20,1,1,1,,,0.0,520.0,1.9091,4.5455,0.0,0.0,0.0939,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,43,"Account opening, closing, or management",Wilmington,issue_rank_in_district,1.0,68,39,1,1,12,,,1.0833,656.1667,2.0588,14.7059,0.0,1.4706,0.2904,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,43,Deposits and withdrawals,Wilmington,issue_rank_in_district,2.0,40,31,1,1,8,,,0.875,696.25,4.525,15.0,2.5,0.0,0.1708,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,43,Problems caused by my funds being low,Wilmington,issue_rank_in_district,3.0,16,12,1,1,3,,,1.3333,671.6667,1.375,12.5,0.0,0.0,0.0683,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,45,"Account opening, closing, or management",Cheyenne,issue_rank_in_district,1.0,64,39,1,1,8,,,0.75,801.875,3.1563,17.1875,1.5625,1.5625,0.2733,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,45,Deposits and withdrawals,Cheyenne,issue_rank_in_district,2.0,37,28,1,1,8,,,0.875,851.0,3.2703,16.2162,0.0,0.0,0.158,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,45,Problems caused by my funds being low,Cheyenne,issue_rank_in_district,3.0,20,14,1,1,2,,,1.0,398.0,0.8,10.0,0.0,0.0,0.0854,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,51,"Account opening, closing, or management",Springfield,issue_rank_in_district,1.0,54,39,1,1,8,,,1.5,696.75,2.0556,25.9259,0.0,0.0,0.2306,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,51,Deposits and withdrawals,Springfield,issue_rank_in_district,2.0,44,30,1,1,10,,,0.8,757.2,3.2727,22.7273,6.8182,0.0,0.1879,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,51,Problems caused by my funds being low,Springfield,issue_rank_in_district,3.0,26,22,1,1,2,,,0.5,836.5,3.3846,15.3846,0.0,0.0,0.111,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,56,"Account opening, closing, or management",Cambridge,issue_rank_in_district,1.0,60,38,1,1,7,,,1.1429,793.7143,1.7333,21.6667,1.6667,3.3333,0.2562,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,56,Deposits and withdrawals,Cambridge,issue_rank_in_district,2.0,33,24,1,1,1,,,0.0,814.0,1.2727,18.1818,0.0,3.0303,0.1409,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,56,Billing disputes,Cambridge,issue_rank_in_district,3.0,16,13,1,1,1,,,2.0,1060.0,2.25,25.0,12.5,0.0,0.0683,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,72,"Account opening, closing, or management",Philadelphia,issue_rank_in_district,1.0,94,63,1,1,12,,,0.3333,699.8333,2.5319,13.8298,0.0,0.0,0.4014,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,72,Deposits and withdrawals,Philadelphia,issue_rank_in_district,2.0,70,50,1,1,20,,,0.4,758.0,1.7857,24.2857,1.4286,8.5714,0.2989,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,72,Problems caused by my funds being low,Philadelphia,issue_rank_in_district,3.0,38,28,1,1,6,,,0.8333,604.1667,1.5263,13.1579,0.0,2.6316,0.1623,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,1,"Account opening, closing, or management",New York City,issue_rank_in_district,1.0,726,434,1,1,109,,,0.8257,687.0826,2.7534,17.3554,0.4132,1.2397,3.1,,Show which local issue types explain district complaint burden.
district_issue_mix,district_issue,1,Deposits and withdrawals,New York City,issue_rank_in_district,2.0,461,330,1,1,68,,,0.8382,695.6176,2.0911,16.269,0.8677,2.3861,1.9685,,Show which local issue types explain district complaint burden.
