evidence_block,grain,item,item_2,rank_label,rank_value,customers,orders,order_lines,products,product_lines,revenue,gross_margin_proxy,gross_margin_rate,payment_amount,payment_coverage,credit_limit,credit_utilization_proxy,avg_orders_per_customer,share_value,share_label,notes
repeat_customer_examples,customer,"UK Collectables, Ltd.",UK,low_coverage_rank,4.0,1,3,29,29,3,106610.72,43523.64,0.4082,61167.18,0.5737,92700.0,1.1501,3.0,0.0205,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,GiftsForHim.com,New Zealand,low_coverage_rank,5.0,1,3,26,26,5,94431.76,39321.91,0.4164,56662.38,0.6,77700.0,1.2153,3.0,0.0182,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Salzburg Collectables,Austria,repeat_rank,12.0,1,4,40,36,5,137480.07,54724.68,0.3981,85060.0,0.6187,71700.0,1.9174,4.0,0.0265,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Scandinavian Gift Ideas,Sweden,low_coverage_rank,7.0,1,3,38,38,6,120943.53,46777.54,0.3868,76776.44,0.6348,116400.0,1.039,3.0,0.0233,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Volvo Model Replicas, Co",Sweden,low_coverage_rank,8.0,1,4,19,19,5,66694.82,25138.38,0.3769,43680.65,0.6549,53100.0,1.256,4.0,0.0128,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Souveniers And Things Co.,Australia,repeat_rank,15.0,1,4,46,44,6,133907.12,52331.45,0.3908,91655.61,0.6845,93300.0,1.4352,4.0,0.0258,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,L'ordine Souveniers,Italy,low_coverage_rank,10.0,1,3,39,39,6,125505.57,48516.67,0.3866,90143.31,0.7182,121400.0,1.0338,3.0,0.0242,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Land of Toys Inc.,USA,repeat_rank,10.0,1,4,49,41,7,149085.15,58669.1,0.3935,107639.94,0.722,114900.0,1.2975,4.0,0.0287,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,La Rochelle Gifts,France,repeat_rank,9.0,1,4,53,43,6,158573.12,60875.3,0.3839,116949.68,0.7375,118200.0,1.3416,4.0,0.0305,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Extreme Desk Decorations, Ltd",New Zealand,low_coverage_rank,13.0,1,3,29,29,5,90332.38,38399.18,0.4251,66704.94,0.7384,86800.0,1.0407,3.0,0.0174,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Australian Collectables, Ltd",Australia,low_coverage_rank,14.0,1,3,23,23,4,55866.02,22433.82,0.4016,44920.76,0.8041,60300.0,0.9265,3.0,0.0108,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Danish Wholesale Imports,Denmark,repeat_rank,6.0,1,5,36,31,5,129085.12,50973.68,0.3949,107446.5,0.8324,83400.0,1.5478,5.0,0.0249,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Kelly's Gift Shop,New Zealand,repeat_rank,13.0,1,4,48,45,6,137460.79,51771.5,0.3766,114497.19,0.8329,110000.0,1.2496,4.0,0.0265,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Euro+ Shopping Channel,Spain,repeat_rank,1.0,1,26,259,106,7,820689.54,326519.66,0.3979,715738.98,0.8721,227600.0,3.6058,26.0,0.158,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Petit Auto,Belgium,low_coverage_rank,18.0,1,3,25,20,4,70851.58,25861.96,0.365,62253.85,0.8787,79900.0,0.8868,3.0,0.0136,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Diecast Classics Inc.,USA,repeat_rank,20.0,1,4,31,31,6,104358.69,40429.55,0.3874,98509.25,0.9439,100600.0,1.0374,4.0,0.0201,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Handji Gifts& Co,Singapore,repeat_rank,17.0,1,4,36,29,3,107746.75,41305.17,0.3834,105420.57,0.9784,97900.0,1.1006,4.0,0.0207,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Mini Gifts Distributors Ltd.,USA,repeat_rank,2.0,1,17,180,77,6,591827.34,236769.39,0.4001,584188.24,0.9871,210500.0,2.8115,17.0,0.114,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Muscle Machine Inc,USA,repeat_rank,8.0,1,4,48,32,4,177913.95,72370.09,0.4068,177913.95,1.0,138500.0,1.2846,4.0,0.0343,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Down Under Souveniers, Inc",New Zealand,repeat_rank,5.0,1,5,46,42,5,154622.08,60013.99,0.3881,154622.08,1.0,88000.0,1.7571,5.0,0.0298,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"AV Stores, Co.",UK,low_coverage_rank,25.0,1,3,51,37,4,148410.09,60095.86,0.4049,148410.09,1.0,136800.0,1.0849,3.0,0.0286,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Australian Collectors, Co.",Australia,repeat_rank,3.0,1,5,55,40,5,180585.07,70311.07,0.3894,180585.07,1.0,117300.0,1.5395,5.0,0.0348,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Tokyo Collectables, Ltd",Japan,repeat_rank,18.0,1,4,32,32,7,105548.73,43487.88,0.412,105548.73,1.0,94400.0,1.1181,4.0,0.0203,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Dragon Souveniers, Ltd.",Singapore,repeat_rank,4.0,1,5,43,37,6,156251.03,60477.38,0.3871,156251.03,1.0,103800.0,1.5053,5.0,0.0301,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Technics Stores Inc.,USA,repeat_rank,19.0,1,4,34,30,5,104545.22,41510.76,0.3971,104545.22,1.0,84600.0,1.2358,4.0,0.0201,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Corporate Gift Ideas Co.,USA,repeat_rank,16.0,1,4,41,40,5,132340.78,55674.28,0.4207,132340.78,1.0,105000.0,1.2604,4.0,0.0255,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Saveley & Henriot, Co.",France,low_coverage_rank,76.0,1,3,41,41,5,130305.35,53211.19,0.4084,130305.35,1.0,123900.0,1.0517,3.0,0.0251,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Rovelli Gifts,Italy,low_coverage_rank,77.0,1,3,48,34,4,127529.69,52309.63,0.4102,127529.69,1.0,119600.0,1.0663,3.0,0.0246,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Reims Collectables,France,repeat_rank,7.0,1,5,41,37,7,126983.19,52698.66,0.415,126983.19,1.0,81100.0,1.5658,5.0,0.0245,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,"Anna's Decorations, Ltd",Australia,repeat_rank,14.0,1,4,46,41,4,137034.22,54551.66,0.3981,137034.22,1.0,107800.0,1.2712,4.0,0.0264,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
country_repeat_profile,country,USA,,country_revenue_rank,1.0,36,112,1004,851,,3273280.05,1308815.59,0.3998,3040029.52,0.9287,2811700.0,1.1642,3.1111,0.9722,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Spain,,country_revenue_rank,2.0,7,36,342,182,,1099389.09,440004.54,0.4002,994438.53,0.9045,517800.0,2.1232,5.1429,0.7143,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,France,,country_revenue_rank,3.0,12,37,314,282,,1007374.02,413016.12,0.41,965750.58,0.9587,932300.0,1.0805,3.0833,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Australia,,country_revenue_rank,4.0,5,19,185,163,,562582.59,222207.18,0.395,509385.82,0.9054,430300.0,1.3074,3.8,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,New Zealand,,country_revenue_rank,5.0,4,15,149,142,,476847.01,189506.58,0.3974,392486.59,0.8231,362500.0,1.3154,3.75,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,UK,,country_revenue_rank,6.0,5,13,144,130,,436947.44,172964.26,0.3958,391503.9,0.896,443700.0,0.9848,2.6,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Italy,,country_revenue_rank,7.0,4,10,121,107,,360616.81,144459.86,0.4006,325254.55,0.9019,388800.0,0.9275,2.5,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Finland,,country_revenue_rank,8.0,3,9,92,91,,295149.35,117239.33,0.3972,295149.35,1.0,285800.0,1.0327,3.0,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Singapore,,country_revenue_rank,9.0,3,9,79,66,,263997.78,101782.55,0.3855,261671.6,0.9912,201700.0,1.3089,3.0,0.6667,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Denmark,,country_revenue_rank,10.0,2,7,63,58,,218994.92,85629.3,0.391,197356.3,0.9012,204200.0,1.0725,3.5,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Canada,,country_revenue_rank,11.0,3,7,70,67,,205911.86,78858.78,0.383,205911.86,1.0,228600.0,0.9008,2.3333,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Germany,,country_revenue_rank,12.0,13,7,62,53,,196470.99,77505.7,0.3945,196470.99,1.0,257100.0,0.7642,0.5385,0.1538,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Austria,,country_revenue_rank,13.0,2,7,55,51,,188540.06,73082.79,0.3876,136119.99,0.722,117000.0,1.6115,3.5,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Sweden,,country_revenue_rank,14.0,2,7,57,57,,187638.35,71915.92,0.3833,120457.09,0.642,169500.0,1.107,3.5,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Japan,,country_revenue_rank,15.0,2,6,52,52,,167909.95,67848.06,0.4041,167909.95,1.0,175600.0,0.9562,3.0,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Norway  ,,country_revenue_rank,16.0,2,5,53,53,,166621.51,66257.82,0.3977,166621.51,1.0,191900.0,0.8683,2.5,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Switzerland,,country_revenue_rank,17.0,3,2,31,17,,108777.92,43393.75,0.3989,108777.92,1.0,141300.0,0.7698,0.6667,0.3333,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Norway,,country_revenue_rank,18.0,1,4,32,32,,104224.79,41391.52,0.3971,104224.79,1.0,81700.0,1.2757,4.0,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Belgium,,country_revenue_rank,19.0,2,7,33,28,,100068.76,37555.95,0.3753,91471.03,0.9141,103400.0,0.9678,3.5,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Philippines,,country_revenue_rank,20.0,1,3,26,22,,87468.3,35987.68,0.4114,87468.3,1.0,81500.0,1.0732,3.0,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Ireland,,country_revenue_rank,21.0,2,2,16,16,,49898.27,19588.29,0.3926,49898.27,1.0,69400.0,0.719,1.0,0.5,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Hong Kong,,country_revenue_rank,22.0,1,2,16,12,,45480.79,16868.68,0.3709,45480.79,1.0,58600.0,0.7761,2.0,1.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Israel,,country_revenue_rank,23.0,1,0,0,0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Netherlands,,country_revenue_rank,24.0,1,0,0,0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Poland,,country_revenue_rank,25.0,1,0,0,0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Portugal,,country_revenue_rank,26.0,2,0,0,0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,Russia,,country_revenue_rank,27.0,1,0,0,0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
country_repeat_profile,country,South Africa,,country_revenue_rank,28.0,1,0,0,0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,repeat_customer_share,Country profile checks whether repeat value is concentrated in specific markets.
sales_rep_repeat_exposure,sales_rep,Gerard Hernandez,,sales_rep_revenue_rank,1.0,7,43,396,226,,1258577.81,504644.71,0.401,1112003.81,0.8835,642500.0,1.9589,6.1429,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Leslie Jennings,,sales_rep_revenue_rank,2.0,6,34,331,220,,1081530.54,435208.35,0.4024,989906.55,0.9153,602600.0,1.7948,5.6667,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Pamela Castillo,,sales_rep_revenue_rank,3.0,10,31,272,244,,868220.55,340727.9,0.3924,750201.87,0.8641,813400.0,1.0674,3.1,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Larry Bott,,sales_rep_revenue_rank,4.0,8,22,236,221,,732096.79,290203.59,0.3964,686653.25,0.9379,729500.0,1.0036,2.75,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Barry Jones,,sales_rep_revenue_rank,5.0,9,25,220,211,,704853.91,276659.25,0.3925,637672.65,0.9047,769600.0,0.9159,2.7778,0.8889,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,George Vanauf,,sales_rep_revenue_rank,6.0,8,22,211,194,,669377.05,269596.09,0.4028,584406.8,0.8731,647100.0,1.0344,2.75,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Peter Marsh,,sales_rep_revenue_rank,7.0,5,19,185,171,,584593.76,230811.75,0.3948,497907.16,0.8517,460400.0,1.2698,3.8,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Loui Bondur,,sales_rep_revenue_rank,8.0,6,20,177,162,,569485.75,234891.07,0.4125,569485.75,1.0,517400.0,1.1007,3.3333,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Andy Fixter,,sales_rep_revenue_rank,9.0,5,19,185,163,,562582.59,222207.18,0.395,509385.82,0.9054,430300.0,1.3074,3.8,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Steve Patterson,,sales_rep_revenue_rank,10.0,6,18,152,147,,505875.42,197879.23,0.3912,449219.13,0.888,489200.0,1.0341,3.0,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Foon Yue Tseng,,sales_rep_revenue_rank,11.0,7,17,142,126,,488212.67,194839.92,0.3991,488212.67,1.0,466300.0,1.047,2.4286,0.8571,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Mami Nishi,,sales_rep_revenue_rank,12.0,5,16,137,123,,457110.07,181181.8,0.3964,457110.07,1.0,419500.0,1.0897,3.2,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Martin Gerard,,sales_rep_revenue_rank,13.0,6,12,114,93,,387477.47,156878.63,0.4049,387477.47,1.0,431500.0,0.898,2.0,0.8333,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Julie Firrelli,,sales_rep_revenue_rank,14.0,6,14,124,123,,386663.2,152119.31,0.3934,386663.2,1.0,443500.0,0.8718,2.3333,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,Leslie Thompson,,sales_rep_revenue_rank,15.0,6,14,114,108,,347533.03,138031.47,0.3972,347533.03,1.0,391600.0,0.8875,2.3333,1.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
sales_rep_repeat_exposure,sales_rep,No assigned sales rep,,sales_rep_revenue_rank,16.0,22,0,0,0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,repeat_customer_share,Sales-rep exposure shows whether repeat demand is concentrated under particular account owners.
