evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,regions,avg_age,avg_priority,avg_service_seconds,avg_sent_delay_days,disputed_count,untimely_count,no_relief_count,relief_count,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
high_repeat_client_profile,anonymous_client,C00000516,age_65_plus,Female,client_complaint_volume_rank,8.0,12,1,1,1,69.0,,,5.1667,2,0,1,0,16.6667,0.0,8.3333,0.0512,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00001831,under_30,Male,client_complaint_volume_rank,9.0,12,1,1,1,23.0,0.0,841.3333,2.0833,3,0,0,0,25.0,0.0,0.0,0.0512,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00002139,age_65_plus,Female,client_complaint_volume_rank,10.0,12,1,1,1,67.0,1.0,557.3333,2.5833,3,0,0,0,25.0,0.0,0.0,0.0512,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00002663,under_30,Male,client_complaint_volume_rank,11.0,12,1,1,1,23.0,2.0,106.0,2.5833,0,1,1,0,0.0,8.3333,8.3333,0.0512,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00010563,age_45_64,Male,client_complaint_volume_rank,12.0,12,1,1,1,51.0,2.0,722.0,4.0,3,1,1,0,25.0,8.3333,8.3333,0.0512,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00000137,age_65_plus,Male,client_complaint_volume_rank,13.0,11,1,1,1,76.0,,,1.9091,2,0,0,0,18.1818,0.0,0.0,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00000406,under_30,Male,client_complaint_volume_rank,14.0,11,1,1,1,22.0,2.0,1175.0,3.6364,1,1,0,0,9.0909,9.0909,0.0,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00000417,age_65_plus,Male,client_complaint_volume_rank,15.0,11,1,1,1,69.0,1.0,568.0,0.9091,0,0,0,0,0.0,0.0,0.0,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00000547,age_45_64,Male,client_complaint_volume_rank,16.0,11,1,1,1,50.0,,,0.3636,3,0,2,1,27.2727,0.0,18.1818,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00000675,under_30,Male,client_complaint_volume_rank,17.0,11,1,1,1,24.0,,,21.5455,1,0,0,1,9.0909,0.0,0.0,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00001134,age_30_44,Male,client_complaint_volume_rank,18.0,11,1,1,1,40.0,0.0,812.0,1.4545,1,0,1,0,9.0909,0.0,9.0909,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00001170,under_30,Male,client_complaint_volume_rank,19.0,11,1,1,1,22.0,0.3333,809.6667,2.8182,2,0,0,0,18.1818,0.0,0.0,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00001248,under_30,Male,client_complaint_volume_rank,20.0,11,1,1,1,28.0,0.0,627.0,3.4545,2,0,1,0,18.1818,0.0,9.0909,0.047,Use anonymous client identifiers only to test repeat-complaint concentration.
