evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,regions,calls,avg_priority,avg_service_seconds,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
subproduct_issue_mix,subproduct_issue,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,issue_rank_in_subproduct,2.0,96,96,55,5,25,0.6,673.64,3.6667,23.9583,2.0833,4.1667,0.4099,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,(CD) Certificate of deposit,"Making/receiving payments, sending money",issue_rank_in_subproduct,3.0,13,13,9,4,1,0.0,1697.0,8.3077,15.3846,7.6923,0.0,0.0555,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,(CD) Certificate of deposit,Problems caused by my funds being low,issue_rank_in_subproduct,4.0,4,4,3,2,2,1.0,262.5,0.75,0.0,0.0,0.0,0.0171,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,(CD) Certificate of deposit,Using a debit or ATM card,issue_rank_in_subproduct,5.0,1,1,1,1,0,,,0.0,100.0,0.0,0.0,0.0043,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Other bank product/service,"Account opening, closing, or management",issue_rank_in_subproduct,1.0,1598,1365,77,5,183,0.765,726.8798,3.132,19.1489,0.9387,0.6884,6.8235,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Other bank product/service,Deposits and withdrawals,issue_rank_in_subproduct,2.0,488,469,77,5,41,0.6829,722.3659,2.9406,15.1639,1.4344,0.6148,2.0838,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",issue_rank_in_subproduct,3.0,414,406,75,5,24,1.0833,664.0417,2.5048,17.6329,1.2077,0.9662,1.7678,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Other bank product/service,Using a debit or ATM card,issue_rank_in_subproduct,4.0,170,167,63,5,13,0.5385,820.7692,1.2059,15.8824,0.5882,0.0,0.7259,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Other bank product/service,Problems caused by my funds being low,issue_rank_in_subproduct,5.0,124,118,53,5,7,0.8571,538.5714,2.2016,14.5161,0.0,0.8065,0.5295,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Credit card,unknown_sub_product,Billing disputes,issue_rank_in_subproduct,1.0,1560,1351,77,5,138,0.8551,688.6812,2.9295,26.5385,1.9231,4.359,6.6613,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Credit card,unknown_sub_product,Other,issue_rank_in_subproduct,2.0,978,887,77,5,83,0.8193,688.5542,2.4898,24.8466,1.5337,2.9652,4.1761,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Credit card,unknown_sub_product,Identity theft / Fraud / Embezzlement,issue_rank_in_subproduct,3.0,841,778,77,5,61,0.6557,732.8361,3.1986,23.5434,2.8537,4.5184,3.5911,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Credit card,unknown_sub_product,Closing/Cancelling account,issue_rank_in_subproduct,4.0,834,764,77,5,61,0.7705,643.8852,2.3046,19.7842,2.7578,5.3957,3.5612,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Credit card,unknown_sub_product,APR or interest rate,issue_rank_in_subproduct,5.0,493,472,77,5,47,1.0,717.7447,3.5112,19.0669,2.6369,6.6937,2.1051,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Savings account,"Account opening, closing, or management",issue_rank_in_subproduct,1.0,440,420,75,5,71,0.6056,705.4225,3.2795,16.8182,0.9091,1.8182,1.8788,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Savings account,Deposits and withdrawals,issue_rank_in_subproduct,2.0,259,253,72,5,50,0.94,693.88,2.8842,20.0772,1.1583,2.3166,1.1059,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Savings account,Problems caused by my funds being low,issue_rank_in_subproduct,3.0,51,50,33,5,4,1.0,1067.75,1.4314,13.7255,0.0,0.0,0.2178,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Savings account,"Making/receiving payments, sending money",issue_rank_in_subproduct,4.0,24,24,19,4,1,0.0,1240.0,1.2083,25.0,4.1667,0.0,0.1025,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Savings account,Using a debit or ATM card,issue_rank_in_subproduct,5.0,17,17,13,4,2,0.0,784.5,1.3529,0.0,0.0,0.0,0.0726,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Checking account,"Account opening, closing, or management",issue_rank_in_subproduct,1.0,3551,2629,77,5,558,0.8244,686.6487,2.3619,17.5162,1.0983,1.4081,15.1629,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Checking account,Deposits and withdrawals,issue_rank_in_subproduct,2.0,2891,2243,77,5,440,0.8477,703.8795,2.5185,15.4272,1.2798,1.7987,12.3447,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Checking account,Problems caused by my funds being low,issue_rank_in_subproduct,3.0,1860,1561,77,5,148,0.6824,731.0405,1.8629,11.1828,0.4301,1.129,7.9423,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Checking account,Using a debit or ATM card,issue_rank_in_subproduct,4.0,941,864,77,5,83,0.8193,634.3373,1.6281,17.5345,0.6376,1.594,4.0181,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Checking account,"Making/receiving payments, sending money",issue_rank_in_subproduct,5.0,762,715,77,5,88,0.7727,674.3636,2.7388,18.7664,2.0997,2.0997,3.2538,Show leading issues inside each sub-product.
subproduct_channel_mix,subproduct_channel,Bank account or service,Cashing a check without an account,Web,channel_rank_in_subproduct,1.0,74,73,42,5,0,,,1.3514,16.2162,1.3514,2.7027,0.316,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Cashing a check without an account,Referral,channel_rank_in_subproduct,2.0,27,27,17,4,0,,,2.9259,11.1111,0.0,0.0,0.1153,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Cashing a check without an account,Phone,channel_rank_in_subproduct,3.0,21,21,14,5,21,0.8095,699.4762,1.4762,4.7619,0.0,14.2857,0.0897,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Cashing a check without an account,Postal mail,channel_rank_in_subproduct,4.0,2,2,2,2,0,,,3.5,50.0,0.0,0.0,0.0085,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Cashing a check without an account,Fax,channel_rank_in_subproduct,5.0,1,1,1,1,0,,,6.0,0.0,0.0,0.0,0.0043,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,(CD) Certificate of deposit,Web,channel_rank_in_subproduct,1.0,137,135,59,5,0,,,1.4453,21.8978,0.0,1.4599,0.585,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,(CD) Certificate of deposit,Referral,channel_rank_in_subproduct,2.0,120,119,57,5,0,,,5.525,25.0,6.6667,3.3333,0.5124,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,(CD) Certificate of deposit,Phone,channel_rank_in_subproduct,3.0,71,69,43,5,71,0.8732,676.9155,4.507,15.493,2.8169,4.2254,0.3032,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,(CD) Certificate of deposit,Postal mail,channel_rank_in_subproduct,4.0,32,32,23,5,0,,,7.3125,21.875,0.0,3.125,0.1366,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,(CD) Certificate of deposit,Fax,channel_rank_in_subproduct,5.0,16,15,14,4,0,,,4.5,37.5,0.0,0.0,0.0683,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Other bank product/service,Web,channel_rank_in_subproduct,1.0,1445,1265,77,5,0,,,1.6678,20.0692,1.0381,0.692,6.1702,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Other bank product/service,Referral,channel_rank_in_subproduct,2.0,830,774,77,5,0,,,4.2036,14.9398,0.8434,0.6024,3.5441,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Other bank product/service,Phone,channel_rank_in_subproduct,3.0,268,261,72,5,268,0.7724,720.1978,2.6978,15.2985,1.8657,1.4925,1.1444,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Other bank product/service,Postal mail,channel_rank_in_subproduct,4.0,182,180,61,5,0,,,4.3132,14.2857,0.5495,0.0,0.7771,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Other bank product/service,Fax,channel_rank_in_subproduct,5.0,69,69,41,5,0,,,7.942,24.6377,0.0,0.0,0.2946,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Credit card,unknown_sub_product,Web,channel_rank_in_subproduct,1.0,6041,3585,77,5,0,,,1.7403,24.5489,1.7547,4.1218,25.7953,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Credit card,unknown_sub_product,Referral,channel_rank_in_subproduct,2.0,1986,1639,77,5,0,,,4.9401,18.5801,3.8268,8.3082,8.4803,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Credit card,unknown_sub_product,Phone,channel_rank_in_subproduct,3.0,699,648,77,5,699,0.7811,699.2132,4.1288,21.4592,3.4335,5.7225,2.9848,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Credit card,unknown_sub_product,Postal mail,channel_rank_in_subproduct,4.0,505,487,77,5,0,,,4.5822,19.604,1.7822,2.5743,2.1564,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Credit card,unknown_sub_product,Fax,channel_rank_in_subproduct,5.0,94,93,48,5,0,,,4.5851,32.9787,3.1915,1.0638,0.4014,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Savings account,Web,channel_rank_in_subproduct,1.0,373,360,76,5,0,,,1.5925,17.4263,0.8043,1.3405,1.5927,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Savings account,Referral,channel_rank_in_subproduct,2.0,234,231,72,5,0,,,4.765,14.1026,1.7094,2.5641,0.9992,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Savings account,Phone,channel_rank_in_subproduct,3.0,128,125,59,5,128,0.7344,717.6484,3.2422,17.9688,0.0,2.3438,0.5466,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Savings account,Postal mail,channel_rank_in_subproduct,4.0,46,46,30,4,0,,,3.2826,28.2609,2.1739,0.0,0.1964,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Savings account,Fax,channel_rank_in_subproduct,5.0,9,9,8,3,0,,,4.3333,55.5556,0.0,0.0,0.0384,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Checking account,Web,channel_rank_in_subproduct,1.0,5165,3312,77,5,0,,,1.0337,17.4443,0.6389,0.8519,22.0547,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Checking account,Referral,channel_rank_in_subproduct,2.0,3106,2369,77,5,0,,,3.9649,12.8783,1.7386,2.4147,13.2627,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Checking account,Phone,channel_rank_in_subproduct,3.0,1317,1177,77,5,1317,0.8125,693.2764,2.5983,14.123,1.2149,2.3538,5.6236,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Checking account,Postal mail,channel_rank_in_subproduct,4.0,304,297,74,5,0,,,3.9046,21.7105,0.6579,0.9868,1.2981,Compare channel mix inside sub-products.
subproduct_channel_mix,subproduct_channel,Bank account or service,Checking account,Fax,channel_rank_in_subproduct,5.0,109,108,57,5,0,,,4.422,28.4404,0.9174,0.0,0.4654,Compare channel mix inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Cashing a check without an account,Closed with explanation,response_rank_in_subproduct,1.0,107,106,54,5,14,1.0714,727.5,1.8131,15.8879,0.9346,0.0,0.4569,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Cashing a check without an account,Closed with monetary relief,response_rank_in_subproduct,2.0,5,5,4,2,1,0.0,1130.0,1.2,0.0,0.0,0.0,0.0214,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Cashing a check without an account,Closed without relief,response_rank_in_subproduct,3.0,5,5,4,3,3,0.0,343.3333,1.0,0.0,0.0,100.0,0.0214,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Cashing a check without an account,Closed,response_rank_in_subproduct,4.0,3,3,3,3,1,0.0,1016.0,2.0,0.0,0.0,0.0,0.0128,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Cashing a check without an account,Closed with non-monetary relief,response_rank_in_subproduct,5.0,2,2,2,2,0,,,4.5,0.0,0.0,0.0,0.0085,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,(CD) Certificate of deposit,Closed with explanation,response_rank_in_subproduct,1.0,269,262,71,5,50,0.84,662.86,4.5167,24.1636,1.487,0.0,1.1486,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,(CD) Certificate of deposit,Closed with monetary relief,response_rank_in_subproduct,2.0,39,39,32,5,6,0.8333,558.8333,2.2821,2.5641,0.0,0.0,0.1665,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,(CD) Certificate of deposit,Closed with non-monetary relief,response_rank_in_subproduct,3.0,34,34,27,4,6,1.1667,858.6667,2.9412,23.5294,2.9412,0.0,0.1452,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,(CD) Certificate of deposit,Closed with relief,response_rank_in_subproduct,4.0,13,13,12,4,4,1.0,597.25,1.5385,30.7692,15.3846,0.0,0.0555,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,(CD) Certificate of deposit,Closed,response_rank_in_subproduct,5.0,10,10,9,4,2,1.5,598.5,4.3,20.0,10.0,0.0,0.0427,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Other bank product/service,Closed with explanation,response_rank_in_subproduct,1.0,2015,1671,77,5,199,0.7387,728.3317,3.0586,20.794,0.6948,0.0,8.6041,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Other bank product/service,Closed with monetary relief,response_rank_in_subproduct,2.0,425,412,76,5,29,1.069,745.6897,1.9271,8.2353,0.7059,0.0,1.8148,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Other bank product/service,Closed with non-monetary relief,response_rank_in_subproduct,3.0,224,220,70,5,22,0.6818,644.9091,2.2188,12.9464,0.4464,0.0,0.9565,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Other bank product/service,Closed,response_rank_in_subproduct,4.0,47,47,31,5,5,1.0,731.4,5.5106,19.1489,8.5106,0.0,0.2007,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Other bank product/service,In progress,response_rank_in_subproduct,5.0,40,39,28,5,2,0.0,204.0,1.525,0.0,0.0,0.0,0.1708,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Credit card,unknown_sub_product,Closed with explanation,response_rank_in_subproduct,1.0,5932,3600,77,5,461,0.8286,702.0174,2.9528,26.9386,1.3149,0.0,25.3299,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Credit card,unknown_sub_product,Closed with monetary relief,response_rank_in_subproduct,2.0,1382,1221,77,5,73,0.8767,647.2466,1.7916,11.7221,0.9407,0.0,5.9012,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Credit card,unknown_sub_product,Closed with non-monetary relief,response_rank_in_subproduct,3.0,946,862,77,5,72,0.6806,719.1806,3.3953,17.019,2.2199,0.0,4.0395,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Credit card,unknown_sub_product,Closed without relief,response_rank_in_subproduct,4.0,470,444,77,5,40,0.55,698.425,2.8787,27.0213,8.7234,100.0,2.0069,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Credit card,unknown_sub_product,Closed with relief,response_rank_in_subproduct,5.0,453,434,75,5,41,0.5854,673.7561,2.2936,13.6865,7.7263,0.0,1.9343,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Savings account,Closed with explanation,response_rank_in_subproduct,1.0,459,446,76,5,84,0.7381,702.4167,3.8148,22.0044,1.0893,0.0,1.9599,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Savings account,Closed with monetary relief,response_rank_in_subproduct,2.0,233,229,71,5,25,0.68,744.36,1.8112,8.1545,0.4292,0.0,0.9949,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Savings account,Closed with non-monetary relief,response_rank_in_subproduct,3.0,47,47,29,5,6,0.3333,625.3333,1.7447,21.2766,2.1277,0.0,0.2007,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Savings account,Closed with relief,response_rank_in_subproduct,4.0,19,19,14,4,1,0.0,604.0,1.2105,0.0,5.2632,0.0,0.0811,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Savings account,Closed,response_rank_in_subproduct,5.0,15,15,13,5,8,1.25,884.875,1.4667,33.3333,0.0,0.0,0.0641,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Checking account,Closed with explanation,response_rank_in_subproduct,1.0,5555,3445,77,5,841,0.7955,684.3662,2.4403,20.36,0.9181,0.0,23.7201,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Checking account,Closed with monetary relief,response_rank_in_subproduct,2.0,3183,2374,77,5,305,0.7541,709.6951,1.9032,8.0741,0.754,0.0,13.5915,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Checking account,Closed with non-monetary relief,response_rank_in_subproduct,3.0,681,642,77,5,88,1.0568,710.5341,2.3407,14.978,1.0279,0.0,2.9079,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Checking account,Closed with relief,response_rank_in_subproduct,4.0,249,244,72,5,31,0.9677,680.5806,2.747,12.0482,4.4177,0.0,1.0632,Compare response labels inside sub-products.
subproduct_response_mix,subproduct_response,Bank account or service,Checking account,Closed without relief,response_rank_in_subproduct,5.0,154,154,64,5,31,1.0645,685.5484,2.2078,19.4805,3.8961,100.0,0.6576,Compare response labels inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Cashing a check without an account,Northeast,region_rank_in_subproduct,1.0,60,59,24,1,6,1.3333,686.3333,1.25,18.3333,1.6667,0.0,0.2562,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Cashing a check without an account,Midwest,region_rank_in_subproduct,2.0,24,24,11,1,5,0.8,709.8,2.7917,16.6667,0.0,8.3333,0.1025,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Cashing a check without an account,West,region_rank_in_subproduct,3.0,22,22,11,1,4,0.5,577.0,2.7727,9.0909,0.0,9.0909,0.0939,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Cashing a check without an account,South,region_rank_in_subproduct,4.0,16,15,9,1,4,0.5,681.75,1.25,0.0,0.0,6.25,0.0683,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Cashing a check without an account,unknown,region_rank_in_subproduct,5.0,3,3,2,1,2,0.5,993.5,0.0,0.0,0.0,0.0,0.0128,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,(CD) Certificate of deposit,Northeast,region_rank_in_subproduct,1.0,183,174,31,1,41,0.9756,741.0,3.8251,27.8689,2.7322,3.2787,0.7814,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,(CD) Certificate of deposit,West,region_rank_in_subproduct,2.0,69,68,13,1,12,0.75,561.9167,3.913,15.942,2.8986,1.4493,0.2946,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,(CD) Certificate of deposit,South,region_rank_in_subproduct,3.0,60,58,16,1,8,1.0,686.625,5.2167,16.6667,5.0,1.6667,0.2562,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,(CD) Certificate of deposit,Midwest,region_rank_in_subproduct,4.0,53,51,12,1,7,0.5714,579.8571,2.8491,18.8679,0.0,3.7736,0.2263,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,(CD) Certificate of deposit,unknown,region_rank_in_subproduct,5.0,11,11,3,1,3,0.3333,461.6667,4.8182,18.1818,0.0,0.0,0.047,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Other bank product/service,Northeast,region_rank_in_subproduct,1.0,1267,981,32,1,125,0.736,701.744,2.929,18.4688,0.9471,0.9471,5.4101,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Other bank product/service,South,region_rank_in_subproduct,2.0,557,432,17,1,53,0.9434,798.5094,3.1095,16.158,0.8977,0.3591,2.3784,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Other bank product/service,West,region_rank_in_subproduct,3.0,463,354,13,1,46,0.6087,669.3043,2.2635,18.5745,1.2959,0.432,1.977,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Other bank product/service,Midwest,region_rank_in_subproduct,4.0,417,318,12,1,39,0.7949,707.8462,2.9808,18.4652,0.9592,0.7194,1.7806,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Other bank product/service,unknown,region_rank_in_subproduct,5.0,90,66,3,1,5,1.2,916.0,2.4556,12.2222,1.1111,0.0,0.3843,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Credit card,unknown_sub_product,Northeast,region_rank_in_subproduct,1.0,4383,2030,32,1,340,0.8235,736.2471,2.6445,22.0169,2.715,5.3616,18.7156,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Credit card,unknown_sub_product,South,region_rank_in_subproduct,2.0,1755,842,17,1,128,0.7422,642.8516,2.5077,24.5584,1.4245,4.5014,7.4939,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Credit card,unknown_sub_product,West,region_rank_in_subproduct,3.0,1484,722,13,1,104,0.7019,651.1346,2.7844,24.4609,2.2237,4.8518,6.3367,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Credit card,unknown_sub_product,Midwest,region_rank_in_subproduct,4.0,1420,670,12,1,105,0.7238,717.6095,3.5585,20.7746,2.1127,4.6479,6.0635,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Credit card,unknown_sub_product,unknown,region_rank_in_subproduct,5.0,286,142,3,1,22,1.0,594.2727,3.0175,27.2727,3.8462,6.2937,1.2212,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Savings account,Northeast,region_rank_in_subproduct,1.0,400,375,32,1,62,0.7258,750.8548,3.37,19.0,1.0,2.0,1.708,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Savings account,South,region_rank_in_subproduct,2.0,131,123,17,1,17,0.5882,691.0,3.6336,18.3206,0.7634,1.5267,0.5594,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Savings account,Midwest,region_rank_in_subproduct,3.0,125,115,12,1,24,0.875,674.3333,2.08,16.0,1.6,1.6,0.5338,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Savings account,West,region_rank_in_subproduct,4.0,112,102,13,1,22,0.6364,661.7727,1.4375,15.1786,0.8929,1.7857,0.4782,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Savings account,unknown,region_rank_in_subproduct,5.0,23,22,3,1,3,1.3333,938.6667,3.0435,8.6957,0.0,0.0,0.0982,Compare regional reach inside sub-products.
subproduct_region_mix,subproduct_region,Bank account or service,Checking account,Northeast,region_rank_in_subproduct,1.0,4664,2116,32,1,626,0.8323,702.9425,2.2888,15.4803,1.072,1.9082,19.9155,Compare regional reach inside sub-products.
