evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,sales_teams,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
region_product_mix,store_region_product,South,Accessories,1,product_rank_in_region,1.0,68,,,,,760233.7575,291253.8753,38.3111,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,South,Rugs,2,product_rank_in_region,2.0,64,,,,,692558.7325,245275.97,35.4159,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,South,Table Linens,3,product_rank_in_region,3.0,62,,,,,638854.715,257506.377,40.3075,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,South,Wall Frames,4,product_rank_in_region,4.0,61,,,,,615019.6325,231967.1385,37.717,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,South,Table Lamps,5,product_rank_in_region,5.0,69,,,,,612020.0425,225863.3895,36.9046,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,West,Cocktail Glasses,1,product_rank_in_region,1.0,76,,,,,739171.47,304299.1857,41.1676,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,West,Serveware,2,product_rank_in_region,2.0,79,,,,,738219.5675,286684.1488,38.8345,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,West,Photo Frames,3,product_rank_in_region,3.0,70,,,,,725551.71,292523.9742,40.3175,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,West,Sculptures,4,product_rank_in_region,4.0,65,,,,,694812.2775,274500.6418,39.5072,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,West,Furniture Cushions,5,product_rank_in_region,5.0,63,,,,,684425.77,245290.1605,35.8388,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Northeast,Photo Frames,1,product_rank_in_region,1.0,21,,,,,311832.405,118087.1805,37.8688,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Northeast,Blankets,2,product_rank_in_region,2.0,26,,,,,288667.155,93645.9308,32.4408,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Northeast,Wall Frames,3,product_rank_in_region,3.0,25,,,,,276481.0275,94043.3557,34.0144,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Northeast,Wardrobes,4,product_rank_in_region,4.0,27,,,,,273279.265,98757.291,36.1379,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Northeast,Bar Tools,5,product_rank_in_region,5.0,28,,,,,272057.6875,102410.6935,37.643,,,,Identify top product contributors inside each region to separate mix from regional effects.
state_pockets_within_region,store_region_state,Midwest,Illinois,1,state_rank_in_region,1.0,621,,30,,,5767218.295,2174320.5313,37.7014,11.715,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Midwest,Indiana,2,state_rank_in_region,2.0,282,,13,,,2719222.9725,1053051.5318,38.7262,11.7908,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Midwest,Michigan,3,state_rank_in_region,3.0,131,,6,,,1345931.6775,512057.475,38.0448,12.6145,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Midwest,Ohio,4,state_rank_in_region,4.0,146,,6,,,1131234.1975,437109.9318,38.6401,10.2568,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Midwest,Kansas,5,state_rank_in_region,5.0,98,,5,,,936308.0825,334100.976,35.6828,10.5867,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,South,Texas,1,state_rank_in_region,1.0,812,,38,,,7388856.145,2726945.6017,36.9062,11.2223,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,South,Florida,2,state_rank_in_region,2.0,566,,25,,,5419058.49,2037141.5072,37.5922,10.9364,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,South,North Carolina,3,state_rank_in_region,3.0,207,,9,,,2001351.975,739882.716,36.9691,10.8333,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,South,Virginia,4,state_rank_in_region,4.0,192,,8,,,1665001.59,621783.2628,37.3443,10.9766,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,South,Tennessee,5,state_rank_in_region,5.0,139,,6,,,1244511.4325,497540.6543,39.9788,11.7266,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,West,California,1,state_rank_in_region,1.0,1665,,74,,,15186331.0525,5654944.2387,37.2371,11.6922,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,West,Colorado,2,state_rank_in_region,2.0,295,,13,,,2907773.7025,1120278.3098,38.527,10.9322,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,West,Washington,3,state_rank_in_region,3.0,173,,8,,,1702163.475,634939.5113,37.3019,11.0983,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,West,Arizona,4,state_rank_in_region,4.0,202,,10,,,1618917.4825,579411.9445,35.7901,11.151,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,West,Nevada,5,state_rank_in_region,5.0,155,,8,,,1506215.4425,557035.6803,36.9825,11.0484,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Northeast,New York,1,state_rank_in_region,1.0,405,,20,,,3540055.3825,1336465.2295,37.7527,12.179,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Northeast,Connecticut,2,state_rank_in_region,2.0,199,,10,,,1583886.5325,574065.7348,36.2441,11.809,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Northeast,New Jersey,3,state_rank_in_region,3.0,148,,6,,,1400508.035,525945.6383,37.5539,11.25,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Northeast,Massachusetts,4,state_rank_in_region,4.0,109,,5,,,1013750.2,376849.759,37.1738,12.8211,,,Check whether state-level pockets inside a region drive the regional conversion story.
state_pockets_within_region,store_region_state,Northeast,Pennsylvania,5,state_rank_in_region,5.0,60,,3,,,572998.07,215626.299,37.6312,10.0833,,,Check whether state-level pockets inside a region drive the regional conversion story.
