evidence_block,grain,item,item_2,item_3,rank_label,rank_value,calls,linked_complaints,clients,districts,regions,avg_priority,avg_service_seconds,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,linked_rate_pct,share_pct,notes
server_volume_quality,server,DARMON,,,server_volume_rank,23.0,44,43,43,34,5,1.0682,632.2955,2.093,20.9302,0.0,2.3256,97.7273,1.1003,Compare server-level call volume and linked outcomes.
server_volume_quality,server,NAAMA,,,server_volume_rank,24.0,32,31,31,26,5,0.6563,605.6563,3.3871,3.2258,0.0,0.0,96.875,0.8002,Compare server-level call volume and linked outcomes.
server_volume_quality,server,GELBER,,,server_volume_rank,25.0,7,7,7,7,4,1.2857,713.7143,1.5714,0.0,0.0,0.0,100.0,0.175,Compare server-level call volume and linked outcomes.
server_volume_quality,server,PINHAS,,,server_volume_rank,26.0,3,3,3,3,3,0.0,451.3333,2.3333,0.0,0.0,0.0,100.0,0.075,Compare server-level call volume and linked outcomes.
service_time_routing,service_time_bucket,long_10_20_min,,,service_time_volume_rank,1.0,1706,1194,1071,77,5,0.799,901.459,2.9606,16.2479,1.8425,3.0151,69.9883,42.6607,Compare service-time buckets in call records.
service_time_routing,service_time_bucket,medium_3_10_min,,,service_time_volume_rank,2.0,1091,748,702,77,5,0.7348,402.4849,3.3382,16.5775,1.3369,4.2781,68.561,27.2818,Compare service-time buckets in call records.
service_time_routing,service_time_bucket,short_0_3_min,,,service_time_volume_rank,3.0,906,312,303,72,5,0.5868,46.9095,3.4327,15.0641,1.2821,2.2436,34.4371,22.6557,Compare service-time buckets in call records.
service_time_routing,service_time_bucket,very_long_20_plus_min,,,service_time_volume_rank,4.0,296,250,243,70,5,0.9407,1365.2703,2.776,18.8,4.4,3.6,84.4595,7.4019,Compare service-time buckets in call records.
call_product_overlay,product_call_type,Bank account or service,PS,,call_type_rank_in_product,1.0,1248,1248,1123,77,5,0.9022,701.3718,2.4864,14.5032,1.5224,2.3237,100.0,31.2078,Check product mix within call types.
call_product_overlay,product_call_type,Bank account or service,NW,,call_type_rank_in_product,2.0,290,290,284,73,5,0.1621,671.8724,3.3414,13.4483,0.6897,2.4138,100.0,7.2518,Check product mix within call types.
call_product_overlay,product_call_type,Bank account or service,NE,,call_type_rank_in_product,3.0,175,175,174,65,5,1.1257,703.6629,2.8343,15.4286,1.1429,2.8571,100.0,4.3761,Check product mix within call types.
call_product_overlay,product_call_type,Bank account or service,TT,,call_type_rank_in_product,4.0,65,65,63,38,5,0.9846,695.0308,3.0154,13.8462,0.0,3.0769,100.0,1.6254,Check product mix within call types.
call_product_overlay,product_call_type,Bank account or service,IN,,call_type_rank_in_product,5.0,15,15,15,15,4,0.2667,747.0667,2.3333,33.3333,0.0,6.6667,100.0,0.3751,Check product mix within call types.
call_product_overlay,product_call_type,Credit card,PS,,call_type_rank_in_product,1.0,475,475,452,76,5,0.8968,713.8274,4.1916,21.4737,3.5789,6.3158,100.0,11.878,Check product mix within call types.
call_product_overlay,product_call_type,Credit card,NW,,call_type_rank_in_product,2.0,134,134,131,58,5,0.2015,667.3657,5.2313,23.1343,2.9851,2.9851,100.0,3.3508,Check product mix within call types.
call_product_overlay,product_call_type,Credit card,NE,,call_type_rank_in_product,3.0,59,59,59,39,5,1.1525,634.9492,1.9153,16.9492,3.3898,8.4746,100.0,1.4754,Check product mix within call types.
call_product_overlay,product_call_type,Credit card,TT,,call_type_rank_in_product,4.0,20,20,20,18,4,0.95,601.4,2.55,25.0,0.0,5.0,100.0,0.5001,Check product mix within call types.
call_product_overlay,product_call_type,Credit card,IN,,call_type_rank_in_product,5.0,6,6,6,6,4,0.0,848.1667,0.8333,33.3333,0.0,0.0,100.0,0.15,Check product mix within call types.
call_product_overlay,product_call_type,no_linked_product,unknown_type,,call_type_rank_in_product,1.0,984,0,0,0,1,,635.7104,,,,,0.0,24.6062,Check product mix within call types.
call_product_overlay,product_call_type,no_linked_product,PS,,call_type_rank_in_product,2.0,273,0,0,0,1,0.7326,113.5421,,,,,0.0,6.8267,Check product mix within call types.
call_product_overlay,product_call_type,no_linked_product,NW,,call_type_rank_in_product,3.0,200,0,0,0,1,0.005,57.645,,,,,0.0,5.0013,Check product mix within call types.
call_product_overlay,product_call_type,no_linked_product,NE,,call_type_rank_in_product,4.0,20,0,0,0,1,1.4,237.4,,,,,0.0,0.5001,Check product mix within call types.
call_product_overlay,product_call_type,no_linked_product,TT,,call_type_rank_in_product,5.0,9,0,0,0,1,0.7778,118.8889,,,,,0.0,0.2251,Check product mix within call types.
call_issue_overlay,issue_call_type,Application processing delay,PS,,call_type_rank_in_issue,1.0,2,2,2,2,2,1.0,948.0,3.5,0.0,0.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Collection debt dispute,PS,,call_type_rank_in_issue,1.0,6,6,6,5,4,0.8333,982.0,9.5,16.6667,0.0,0.0,100.0,0.15,Check issue mix within call types.
call_issue_overlay,issue_call_type,Collection debt dispute,NE,,call_type_rank_in_issue,2.0,2,2,2,2,2,1.0,386.0,2.5,0.0,50.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Collection debt dispute,TT,,call_type_rank_in_issue,3.0,1,1,1,1,1,2.0,299.0,2.0,0.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Balance transfer,PS,,call_type_rank_in_issue,1.0,3,3,3,3,2,1.0,466.3333,2.0,33.3333,0.0,0.0,100.0,0.075,Check issue mix within call types.
call_issue_overlay,issue_call_type,Balance transfer,NW,,call_type_rank_in_issue,2.0,1,1,1,1,1,0.0,1141.0,7.0,0.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Forbearance / Workout plans,NW,,call_type_rank_in_issue,1.0,3,3,3,3,3,0.0,606.0,37.3333,100.0,0.0,0.0,100.0,0.075,Check issue mix within call types.
call_issue_overlay,issue_call_type,Forbearance / Workout plans,PS,,call_type_rank_in_issue,2.0,3,3,3,3,2,1.0,908.3333,6.3333,66.6667,33.3333,33.3333,100.0,0.075,Check issue mix within call types.
call_issue_overlay,issue_call_type,Identity theft / Fraud / Embezzlement,PS,,call_type_rank_in_issue,1.0,44,44,44,30,5,0.7727,726.4545,2.3182,34.0909,0.0,2.2727,100.0,1.1003,Check issue mix within call types.
call_issue_overlay,issue_call_type,Identity theft / Fraud / Embezzlement,NW,,call_type_rank_in_issue,2.0,10,10,10,8,3,0.3,785.8,4.3,30.0,10.0,0.0,100.0,0.2501,Check issue mix within call types.
call_issue_overlay,issue_call_type,Identity theft / Fraud / Embezzlement,NE,,call_type_rank_in_issue,3.0,6,6,6,5,3,0.5,698.6667,2.1667,16.6667,16.6667,50.0,100.0,0.15,Check issue mix within call types.
call_issue_overlay,issue_call_type,Unsolicited issuance of credit card,PS,,call_type_rank_in_issue,1.0,11,11,11,11,5,0.9091,578.0,1.1818,18.1818,0.0,0.0,100.0,0.2751,Check issue mix within call types.
call_issue_overlay,issue_call_type,Unsolicited issuance of credit card,NW,,call_type_rank_in_issue,2.0,4,4,4,3,2,1.0,760.0,2.5,25.0,0.0,0.0,100.0,0.1,Check issue mix within call types.
call_issue_overlay,issue_call_type,Using a debit or ATM card,PS,,call_type_rank_in_issue,1.0,69,69,69,42,5,0.8986,677.7246,2.2899,17.3913,2.8986,1.4493,100.0,1.7254,Check issue mix within call types.
call_issue_overlay,issue_call_type,Using a debit or ATM card,NW,,call_type_rank_in_issue,2.0,14,14,14,11,4,0.3571,529.7857,2.5714,7.1429,0.0,0.0,100.0,0.3501,Check issue mix within call types.
call_issue_overlay,issue_call_type,Using a debit or ATM card,NE,,call_type_rank_in_issue,3.0,9,9,9,7,3,0.6667,635.8889,1.3333,22.2222,0.0,11.1111,100.0,0.2251,Check issue mix within call types.
call_issue_overlay,issue_call_type,Advertising and marketing,PS,,call_type_rank_in_issue,1.0,11,11,11,10,4,0.7273,773.4545,3.1818,9.0909,0.0,0.0,100.0,0.2751,Check issue mix within call types.
call_issue_overlay,issue_call_type,Advertising and marketing,NW,,call_type_rank_in_issue,2.0,3,3,3,3,3,0.0,541.0,5.3333,0.0,0.0,0.0,100.0,0.075,Check issue mix within call types.
call_issue_overlay,issue_call_type,Advertising and marketing,NE,,call_type_rank_in_issue,3.0,2,2,2,2,2,2.0,727.5,0.5,0.0,0.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Closing/Cancelling account,PS,,call_type_rank_in_issue,1.0,37,37,37,26,5,0.8919,686.4054,2.1081,16.2162,0.0,13.5135,100.0,0.9252,Check issue mix within call types.
call_issue_overlay,issue_call_type,Closing/Cancelling account,NW,,call_type_rank_in_issue,2.0,15,15,15,14,3,0.0667,556.9333,4.8,26.6667,0.0,6.6667,100.0,0.3751,Check issue mix within call types.
call_issue_overlay,issue_call_type,Closing/Cancelling account,NE,,call_type_rank_in_issue,3.0,7,7,7,7,3,1.2857,655.8571,1.5714,14.2857,0.0,14.2857,100.0,0.175,Check issue mix within call types.
call_issue_overlay,issue_call_type,Credit determination,PS,,call_type_rank_in_issue,1.0,4,4,4,4,3,1.0,821.0,2.0,25.0,0.0,0.0,100.0,0.1,Check issue mix within call types.
call_issue_overlay,issue_call_type,Credit determination,NW,,call_type_rank_in_issue,2.0,2,2,2,2,2,0.0,851.0,3.0,0.0,0.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Credit determination,IN,,call_type_rank_in_issue,3.0,1,1,1,1,1,0.0,593.0,0.0,0.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Cash advance,NW,,call_type_rank_in_issue,1.0,2,2,2,2,2,0.0,366.5,2.5,0.0,0.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Cash advance,PS,,call_type_rank_in_issue,2.0,2,2,2,1,1,0.5,442.5,2.0,0.0,0.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Credit reporting,PS,,call_type_rank_in_issue,1.0,13,13,13,11,4,0.9231,569.3077,1.6923,23.0769,15.3846,15.3846,100.0,0.3251,Check issue mix within call types.
call_issue_overlay,issue_call_type,Credit reporting,NW,,call_type_rank_in_issue,2.0,5,5,5,5,3,0.4,564.6,4.8,40.0,20.0,0.0,100.0,0.125,Check issue mix within call types.
call_issue_overlay,issue_call_type,Credit reporting,NE,,call_type_rank_in_issue,3.0,1,1,1,1,1,2.0,690.0,5.0,0.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Problems caused by my funds being low,PS,,call_type_rank_in_issue,1.0,115,115,114,56,5,0.7217,739.5304,2.2783,10.4348,0.8696,1.7391,100.0,2.8757,Check issue mix within call types.
call_issue_overlay,issue_call_type,Problems caused by my funds being low,NW,,call_type_rank_in_issue,2.0,21,21,21,18,3,0.0476,565.7143,2.0476,0.0,0.0,0.0,100.0,0.5251,Check issue mix within call types.
call_issue_overlay,issue_call_type,Problems caused by my funds being low,NE,,call_type_rank_in_issue,3.0,16,16,16,15,5,1.0625,737.625,1.6875,25.0,0.0,6.25,100.0,0.4001,Check issue mix within call types.
call_issue_overlay,issue_call_type,Billing disputes,PS,,call_type_rank_in_issue,1.0,102,102,101,54,5,0.9902,689.2745,2.4412,16.6667,2.9412,4.902,100.0,2.5506,Check issue mix within call types.
call_issue_overlay,issue_call_type,Billing disputes,NW,,call_type_rank_in_issue,2.0,23,23,23,17,4,0.087,732.913,7.2174,17.3913,0.0,0.0,100.0,0.5751,Check issue mix within call types.
call_issue_overlay,issue_call_type,Billing disputes,NE,,call_type_rank_in_issue,3.0,10,10,10,10,5,1.2,596.6,1.5,20.0,0.0,0.0,100.0,0.2501,Check issue mix within call types.
call_issue_overlay,issue_call_type,Delinquent account,PS,,call_type_rank_in_issue,1.0,8,8,8,7,3,1.375,767.875,1.625,12.5,0.0,0.0,100.0,0.2001,Check issue mix within call types.
call_issue_overlay,issue_call_type,Delinquent account,IN,,call_type_rank_in_issue,2.0,1,1,1,1,1,0.0,1529.0,1.0,100.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Delinquent account,NW,,call_type_rank_in_issue,3.0,1,1,1,1,1,0.0,377.0,1.0,0.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Other,PS,,call_type_rank_in_issue,1.0,54,54,54,33,5,0.963,669.2037,2.4444,18.5185,1.8519,0.0,100.0,1.3503,Check issue mix within call types.
call_issue_overlay,issue_call_type,Other,NW,,call_type_rank_in_issue,2.0,13,13,13,13,4,0.1538,659.6923,2.1538,15.3846,0.0,0.0,100.0,0.3251,Check issue mix within call types.
call_issue_overlay,issue_call_type,Other,NE,,call_type_rank_in_issue,3.0,11,11,11,11,4,0.9091,694.8182,1.9091,18.1818,0.0,0.0,100.0,0.2751,Check issue mix within call types.
call_issue_overlay,issue_call_type,Sale of account,PS,,call_type_rank_in_issue,1.0,4,4,4,4,3,1.0,756.5,2.25,25.0,0.0,0.0,100.0,0.1,Check issue mix within call types.
call_issue_overlay,issue_call_type,Sale of account,NW,,call_type_rank_in_issue,2.0,1,1,1,1,1,0.0,914.0,5.0,100.0,100.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Collection practices,PS,,call_type_rank_in_issue,1.0,5,5,5,5,4,0.6,781.4,3.2,0.0,20.0,20.0,100.0,0.125,Check issue mix within call types.
call_issue_overlay,issue_call_type,Collection practices,NW,,call_type_rank_in_issue,2.0,3,3,3,3,1,0.0,639.0,1.3333,0.0,0.0,33.3333,100.0,0.075,Check issue mix within call types.
call_issue_overlay,issue_call_type,Transaction issue,PS,,call_type_rank_in_issue,1.0,12,12,12,10,4,0.6667,830.4167,2.3333,25.0,0.0,0.0,100.0,0.3001,Check issue mix within call types.
call_issue_overlay,issue_call_type,Transaction issue,NW,,call_type_rank_in_issue,2.0,4,4,4,4,3,0.0,886.5,2.5,75.0,0.0,0.0,100.0,0.1,Check issue mix within call types.
call_issue_overlay,issue_call_type,Transaction issue,NE,,call_type_rank_in_issue,3.0,2,2,2,2,1,1.0,666.0,4.0,0.0,0.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Bankruptcy,PS,,call_type_rank_in_issue,1.0,2,2,2,2,2,1.0,614.5,0.5,0.0,0.0,0.0,100.0,0.05,Check issue mix within call types.
call_issue_overlay,issue_call_type,Bankruptcy,NW,,call_type_rank_in_issue,2.0,1,1,1,1,1,0.0,1023.0,1.0,0.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Bankruptcy,TT,,call_type_rank_in_issue,3.0,1,1,1,1,1,0.0,568.0,0.0,100.0,0.0,0.0,100.0,0.025,Check issue mix within call types.
call_issue_overlay,issue_call_type,Rewards,PS,,call_type_rank_in_issue,1.0,13,13,13,11,4,0.6923,902.5385,11.3077,23.0769,7.6923,7.6923,100.0,0.3251,Check issue mix within call types.
call_issue_overlay,issue_call_type,Rewards,NE,,call_type_rank_in_issue,2.0,5,5,5,5,2,1.6,778.8,0.4,0.0,0.0,0.0,100.0,0.125,Check issue mix within call types.
call_issue_overlay,issue_call_type,Rewards,NW,,call_type_rank_in_issue,3.0,3,3,3,3,1,0.6667,1114.6667,0.6667,33.3333,33.3333,0.0,100.0,0.075,Check issue mix within call types.
call_issue_overlay,issue_call_type,APR or interest rate,PS,,call_type_rank_in_issue,1.0,38,38,38,27,5,1.0789,769.8421,18.3684,15.7895,2.6316,2.6316,100.0,0.9502,Check issue mix within call types.
call_issue_overlay,issue_call_type,APR or interest rate,NW,,call_type_rank_in_issue,2.0,4,4,4,4,2,0.25,261.5,0.75,0.0,0.0,25.0,100.0,0.1,Check issue mix within call types.
call_issue_overlay,issue_call_type,APR or interest rate,NE,,call_type_rank_in_issue,3.0,3,3,3,3,2,1.3333,493.6667,3.3333,33.3333,0.0,0.0,100.0,0.075,Check issue mix within call types.
