evidence_block,grain,item,item_2,item_3,rank_label,rank_value,title_count,author_count,order_value,royaltyper_sum,royaltyper_min,royaltyper_max,sample_qty,revenue_proxy,attributed_revenue_proxy,share_pct,secondary_value,notes
high_revenue_split_titles,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",single_author,Binnet & Hardley,title_revenue_rank,3.0,1,1,,100.0,100.0,100.0,40.0,838.0,,12.5507,8.0,Highest-revenue titles and their royalty split patterns.
high_revenue_split_titles,title,But Is It User Friendly?,single_author,Algodata Infosystems,title_revenue_rank,4.0,1,1,,100.0,100.0,100.0,30.0,688.5,,10.3117,5.0,Highest-revenue titles and their royalty split patterns.
high_revenue_split_titles,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,lead_weighted_split,Binnet & Hardley,title_revenue_rank,5.0,1,2,,100.0,25.0,75.0,20.0,431.8,,6.4671,5.0,Highest-revenue titles and their royalty split patterns.
high_revenue_split_titles,title,Prolonged Data Deprivation: Four Case Studies,single_author,New Moon Books,title_revenue_rank,6.0,1,1,,100.0,100.0,100.0,15.0,299.85,,4.4909,4.0,Highest-revenue titles and their royalty split patterns.
high_revenue_split_titles,title,Straight Talk About Computers,single_author,Algodata Infosystems,title_revenue_rank,7.0,1,1,,100.0,100.0,100.0,15.0,299.85,,4.4909,8.0,Highest-revenue titles and their royalty split patterns.
high_revenue_split_titles,title,The Busy Executive's Database Guide,lead_weighted_split,Algodata Infosystems,title_revenue_rank,8.0,1,2,,100.0,40.0,60.0,15.0,299.85,,4.4909,2.0,Highest-revenue titles and their royalty split patterns.
schedule_split_interaction,title,Emotional Security: A New Algorithm,single_author,psychology,royalty_tiers,2.0,1,1,,100.0,100.0,100.0,25.0,199.75,,2.9917,12.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,The Busy Executive's Database Guide,lead_weighted_split,business,royalty_tiers,2.0,1,2,,100.0,40.0,60.0,15.0,299.85,,4.4909,12.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,"Sushi, Anyone?",lead_weighted_split,trad_cook,royalty_tiers,3.0,1,3,,100.0,30.0,40.0,20.0,299.8,,4.4901,14.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Is Anger the Enemy?,equal_split,psychology,royalty_tiers,4.0,1,2,,100.0,50.0,50.0,108.0,1182.6,,17.7118,16.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Life Without Fear,single_author,psychology,royalty_tiers,4.0,1,1,,100.0,100.0,100.0,25.0,175.0,,2.621,16.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Prolonged Data Deprivation: Four Case Studies,single_author,psychology,royalty_tiers,4.0,1,1,,100.0,100.0,100.0,15.0,299.85,,4.4909,16.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Secrets of Silicon Valley,equal_split,popular_comp,royalty_tiers,4.0,1,2,,100.0,50.0,50.0,50.0,1000.0,,14.977,16.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,But Is It User Friendly?,single_author,popular_comp,royalty_tiers,5.0,1,1,,100.0,100.0,100.0,30.0,688.5,,10.3117,18.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,lead_weighted_split,psychology,royalty_tiers,5.0,1,2,,100.0,25.0,75.0,20.0,431.8,,6.4671,18.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Silicon Valley Gastronomic Treats,single_author,mod_cook,royalty_tiers,6.0,1,1,,100.0,100.0,100.0,10.0,199.9,,2.9939,20.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Fifty Years in Buckingham Palace Kitchens,single_author,trad_cook,royalty_tiers,7.0,1,1,,100.0,100.0,100.0,20.0,239.0,,3.5795,22.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Cooking with Computers: Surreptitious Balance Sheets,lead_weighted_split,business,royalty_tiers,8.0,1,2,,100.0,40.0,60.0,25.0,298.75,,4.4744,24.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",single_author,trad_cook,royalty_tiers,8.0,1,1,,100.0,100.0,100.0,40.0,838.0,,12.5507,24.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,Straight Talk About Computers,single_author,business,royalty_tiers,8.0,1,1,,100.0,100.0,100.0,15.0,299.85,,4.4909,24.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,The Gourmet Microwave,lead_weighted_split,mod_cook,royalty_tiers,8.0,1,2,,100.0,25.0,75.0,40.0,119.6,,1.7913,24.0,Royalty schedule depth interacted with author split pattern.
schedule_split_interaction,title,You Can Combat Computer Stress!,single_author,business,royalty_tiers,8.0,1,1,,100.0,100.0,100.0,35.0,104.65,,1.5673,24.0,Royalty schedule depth interacted with author split pattern.
split_pattern_summary,split_pattern,no_author,0,,title_count,1.0,1,,,,,,0.0,0.0,,,0.0,Summary of split patterns across titles.
split_pattern_summary,split_pattern,equal_split,2,,title_count,2.0,2,,,,,,158.0,2182.6,,,4.0,Summary of split patterns across titles.
split_pattern_summary,split_pattern,lead_weighted_split,5,,title_count,5.0,5,,,,,,120.0,1449.8,,,5.2,Summary of split patterns across titles.
split_pattern_summary,split_pattern,single_author,9,,title_count,10.0,10,,,,,,215.0,3044.5,,,5.2,Summary of split patterns across titles.
title_split_baseline,title,Is Anger the Enemy?,equal_split,New Moon Books,title_revenue_rank,1.0,1,2,,100.0,50.0,50.0,108.0,1182.6,,17.7118,4.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Secrets of Silicon Valley,equal_split,Algodata Infosystems,title_revenue_rank,2.0,1,2,,100.0,50.0,50.0,50.0,1000.0,,14.977,4.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",single_author,Binnet & Hardley,title_revenue_rank,3.0,1,1,,100.0,100.0,100.0,40.0,838.0,,12.5507,8.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,But Is It User Friendly?,single_author,Algodata Infosystems,title_revenue_rank,4.0,1,1,,100.0,100.0,100.0,30.0,688.5,,10.3117,5.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,lead_weighted_split,Binnet & Hardley,title_revenue_rank,5.0,1,2,,100.0,25.0,75.0,20.0,431.8,,6.4671,5.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Prolonged Data Deprivation: Four Case Studies,single_author,New Moon Books,title_revenue_rank,6.0,1,1,,100.0,100.0,100.0,15.0,299.85,,4.4909,4.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Straight Talk About Computers,single_author,Algodata Infosystems,title_revenue_rank,7.0,1,1,,100.0,100.0,100.0,15.0,299.85,,4.4909,8.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,The Busy Executive's Database Guide,lead_weighted_split,Algodata Infosystems,title_revenue_rank,8.0,1,2,,100.0,40.0,60.0,15.0,299.85,,4.4909,2.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,"Sushi, Anyone?",lead_weighted_split,Binnet & Hardley,title_revenue_rank,9.0,1,3,,100.0,30.0,40.0,20.0,299.8,,4.4901,3.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Cooking with Computers: Surreptitious Balance Sheets,lead_weighted_split,Algodata Infosystems,title_revenue_rank,10.0,1,2,,100.0,40.0,60.0,25.0,298.75,,4.4744,8.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Fifty Years in Buckingham Palace Kitchens,single_author,Binnet & Hardley,title_revenue_rank,11.0,1,1,,100.0,100.0,100.0,20.0,239.0,,3.5795,7.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Silicon Valley Gastronomic Treats,single_author,Binnet & Hardley,title_revenue_rank,12.0,1,1,,100.0,100.0,100.0,10.0,199.9,,2.9939,6.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Emotional Security: A New Algorithm,single_author,New Moon Books,title_revenue_rank,13.0,1,1,,100.0,100.0,100.0,25.0,199.75,,2.9917,2.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Life Without Fear,single_author,New Moon Books,title_revenue_rank,14.0,1,1,,100.0,100.0,100.0,25.0,175.0,,2.621,4.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,The Gourmet Microwave,lead_weighted_split,Binnet & Hardley,title_revenue_rank,15.0,1,2,,100.0,25.0,75.0,40.0,119.6,,1.7913,8.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,You Can Combat Computer Stress!,single_author,New Moon Books,title_revenue_rank,16.0,1,1,,100.0,100.0,100.0,35.0,104.65,,1.5673,8.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,Net Etiquette,single_author,Algodata Infosystems,title_revenue_rank,17.0,1,1,,100.0,100.0,100.0,0.0,0.0,,0.0,0.0,"Title-level royalty split, author count, and sales baseline."
title_split_baseline,title,The Psychology of Computer Cooking,no_author,Binnet & Hardley,title_revenue_rank,18.0,1,0,,,,,0.0,0.0,,0.0,0.0,"Title-level royalty split, author count, and sales baseline."
