evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,users,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,long_review_rate_pct,share_pct,notes
selected_feature_quality,selected_feature,Alcohol,full_bar,"",selected_feature_rank,8,1928,,127973,32817,94273,3.5135,3.5086,22.7012,12.3709,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Good for Kids,false,"",selected_feature_rank,9,1041,,65603,15866,44401,3.5874,3.5798,24.7762,6.6795,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Delivery,true,"",selected_feature_rank,10,754,,24571,6106,24019,3.4695,3.4486,16.2887,4.838,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Alcohol,beer_and_wine,"",selected_feature_rank,11,648,,37546,9318,28980,3.6782,3.6947,17.8214,4.1578,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Drive-Thru,false,"",selected_feature_rank,12,253,,12594,3620,12400,3.5198,3.505,15.7881,1.6234,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Drive-Thru,true,"",selected_feature_rank,13,252,,4205,1762,10425,3.1587,3.1476,12.0994,1.6169,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Take-out,false,"",selected_feature_rank,14,234,,13756,3195,9184,3.5534,3.5447,26.4465,1.5014,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Wheelchair Accessible,false,"",selected_feature_rank,15,221,,6013,1628,5956,3.4525,3.4181,17.0169,1.418,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Open 24 Hours,false,"",selected_feature_rank,16,153,,18707,3732,8310,3.6797,3.6882,21.174,0.9817,specific service features compared with rating and activity
selected_feature_quality,selected_feature,Open 24 Hours,true,"",selected_feature_rank,17,3,,31,9,91,3.5,3.65,11.6667,0.0192,specific service features compared with rating and activity
value_absence_contrast,attribute_value_group,Accepts Credit Cards,positive_or_specific_value,"",value_group_rank,1,10464,,286852,76553,331232,3.6548,3.6475,17.2752,67.1415,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,parking_validated,none_no_false_value,"",value_group_rank,2,9207,,275058,73757,312560,3.646,3.6399,17.1984,59.076,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,parking_valet,none_no_false_value,"",value_group_rank,3,9053,,258133,69966,303155,3.6438,3.6376,16.9741,58.0879,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Wheelchair Accessible,positive_or_specific_value,"",value_group_rank,4,5369,,226806,58894,215994,3.6707,3.6725,18.668,34.4498,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,parking_lot,positive_or_specific_value,"",value_group_rank,5,4921,,205352,55103,217075,3.7274,3.7306,17.7849,31.5752,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Good for Kids,positive_or_specific_value,"",value_group_rank,6,4720,,175131,48994,181980,3.6242,3.6262,17.3606,30.2855,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,parking_lot,none_no_false_value,"",value_group_rank,7,4333,,74166,19902,98217,3.5562,3.5399,16.6047,27.8024,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Outdoor Seating,positive_or_specific_value,"",value_group_rank,8,2973,,160054,43328,142747,3.6004,3.6022,18.3937,19.076,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Alcohol,positive_or_specific_value,"",value_group_rank,9,2576,,165519,42135,123253,3.5549,3.5554,21.4736,16.5287,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Outdoor Seating,none_no_false_value,"",value_group_rank,10,2354,,78079,19752,77351,3.4501,3.4452,17.5365,15.1043,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Alcohol,none_no_false_value,"",value_group_rank,11,2214,,63887,17808,76271,3.4998,3.4921,14.8459,14.206,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Good for Kids,none_no_false_value,"",value_group_rank,12,1041,,65603,15866,44401,3.5874,3.5798,24.7762,6.6795,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Accepts Credit Cards,none_no_false_value,"",value_group_rank,13,306,,4226,873,4267,3.7859,3.7932,20.3071,1.9634,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,Wheelchair Accessible,none_no_false_value,"",value_group_rank,14,221,,6013,1628,5956,3.4525,3.4181,17.0169,1.418,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,parking_valet,positive_or_specific_value,"",value_group_rank,15,201,,21385,5039,12137,3.8035,3.8073,28.8603,1.2897,positive or specific values contrasted with none/no/false values
value_absence_contrast,attribute_value_group,parking_validated,positive_or_specific_value,"",value_group_rank,16,47,,4460,1248,2732,3.8936,3.9243,23.8695,0.3016,positive or specific values contrasted with none/no/false values
category_feature_mix,category_attribute_family,Restaurants,payment_price,positive_or_specific_value,category_feature_rank,1,5097,,440790,114315,383063,3.4994,3.4966,18.0165,32.7045,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,experience_setting,positive_or_specific_value,category_feature_rank,2,5048,,930589,242207,770092,3.541,3.5406,18.4529,32.3901,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,other_attribute,none_no_false_value,category_feature_rank,3,4960,,3349552,875286,2799940,3.5323,3.5301,17.5905,31.8255,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,service_channel,positive_or_specific_value,category_feature_rank,4,4858,,495874,125451,396212,3.5131,3.5124,19.0359,31.171,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,parking,none_no_false_value,category_feature_rank,5,4748,,859319,223752,772335,3.4888,3.4842,18.0347,30.4652,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,service_channel,none_no_false_value,category_feature_rank,6,4622,,391689,105307,370086,3.4937,3.4916,16.7781,29.6567,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,access_family,positive_or_specific_value,category_feature_rank,7,4484,,346037,89308,293518,3.5335,3.5379,17.9687,28.7713,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,other_attribute,positive_or_specific_value,category_feature_rank,8,3901,,1028953,269213,765894,3.6452,3.6484,18.9326,25.0305,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,experience_setting,none_no_false_value,category_feature_rank,9,3382,,158699,40799,164926,3.4438,3.4367,16.1912,21.7004,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,parking,positive_or_specific_value,category_feature_rank,10,3166,,244381,62003,178280,3.6328,3.6419,19.7236,20.3144,category composition of service-feature families
category_feature_mix,category_attribute_family,Shopping,payment_price,positive_or_specific_value,category_feature_rank,11,2272,,38160,11411,103549,3.7099,3.6889,16.1831,14.5781,category composition of service-feature families
category_feature_mix,category_attribute_family,Shopping,parking,none_no_false_value,category_feature_rank,12,2054,,78160,23459,217142,3.7171,3.699,16.2117,13.1793,category composition of service-feature families
category_feature_mix,category_attribute_family,Food,payment_price,positive_or_specific_value,category_feature_rank,13,1995,,90612,30032,165228,3.774,3.7708,14.5907,12.8008,category composition of service-feature families
category_feature_mix,category_attribute_family,Food,parking,none_no_false_value,category_feature_rank,14,1868,,180185,60047,342932,3.7557,3.7501,14.4351,11.9859,category composition of service-feature families
category_feature_mix,category_attribute_family,Food,access_family,positive_or_specific_value,category_feature_rank,15,1229,,53792,16820,72195,3.8085,3.8086,15.8682,7.8858,category composition of service-feature families
category_feature_mix,category_attribute_family,Food,parking,positive_or_specific_value,category_feature_rank,16,1198,,46120,14698,66828,3.8521,3.8623,16.1189,7.6869,category composition of service-feature families
category_feature_mix,category_attribute_family,Shopping,parking,positive_or_specific_value,category_feature_rank,17,1066,,15655,4821,37283,3.839,3.8245,17.3406,6.8399,category composition of service-feature families
category_feature_mix,category_attribute_family,Shopping,access_family,positive_or_specific_value,category_feature_rank,18,1037,,13692,4230,31486,3.8032,3.792,17.2547,6.6538,category composition of service-feature families
category_feature_mix,category_attribute_family,Beauty & Spas,payment_price,positive_or_specific_value,category_feature_rank,19,989,,15775,3281,25776,3.958,3.9506,15.3071,6.3458,category composition of service-feature families
category_feature_mix,category_attribute_family,Beauty & Spas,parking,none_no_false_value,category_feature_rank,20,867,,32648,6771,53547,3.9824,3.9781,15.3049,5.563,category composition of service-feature families
category_feature_mix,category_attribute_family,Restaurants,access_family,none_no_false_value,category_feature_rank,21,843,,63722,15356,38402,3.427,3.4171,23.8441,5.409,category composition of service-feature families
category_feature_mix,category_attribute_family,Mexican,payment_price,positive_or_specific_value,category_feature_rank,22,748,,55031,13849,55981,3.5206,3.5245,16.3079,4.7995,category composition of service-feature families
category_feature_mix,category_attribute_family,Mexican,experience_setting,positive_or_specific_value,category_feature_rank,23,742,,115104,28847,111726,3.5375,3.5414,16.4983,4.761,category composition of service-feature families
category_feature_mix,category_attribute_family,Mexican,other_attribute,none_no_false_value,category_feature_rank,24,741,,402180,101786,400541,3.5545,3.558,15.6637,4.7546,category composition of service-feature families
category_feature_mix,category_attribute_family,Food,experience_setting,positive_or_specific_value,category_feature_rank,25,738,,97846,30738,98123,3.8086,3.8033,16.1059,4.7353,category composition of service-feature families
category_feature_mix,category_attribute_family,Mexican,service_channel,positive_or_specific_value,category_feature_rank,26,714,,55846,13527,50775,3.5058,3.507,17.6443,4.5813,category composition of service-feature families
category_feature_mix,category_attribute_family,Mexican,service_channel,none_no_false_value,category_feature_rank,27,708,,53910,13976,60256,3.5542,3.5588,15.1723,4.5428,category composition of service-feature families
category_feature_mix,category_attribute_family,Nightlife,payment_price,positive_or_specific_value,category_feature_rank,28,701,,83420,23990,64687,3.552,3.5406,22.2686,4.4979,category composition of service-feature families
category_feature_mix,category_attribute_family,Food,other_attribute,positive_or_specific_value,category_feature_rank,29,701,,110615,34878,101180,3.8419,3.8396,16.2733,4.4979,category composition of service-feature families
category_feature_mix,category_attribute_family,Mexican,parking,none_no_false_value,category_feature_rank,30,700,,110770,27928,115767,3.5322,3.5315,16.3165,4.4915,category composition of service-feature families
category_feature_mix,category_attribute_family,Nightlife,experience_setting,positive_or_specific_value,category_feature_rank,31,698,,188476,54505,143343,3.5564,3.546,21.9736,4.4787,category composition of service-feature families
category_feature_mix,category_attribute_family,Nightlife,other_attribute,none_no_false_value,category_feature_rank,32,697,,804388,230656,585249,3.5847,3.5766,21.2704,4.4722,category composition of service-feature families
category_feature_mix,category_attribute_family,Nightlife,other_attribute,positive_or_specific_value,category_feature_rank,33,684,,290471,84291,214395,3.5857,3.5744,21.931,4.3888,category composition of service-feature families
category_feature_mix,category_attribute_family,Beauty & Spas,other_attribute,none_no_false_value,category_feature_rank,34,676,,8286,1724,12907,3.9988,4.0138,16.3833,4.3375,category composition of service-feature families
category_feature_mix,category_attribute_family,Mexican,access_family,positive_or_specific_value,category_feature_rank,35,673,,46876,11414,44731,3.5343,3.5483,15.9873,4.3183,category composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,payment_price,positive_or_specific_value,city_feature_rank,1,3949,,231740,63240,239777,3.6193,3.6167,18.3179,25.3385,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,parking,none_no_false_value,city_feature_rank,2,3281,,440519,121361,467732,3.6175,3.6157,18.259,21.0523,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,access_family,positive_or_specific_value,city_feature_rank,3,2709,,161566,44062,145947,3.6249,3.6339,19.1028,17.3821,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,other_attribute,none_no_false_value,city_feature_rank,4,2409,,1459085,392663,1137352,3.5342,3.5402,19.0499,15.4572,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,parking,positive_or_specific_value,city_feature_rank,5,2111,,127231,34184,105448,3.7349,3.7461,19.6328,13.5451,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,other_attribute,positive_or_specific_value,city_feature_rank,6,2085,,472253,127487,332040,3.6638,3.6733,20.5156,13.3782,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,experience_setting,positive_or_specific_value,city_feature_rank,7,2083,,396529,107250,308468,3.545,3.5506,19.7867,13.3654,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,payment_price,positive_or_specific_value,city_feature_rank,8,1908,,131688,31832,129248,3.7511,3.7412,19.605,12.2425,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,service_channel,positive_or_specific_value,city_feature_rank,9,1827,,202631,52586,148883,3.5191,3.5218,20.3668,11.7228,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,service_channel,none_no_false_value,city_feature_rank,10,1749,,169191,46195,144295,3.4843,3.4892,18.0425,11.2223,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,parking,none_no_false_value,city_feature_rank,11,1631,,244108,59457,243551,3.7515,3.7395,19.0678,10.4652,city composition of service-feature families
city_feature_mix,city_attribute_family,Phoenix,experience_setting,none_no_false_value,city_feature_rank,12,1401,,74711,19258,69863,3.4543,3.4531,17.7513,8.9894,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,access_family,positive_or_specific_value,city_feature_rank,13,1317,,86305,21104,75036,3.7475,3.7477,19.8636,8.4504,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,other_attribute,positive_or_specific_value,city_feature_rank,14,1116,,265574,63939,188870,3.7338,3.7414,21.4571,7.1607,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,other_attribute,none_no_false_value,city_feature_rank,15,1102,,830184,198905,599070,3.6317,3.6325,20.5832,7.0709,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,parking,positive_or_specific_value,city_feature_rank,16,1077,,74762,17658,60919,3.8221,3.818,21.158,6.9105,city composition of service-feature families
city_feature_mix,city_attribute_family,Tempe,payment_price,positive_or_specific_value,city_feature_rank,17,1075,,68280,17752,72754,3.6019,3.5898,18.6579,6.8977,city composition of service-feature families
city_feature_mix,city_attribute_family,Tempe,parking,none_no_false_value,city_feature_rank,18,915,,131895,34481,142610,3.5956,3.5786,18.0354,5.871,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,experience_setting,positive_or_specific_value,city_feature_rank,19,913,,239666,56593,173655,3.6226,3.629,21.3119,5.8582,city composition of service-feature families
city_feature_mix,city_attribute_family,Mesa,payment_price,positive_or_specific_value,city_feature_rank,20,908,,29535,8575,48251,3.6113,3.6141,15.6769,5.8261,city composition of service-feature families
city_feature_mix,city_attribute_family,Chandler,payment_price,positive_or_specific_value,city_feature_rank,21,843,,38131,10328,50452,3.6286,3.6201,17.4357,5.409,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,service_channel,positive_or_specific_value,city_feature_rank,22,787,,125197,28579,83329,3.6232,3.6252,21.7775,5.0497,city composition of service-feature families
city_feature_mix,city_attribute_family,Tempe,access_family,positive_or_specific_value,city_feature_rank,23,773,,50619,13103,46629,3.6307,3.6176,19.0136,4.9599,city composition of service-feature families
city_feature_mix,city_attribute_family,Mesa,parking,none_no_false_value,city_feature_rank,24,767,,59731,17604,100665,3.5828,3.5811,15.4359,4.9214,city composition of service-feature families
city_feature_mix,city_attribute_family,Scottsdale,service_channel,none_no_false_value,city_feature_rank,25,745,,81472,20197,65688,3.6006,3.6052,19.3726,4.7802,city composition of service-feature families
city_feature_mix,city_attribute_family,Chandler,parking,none_no_false_value,city_feature_rank,26,692,,76254,20832,101501,3.6214,3.6157,17.4112,4.4402,city composition of service-feature families
city_feature_mix,city_attribute_family,Tempe,other_attribute,none_no_false_value,city_feature_rank,27,619,,437475,113623,348601,3.5465,3.5262,17.9828,3.9718,city composition of service-feature families
city_feature_mix,city_attribute_family,Tempe,parking,positive_or_specific_value,city_feature_rank,28,604,,35660,9264,32350,3.7035,3.6998,18.6649,3.8755,city composition of service-feature families
city_feature_mix,city_attribute_family,Mesa,access_family,positive_or_specific_value,city_feature_rank,29,589,,22537,6546,29156,3.6588,3.6652,16.6671,3.7793,city composition of service-feature families
city_feature_mix,city_attribute_family,Glendale,payment_price,positive_or_specific_value,city_feature_rank,30,566,,18324,5334,28816,3.5945,3.5834,15.6688,3.6317,city composition of service-feature families
activity_by_feature,feature_activity,other_attribute,none_no_false_value,"",feature_activity_rank,1,6584,,3522624,928981,3010157,3.5481,3.5456,17.7927,42.2457,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,parking,none_no_false_value,"",feature_activity_rank,2,9253,,1097683,296362,1298995,3.6318,3.6245,16.9975,59.3712,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,other_attribute,positive_or_specific_value,"",feature_activity_rank,3,5789,,1103585,291086,865767,3.6749,3.6767,19.2388,37.1447,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,experience_setting,positive_or_specific_value,"",feature_activity_rank,4,5705,,980133,257995,838545,3.549,3.5479,18.5991,36.6057,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,payment_price,positive_or_specific_value,"",feature_activity_rank,5,11078,,572453,152906,658463,3.6383,3.6308,17.291,71.0812,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,service_channel,positive_or_specific_value,"",feature_activity_rank,6,4965,,504209,128002,405664,3.517,3.5153,19.0812,31.8576,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,access_family,positive_or_specific_value,"",feature_activity_rank,7,7470,,401937,107888,397974,3.6489,3.6509,18.0564,47.9307,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,service_channel,none_no_false_value,"",feature_activity_rank,8,4729,,401204,108313,381014,3.4997,3.497,16.7771,30.3433,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,parking,positive_or_specific_value,"",feature_activity_rank,9,5648,,299907,78663,277465,3.7476,3.7512,18.7618,36.24,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,experience_setting,none_no_false_value,"",feature_activity_rank,10,3611,,165755,42907,173115,3.4585,3.4506,16.339,23.1697,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,access_family,none_no_false_value,"",feature_activity_rank,11,1233,,71616,17494,50357,3.5638,3.5515,23.4174,7.9115,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,availability,none_no_false_value,"",feature_activity_rank,12,153,,18707,3732,8310,3.6797,3.6882,21.174,0.9817,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,payment_price,none_no_false_value,"",feature_activity_rank,13,306,,4226,873,4267,3.7859,3.7932,20.3071,1.9634,"attribute family compared on review, tip, and check-in activity"
activity_by_feature,feature_activity,availability,positive_or_specific_value,"",feature_activity_rank,14,3,,31,9,91,3.5,3.65,11.6667,0.0192,"attribute family compared on review, tip, and check-in activity"
