evidence_block,grain,item,item_2,item_3,rank_label,rank_value,catalog_book_count,sold_book_count,line_count,order_count,customer_count,publisher_count,language_count,total_price,avg_price,avg_pages,share_pct,notes
author_catalog_demand,author,Annie Proulx,475,,author_value_rank,70.0,6,4,9,9,9,3,1,121.89,13.5433,277.5455,0.1027,Author catalog breadth and attributed demand.
author_catalog_demand,author,Robin McKinley,7616,,author_value_rank,71.0,11,7,12,12,12,9,2,120.73,10.0608,303.8125,0.1018,Author catalog breadth and attributed demand.
author_catalog_demand,author,Fred Saberhagen,2743,,author_value_rank,72.0,7,5,10,10,10,4,2,120.5,12.05,304.25,0.1016,Author catalog breadth and attributed demand.
author_catalog_demand,author,Michael Crichton,6053,,author_value_rank,73.0,17,10,10,10,10,13,5,120.29,12.029,381.2941,0.1014,Author catalog breadth and attributed demand.
author_catalog_demand,author,Jeffery Deaver,3970,,author_value_rank,74.0,16,8,10,10,10,9,3,119.08,11.908,457.5,0.1004,Author catalog breadth and attributed demand.
author_catalog_demand,author,Edith Wharton,2240,,author_value_rank,75.0,11,9,10,10,10,7,1,119.03,11.903,677.75,0.1003,Author catalog breadth and attributed demand.
author_catalog_demand,author,Euripides,2590,,author_value_rank,76.0,26,10,12,12,12,14,3,117.9,9.825,310.9643,0.0994,Author catalog breadth and attributed demand.
author_catalog_demand,author,Stephen Hawking,8209,,author_value_rank,77.0,12,9,12,12,12,9,2,117.46,9.7883,310.1333,0.099,Author catalog breadth and attributed demand.
author_catalog_demand,author,CliffsNotes,1449,,author_value_rank,78.0,19,10,13,13,13,1,2,117.06,9.0046,91.1364,0.0987,Author catalog breadth and attributed demand.
author_catalog_demand,author,William Faulkner,9050,,author_value_rank,79.0,15,10,12,12,12,10,2,115.9,9.6583,458.7059,0.0977,Author catalog breadth and attributed demand.
author_catalog_demand,author,Vladimir Nabokov,8895,,author_value_rank,80.0,18,8,9,9,9,11,1,115.79,12.8656,443.4737,0.0976,Author catalog breadth and attributed demand.
author_catalog_demand,author,Warren Ellis,8970,,author_value_rank,81.0,15,6,8,8,8,6,3,114.74,14.3425,155.1765,0.0967,Author catalog breadth and attributed demand.
author_catalog_demand,author,Georges Simenon,2967,,author_value_rank,82.0,13,8,10,10,10,7,3,114.62,11.462,178.6667,0.0966,Author catalog breadth and attributed demand.
author_catalog_demand,author,Joyce Carol Oates,4603,,author_value_rank,83.0,25,10,12,12,12,12,3,112.19,9.3492,419.7037,0.0946,Author catalog breadth and attributed demand.
author_catalog_demand,author,Robert Jordan,7506,,author_value_rank,84.0,9,4,9,9,9,5,2,111.53,12.3922,858.9286,0.094,Author catalog breadth and attributed demand.
author_catalog_demand,author,Stephen R. Covey,8246,,author_value_rank,85.0,8,5,7,7,7,4,2,110.93,15.8471,330.0,0.0935,Author catalog breadth and attributed demand.
author_catalog_demand,author,Tobias Wolff,8673,,author_value_rank,86.0,6,6,9,9,9,5,2,110.14,12.2378,276.8889,0.0928,Author catalog breadth and attributed demand.
author_catalog_demand,author,Aeschylus,77,,author_value_rank,87.0,14,5,9,9,9,10,4,110.03,12.2256,221.0556,0.0927,Author catalog breadth and attributed demand.
author_catalog_demand,author,Patrick O'Brian,6680,,author_value_rank,88.0,15,6,12,12,12,7,4,109.94,9.1617,600.0952,0.0927,Author catalog breadth and attributed demand.
author_catalog_demand,author,Richard A. Knaak,7233,,author_value_rank,89.0,13,7,10,10,10,7,3,109.03,10.903,333.0625,0.0919,Author catalog breadth and attributed demand.
author_catalog_demand,author,Simon Schama,8099,,author_value_rank,90.0,7,5,8,8,8,6,3,108.16,13.52,630.6,0.0912,Author catalog breadth and attributed demand.
author_catalog_demand,author,Terry Jones,8524,,author_value_rank,91.0,7,5,7,7,7,6,2,107.86,15.4086,277.0,0.0909,Author catalog breadth and attributed demand.
author_catalog_demand,author,Paul Bowles,6708,,author_value_rank,92.0,8,5,7,7,7,5,2,107.79,15.3986,434.1,0.0908,Author catalog breadth and attributed demand.
author_catalog_demand,author,John Steinbeck,4438,,author_value_rank,93.0,13,6,10,10,10,6,2,107.64,10.764,281.5294,0.0907,Author catalog breadth and attributed demand.
author_catalog_demand,author,Tracy Chevalier,8758,,author_value_rank,94.0,8,6,10,10,10,7,5,107.61,10.761,275.1667,0.0907,Author catalog breadth and attributed demand.
author_catalog_demand,author,جبران خليل جبران,9206,,author_value_rank,95.0,6,5,8,8,8,5,1,107.02,13.3775,183.1111,0.0902,Author catalog breadth and attributed demand.
author_catalog_demand,author,Salman Rushdie,7836,,author_value_rank,96.0,12,6,9,9,9,9,2,106.92,11.88,407.9333,0.0901,Author catalog breadth and attributed demand.
author_catalog_demand,author,Erin St. Claire,2549,,author_value_rank,97.0,11,6,11,11,11,5,2,106.83,9.7118,254.625,0.09,Author catalog breadth and attributed demand.
author_catalog_demand,author,Lois Lenski,5333,,author_value_rank,98.0,8,7,11,11,11,3,2,106.2,9.6545,127.6667,0.0895,Author catalog breadth and attributed demand.
author_catalog_demand,author,Wallace Stegner,8925,,author_value_rank,99.0,11,6,9,9,9,6,2,105.88,11.7644,351.9286,0.0892,Author catalog breadth and attributed demand.
author_catalog_demand,author,P.D. James,6583,,author_value_rank,100.0,13,5,9,9,9,10,2,104.79,11.6433,410.0,0.0883,Author catalog breadth and attributed demand.
author_collaboration_role,author_collaboration,Agatha Christie,single_author_book,,collaboration_rank_within_author,1.0,27,27,19,19,,,,170.96,8.9979,,67.9572,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Alan Dean Foster,single_author_book,,collaboration_rank_within_author,1.0,21,21,14,14,,,,132.44,9.46,,73.7334,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Aldous Huxley,single_author_book,,collaboration_rank_within_author,1.0,8,8,9,9,,,,83.26,9.2511,,51.338,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Anne Rice,single_author_book,,collaboration_rank_within_author,1.0,15,15,10,10,,,,122.61,12.261,,60.1708,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,C.S. Lewis,multi_author_book,,collaboration_rank_within_author,1.0,24,24,16,16,,,,156.22,9.7638,,75.1058,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Christopher Hitchens,multi_author_book,,collaboration_rank_within_author,1.0,11,11,10,10,,,,89.87,8.987,,67.1072,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Chuck Palahniuk,single_author_book,,collaboration_rank_within_author,1.0,8,8,6,6,,,,93.43,15.5717,,56.3884,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Clive Cussler,multi_author_book,,collaboration_rank_within_author,1.0,14,14,10,10,,,,106.59,10.659,,63.0859,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Dan Simmons,single_author_book,,collaboration_rank_within_author,1.0,19,19,12,12,,,,96.11,8.0092,,62.316,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Dave Eggers,single_author_book,,collaboration_rank_within_author,1.0,9,9,8,8,,,,86.63,10.8288,,54.7045,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Dean Koontz,multi_author_book,,collaboration_rank_within_author,1.0,13,13,10,10,,,,102.14,10.214,,71.1182,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Dick Francis,single_author_book,,collaboration_rank_within_author,1.0,28,28,15,15,,,,160.76,10.7173,,94.0612,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Dr. Seuss,single_author_book,,collaboration_rank_within_author,1.0,16,16,11,11,,,,137.94,12.54,,79.993,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Ernest Hemingway,multi_author_book,,collaboration_rank_within_author,1.0,9,9,6,6,,,,85.65,14.275,,62.1192,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Francine Pascal,multi_author_book,,collaboration_rank_within_author,1.0,17,17,13,13,,,,107.5,8.2692,,67.6441,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Gabriel García Márquez,single_author_book,,collaboration_rank_within_author,1.0,12,12,8,8,,,,107.45,13.4313,,65.3509,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Georg Wilhelm Friedrich Hegel,multi_author_book,,collaboration_rank_within_author,1.0,10,10,11,11,,,,123.25,11.2045,,79.1078,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Gordon Korman,single_author_book,,collaboration_rank_within_author,1.0,22,22,22,22,,,,212.19,9.645,,92.5543,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Hiromu Arakawa,multi_author_book,,collaboration_rank_within_author,1.0,22,22,13,13,,,,97.34,7.4877,,67.6066,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Isaac Asimov,single_author_book,,collaboration_rank_within_author,1.0,14,14,11,11,,,,109.37,9.9427,,76.6272,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,J.R.R. Tolkien,multi_author_book,,collaboration_rank_within_author,1.0,29,29,22,22,,,,216.97,9.8623,,81.7736,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Jack Vance,single_author_book,,collaboration_rank_within_author,1.0,11,11,7,7,,,,103.3,14.7571,,80.615,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,James Patterson,single_author_book,,collaboration_rank_within_author,1.0,21,21,14,14,,,,117.05,8.3607,,54.1597,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Janet Evanovich,single_author_book,,collaboration_rank_within_author,1.0,16,16,10,10,,,,116.15,11.615,,77.6923,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Jodi Picoult,single_author_book,,collaboration_rank_within_author,1.0,15,15,11,11,,,,130.58,11.8709,,100.0,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,John Grisham,single_author_book,,collaboration_rank_within_author,1.0,14,14,10,10,,,,107.6,10.76,,71.3055,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Kahlil Gibran,multi_author_book,,collaboration_rank_within_author,1.0,8,8,9,9,,,,126.97,14.1078,,75.2281,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Laura Ingalls Wilder,multi_author_book,,collaboration_rank_within_author,1.0,23,23,14,14,,,,140.29,10.0207,,95.7872,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Laurell K. Hamilton,single_author_book,,collaboration_rank_within_author,1.0,23,23,20,20,,,,218.91,10.9455,,96.9658,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Maeve Binchy,single_author_book,,collaboration_rank_within_author,1.0,14,14,10,10,,,,130.98,13.098,,88.4104,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Marcel Proust,multi_author_book,,collaboration_rank_within_author,1.0,13,13,12,12,,,,105.36,8.78,,77.9867,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Margaret Weis,multi_author_book,,collaboration_rank_within_author,1.0,33,33,22,22,,,,240.83,10.9468,,86.9956,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Marian Keyes,single_author_book,,collaboration_rank_within_author,1.0,14,14,8,8,,,,89.42,11.1775,,62.5884,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Mark Twain,multi_author_book,,collaboration_rank_within_author,1.0,21,21,12,12,,,,119.54,9.9617,,84.8765,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Mary Higgins Clark,single_author_book,,collaboration_rank_within_author,1.0,12,12,14,14,,,,119.32,8.5229,,61.4355,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Mercedes Lackey,multi_author_book,,collaboration_rank_within_author,1.0,14,14,15,15,,,,171.53,11.4353,,60.3129,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Neil Gaiman,multi_author_book,,collaboration_rank_within_author,1.0,25,25,14,14,,,,126.09,9.0064,,74.689,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Orson Scott Card,single_author_book,,collaboration_rank_within_author,1.0,31,31,20,20,,,,212.3,10.615,,79.8691,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,P.G. Wodehouse,single_author_book,,collaboration_rank_within_author,1.0,38,38,29,29,,,,283.07,9.761,,80.6513,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Philip K. Dick,single_author_book,,collaboration_rank_within_author,1.0,10,10,10,10,,,,126.64,12.664,,73.9288,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Philippa Gregory,single_author_book,,collaboration_rank_within_author,1.0,10,10,11,11,,,,126.57,11.5064,,75.5461,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Piers Anthony,single_author_book,,collaboration_rank_within_author,1.0,30,30,25,25,,,,290.37,11.6148,,95.0599,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Plato,multi_author_book,,collaboration_rank_within_author,1.0,22,22,19,19,,,,170.06,8.9505,,100.0,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Quentin Blake,multi_author_book,,collaboration_rank_within_author,1.0,15,15,18,18,,,,189.16,10.5089,,94.9265,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Ray Bradbury,multi_author_book,,collaboration_rank_within_author,1.0,8,8,9,9,,,,92.98,10.3311,,66.051,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Roald Dahl,multi_author_book,,collaboration_rank_within_author,1.0,21,21,21,21,,,,233.26,11.1076,,71.6973,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Robert A. Heinlein,single_author_book,,collaboration_rank_within_author,1.0,11,11,12,12,,,,147.61,12.3008,,93.4477,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Rumiko Takahashi,single_author_book,,collaboration_rank_within_author,1.0,39,39,24,24,,,,261.96,10.915,,100.0,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Sandra Brown,single_author_book,,collaboration_rank_within_author,1.0,29,29,24,24,,,,233.1,9.7125,,64.5814,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Sophocles,multi_author_book,,collaboration_rank_within_author,1.0,18,18,16,16,,,,170.33,10.6456,,100.0,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,SparkNotes,multi_author_book,,collaboration_rank_within_author,1.0,8,8,7,7,,,,81.5,11.6429,,59.799,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Stephen King,multi_author_book,,collaboration_rank_within_author,1.0,48,48,34,34,,,,284.93,8.3803,,64.531,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Terry Pratchett,single_author_book,,collaboration_rank_within_author,1.0,23,23,12,12,,,,114.3,9.525,,68.5951,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Tom Clancy,multi_author_book,,collaboration_rank_within_author,1.0,22,22,15,15,,,,122.37,8.158,,57.9953,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Tracy Hickman,multi_author_book,,collaboration_rank_within_author,1.0,26,26,19,19,,,,200.07,10.53,,100.0,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,Ursula K. Le Guin,multi_author_book,,collaboration_rank_within_author,1.0,11,11,11,11,,,,105.8,9.6182,,57.5063,Single-author versus multi-author demand inside top author portfolios.
author_collaboration_role,author_collaboration,V.C. Andrews,single_author_book,,collaboration_rank_within_author,1.0,15,15,16,16,,,,183.82,11.4887,,99.2013,Single-author versus multi-author demand inside top author portfolios.
