evidence_group_id,evidence_block,entity_level,entity,parent_entity,row_count,order_count,customer_count,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,loss_line_count,gross_loss,gross_loss_share_pct,rank_by_sales,rank_by_profit,rank_by_gross_loss,note
G2,state_conversion_heterogeneity,state,Connecticut,East,152,88,20,30876.34,0.67,6231.08,20.18,0.07,16,-1014.57,0.32,28,19,24,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,New Jersey,East,230,114,32,53607.45,1.17,13025.76,24.3,0.046,18,-949.54,0.3,21,12,25,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Idaho,West,66,36,4,12493.81,0.27,1274.04,10.2,0.071,4,-622.66,0.2,40,33,26,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Montana,West,64,28,5,17600.37,0.38,4368.55,24.82,0.159,8,-528.55,0.17,35,26,27,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,New Mexico,West,78,40,10,20110.72,0.44,4073.65,20.26,0.141,14,-461.23,0.15,33,28,28,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Oklahoma,Central,124,66,22,26594.75,0.58,5957.0,22.4,0.079,10,-444.55,0.14,30,20,29,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Kentucky,South,254,126,36,58447.92,1.27,15146.7,25.91,0.054,16,-354.21,0.11,19,10,30,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Rhode Island,East,90,38,10,27541.91,0.6,7358.35,26.72,0.091,12,-332.2,0.11,29,17,31,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,New Hampshire,East,52,30,8,21406.51,0.47,5124.34,23.94,0.062,4,-220.65,0.07,32,23,32,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,South Dakota,Central,12,6,2,1741.38,0.04,294.42,16.91,0.12,2,-152.02,0.05,44,36,33,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Kansas,Central,28,16,6,6674.5,0.15,1211.01,18.14,0.043,2,-151.69,0.05,42,34,34,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Utah,West,86,50,12,11341.14,0.25,2318.44,20.44,0.103,6,-114.9,0.04,41,31,35,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,District of Columbia,East,4,4,1,221.39,0.0,-81.03,-36.6,0.35,2,-107.49,0.03,45,37,36,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Georgia,South,330,158,50,71699.43,1.56,22004.27,30.69,0.034,8,-54.56,0.02,13,6,37,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,South Carolina,South,102,48,12,22113.18,0.48,5213.78,23.58,0.043,4,-52.42,0.02,31,21,38,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Alabama,South,102,60,20,31367.94,0.68,9576.41,30.53,0.041,2,-42.17,0.01,26,14,39,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Louisiana,South,104,50,14,17098.63,0.37,4300.16,25.15,0.054,4,-19.48,0.01,36,27,40,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Maine,East,22,10,2,2138.96,0.05,677.52,31.68,0.055,2,-13.08,0.0,43,35,41,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Arkansas,South,88,40,14,18190.04,0.4,5126.49,28.18,0.027,2,-4.97,0.0,34,22,42,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Nevada,West,96,56,10,30972.89,0.67,6678.94,21.56,0.1,0,0.0,-0.0,27,18,43,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Iowa,Central,66,42,13,14741.33,0.32,3903.73,26.48,0.024,0,0.0,-0.0,38,29,44,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Mississippi,South,84,40,17,15964.41,0.35,4482.2,28.08,0.005,0,0.0,-0.0,37,25,45,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G3,city_loss_pockets,city,"Philadelphia, Pennsylvania",East,1176,560,133,232368.78,5.06,2222.9,0.96,0.234,372,-26708.33,8.55,4,55,1,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Chicago, Illinois",Central,706,366,94,109656.69,2.39,-2432.89,-2.22,0.325,312,-17390.89,5.57,8,487,2,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"San Antonio, Texas",Central,98,46,15,37355.65,0.81,-15230.44,-40.77,0.419,60,-15914.76,5.1,15,496,3,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Houston, Texas",Central,790,390,108,174531.26,3.8,19225.62,11.02,0.28,282,-15623.12,5.0,5,6,4,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Lancaster, Ohio",East,40,16,5,11639.38,0.25,-13407.7,-115.19,0.22,6,-13850.73,4.44,71,495,5,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"New York City, New York",East,1720,890,223,475135.95,10.34,103657.33,21.82,0.096,194,-13122.82,4.2,1,1,6,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Jacksonville, Florida",South,128,60,23,76911.37,1.67,-6923.21,-9.0,0.272,44,-8908.6,2.85,9,493,7,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Dallas, Texas",Central,296,146,40,66930.41,1.46,1134.58,1.7,0.303,116,-8696.2,2.78,10,108,8,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Burlington, North Carolina",South,16,8,3,16767.72,0.36,-7639.52,-45.56,0.275,4,-7694.38,2.46,41,494,9,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Newark, Ohio",East,94,42,10,21766.1,0.47,-5298.64,-24.34,0.249,40,-7612.57,2.44,27,490,10,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Louisville, Colorado",West,68,38,8,12557.75,0.27,-6233.88,-49.64,0.194,14,-7133.07,2.28,62,492,11,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Los Angeles, California",West,1462,748,165,337157.61,7.34,54206.63,16.08,0.094,116,-6384.44,2.04,2,2,12,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Mesquite, Texas",Central,12,8,2,3894.29,0.08,-6035.8,-154.99,0.567,8,-6041.16,1.93,210,491,13,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Fort Worth, Texas",Central,64,30,7,21721.96,0.47,-1634.35,-7.52,0.263,20,-5420.98,1.74,29,475,14,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Concord, North Carolina",South,28,16,5,10602.36,0.23,-3458.86,-32.62,0.171,2,-3724.62,1.19,82,489,15,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"San Francisco, California",West,1052,532,117,250471.01,5.45,47777.96,19.08,0.101,92,-3543.06,1.13,3,3,18,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Columbus, Ohio",East,258,122,21,43980.1,0.96,6029.22,13.71,0.205,76,-2843.95,0.91,12,18,23,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Seattle, Washington",West,710,378,82,174406.95,3.8,32003.67,18.35,0.087,32,-2178.79,0.7,6,4,30,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Detroit, Michigan",Central,262,122,28,54821.49,1.19,11909.36,21.72,0.089,28,-2173.97,0.7,11,9,31,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Long Beach, New York",East,128,56,11,37446.07,0.82,4810.11,12.85,0.116,18,-1817.09,0.58,14,24,39,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Rochester, New York",East,96,62,13,35449.36,0.77,10921.82,30.81,0.165,22,-1623.98,0.52,17,10,43,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Newark, Delaware",East,194,88,20,35732.42,0.78,7126.61,19.94,0.089,28,-1149.48,0.37,16,15,58,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Indianapolis, Indiana",Central,64,34,8,33058.18,0.72,12210.4,36.94,0.163,14,-742.01,0.24,18,8,82,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"San Diego, California",West,540,270,48,151397.65,3.3,25103.45,16.58,0.077,26,-497.73,0.16,7,5,105,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Franklin, Massachusetts",East,38,14,4,20832.15,0.45,7746.49,37.19,0.047,4,-210.38,0.07,30,14,144,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Springfield, Virginia",South,108,58,18,29653.85,0.65,7785.16,26.25,0.102,14,-192.32,0.06,21,13,152,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Arlington, Virginia",South,78,42,14,31533.09,0.69,8984.25,28.49,0.082,10,-190.88,0.06,19,11,153,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Atlanta, Georgia",South,58,24,7,20258.98,0.44,8021.71,39.6,0.052,2,-9.83,0.0,32,12,286,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G3,city_loss_pockets,city,"Minneapolis, Minnesota",Central,66,36,10,38997.63,0.85,15000.75,38.47,0.006,0,0.0,-0.0,13,7,307,"City pocket screen: retain top sales, top profit, and highest gross-loss cities to separate broad geography from local pockets."
G4,customer_profit_concentration,customer,CS-12505 / Cindy Stewart,Consumer / Ohio / East,6,2,1,10033.1,0.22,-13784.75,-137.39,0.533,4,-13808.74,4.42,46,2501,1,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,GT-14635 / Grant Thornton,Corporate / North Carolina / South,4,2,1,16334.84,0.36,-7650.68,-46.84,0.35,2,-7679.98,2.46,15,2500,2,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,LF-17185 / Luke Foster,Consumer / Texas / Central,14,4,1,5361.38,0.12,-7611.1,-141.96,0.657,14,-7611.1,2.44,173,2499,3,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,SR-20425 / Sharelle Roach,Home Office / Colorado / West,10,2,1,5226.62,0.11,-6848.71,-131.04,0.6,8,-6863.22,2.2,187,2498,4,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,HG-14965 / Henry Goldwyn,Corporate / Texas / Central,4,4,1,3781.73,0.08,-5861.77,-155.0,0.8,4,-5861.77,1.88,324,2497,5,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,NF-18385 / Natalie Fritzler,Consumer / Ohio / East,10,4,1,9727.1,0.21,-4114.67,-42.3,0.36,6,-5467.89,1.75,52,2495,6,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,NC-18415 / Nathan Cano,Consumer / Texas / Central,10,6,1,3494.46,0.08,-4665.04,-133.5,0.42,6,-4685.31,1.5,377,2496,7,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,BM-11140 / Becky Martin,Consumer / Texas / Central,14,2,1,21079.79,0.46,-3757.58,-17.83,0.329,8,-3794.67,1.22,6,2494,9,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,JH-15985 / Joseph Holt,Consumer / North Carolina / South,2,2,1,8595.29,0.19,-3724.62,-43.33,0.4,2,-3724.62,1.19,70,2493,10,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,SM-20320 / Sean Miller,Home Office / Florida / South,16,4,1,47338.39,1.03,-3574.09,-7.55,0.275,4,-3655.01,1.17,1,2492,11,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,AB-10105 / Adrian Barton,Consumer / Indiana / Central,22,10,1,24363.19,0.53,10725.23,44.02,0.255,8,-363.14,0.12,5,3,215,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,GT-14710 / Greg Tran,Consumer / New York / East,22,10,1,18765.87,0.41,3498.21,18.64,0.073,2,-100.2,0.03,10,23,466,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,TC-20980 / Tamara Chand,Corporate / Texas / Central,14,4,1,36874.28,0.8,17490.13,47.43,0.143,2,-88.56,0.03,2,1,500,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,RB-19360 / Raymond Buch,Consumer / California / West,12,4,1,28690.55,0.62,13614.18,47.45,0.033,0,0.0,-0.0,3,2,1053,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,HL-15040 / Hunter Lopez,Consumer / New York / East,4,4,1,21045.1,0.46,10091.71,47.95,0.0,0,0.0,-0.0,7,4,1054,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,SC-20095 / Sanjit Chand,Consumer / Minnesota / Central,8,2,1,19800.38,0.43,9337.39,47.16,0.0,0,0.0,-0.0,9,5,1055,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,TA-21385 / Tom Ashbrook,Home Office / New York / East,10,4,1,27447.0,0.6,9198.41,33.51,0.04,0,0.0,-0.0,4,6,1056,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,CM-12385 / Christopher Martinez,Consumer / Georgia / South,10,4,1,13364.52,0.29,6394.92,47.85,0.0,0,0.0,-0.0,24,7,1057,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,DR-12940 / Daniel Raglin,Home Office / Massachusetts / East,14,4,1,13875.74,0.3,6100.67,43.97,0.0,0,0.0,-0.0,22,8,1058,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,SE-20110 / Sanjit Engle,Consumer / Virginia / South,6,2,1,17610.08,0.38,5650.57,32.09,0.0,0,0.0,-0.0,12,9,1059,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,AR-10540 / Andy Reiter,Consumer / Michigan / Central,6,2,1,11605.4,0.25,5204.19,44.84,0.0,0,0.0,-0.0,31,10,1060,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer,BS-11365 / Bill Shonely,Corporate / New York / East,8,4,1,20044.59,0.44,5117.16,25.53,0.025,0,0.0,-0.0,8,11,1061,"Customer concentration details: selected customers by top sales, top profit, and most negative profit."
G4,customer_profit_concentration,customer_concentration,bottom_10_profit_customers,customer_concentration,90,32,10,130972.7,2.85,-61593.01,-47.03,0.451,58,-63152.31,20.22,,,10,Customer concentration aggregate: compare whether the most profitable and least profitable customers are large enough to shape the answer.
G4,customer_profit_concentration,customer_concentration,top_10_profit_customers,customer_concentration,106,40,10,214676.23,4.67,93807.39,43.7,0.079,10,-451.69,0.14,10,10,,Customer concentration aggregate: compare whether the most profitable and least profitable customers are large enough to shape the answer.
G5,segment_state_interaction,segment_state,Consumer / Texas,Central,978,490,140,182387.19,3.97,-26744.21,-14.66,0.314,426,-40848.1,13.08,5,129,1,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Consumer / Ohio,East,466,236,59,111567.38,2.43,-18865.71,-16.91,0.241,142,-31558.77,10.11,11,128,2,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Consumer / Illinois,Central,684,348,88,122569.54,2.67,-9353.29,-7.63,0.341,324,-22317.2,7.15,10,127,3,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Corporate / Texas,Central,620,308,85,166202.39,3.62,12258.72,7.38,0.3,232,-21078.41,6.75,6,14,4,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Corporate / Pennsylvania,East,418,198,46,77141.95,1.68,-3212.92,-4.16,0.244,144,-12630.08,4.04,15,123,5,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Consumer / Pennsylvania,East,606,282,68,124608.71,2.71,4730.55,3.8,0.229,182,-11072.35,3.55,9,29,6,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Consumer / New York,East,1306,642,155,357078.09,7.77,73307.28,20.53,0.103,168,-10593.35,3.39,2,2,7,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Consumer / North Carolina,South,304,152,52,61739.9,1.34,-3176.24,-5.14,0.224,64,-9834.02,3.15,18,122,8,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Corporate / North Carolina,South,164,84,26,48177.74,1.05,-2428.76,-5.04,0.232,36,-9063.9,2.9,22,120,9,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Consumer / Florida,South,410,226,68,79805.59,1.74,1001.2,1.25,0.246,124,-8952.1,2.87,14,83,10,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Corporate / Ohio,East,208,94,21,41057.48,0.89,-3677.7,-8.96,0.236,82,-8430.11,2.7,28,124,11,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Home Office / Florida,South,146,78,25,71427.57,1.55,-4855.99,-6.8,0.24,38,-8008.09,2.56,16,125,12,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Corporate / New York,East,628,330,82,160405.39,3.49,26831.65,16.73,0.107,78,-7794.13,2.5,7,6,13,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Home Office / Colorado,West,54,24,5,12191.24,0.27,-6353.2,-52.11,0.226,12,-7059.22,2.26,73,126,14,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Home Office / Pennsylvania,East,256,122,31,47316.44,1.03,-1984.9,-4.19,0.233,82,-6996.92,2.24,23,119,15,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Corporate / California,West,1286,638,135,304319.65,6.62,46793.28,15.38,0.105,120,-6022.81,1.93,3,3,16,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Consumer / California,West,2078,1036,230,470868.02,10.25,81132.72,17.23,0.089,164,-6000.35,1.92,1,1,17,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Home Office / Texas,Central,296,142,39,67390.29,1.47,4878.03,7.24,0.302,124,-5838.21,1.87,17,27,18,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Home Office / California,West,768,390,78,189505.25,4.12,28719.3,15.15,0.092,52,-5673.58,1.82,4,5,19,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
G5,segment_state_interaction,segment_state,Corporate / Florida,South,274,118,38,55883.15,1.22,3214.18,5.75,0.236,68,-5366.44,1.72,21,45,20,Segment-state interaction: check whether weak conversion is explained by segment alone or by segment embedded in specific states.
