evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,states,calls,avg_priority,avg_service_seconds,avg_sent_delay_days,disputed_count,untimely_count,relief_count,no_relief_count,explanation_count,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
product_issue_risk_pockets,product_issue,Credit card,APR or interest rate,,product_issue_volume_rank,10.0,493,472,77,4,47,1.0,717.7447,3.5112,94,13,42,33,293,19.0669,2.6369,6.6937,2.1051,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Customer service / Customer relations,,product_issue_volume_rank,11.0,373,363,76,4,37,0.7297,607.5405,3.5094,81,3,14,9,249,21.7158,0.8043,2.4129,1.5927,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Other fee,,product_issue_volume_rank,12.0,347,338,77,4,12,0.9167,626.4167,3.0605,49,6,28,14,153,14.121,1.7291,4.0346,1.4817,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Transaction issue,,product_issue_volume_rank,13.0,346,335,77,4,19,0.5263,817.4211,1.7312,85,4,15,12,216,24.5665,1.1561,3.4682,1.4774,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Late fee,,product_issue_volume_rank,14.0,344,330,75,4,19,0.4211,679.0,2.4331,52,7,19,6,157,15.1163,2.0349,1.7442,1.4689,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Credit card protection / Debt protection,,product_issue_volume_rank,15.0,318,312,74,4,22,0.6364,764.0909,2.2421,98,15,21,24,189,30.8176,4.717,7.5472,1.3579,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Delinquent account,,product_issue_volume_rank,16.0,314,304,72,4,11,1.0,754.3636,1.7134,71,2,3,5,233,22.6115,0.6369,1.5924,1.3408,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Rewards,,product_issue_volume_rank,17.0,290,286,76,4,23,0.913,875.6087,2.6345,65,8,28,13,166,22.4138,2.7586,4.4828,1.2383,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Credit reporting,,product_issue_volume_rank,18.0,270,265,72,4,19,0.8421,574.4211,3.5222,70,16,37,45,135,25.9259,5.9259,16.6667,1.1529,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Billing statement,,product_issue_volume_rank,19.0,262,258,72,4,17,0.2941,776.2353,2.2023,50,2,12,11,161,19.084,0.7634,4.1985,1.1187,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Credit line increase/decrease,,product_issue_volume_rank,20.0,253,249,71,4,21,0.7143,621.7143,2.083,59,8,15,22,174,23.3202,3.1621,8.6957,1.0803,Find product and issue intersections that may explain weak outcomes.
call_type_outcome_overlay,call_type_outcome,PS,AGENT,,call_type_volume_rank,1.0,1723,1482,77,4,1723,0.9008,704.8056,2.9565,283,36,57,59,1155,16.4248,2.0894,3.4243,7.3573,Overlay call handling type with complaint outcome signals.
call_type_outcome_overlay,call_type_outcome,NW,AGENT,,call_type_volume_rank,2.0,424,409,77,4,424,0.1745,670.4481,3.9387,70,6,20,11,272,16.5094,1.4151,2.5943,1.8105,Overlay call handling type with complaint outcome signals.
call_type_outcome_overlay,call_type_outcome,NE,AGENT,,call_type_volume_rank,3.0,234,232,68,4,234,1.1325,686.3376,2.6026,37,4,2,10,149,15.812,1.7094,4.2735,0.9992,Overlay call handling type with complaint outcome signals.
call_type_outcome_overlay,call_type_outcome,TT,AGENT,,call_type_volume_rank,4.0,85,81,45,4,85,0.9765,673.0,2.9059,14,0,3,3,50,16.4706,0.0,3.5294,0.363,Overlay call handling type with complaint outcome signals.
call_type_outcome_overlay,call_type_outcome,IN,AGENT,,call_type_volume_rank,5.0,21,21,19,4,21,0.1905,775.9524,1.9048,7,0,1,1,14,33.3333,0.0,4.7619,0.0897,Overlay call handling type with complaint outcome signals.
call_type_outcome_overlay,call_type_outcome,PE,AGENT,,call_type_volume_rank,6.0,17,17,17,4,17,1.0588,980.2353,8.0588,1,1,2,0,9,5.8824,5.8824,0.0,0.0726,Overlay call handling type with complaint outcome signals.
