evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,calls,avg_priority,avg_service_seconds,avg_sent_delay_days,disputed_count,untimely_count,no_relief_count,relief_count,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
delay_product_mix,delay_product,over_seven_days,Bank account or service,,product_rank_in_delay_bucket,1.0,605,577,63,0.8254,781.4286,23.5322,107,27,7,21,17.686,4.4628,1.157,2.5834,Check whether delay buckets are driven by different product mix.
delay_product_mix,delay_product,over_seven_days,Credit card,,product_rank_in_delay_bucket,2.0,498,471,42,0.7381,727.619,28.1727,107,24,25,20,21.4859,4.8193,5.0201,2.1265,Check whether delay buckets are driven by different product mix.
delay_product_mix,delay_product,three_to_seven_days,Bank account or service,,product_rank_in_delay_bucket,1.0,3510,2599,512,0.8184,700.5586,4.4,566,36,43,59,16.1254,1.0256,1.2251,14.9878,Check whether delay buckets are driven by different product mix.
delay_product_mix,delay_product,three_to_seven_days,Credit card,,product_rank_in_delay_bucket,2.0,2045,1691,213,0.7793,700.061,4.4538,461,49,91,85,22.5428,2.3961,4.4499,8.7322,Check whether delay buckets are driven by different product mix.
delay_product_mix,delay_product,same_day,Bank account or service,,product_rank_in_delay_bucket,1.0,6211,3710,561,0.7629,698.4332,-0.013,1066,37,58,80,17.1631,0.5957,0.9338,26.5212,Check whether delay buckets are driven by different product mix.
delay_product_mix,delay_product,same_day,Credit card,,product_rank_in_delay_bucket,2.0,4581,3076,181,0.8508,678.3978,-0.0242,1079,55,158,148,23.5538,1.2006,3.449,19.561,Check whether delay buckets are driven by different product mix.
delay_product_mix,delay_product,one_to_two_days,Bank account or service,,product_rank_in_delay_bucket,1.0,3765,2688,669,0.8236,688.9836,1.3631,583,53,94,146,15.4847,1.4077,2.4967,16.0767,Check whether delay buckets are driven by different product mix.
delay_product_mix,delay_product,one_to_two_days,Credit card,,product_rank_in_delay_bucket,2.0,2204,1794,263,0.7414,708.3156,1.3671,485,90,196,200,22.0054,4.0835,8.8929,9.4112,Check whether delay buckets are driven by different product mix.
delay_issue_mix,delay_issue,over_seven_days,"Account opening, closing, or management",,issue_rank_in_delay_bucket,1.0,300,291,29,1.0345,863.6552,23.3067,63,14,3,9,21.0,4.6667,1.0,1.281,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,over_seven_days,Deposits and withdrawals,,issue_rank_in_delay_bucket,2.0,154,153,22,0.6364,678.0909,25.2597,24,9,3,7,15.5844,5.8442,1.9481,0.6576,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,over_seven_days,Billing disputes,,issue_rank_in_delay_bucket,3.0,81,80,7,0.2857,700.0,28.963,18,3,2,3,22.2222,3.7037,2.4691,0.3459,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,over_seven_days,"Making/receiving payments, sending money",,issue_rank_in_delay_bucket,4.0,62,61,2,1.0,1207.0,26.3548,6,2,0,2,9.6774,3.2258,0.0,0.2647,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,over_seven_days,Other,,issue_rank_in_delay_bucket,5.0,62,62,4,0.5,732.5,20.1774,12,3,1,1,19.3548,4.8387,1.6129,0.2647,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,three_to_seven_days,"Account opening, closing, or management",,issue_rank_in_delay_bucket,1.0,1537,1339,237,0.8017,712.0675,4.4027,285,17,24,23,18.5426,1.1061,1.5615,6.563,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,three_to_seven_days,Deposits and withdrawals,,issue_rank_in_delay_bucket,2.0,1026,930,176,0.875,663.0284,4.4435,158,13,12,13,15.3996,1.2671,1.1696,4.3811,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,three_to_seven_days,Problems caused by my funds being low,,issue_rank_in_delay_bucket,3.0,447,434,41,0.6585,769.1707,4.3647,44,0,4,9,9.8434,0.0,0.8949,1.9087,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,three_to_seven_days,Billing disputes,,issue_rank_in_delay_bucket,4.0,380,368,46,0.6304,634.9783,4.5421,93,6,19,12,24.4737,1.5789,5.0,1.6226,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,three_to_seven_days,"Making/receiving payments, sending money",,issue_rank_in_delay_bucket,5.0,290,284,35,0.8571,686.8571,4.3379,46,5,2,10,15.8621,1.7241,0.6897,1.2383,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,same_day,"Account opening, closing, or management",,issue_rank_in_delay_bucket,1.0,2435,1951,289,0.8062,706.391,-0.0152,458,15,21,32,18.809,0.616,0.8624,10.3975,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,same_day,Deposits and withdrawals,,issue_rank_in_delay_bucket,2.0,1525,1318,154,0.6948,704.1299,-0.0151,251,9,16,22,16.459,0.5902,1.0492,6.5118,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,same_day,Problems caused by my funds being low,,issue_rank_in_delay_bucket,3.0,1037,938,51,0.6471,647.4314,-0.0068,120,4,8,18,11.5718,0.3857,0.7715,4.428,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,same_day,Billing disputes,,issue_rank_in_delay_bucket,4.0,722,669,38,1.1842,748.8947,-0.0111,212,5,24,21,29.3629,0.6925,3.3241,3.083,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,same_day,Using a debit or ATM card,,issue_rank_in_delay_bucket,5.0,640,603,33,0.7576,645.7879,-0.0125,110,2,6,3,17.1875,0.3125,0.9375,2.7328,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,one_to_two_days,"Account opening, closing, or management",,issue_rank_in_delay_bucket,1.0,1612,1394,302,0.7848,656.3742,1.3573,261,19,29,66,16.1911,1.1787,1.799,6.8833,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,one_to_two_days,Deposits and withdrawals,,issue_rank_in_delay_bucket,2.0,1083,982,217,0.9171,738.2442,1.3777,169,19,34,38,15.6048,1.7544,3.1394,4.6245,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,one_to_two_days,Problems caused by my funds being low,,issue_rank_in_delay_bucket,3.0,502,478,63,0.8095,753.0,1.3725,61,3,9,24,12.1514,0.5976,1.7928,2.1436,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,one_to_two_days,Billing disputes,,issue_rank_in_delay_bucket,4.0,377,361,47,0.8936,690.8723,1.3422,91,16,23,21,24.1379,4.244,6.1008,1.6098,Check whether delay buckets are driven by different issue mix.
delay_issue_mix,delay_issue,one_to_two_days,"Making/receiving payments, sending money",,issue_rank_in_delay_bucket,5.0,320,305,49,0.7347,637.3878,1.3313,48,9,14,9,15.0,2.8125,4.375,1.3664,Check whether delay buckets are driven by different issue mix.
