evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,parent_violations,parent_total_fine,avg_violation_change,avg_fine_change,pass_rate_pct,issue_rate_pct,notes
parent_child_result_transition,parent_to_child_result,pass,conditional_pass,,child_result_rank_within_parent_result,3.0,17,17,81,3,0,0,9350.0,,,,95.0,9750.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,pass,other_result,,child_result_rank_within_parent_result,4.0,13,13,4,0,0,0,400.0,,,,50.0,3800.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,fail,pass,,child_result_rank_within_parent_result,1.0,20735,13212,108709,5646,0,0,5484400.0,,,,121752.0,19892400.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,fail,fail,,child_result_rank_within_parent_result,2.0,2084,1694,14647,2082,0,0,1638550.0,,,,15297.0,2689950.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,fail,conditional_pass,,child_result_rank_within_parent_result,3.0,1276,1176,8766,915,0,0,928900.0,,,,8877.0,1546550.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,fail,other_result,,child_result_rank_within_parent_result,4.0,243,239,972,47,0,0,127650.0,,,,1545.0,262750.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
facility_followup_concentration,facility,14616,Restaurant,2,followup_volume_rank,1.0,21,,75,21,0,0,8800.0,21,0,0,,,,,100.0,0.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1978,Restaurant,1,followup_volume_rank,2.0,16,,131,33,0,0,21250.0,3,0,13,,,,,18.75,81.25,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,9154,Restaurant,1,followup_volume_rank,3.0,14,,107,9,0,0,8900.0,10,0,4,,,,,71.4286,28.5714,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1980017,Restaurant,1,followup_volume_rank,4.0,13,,75,7,0,0,5650.0,10,1,2,,,,,76.9231,23.0769,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,2008547,Restaurant,1,followup_volume_rank,5.0,12,,95,9,0,0,10300.0,7,3,2,,,,,58.3333,41.6667,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1596210,Grocery Store,1,followup_volume_rank,6.0,12,,67,4,0,0,6050.0,9,0,3,,,,,75.0,25.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1302136,Restaurant,2,followup_volume_rank,7.0,12,,63,7,0,0,4950.0,9,1,2,,,,,75.0,25.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,2079949,Restaurant,1,followup_volume_rank,8.0,11,,97,11,0,0,9700.0,4,3,4,,,,,36.3636,63.6364,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,2043185,Grocery Store,2,followup_volume_rank,9.0,11,,77,12,0,0,8800.0,3,2,6,,,,,27.2727,72.7273,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,74095,Restaurant,1,followup_volume_rank,10.0,11,,104,10,0,0,8250.0,5,1,5,,,,,45.4545,54.5455,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,39084,Restaurant,1,followup_volume_rank,11.0,11,,76,3,0,0,7500.0,9,1,1,,,,,81.8182,18.1818,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1909713,Restaurant,1,followup_volume_rank,12.0,11,,64,5,0,0,4650.0,8,1,2,,,,,72.7273,27.2727,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,25275,Restaurant,1,followup_volume_rank,13.0,10,,77,5,0,0,9900.0,9,0,1,,,,,90.0,10.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1392,Grocery Store,1,followup_volume_rank,14.0,10,,74,13,0,0,9650.0,4,2,4,,,,,40.0,60.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,18234,Restaurant,1,followup_volume_rank,15.0,10,,78,3,0,0,5250.0,6,1,2,,,,,60.0,30.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1974743,Restaurant,1,followup_volume_rank,16.0,10,,56,4,0,0,4650.0,8,1,1,,,,,80.0,20.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,47051,School,1,followup_volume_rank,17.0,10,,50,8,0,0,4600.0,5,1,4,,,,,50.0,50.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,2017640,Restaurant,1,followup_volume_rank,18.0,10,,61,7,0,0,4300.0,5,2,3,,,,,50.0,50.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1273274,Restaurant,2,followup_volume_rank,19.0,10,,47,5,0,0,4100.0,7,1,2,,,,,70.0,30.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1058,Restaurant,1,followup_volume_rank,20.0,10,,52,2,0,0,3450.0,9,0,1,,,,,90.0,10.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,2009371,Restaurant,1,followup_volume_rank,21.0,10,,74,8,0,0,2950.0,7,2,1,,,,,70.0,30.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,2069749,Restaurant,1,followup_volume_rank,22.0,10,,54,4,0,0,2650.0,7,0,3,,,,,70.0,30.0,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1963860,Restaurant,1,followup_volume_rank,23.0,9,,72,4,0,0,7950.0,6,2,1,,,,,66.6667,33.3333,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1879470,Restaurant,1,followup_volume_rank,24.0,9,,77,7,0,0,7050.0,6,2,1,,,,,66.6667,33.3333,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,2069562,Restaurant,2,followup_volume_rank,25.0,9,,71,6,0,0,7000.0,5,2,2,,,,,55.5556,44.4444,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,644,Restaurant,1,followup_volume_rank,26.0,9,,54,10,0,0,6700.0,3,1,5,,,,,33.3333,66.6667,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1445981,Restaurant,2,followup_volume_rank,27.0,9,,58,3,0,0,6550.0,7,2,0,,,,,77.7778,22.2222,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1095992,Restaurant,1,followup_volume_rank,28.0,9,,58,2,0,0,6400.0,7,2,0,,,,,77.7778,22.2222,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,1227055,Restaurant,1,followup_volume_rank,29.0,9,,57,7,0,0,6150.0,6,1,2,,,,,66.6667,33.3333,Locate facilities with concentrated follow-up activity.
facility_followup_concentration,facility,60184,Restaurant,1,followup_volume_rank,30.0,9,,89,8,0,0,5750.0,7,0,2,,,,,77.7778,22.2222,Locate facilities with concentrated follow-up activity.
ward_followup_profile,ward,42,,,followup_volume_rank,1.0,2370,1337,9073,634,0,0,515800.0,2109,140,106,,,,,88.9873,10.3797,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,27,,,followup_volume_rank,2.0,1256,685,6437,503,0,0,459500.0,1062,62,114,,,,,84.5541,14.0127,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,25,,,followup_volume_rank,3.0,1057,539,5900,383,0,0,350900.0,903,62,82,,,,,85.4305,13.6235,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,1,,,followup_volume_rank,4.0,1033,521,5646,378,0,0,343000.0,883,56,88,,,,,85.4792,13.94,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,44,,,followup_volume_rank,5.0,911,486,4934,281,0,0,264450.0,812,39,52,,,,,89.1328,9.989,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,2,,,followup_volume_rank,6.0,880,408,4123,250,0,0,275500.0,764,48,64,,,,,86.8182,12.7273,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,43,,,followup_volume_rank,7.0,768,397,4479,283,0,0,250550.0,643,59,58,,,,,83.724,15.2344,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,28,,,followup_volume_rank,8.0,720,373,4143,273,0,0,280100.0,603,46,62,,,,,83.75,15.0,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,47,,,followup_volume_rank,9.0,666,394,3650,223,0,0,179000.0,595,28,36,,,,,89.3393,9.6096,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,50,,,followup_volume_rank,10.0,625,302,3952,248,0,0,173100.0,523,31,64,,,,,83.68,15.2,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,32,,,followup_volume_rank,11.0,591,341,3129,151,0,0,159450.0,515,27,42,,,,,87.1404,11.6751,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,48,,,followup_volume_rank,12.0,587,277,2972,164,0,0,154350.0,531,22,31,,,,,90.46,9.029,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,4,,,followup_volume_rank,13.0,577,292,2783,183,0,0,179050.0,482,46,44,,,,,83.5355,15.5979,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,6,,,followup_volume_rank,14.0,567,272,3346,208,0,0,255750.0,437,37,74,,,,,77.0723,19.5767,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,3,,,followup_volume_rank,15.0,553,290,3108,245,0,0,194300.0,443,36,71,,,,,80.1085,19.349,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,41,,,followup_volume_rank,16.0,532,254,2721,166,0,0,154850.0,470,27,34,,,,,88.3459,11.4662,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,49,,,followup_volume_rank,17.0,528,267,2991,119,0,0,157300.0,465,19,35,,,,,88.0682,10.2273,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,12,,,followup_volume_rank,18.0,512,274,2967,187,0,0,181750.0,440,29,37,,,,,85.9375,12.8906,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,46,,,followup_volume_rank,19.0,505,261,2561,187,0,0,109700.0,435,25,45,,,,,86.1386,13.8614,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,8,,,followup_volume_rank,20.0,503,252,2809,184,0,0,238700.0,403,32,56,,,,,80.1193,17.495,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,29,,,followup_volume_rank,21.0,496,295,2788,213,0,0,150800.0,406,27,53,,,,,81.8548,16.129,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,40,,,followup_volume_rank,22.0,490,277,2582,143,0,0,117300.0,441,14,34,,,,,90.0,9.7959,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,5,,,followup_volume_rank,23.0,467,223,2745,201,0,0,229450.0,373,27,60,,,,,79.8715,18.6296,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,33,,,followup_volume_rank,24.0,448,258,2514,175,0,0,100400.0,397,15,33,,,,,88.6161,10.7143,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,14,,,followup_volume_rank,25.0,446,245,2289,158,0,0,142650.0,384,31,30,,,,,86.0987,13.6771,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,16,,,followup_volume_rank,26.0,444,251,2398,192,0,0,184900.0,346,24,63,,,,,77.9279,19.5946,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,35,,,followup_volume_rank,27.0,436,242,2500,204,0,0,115000.0,376,13,40,,,,,86.2385,12.156,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,11,,,followup_volume_rank,28.0,430,240,2276,181,0,0,148600.0,362,29,33,,,,,84.186,14.4186,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,26,,,followup_volume_rank,29.0,424,229,2269,157,0,0,130850.0,358,21,41,,,,,84.434,14.6226,Check whether follow-up activity is geographically concentrated.
ward_followup_profile,ward,34,,,followup_volume_rank,30.0,416,222,2578,167,0,0,260700.0,335,31,43,,,,,80.5288,17.7885,Check whether follow-up activity is geographically concentrated.
followup_severity_change,parent_to_child_result,fail,fail,,transition_group,,2084,1694,14647,2082,0,0,1638550.0,,,,15297.0,2689950.0,-0.3119,-504.5106,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,pass,pass,,transition_group,,339,313,1133,51,0,0,75400.0,,,,1320.0,135250.0,-0.5516,-176.5487,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,pass,conditional_pass,,transition_group,,17,17,81,3,0,0,9350.0,,,,95.0,9750.0,-0.8235,-23.5294,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,conditional_pass,fail,,transition_group,,18,18,97,11,0,0,12950.0,,,,128.0,22050.0,-1.7222,-505.5556,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,pass,other_result,,transition_group,,13,13,4,0,0,0,400.0,,,,50.0,3800.0,-3.5385,-261.5385,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,other_result,pass,,transition_group,,154,153,806,35,0,0,44850.0,,,,449.0,61150.0,2.3182,-105.8442,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,other_result,other_result,,transition_group,,41,36,85,1,0,0,9700.0,,,,151.0,20400.0,-1.6098,-260.9756,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,other_result,conditional_pass,,transition_group,,13,13,103,10,0,0,10900.0,,,,72.0,10650.0,2.3846,19.2308,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,other_result,fail,,transition_group,,25,25,175,31,0,0,22900.0,,,,105.0,17900.0,2.8,200.0,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,conditional_pass,pass,,transition_group,,1475,1352,5535,345,0,0,393250.0,,,,8089.0,1671800.0,-1.7315,-866.8136,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,conditional_pass,other_result,,transition_group,,11,11,25,0,0,0,2650.0,,,,65.0,11300.0,-3.6364,-786.3636,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,conditional_pass,conditional_pass,,transition_group,,158,151,723,54,0,0,86000.0,,,,1019.0,203450.0,-1.8734,-743.3544,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,pass,fail,,transition_group,,32,32,123,8,0,0,13800.0,,,,143.0,11700.0,-0.625,65.625,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,fail,pass,,transition_group,,20735,13212,108709,5646,0,0,5484400.0,,,,121752.0,19892400.0,-0.629,-694.8638,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,fail,other_result,,transition_group,,243,239,972,47,0,0,127650.0,,,,1545.0,262750.0,-2.358,-555.9671,,,Compare severity burden on the child inspection with its parent inspection.
followup_severity_change,parent_to_child_result,fail,conditional_pass,,transition_group,,1276,1176,8766,915,0,0,928900.0,,,,8877.0,1546550.0,-0.087,-484.0517,,,Compare severity burden on the child inspection with its parent inspection.
persistent_violation_category,violation_category,Food Maintenance,,,persistence_rank,1.0,23295,,23295,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Food Protection,,,persistence_rank,2.0,19697,,19697,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Insect and Rodent Control,,,persistence_rank,3.0,14451,,14451,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Compliance,,,persistence_rank,4.0,4806,,4806,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Food Equipment and Utensil,,,persistence_rank,5.0,2835,,2835,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Personnel,,,persistence_rank,6.0,2404,,2404,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Toilet and Hand Washing Facilities for Staff,,,persistence_rank,7.0,2231,,2231,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Wash and Waste Water Disposal,,,persistence_rank,8.0,1328,,1328,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Toilet / Hand Washing Facilities For Customers,,,persistence_rank,9.0,1229,,1229,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Food Equipment and Utensil Sanitation,,,persistence_rank,10.0,594,,594,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Compliance Insect and Rodent Control,,,persistence_rank,11.0,399,,399,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,No Smoking Regulations,,,persistence_rank,12.0,222,,222,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Display of Inspection Report Summary,,,persistence_rank,13.0,124,,124,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
persistent_violation_category,violation_category,Toxic Items,,,persistence_rank,14.0,65,,65,,,,,,,,,,,,,,Identify violation categories that recur across parent and follow-up inspections.
