insight_id,evidence_block,entity_level,entity,parent_entity,row_count,row_share_pct,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,loss_line_count,gross_loss,gross_loss_share_pct,note
G3,discount_loss_concentration,exact_discount,0.8,,600,3.0,33927.51,0.74,-61078.08,-180.03,0.8,600,-61078.08,19.56,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G4,category_profit_structure,category,Furniture,,4242,21.22,1483999.59,32.3,36902.55,2.49,0.174,1428,-121872.22,39.03,Category comparison: only Furniture is net loss-making; the other top-level categories remain profitable.
G4,category_profit_structure,category,Office Supplies,,12052,60.3,1438094.06,31.3,244981.6,17.04,0.157,1772,-113230.52,36.26,Category comparison: only Furniture is net loss-making; the other top-level categories remain profitable.
G4,category_profit_structure,category,Technology,,3694,18.48,1672308.07,36.4,290909.9,17.4,0.132,542,-77159.84,24.71,Category comparison: only Furniture is net loss-making; the other top-level categories remain profitable.
G5,subcategory_loss_concentration,subcategory,Tables,Furniture,638,3.19,413931.06,9.01,-35450.96,-8.56,0.261,406,-64824.3,20.76,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Bookcases,Furniture,456,2.28,229759.99,5.0,-6945.11,-3.02,0.211,218,-24304.41,7.78,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Supplies,Office Supplies,380,1.9,93347.08,2.03,-2378.2,-2.55,0.077,66,-6031.24,1.93,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Fasteners,Office Supplies,434,2.17,6048.56,0.13,1899.04,31.4,0.082,24,-66.39,0.02,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Machines,Technology,230,1.15,378477.26,8.24,6769.51,1.79,0.306,88,-60237.34,19.29,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Labels,Office Supplies,728,3.64,24972.62,0.54,11092.51,44.42,0.069,0,0.0,-0.0,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Art,Office Supplies,1592,7.96,54237.58,1.18,13055.57,24.07,0.075,0,0.0,-0.0,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Envelopes,Office Supplies,508,2.54,32952.8,0.72,13928.35,42.27,0.08,0,0.0,-0.0,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Furnishings,Furniture,1914,9.58,183410.33,3.99,26118.29,14.24,0.138,334,-12981.83,4.16,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Appliances,Office Supplies,932,4.66,215064.32,4.68,36276.01,16.87,0.167,134,-17259.28,5.53,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Storage,Office Supplies,1692,8.47,447687.22,9.74,42557.65,9.51,0.075,322,-12852.61,4.12,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Chairs,Furniture,1234,6.17,656898.21,14.3,53180.33,8.1,0.17,470,-19761.68,6.33,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Binders,Office Supplies,3046,15.24,406825.47,8.85,60443.53,14.86,0.372,1226,-77020.99,24.67,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Paper,Office Supplies,2740,13.71,156958.41,3.42,68107.14,43.39,0.075,0,0.0,-0.0,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Accessories,Technology,1550,7.75,334760.64,7.29,83873.27,25.05,0.078,182,-1861.25,0.6,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Phones,Technology,1778,8.9,660014.11,14.37,89031.46,13.49,0.155,272,-15061.25,4.82,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G5,subcategory_loss_concentration,subcategory,Copiers,Technology,136,0.68,299056.06,6.51,111235.65,37.2,0.162,0,0.0,-0.0,"Sub-category comparison ordered by net profit, showing concentrated product leakage rather than broad underperformance."
G6,region_conversion_divergence,region,West,,6406,32.05,1450915.65,31.58,216836.9,14.94,0.109,636,-45441.92,14.55,Regional conversion comparison: sales rank and margin rank do not align.
G6,region_conversion_divergence,region,East,,5696,28.5,1357562.48,29.55,183045.56,13.48,0.145,1106,-99181.21,31.76,Regional conversion comparison: sales rank and margin rank do not align.
G6,region_conversion_divergence,region,Central,,4646,23.24,1002479.78,21.82,79412.72,7.92,0.24,1482,-112629.77,36.07,Regional conversion comparison: sales rank and margin rank do not align.
G6,region_conversion_divergence,region,South,,3240,16.21,783443.81,17.05,93498.86,11.93,0.147,518,-55009.66,17.62,Regional conversion comparison: sales rank and margin rank do not align.
G7,region_discount_loss_exposure,region,Central,,4646,23.24,1002479.78,21.82,79412.72,7.92,0.24,1482,-112629.77,36.07,Regional exposure comparison: discount and gross-loss concentration help explain conversion differences.
G7,region_discount_loss_exposure,region,East,,5696,28.5,1357562.48,29.55,183045.56,13.48,0.145,1106,-99181.21,31.76,Regional exposure comparison: discount and gross-loss concentration help explain conversion differences.
G7,region_discount_loss_exposure,region,South,,3240,16.21,783443.81,17.05,93498.86,11.93,0.147,518,-55009.66,17.62,Regional exposure comparison: discount and gross-loss concentration help explain conversion differences.
G7,region_discount_loss_exposure,region,West,,6406,32.05,1450915.65,31.58,216836.9,14.94,0.109,636,-45441.92,14.55,Regional exposure comparison: discount and gross-loss concentration help explain conversion differences.
G8,region_category_interaction,region_category,Central / Furniture,Furniture,962,4.81,327594.33,7.13,-5742.1,-1.75,0.297,634,-39108.73,12.52,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,East / Furniture,Furniture,1202,6.01,416582.41,9.07,6092.33,1.46,0.154,368,-37603.57,12.04,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,South / Furniture,Furniture,664,3.32,234597.37,5.11,13542.41,5.77,0.122,116,-19844.05,6.35,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,Central / Office Supplies,Office Supplies,2844,14.23,334052.83,7.27,17759.96,5.32,0.253,750,-66968.33,21.45,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,West / Furniture,Furniture,1414,7.07,505225.49,11.0,23009.9,4.55,0.131,310,-25315.87,8.11,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,South / Office Supplies,Office Supplies,1990,9.96,251302.63,5.47,39972.79,15.91,0.167,340,-19427.02,6.22,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,South / Technology,Technology,586,2.93,297543.82,6.48,39983.66,13.44,0.108,62,-15738.59,5.04,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,Central / Technology,Technology,840,4.2,340832.62,7.42,67394.86,19.77,0.133,98,-6552.71,2.1,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,East / Office Supplies,Office Supplies,3424,17.13,411032.11,8.95,82029.16,19.96,0.143,466,-19582.38,6.27,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,West / Technology,Technology,1198,5.99,503983.66,10.97,88607.3,17.58,0.134,110,-12873.27,4.12,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,East / Technology,Technology,1070,5.35,529947.96,11.53,94924.07,17.91,0.143,272,-41995.26,13.45,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
G8,region_category_interaction,region_category,West / Office Supplies,Office Supplies,3794,18.98,441706.5,9.61,105219.7,23.82,0.093,216,-7252.78,2.32,Region x category comparison: Furniture leakage is concentrated in specific regions rather than uniform across all regions.
