evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,avg_open_days,share_pct,notes
schedule_checkin_alignment,schedule_shape_daypart,standard_or_unclear_schedule,late_night,"",schedule_daypart_rank,19,605,101728,31202,1614,3.7188,3.7009,6.6275,0.3756,listed schedule shape compared with observed check-in daypart intensity
schedule_checkin_alignment,schedule_shape_daypart,early_opening_schedule,late_night,"",schedule_daypart_rank,20,342,78392,23024,1360,3.8224,3.8025,6.8189,0.3165,listed schedule shape compared with observed check-in daypart intensity
category_schedule_profile,category_schedule_shape,Restaurants,no_hours_listed,no_hours_listed,category_schedule_rank,1,2835,40561,11228,,3.2429,3.226,0.0,18.1906,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Shopping,no_hours_listed,no_hours_listed,category_schedule_rank,2,1320,8122,2481,,3.5784,3.5551,0.0,8.4697,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Restaurants,late_closing_schedule,seven_day_schedule,category_schedule_rank,3,1306,102385,26921,,3.5911,3.5959,7.0,8.3799,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Food,no_hours_listed,no_hours_listed,category_schedule_rank,4,1080,10400,4295,,3.6,3.5812,0.0,6.9297,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Shopping,standard_or_unclear_schedule,seven_day_schedule,category_schedule_rank,5,593,7572,2320,,3.6973,3.6769,7.0,3.8049,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Beauty & Spas,no_hours_listed,no_hours_listed,category_schedule_rank,6,507,3205,642,,3.8274,3.8054,0.0,3.2531,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Restaurants,standard_or_unclear_schedule,seven_day_schedule,category_schedule_rank,7,490,26371,6302,,3.7571,3.7646,7.0,3.144,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Mexican,no_hours_listed,no_hours_listed,category_schedule_rank,8,466,8180,2046,,3.4185,3.4131,0.0,2.9901,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Fast Food,no_hours_listed,no_hours_listed,category_schedule_rank,9,453,3648,1681,,2.936,2.8949,0.0,2.9066,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Automotive,no_hours_listed,no_hours_listed,category_schedule_rank,10,430,2478,711,,3.586,3.5872,0.0,2.7591,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Fashion,no_hours_listed,no_hours_listed,category_schedule_rank,11,398,2539,956,,3.5264,3.5151,0.0,2.5537,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Active Life,no_hours_listed,no_hours_listed,category_schedule_rank,12,370,3484,993,,4.0595,4.0631,0.0,2.3741,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Event Planning & Services,no_hours_listed,no_hours_listed,category_schedule_rank,13,366,4893,1145,,3.5164,3.4979,0.0,2.3484,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Health & Medical,no_hours_listed,no_hours_listed,category_schedule_rank,14,366,1401,215,,3.7418,3.7307,0.0,2.3484,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Hotels & Travel,no_hours_listed,no_hours_listed,category_schedule_rank,15,335,6222,1830,,3.2746,3.2551,0.0,2.1495,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Shopping,standard_or_unclear_schedule,four_to_six_day_schedule,category_schedule_rank,16,322,2103,311,,4.1537,4.1351,5.6398,2.0661,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Nightlife,late_closing_schedule,seven_day_schedule,category_schedule_rank,17,314,28374,8161,,3.6306,3.6186,7.0,2.0148,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Nightlife,no_hours_listed,no_hours_listed,category_schedule_rank,18,311,5758,1553,,3.3553,3.3455,0.0,1.9955,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Sandwiches,no_hours_listed,no_hours_listed,category_schedule_rank,19,300,3327,1000,,3.3467,3.3159,0.0,1.9249,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Bars,late_closing_schedule,seven_day_schedule,category_schedule_rank,20,287,26692,7676,,3.6359,3.6232,7.0,1.8415,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Pizza,no_hours_listed,no_hours_listed,category_schedule_rank,21,280,3108,654,,3.1286,3.1168,0.0,1.7966,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Home Services,no_hours_listed,no_hours_listed,category_schedule_rank,22,275,1102,97,,3.3927,3.3722,0.0,1.7645,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,American (Traditional),no_hours_listed,no_hours_listed,category_schedule_rank,23,272,4651,1604,,3.1618,3.1407,0.0,1.7453,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Grocery,no_hours_listed,no_hours_listed,category_schedule_rank,24,266,2299,1006,,3.3195,3.2958,0.0,1.7068,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Restaurants,standard_or_unclear_schedule,four_to_six_day_schedule,category_schedule_rank,25,257,12959,2810,,3.9553,3.9514,5.8288,1.649,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Beauty & Spas,standard_or_unclear_schedule,seven_day_schedule,category_schedule_rank,26,249,2512,540,,3.9096,3.9325,7.0,1.5977,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Food,late_closing_schedule,seven_day_schedule,category_schedule_rank,27,248,11287,3460,,3.8065,3.8137,7.0,1.5913,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Restaurants,early_opening_schedule,seven_day_schedule,category_schedule_rank,28,247,15127,4392,,3.7247,3.7143,7.0,1.5849,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Bars,no_hours_listed,no_hours_listed,category_schedule_rank,29,241,4632,1211,,3.332,3.317,0.0,1.5464,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Food,early_and_late_schedule,seven_day_schedule,category_schedule_rank,30,239,7550,2617,,3.8117,3.8332,7.0,1.5335,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Hotels,no_hours_listed,no_hours_listed,category_schedule_rank,31,238,3865,828,,3.2122,3.1829,0.0,1.5271,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Local Services,no_hours_listed,no_hours_listed,category_schedule_rank,32,223,980,150,,3.63,3.6372,0.0,1.4309,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Beauty & Spas,standard_or_unclear_schedule,four_to_six_day_schedule,category_schedule_rank,33,222,1434,208,,4.3896,4.3937,5.482,1.4244,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Health & Medical,standard_or_unclear_schedule,four_to_six_day_schedule,category_schedule_rank,34,215,1123,140,,4.1814,4.1943,5.1721,1.3795,category mix of schedule shapes and open-day breadth
category_schedule_profile,category_schedule_shape,Coffee & Tea,no_hours_listed,no_hours_listed,category_schedule_rank,35,212,2207,1263,,3.6415,3.6442,0.0,1.3603,category mix of schedule shapes and open-day breadth
active_schedule_gap,active_schedule_shape,true,no_hours_listed,no_hours_listed,active_schedule_rank,1,7020,70630,22791,,3.5217,3.5066,0.0,45.0433,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,standard_or_unclear_schedule,seven_day_schedule,active_schedule_rank,2,1639,39233,10065,,3.7703,3.7645,7.0,10.5165,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,standard_or_unclear_schedule,four_to_six_day_schedule,active_schedule_rank,3,1559,20821,4421,,4.1822,4.1822,5.5337,10.0032,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,late_closing_schedule,seven_day_schedule,active_schedule_rank,4,1483,104706,28200,,3.6767,3.6744,7.0,9.5156,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,no_hours_listed,no_hours_listed,active_schedule_rank,5,1113,10504,1763,,3.3881,3.3863,0.0,7.1415,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,early_opening_schedule,seven_day_schedule,active_schedule_rank,6,577,19022,5502,,3.8518,3.8532,7.0,3.7023,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,early_opening_schedule,four_to_six_day_schedule,active_schedule_rank,7,572,5496,1066,,4.0647,4.0434,5.4843,3.6702,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,early_and_late_schedule,seven_day_schedule,active_schedule_rank,8,557,18113,5737,,3.7244,3.7402,7.0,3.5739,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,late_closing_schedule,seven_day_schedule,active_schedule_rank,9,244,8602,2001,,3.4939,3.5011,7.0,1.5656,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,late_closing_schedule,four_to_six_day_schedule,active_schedule_rank,10,182,12704,2779,,3.9148,3.9166,5.7253,1.1678,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,standard_or_unclear_schedule,four_to_six_day_schedule,active_schedule_rank,11,148,2248,420,,4.1047,4.126,5.6486,0.9496,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,standard_or_unclear_schedule,seven_day_schedule,active_schedule_rank,12,147,3499,746,,3.6395,3.6135,7.0,0.9432,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,standard_or_unclear_schedule,one_to_three_day_schedule,active_schedule_rank,13,59,499,106,,4.1949,4.2239,1.8475,0.3786,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,late_closing_schedule,four_to_six_day_schedule,active_schedule_rank,14,56,2004,447,,3.6786,3.6919,5.6429,0.3593,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,early_opening_schedule,seven_day_schedule,active_schedule_rank,15,53,1194,339,,3.7547,3.7626,7.0,0.3401,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,early_and_late_schedule,seven_day_schedule,active_schedule_rank,16,44,1188,233,,3.3636,3.3668,7.0,0.2823,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,early_and_late_schedule,four_to_six_day_schedule,active_schedule_rank,17,43,578,163,,3.6977,3.6938,5.8605,0.2759,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,early_opening_schedule,four_to_six_day_schedule,active_schedule_rank,18,28,1043,201,,3.8214,3.8072,5.6429,0.1797,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,late_closing_schedule,one_to_three_day_schedule,active_schedule_rank,19,21,238,62,,3.7619,3.769,2.619,0.1347,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,early_opening_schedule,one_to_three_day_schedule,active_schedule_rank,20,17,110,28,,4.1765,4.115,1.9412,0.1091,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,standard_or_unclear_schedule,one_to_three_day_schedule,active_schedule_rank,21,9,100,10,,3.7778,3.8267,1.7778,0.0577,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,late_closing_schedule,one_to_three_day_schedule,active_schedule_rank,22,5,71,8,,3.8,3.6886,2.2,0.0321,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,early_and_late_schedule,four_to_six_day_schedule,active_schedule_rank,23,4,232,46,,3.625,3.4574,6.0,0.0257,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,true,early_and_late_schedule,one_to_three_day_schedule,active_schedule_rank,24,4,66,23,,3.875,3.7686,1.25,0.0257,active status crossed with schedule shape and listing completeness
active_schedule_gap,active_schedule_shape,false,early_opening_schedule,one_to_three_day_schedule,active_schedule_rank,25,1,5,0,,3.0,3.8,2.0,0.0064,active status crossed with schedule shape and listing completeness
