evidence_block,grain,item,item_2,rank_label,rank_value,revenue,gross_margin_proxy,gross_margin_rate,orders,order_lines,customers,products,quantity,share_value,share_label,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
product_scale_mix,product_line_scale,Ships,1:24,scale_revenue_rank,2.0,112427.12,29181.38,0.2596,27,27,,1,1011.0,,not_applicable,avg_price_each,110.9196,avg_msrp,122.89,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Ships,1:18,scale_revenue_rank,3.0,74127.24,24271.98,0.3274,28,28,,1,966.0,,not_applicable,avg_price_each,76.5293,avg_msrp,86.02,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Ships,1:72,scale_revenue_rank,4.0,47550.4,15649.0,0.3291,27,27,,1,958.0,,not_applicable,avg_price_each,49.4026,avg_msrp,54.6,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Motorcycles,1:10,scale_revenue_rank,1.0,370842.59,160674.71,0.4333,37,84,,3,3041.0,,not_applicable,avg_price_each,122.4938,avg_msrp,136.1,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Motorcycles,1:24,scale_revenue_rank,2.0,230455.38,85103.5,0.3693,55,83,,3,2995.0,,not_applicable,avg_price_each,76.6731,avg_msrp,86.2455,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Motorcycles,1:32,scale_revenue_rank,3.0,206672.89,66540.43,0.322,57,82,,3,2818.0,,not_applicable,avg_price_each,73.11,avg_msrp,80.9571,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Motorcycles,1:12,scale_revenue_rank,4.0,135767.03,67641.47,0.4982,28,28,,1,1028.0,,not_applicable,avg_price_each,132.1689,avg_msrp,150.62,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Motorcycles,1:18,scale_revenue_rank,5.0,104017.59,49521.19,0.4761,53,55,,2,1904.0,,not_applicable,avg_price_each,54.3975,avg_msrp,61.3555,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Motorcycles,1:50,scale_revenue_rank,6.0,73670.64,39774.0,0.5399,27,27,,1,992.0,,not_applicable,avg_price_each,74.3693,avg_msrp,81.36,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Planes,1:700,scale_revenue_rank,1.0,337759.33,127250.99,0.3768,46,112,,4,3936.0,,not_applicable,avg_price_each,86.1839,avg_msrp,95.935,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Planes,1:24,scale_revenue_rank,2.0,283865.46,119406.77,0.4206,52,112,,4,3972.0,,not_applicable,avg_price_each,71.7926,avg_msrp,79.655,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Planes,1:72,scale_revenue_rank,3.0,188052.84,54703.84,0.2909,57,84,,3,2924.0,,not_applicable,avg_price_each,64.305,avg_msrp,71.38,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Planes,1:18,scale_revenue_rank,4.0,144959.91,64599.11,0.4456,28,28,,1,1040.0,,not_applicable,avg_price_each,139.1054,avg_msrp,157.69,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Classic Cars,1:18,scale_revenue_rank,1.0,1962505.29,771229.44,0.393,159,478,,17,16914.0,,not_applicable,avg_price_each,115.9136,avg_msrp,129.4457,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Classic Cars,1:12,scale_revenue_rank,2.0,771249.69,348236.85,0.4515,67,162,,6,5734.0,,not_applicable,avg_price_each,133.1693,avg_msrp,147.965,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Classic Cars,1:24,scale_revenue_rank,3.0,679102.22,245053.84,0.3608,106,286,,11,10011.0,,not_applicable,avg_price_each,67.8681,avg_msrp,75.0956,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Classic Cars,1:10,scale_revenue_rank,4.0,441065.29,161692.07,0.3666,69,84,,3,2923.0,,not_applicable,avg_price_each,151.1204,avg_msrp,166.0133,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trains,1:18,scale_revenue_rank,1.0,82617.12,20597.04,0.2493,27,27,,1,918.0,,not_applicable,avg_price_each,90.0089,avg_msrp,100.84,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trains,1:32,scale_revenue_rank,2.0,53791.99,28835.51,0.5361,27,27,,1,934.0,,not_applicable,avg_price_each,57.6059,avg_msrp,62.14,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trains,1:50,scale_revenue_rank,3.0,52123.81,15908.47,0.3052,27,27,,1,966.0,,not_applicable,avg_price_each,53.8067,avg_msrp,58.58,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Vintage Cars,1:18,scale_revenue_rank,1.0,1309515.33,540249.46,0.4126,148,409,,15,14390.0,,not_applicable,avg_price_each,91.2125,avg_msrp,101.3727,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Vintage Cars,1:24,scale_revenue_rank,2.0,385951.73,156084.18,0.4044,112,192,,7,6497.0,,not_applicable,avg_price_each,59.0979,avg_msrp,65.1835,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Vintage Cars,1:32,scale_revenue_rank,3.0,60493.33,28397.89,0.4694,28,28,,1,972.0,,not_applicable,avg_price_each,62.1814,avg_msrp,68.79,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Vintage Cars,1:50,scale_revenue_rank,4.0,41599.24,12536.8,0.3014,28,28,,1,1074.0,,not_applicable,avg_price_each,38.7911,avg_msrp,43.64,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trucks and Buses,1:18,scale_revenue_rank,1.0,393300.87,141401.1,0.3595,58,112,,4,4111.0,,not_applicable,avg_price_each,95.1913,avg_msrp,105.3125,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trucks and Buses,1:12,scale_revenue_rank,2.0,229031.46,94493.46,0.4126,54,56,,2,2028.0,,not_applicable,avg_price_each,113.6236,avg_msrp,127.585,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trucks and Buses,1:32,scale_revenue_rank,3.0,181869.36,74721.55,0.4109,52,84,,3,2854.0,,not_applicable,avg_price_each,64.2336,avg_msrp,71.6867,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trucks and Buses,1:24,scale_revenue_rank,4.0,118774.33,55655.47,0.4686,28,28,,1,1029.0,,not_applicable,avg_price_each,115.2846,avg_msrp,127.79,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
product_scale_mix,product_line_scale,Trucks and Buses,1:50,scale_revenue_rank,5.0,101137.55,34281.64,0.339,28,28,,1,979.0,,not_applicable,avg_price_each,103.8039,avg_msrp,115.75,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
