evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,regions,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
warehouse_slow_exposure,warehouse,WARE-XYS1001,6,,slow_sales_share_rank,6.0,1222,50,58,47,4,2,11054894.14,4072345.3053,36.8375,11.5569,20.3961,49.328,Rank warehouses by the share of sales tied to slow delivery.
warehouse_channel_mix,warehouse_channel,WARE-NBV1002,In-Store,1,channel_rank_in_warehouse,1.0,291,50,29,47,,1,2533719.235,974095.7515,38.4453,11.5034,20.4227,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-NBV1002,Online,2,channel_rank_in_warehouse,2.0,215,48,29,45,,1,1839355.355,672546.5535,36.5643,11.7558,21.3907,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-NBV1002,Distributor,3,channel_rank_in_warehouse,3.0,112,44,30,42,,1,1097532.36,435325.7798,39.664,12.1875,20.1786,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-MKL1006,In-Store,1,channel_rank_in_warehouse,1.0,367,50,39,47,,3,3182596.9825,1199643.1873,37.6938,10.6471,20.1662,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-MKL1006,Online,2,channel_rank_in_warehouse,2.0,250,49,39,46,,3,2314677.6425,878239.8333,37.9422,11.07,21.012,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-MKL1006,Distributor,3,channel_rank_in_warehouse,3.0,155,44,36,43,,3,1563729.2475,556500.1748,35.588,11.1774,20.2968,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-XYS1001,In-Store,1,channel_rank_in_warehouse,1.0,495,50,58,47,,2,4683294.4725,1727196.7028,36.88,11.6414,20.2141,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-XYS1001,Online,2,channel_rank_in_warehouse,2.0,393,50,58,47,,2,3347043.4575,1216919.1568,36.358,11.813,20.542,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-XYS1001,Distributor,3,channel_rank_in_warehouse,3.0,201,50,54,47,,2,1874008.9275,695881.49,37.1333,11.3184,20.6567,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-PUJ1005,In-Store,1,channel_rank_in_warehouse,1.0,599,50,69,47,,4,5180629.7775,1961149.859,37.8554,11.4649,20.419,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-PUJ1005,Online,2,channel_rank_in_warehouse,2.0,426,50,68,47,,4,3736411.445,1433667.1407,38.3702,12.1303,20.5023,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-PUJ1005,Distributor,3,channel_rank_in_warehouse,3.0,262,50,66,47,,4,2644418.8125,975200.1537,36.8777,11.0305,21.042,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-NMK1003,In-Store,1,channel_rank_in_warehouse,1.0,1029,50,116,47,,4,9507352.7625,3540348.7572,37.238,11.4456,20.9242,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-NMK1003,Online,2,channel_rank_in_warehouse,2.0,753,50,116,47,,4,6831367.4025,2522036.027,36.9185,11.4442,21.0584,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-NMK1003,Distributor,3,channel_rank_in_warehouse,3.0,428,50,113,47,,4,3991785.1275,1511903.9565,37.8754,10.8586,20.9743,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-UHY1004,In-Store,1,channel_rank_in_warehouse,1.0,517,50,59,47,,4,5015311.465,1847536.7682,36.8379,11.3733,20.3926,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-UHY1004,Online,2,channel_rank_in_warehouse,2.0,388,50,59,47,,4,3629703.56,1289287.3673,35.5205,11.6366,20.884,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_channel_mix,warehouse_channel,WARE-UHY1004,Distributor,3,channel_rank_in_warehouse,3.0,217,50,59,46,,4,1997673.1725,735040.0465,36.7948,12.0507,21.4332,,Check whether warehouse dependence is tied to specific sales channels.
warehouse_region_mix,warehouse_region,WARE-MKL1006,South,1,region_rank_in_warehouse,1.0,542,50,24,47,4,,4790208.3825,1788073.6063,37.3277,10.9225,20.179,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-MKL1006,West,2,region_rank_in_warehouse,2.0,250,50,12,47,4,,2430155.4925,903880.3248,37.1943,10.93,20.744,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-MKL1006,Midwest,3,region_rank_in_warehouse,3.0,65,36,3,34,4,,592755.8675,234784.6655,39.609,10.9615,19.6615,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-NMK1003,Midwest,1,region_rank_in_warehouse,1.0,1074,50,51,47,4,,10137487.7625,3821869.6497,37.7004,11.5456,20.8399,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-NMK1003,South,2,region_rank_in_warehouse,2.0,847,50,38,47,4,,7745926.4475,2873131.837,37.0922,10.9327,21.1759,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-NMK1003,West,3,region_rank_in_warehouse,3.0,385,50,18,47,4,,3669673.415,1377432.183,37.5356,11.0325,20.5221,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-UHY1004,Midwest,1,region_rank_in_warehouse,1.0,359,50,17,47,4,,3485400.635,1269278.0925,36.417,11.9568,20.0,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-UHY1004,Northeast,2,region_rank_in_warehouse,2.0,362,50,16,47,4,,3355128.3475,1243340.0145,37.0579,11.8025,21.221,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-UHY1004,South,3,region_rank_in_warehouse,3.0,319,50,15,47,4,,3003425.08,1083380.6048,36.0715,11.152,21.1912,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-XYS1001,West,1,region_rank_in_warehouse,1.0,1128,50,53,47,4,,10282390.84,3786229.3948,36.8225,11.5581,20.2482,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-XYS1001,South,2,region_rank_in_warehouse,2.0,94,43,5,41,4,,772503.3,286115.9105,37.0375,11.5426,22.1702,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-NBV1002,West,1,region_rank_in_warehouse,1.0,691,50,30,47,4,,6096532.1725,2297042.8977,37.6779,11.6823,20.6469,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-PUJ1005,South,1,region_rank_in_warehouse,1.0,770,50,36,47,4,,7162279.565,2666264.0215,37.2265,11.6753,20.7026,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-PUJ1005,Northeast,2,region_rank_in_warehouse,2.0,409,50,21,47,4,,3533455.5475,1340438.8415,37.9356,12.1577,20.0929,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_region_mix,warehouse_region,WARE-PUJ1005,Midwest,3,region_rank_in_warehouse,3.0,167,48,7,46,4,,1267362.7875,488422.6708,38.5385,10.524,20.9581,,Check whether warehouse volume is geographically diversified or region-heavy.
warehouse_product_mix,warehouse_product,WARE-NMK1003,Accessories,1,product_rank_in_warehouse,1.0,63,36,46,,4,4,797202.3475,301317.2345,37.7968,11.1905,20.5714,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NMK1003,Platters,2,product_rank_in_warehouse,2.0,67,37,55,,4,4,691340.17,248465.6645,35.9397,10.4104,22.4627,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NMK1003,Wine Storage,3,product_rank_in_warehouse,3.0,62,34,47,,4,4,594399.0425,221474.429,37.2602,9.9194,21.3387,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NMK1003,Pendants,4,product_rank_in_warehouse,4.0,67,34,49,,4,4,592669.605,203019.647,34.2551,11.5299,20.403,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NMK1003,Wardrobes,5,product_rank_in_warehouse,5.0,55,34,40,,4,4,588851.61,191133.6035,32.4587,11.0909,19.8,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-UHY1004,Bakeware,1,product_rank_in_warehouse,1.0,36,25,28,,4,4,413794.1775,158516.5095,38.3081,11.1806,20.5833,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-UHY1004,Vanities,2,product_rank_in_warehouse,2.0,33,23,24,,4,4,406387.16,166506.7388,40.9724,13.7121,21.1515,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-UHY1004,Bathroom Furniture,3,product_rank_in_warehouse,3.0,29,24,19,,4,4,366402.9,145091.771,39.599,9.9138,18.931,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-UHY1004,Pendants,4,product_rank_in_warehouse,4.0,29,18,22,,4,4,357413.6775,121664.0408,34.0401,9.1379,20.3793,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-UHY1004,Collectibles,5,product_rank_in_warehouse,5.0,31,22,21,,4,4,355833.315,123889.9808,34.8169,11.4516,24.5484,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-MKL1006,Bathroom Furniture,1,product_rank_in_warehouse,1.0,26,20,20,,4,3,310779.165,107588.7485,34.619,9.5192,19.1923,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-MKL1006,Rugs,2,product_rank_in_warehouse,2.0,30,20,21,,4,3,293367.54,115562.5853,39.3917,10.5,20.2333,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-MKL1006,Phones,3,product_rank_in_warehouse,3.0,21,17,19,,4,3,244157.2125,101718.2233,41.661,12.1429,19.0952,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-MKL1006,Collectibles,4,product_rank_in_warehouse,4.0,19,17,14,,4,3,243278.005,79179.6755,32.547,12.2368,20.0526,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-MKL1006,Outdoor Furniture,5,product_rank_in_warehouse,5.0,20,19,16,,4,3,242287.745,81254.5278,33.5364,10.125,19.4,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-PUJ1005,Accessories,1,product_rank_in_warehouse,1.0,42,27,29,,4,4,492023.88,187678.5542,38.1442,10.6548,19.8333,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-PUJ1005,Rugs,2,product_rank_in_warehouse,2.0,39,27,32,,4,4,427366.0325,156975.3915,36.7309,11.9872,19.5385,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-PUJ1005,Bathroom Furniture,3,product_rank_in_warehouse,3.0,38,27,25,,4,4,383417.885,153557.65,40.0497,11.7105,20.4211,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-PUJ1005,Ornaments,4,product_rank_in_warehouse,4.0,32,23,24,,4,4,368836.34,139109.8133,37.7159,12.2656,20.6875,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-PUJ1005,Bar Tools,5,product_rank_in_warehouse,5.0,34,23,25,,4,3,358886.3375,130635.6582,36.4003,11.25,20.3824,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NBV1002,Cocktail Glasses,1,product_rank_in_warehouse,1.0,23,20,14,,4,1,248023.4475,100273.8515,40.4292,11.7391,22.0435,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NBV1002,Floor Lamps,2,product_rank_in_warehouse,2.0,17,15,13,,4,1,202473.4975,81901.6725,40.4506,11.4706,13.7647,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NBV1002,Serveware,3,product_rank_in_warehouse,3.0,22,18,15,,4,1,201586.0825,76549.908,37.9738,12.9545,21.9545,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NBV1002,Dining Furniture,4,product_rank_in_warehouse,4.0,19,16,12,,3,1,200850.7575,76793.9518,38.2343,9.6053,22.6316,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-NBV1002,Photo Frames,5,product_rank_in_warehouse,5.0,16,12,13,,4,1,176717.525,66806.9538,37.8044,10.7813,17.3125,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-XYS1001,Stemware,1,product_rank_in_warehouse,1.0,36,23,27,,4,2,440996.8475,159323.934,36.1281,11.0417,21.1667,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-XYS1001,Serveware,2,product_rank_in_warehouse,2.0,38,24,27,,4,2,359050.99,132511.4563,36.906,11.1842,18.1579,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-XYS1001,Furniture Cushions,3,product_rank_in_warehouse,3.0,28,23,23,,4,2,344960.3875,120306.1215,34.8753,11.5179,19.5714,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-XYS1001,Sculptures,4,product_rank_in_warehouse,4.0,31,20,23,,4,2,334935.345,131332.495,39.2113,12.1774,21.9355,,Identify product cells that dominate individual warehouse lanes.
warehouse_product_mix,warehouse_product,WARE-XYS1001,Candleholders,5,product_rank_in_warehouse,5.0,36,23,25,,4,2,333501.545,116713.1188,34.9963,10.9028,19.5278,,Identify product cells that dominate individual warehouse lanes.
