evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,users,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,long_review_rate_pct,long_tip_rate_pct,liked_tip_rate_pct,share_pct,notes
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Uber,Medium,pairing_rank,10,2139,309,,3135,,,,,1.4992,1.3716,3.597,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Uber,Medium,pairing_rank,11,1674,221,,2286,,,,,1.9685,1.2248,2.6229,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,High,Medium,pairing_rank,12,1379,127,,1931,,,,,2.7447,1.5018,2.2155,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Uber,Low,pairing_rank,13,1286,248,,1641,,,,,2.986,0.6094,1.8828,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,High,None,pairing_rank,14,1206,306,,1480,,,,,4.9324,0.1351,1.6981,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,High,None,pairing_rank,15,1060,239,,1281,,,,,4.84,0.7806,1.4698,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,High,Medium,pairing_rank,16,847,124,,1131,,,,,4.1556,2.4757,1.2977,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Uber,High,pairing_rank,17,673,45,,773,,,,,9.185,5.304,0.8869,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Uber,Low,pairing_rank,18,619,164,,737,,,,,2.171,0.1357,0.8456,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Low,Low,pairing_rank,19,612,502,,702,,,,,8.4046,0.8547,0.8054,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Uber,Uber,pairing_rank,20,292,26,,351,,,,,2.5641,1.1396,0.4027,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Uber,High,pairing_rank,21,253,25,,263,,,,,10.6464,3.8023,0.3018,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Uber,Uber,pairing_rank,22,159,17,,168,,,,,0.5952,0.5952,0.1928,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Medium,Medium,pairing_rank,23,59,9,,59,,,,,0.0,1.6949,0.0677,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Medium,Medium,pairing_rank,24,16,8,,17,,,,,0.0,0.0,0.0195,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,High,High,pairing_rank,25,17,4,,17,,,,,0.0,0.0,0.0195,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Medium,High,pairing_rank,26,9,1,,9,,,,,0.0,0.0,0.0103,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,High,High,pairing_rank,27,5,2,,5,,,,,20.0,20.0,0.0057,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Uber,None,pairing_rank,28,3,2,,3,,,,,0.0,0.0,0.0034,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_without_matching_review,Uber,None,pairing_rank,29,3,1,,3,,,,,0.0,0.0,0.0034,whether tip authors also have matching review rows for the same business
tip_review_pairing,tip_review_pair_status,tip_with_matching_review,Medium,High,pairing_rank,30,2,1,,2,,,,,0.0,0.0,0.0023,whether tip authors also have matching review rows for the same business
category_tip_alignment,category_tip_depth,Restaurants,medium_tip_depth,reviews_and_tips,category_tip_rank,1,1544,,119081,32581,104866,3.6872,3.696,18.8157,5.9828,0.8642,11.8397,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Restaurants,high_tip_depth,reviews_and_tips,category_tip_rank,2,193,,57513,15605,18530,3.9197,3.9183,21.8744,4.7019,0.7396,5.6708,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Restaurants,low_tip_depth,reviews_and_tips,category_tip_rank,3,2906,,42570,10279,74410,3.3899,3.378,15.1141,6.9749,0.8621,3.7353,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Food,medium_tip_depth,reviews_and_tips,category_tip_rank,4,399,,21529,7560,31637,3.8534,3.8549,15.6763,5.3009,0.7818,2.7473,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Nightlife,medium_tip_depth,reviews_and_tips,category_tip_rank,5,240,,18235,5624,18235,3.5979,3.5962,21.487,5.3239,0.7721,2.0437,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Nightlife,high_tip_depth,reviews_and_tips,category_tip_rank,6,61,,18078,5380,6324,3.8279,3.8385,22.8335,4.2175,0.9579,1.9551,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Bars,medium_tip_depth,reviews_and_tips,category_tip_rank,7,215,,16638,5041,16741,3.5814,3.5796,21.0554,5.5751,0.7168,1.8319,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,American (Traditional),medium_tip_depth,reviews_and_tips,category_tip_rank,8,231,,14874,4923,17180,3.4719,3.4663,18.3899,5.6076,0.5324,1.789,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Bars,high_tip_depth,reviews_and_tips,category_tip_rank,9,55,,16647,4896,5827,3.8727,3.8756,22.0782,4.1217,0.9381,1.7792,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Food,low_tip_depth,reviews_and_tips,category_tip_rank,10,1313,,14071,4714,48265,3.7182,3.7186,13.353,5.623,1.0265,1.713,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,American (New),high_tip_depth,reviews_and_tips,category_tip_rank,11,49,,15705,4619,4920,3.9082,3.8866,23.0311,4.9619,0.9243,1.6785,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Mexican,medium_tip_depth,reviews_and_tips,category_tip_rank,12,213,,16360,4245,14645,3.6408,3.6595,16.8619,6.5208,0.8946,1.5426,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Shopping,low_tip_depth,reviews_and_tips,category_tip_rank,13,1479,,11682,3773,41967,3.6406,3.6242,15.4412,6.1241,0.8102,1.3711,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,American (New),medium_tip_depth,reviews_and_tips,category_tip_rank,14,148,,14584,3760,10733,3.7736,3.7871,24.156,6.6354,1.117,1.3664,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Food,high_tip_depth,reviews_and_tips,category_tip_rank,15,39,,8978,3082,4081,4.0256,4.013,20.9513,4.5987,0.8919,1.12,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Breakfast & Brunch,medium_tip_depth,reviews_and_tips,category_tip_rank,16,132,,9925,3029,8635,3.6856,3.7003,17.4265,6.217,0.9718,1.1007,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Italian,medium_tip_depth,reviews_and_tips,category_tip_rank,17,141,,12965,3001,8997,3.773,3.7731,20.9608,6.6519,0.8791,1.0905,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Sandwiches,medium_tip_depth,reviews_and_tips,category_tip_rank,18,144,,9895,2986,9910,3.8507,3.8558,16.0938,6.2104,1.0115,1.0851,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Pizza,medium_tip_depth,reviews_and_tips,category_tip_rank,19,128,,11256,2833,8970,3.7734,3.7723,17.976,6.053,0.6995,1.0295,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Breakfast & Brunch,high_tip_depth,reviews_and_tips,category_tip_rank,20,34,,9610,2675,3131,3.9706,3.9675,20.3581,5.1128,0.8168,0.9721,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Arts & Entertainment,high_tip_depth,reviews_and_tips,category_tip_rank,21,30,,4648,2619,2987,3.8833,3.8824,24.8591,3.5884,0.8171,0.9517,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Burgers,medium_tip_depth,reviews_and_tips,category_tip_rank,22,120,,7665,2454,8746,3.6417,3.6462,17.286,5.2035,0.6779,0.8918,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,American (Traditional),high_tip_depth,reviews_and_tips,category_tip_rank,23,32,,7890,2354,3153,3.7969,3.7729,21.7562,4.5731,0.9577,0.8554,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Arts & Entertainment,medium_tip_depth,reviews_and_tips,category_tip_rank,24,91,,4614,2266,6619,3.7198,3.7164,22.3946,2.7016,0.473,0.8234,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Coffee & Tea,medium_tip_depth,reviews_and_tips,category_tip_rank,25,113,,5139,2142,10019,3.8142,3.8275,11.4339,5.7637,1.0532,0.7784,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Sushi Bars,medium_tip_depth,reviews_and_tips,category_tip_rank,26,74,,7345,1850,5209,3.6622,3.6803,17.7436,6.0044,0.7312,0.6723,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Shopping,medium_tip_depth,reviews_and_tips,category_tip_rank,27,94,,4025,1838,8672,3.6011,3.5808,19.8753,4.0262,1.2044,0.6679,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Mexican,low_tip_depth,reviews_and_tips,category_tip_rank,28,499,,6927,1752,13257,3.482,3.4731,14.7142,5.6023,0.6635,0.6367,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Pizza,high_tip_depth,reviews_and_tips,category_tip_rank,29,20,,7029,1707,1966,3.95,3.9609,22.6306,4.1842,0.5277,0.6203,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Sports Bars,medium_tip_depth,reviews_and_tips,category_tip_rank,30,72,,4476,1685,6027,3.3056,3.3065,18.3933,5.2616,0.3336,0.6123,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Chinese,medium_tip_depth,reviews_and_tips,category_tip_rank,31,81,,5625,1569,5177,3.5864,3.6059,19.145,6.7683,0.8904,0.5702,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Pubs,high_tip_depth,reviews_and_tips,category_tip_rank,32,16,,4900,1499,1769,3.8438,3.8378,20.777,4.4796,0.8475,0.5447,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Fast Food,low_tip_depth,reviews_and_tips,category_tip_rank,33,460,,3321,1495,13316,3.0478,3.0212,10.6451,5.4444,0.7672,0.5433,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Japanese,medium_tip_depth,reviews_and_tips,category_tip_rank,34,60,,5588,1446,4097,3.625,3.624,17.8397,6.4849,1.1417,0.5255,"category-level alignment of tips, reviews, ratings, and check-ins"
category_tip_alignment,category_tip_depth,Sandwiches,high_tip_depth,reviews_and_tips,category_tip_rank,35,18,,6104,1436,1687,4.0278,4.0292,21.9775,4.3173,0.7286,0.5218,"category-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Phoenix,medium_tip_depth,reviews_and_tips,city_tip_rank,1,800,,55124,16867,58106,3.7044,3.7122,19.6072,5.4544,0.8075,19.3524,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Phoenix,high_tip_depth,reviews_and_tips,city_tip_rank,2,127,,36090,11118,12433,3.9331,3.939,23.0958,4.222,0.6862,12.7563,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Scottsdale,medium_tip_depth,reviews_and_tips,city_tip_rank,3,431,,36071,9365,32483,3.7053,3.7187,21.2018,5.9773,1.1804,10.745,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Phoenix,low_tip_depth,reviews_and_tips,city_tip_rank,4,2844,,31576,8526,69884,3.6028,3.6009,17.4627,7.3861,0.7401,9.7823,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Tempe,medium_tip_depth,reviews_and_tips,city_tip_rank,5,241,,17228,4991,18124,3.6494,3.6413,19.3772,5.1426,0.7431,5.7264,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Scottsdale,high_tip_depth,reviews_and_tips,city_tip_rank,6,56,,15513,4235,5586,3.8839,3.8826,23.1236,4.461,0.6998,4.859,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Scottsdale,low_tip_depth,reviews_and_tips,city_tip_rank,7,1287,,16100,3949,36587,3.7409,3.7213,18.839,7.6291,1.4351,4.5309,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Chandler,medium_tip_depth,reviews_and_tips,city_tip_rank,8,169,,11578,3293,11872,3.7219,3.7563,17.49,4.5052,0.5953,3.7782,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Mesa,medium_tip_depth,reviews_and_tips,city_tip_rank,9,156,,8381,2789,10317,3.7917,3.7868,15.9128,6.1817,0.8477,3.2,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Tempe,high_tip_depth,reviews_and_tips,city_tip_rank,10,34,,9016,2659,3336,3.8676,3.8326,21.1263,4.8632,0.8412,3.0508,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Tempe,low_tip_depth,reviews_and_tips,city_tip_rank,11,717,,9069,2142,20074,3.6046,3.6004,18.4119,6.8988,0.9267,2.4576,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Mesa,low_tip_depth,reviews_and_tips,city_tip_rank,12,704,,6319,1992,17305,3.5625,3.5645,15.0054,8.9774,0.6299,2.2855,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Chandler,low_tip_depth,reviews_and_tips,city_tip_rank,13,582,,5685,1618,15261,3.5799,3.5727,16.8766,6.5338,0.242,1.8564,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Glendale,medium_tip_depth,reviews_and_tips,city_tip_rank,14,83,,4641,1585,5717,3.7169,3.7141,17.3944,4.9207,0.9685,1.8186,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Gilbert,medium_tip_depth,reviews_and_tips,city_tip_rank,15,70,,4238,1409,4750,3.7,3.679,16.0093,5.647,0.2896,1.6166,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Glendale,low_tip_depth,reviews_and_tips,city_tip_rank,16,456,,4272,1304,10931,3.5504,3.5412,14.6473,7.0252,0.7004,1.4962,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Peoria,medium_tip_depth,reviews_and_tips,city_tip_rank,17,47,,2380,989,3502,3.6596,3.6368,15.6364,3.3906,0.8883,1.1347,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Gilbert,low_tip_depth,reviews_and_tips,city_tip_rank,18,329,,2899,933,9189,3.6687,3.6658,13.362,7.7701,1.4745,1.0705,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Chandler,high_tip_depth,reviews_and_tips,city_tip_rank,19,11,,2022,742,1107,3.8636,3.8671,19.161,4.0733,0.8671,0.8513,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Gilbert,high_tip_depth,reviews_and_tips,city_tip_rank,20,7,,2053,643,713,4.0,4.0626,15.9706,5.1754,1.1175,0.7377,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Peoria,low_tip_depth,reviews_and_tips,city_tip_rank,21,218,,1865,639,5344,3.5298,3.5051,12.7848,7.6697,0.8869,0.7332,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Goodyear,medium_tip_depth,reviews_and_tips,city_tip_rank,22,30,,1162,490,2000,3.65,3.6592,13.6447,7.8607,0.9249,0.5622,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Avondale,medium_tip_depth,reviews_and_tips,city_tip_rank,23,26,,1185,464,1708,3.8077,3.8313,9.6249,6.0308,0.4161,0.5324,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Glendale,high_tip_depth,reviews_and_tips,city_tip_rank,24,5,,811,421,446,4.0,3.8795,24.4716,3.1953,1.2023,0.483,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Surprise,low_tip_depth,reviews_and_tips,city_tip_rank,25,154,,1246,416,3705,3.5227,3.5232,11.3342,9.5388,1.5422,0.4773,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Goodyear,low_tip_depth,reviews_and_tips,city_tip_rank,26,123,,1049,339,2872,3.4106,3.4015,10.7438,8.132,0.4549,0.389,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Surprise,medium_tip_depth,reviews_and_tips,city_tip_rank,27,19,,854,308,1249,3.6053,3.5701,15.2666,4.6283,0.7145,0.3534,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Avondale,low_tip_depth,reviews_and_tips,city_tip_rank,28,97,,738,288,2434,3.5052,3.511,13.0689,8.3657,1.0064,0.3304,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Mesa,high_tip_depth,reviews_and_tips,city_tip_rank,29,3,,889,238,253,4.3333,4.3038,17.5566,5.7713,0.5747,0.2731,"city-level alignment of tips, reviews, ratings, and check-ins"
city_tip_alignment,city_tip_depth,Paradise Valley,medium_tip_depth,reviews_and_tips,city_tip_rank,30,10,,1015,209,776,3.95,3.9427,29.5369,4.1596,0.3448,0.2398,"city-level alignment of tips, reviews, ratings, and check-ins"
checkin_tip_overlay,checkin_tip_depth,some_checkin_signal,low_tip_depth,reviews_and_tips,checkin_tip_rank,1,7167,,80694,22186,197986,3.6004,3.5953,16.2201,7.1183,0.8791,45.9865,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,no_checkin_signal,no_tips,reviews_without_tips,checkin_tip_rank,2,3276,,14408,0,0,3.8129,3.807,19.328,0.0,0.0,21.0202,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,some_checkin_signal,medium_tip_depth,reviews_and_tips,checkin_tip_rank,3,1868,,129264,36887,124800,3.723,3.73,18.9395,5.5962,0.8239,11.9859,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,some_checkin_signal,no_tips,reviews_without_tips,checkin_tip_rank,4,1831,,9261,0,20638,3.6374,3.6068,17.7993,0.0,0.0,11.7485,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,no_checkin_signal,low_tip_depth,reviews_and_tips,checkin_tip_rank,5,869,,4482,1014,0,3.7071,3.693,17.8455,11.2198,0.6329,5.5759,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,high_checkin_signal,medium_tip_depth,reviews_and_tips,checkin_tip_rank,6,251,,17119,6554,28164,3.6116,3.6072,19.1754,4.7505,0.9882,1.6105,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,some_checkin_signal,high_tip_depth,reviews_and_tips,checkin_tip_rank,7,131,,34478,9225,11157,3.9313,3.9335,22.3194,4.6543,0.6391,0.8406,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,high_checkin_signal,high_tip_depth,reviews_and_tips,checkin_tip_rank,8,112,,31916,10831,12717,3.9018,3.8927,22.5012,4.0711,0.8599,0.7186,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,high_checkin_signal,low_tip_depth,reviews_and_tips,checkin_tip_rank,9,74,,1284,459,8239,3.4865,3.4669,17.8849,9.0042,1.1444,0.4748,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,no_checkin_signal,no_tips,no_review_or_tip,checkin_tip_rank,10,5,,0,0,0,4.9,,0.0,0.0,0.0,0.0321,tip depth compared with check-in signal and review coverage
checkin_tip_overlay,checkin_tip_depth,no_checkin_signal,low_tip_depth,tips_without_reviews,checkin_tip_rank,11,1,,0,1,0,5.0,,0.0,0.0,0.0,0.0064,tip depth compared with check-in signal and review coverage
