evidence_block,grain,item,item_2,item_3,rank_label,rank_value,employee_count,job_role_count,title_count,type_count,order_count,sale_lines,sample_qty,revenue_proxy,ytd_revenue_proxy,avg_job_level,revenue_per_employee,titles_per_employee,share_pct,notes
publisher_job_mix,publisher_job,Algodata Infosystems,Publisher,,employee_count,1.0,1,,,,,,,,,150.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,New Moon Books,Productions Manager,,employee_count,1.0,1,,,,,,,,,165.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,New Moon Books,Managing Editor,,employee_count,1.0,1,,,,,,,,,220.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Sales Representative,,employee_count,1.0,1,,,,,,,,,35.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Algodata Infosystems,Public Relations Manager,,employee_count,1.0,1,,,,,,,,,125.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Marketing Manager,,employee_count,1.0,1,,,,,,,,,120.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,New Moon Books,Publisher,,employee_count,1.0,1,,,,,,,,,175.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Lucerne Publishing,Public Relations Manager,,employee_count,1.0,1,,,,,,,,,101.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Algodata Infosystems,Designer,,employee_count,1.0,1,,,,,,,,,89.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Algodata Infosystems,Editor,,employee_count,1.0,1,,,,,,,,,32.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Public Relations Manager,,employee_count,1.0,1,,,,,,,,,100.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Algodata Infosystems,Sales Representative,,employee_count,1.0,1,,,,,,,,,64.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Scootney Books,Chief Financial Officier,,employee_count,1.0,1,,,,,,,,,227.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,New Moon Books,Acquisitions Manager,,employee_count,1.0,1,,,,,,,,,170.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Lucerne Publishing,Marketing Manager,,employee_count,1.0,1,,,,,,,,,120.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,GGG&G,Publisher,,employee_count,1.0,1,,,,,,,,,172.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Ramona Publishers,Publisher,,employee_count,1.0,1,,,,,,,,,246.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,New Moon Books,Operations Manager,,employee_count,1.0,1,,,,,,,,,150.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Lucerne Publishing,Acquisitions Manager,,employee_count,1.0,1,,,,,,,,,170.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Lucerne Publishing,Operations Manager,,employee_count,1.0,1,,,,,,,,,150.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,New Moon Books,Marketing Manager,,employee_count,1.0,1,,,,,,,,,195.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Publisher,,employee_count,1.0,1,,,,,,,,,159.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Designer,,employee_count,1.0,1,,,,,,,,,35.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Editor,,employee_count,1.0,1,,,,,,,,,35.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Algodata Infosystems,Marketing Manager,,employee_count,1.0,1,,,,,,,,,135.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Algodata Infosystems,Operations Manager,,employee_count,1.0,1,,,,,,,,,112.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Algodata Infosystems,Acquisitions Manager,,employee_count,1.0,1,,,,,,,,,78.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Productions Manager,,employee_count,1.0,1,,,,,,,,,75.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Scootney Books,Chief Executive Officer,,employee_count,1.0,1,,,,,,,,,215.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,New Moon Books,Sales Representative,,employee_count,1.0,1,,,,,,,,,100.0,,,,Publisher-specific job role coverage.
publisher_job_mix,publisher_job,Binnet & Hardley,Managing Editor,,employee_count,1.0,1,,,,,,,,,140.0,,,,Publisher-specific job role coverage.
