evidence_group_id,evidence_block,entity_level,entity,parent_entity,region,row_count,order_count,product_count,positive_product_count,negative_product_count,mixed_region_product_count,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,loss_line_count,gross_loss,gross_loss_share_pct,min_margin_pct,max_margin_pct,rank_by_sales,rank_by_profit,rank_by_loss,note
G3,bottom_product_loss_concentration,product,OFF-BI-10000545 / GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies / Binders,,18,18,1,1,0,,38049.0,0.83,1521.96,4.0,0.522,12,-10197.13,3.27,,,6,99,4,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,OFF-BI-10001359 / GBC DocuBind TL300 Electric Binding System,Office Supplies / Binders,,22,22,1,1,0,,39646.96,0.86,4467.01,11.27,0.3,8,-8324.07,2.67,,,5,18,5,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,TEC-MA-10004125 / Cubify CubeX 3D Printer Triple Head Print,Technology / Machines,,2,2,1,0,1,,15999.96,0.35,-7679.98,-48.0,0.5,2,-7679.98,2.46,,,44,1886,6,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,OFF-BI-10003527 / Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies / Binders,,20,20,1,1,0,,54906.77,1.2,15506.08,28.24,0.24,4,-6863.35,2.2,,,2,2,7,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,FUR-TA-10000198 / Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture / Tables,,10,10,1,0,1,,19835.28,0.43,-5752.23,-29.0,0.28,8,-6215.05,1.99,,,27,1885,8,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,OFF-BI-10001120 / Ibico EPK-21 Electric Binding System,Office Supplies / Binders,,6,6,1,1,0,,31751.83,0.69,6690.56,21.07,0.333,2,-5858.97,1.88,,,13,8,9,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,FUR-TA-10001889 / Bush Advantage Collection Racetrack Conference Table,Furniture / Tables,,14,14,1,0,1,,19089.45,0.42,-3868.8,-20.27,0.35,12,-5090.52,1.63,,,29,1884,10,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,"FUR-BO-10004834 / Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture / Bookcases,,10,10,1,0,1,,31221.93,0.68,-1339.09,-4.29,0.234,4,-3964.41,1.27,,,14,1863,11,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,TEC-MA-10002412 / Cisco TelePresence System EX90 Videoconferencing Unit,Technology / Machines,,2,2,1,0,1,,45276.96,0.99,-3622.16,-8.0,0.5,2,-3622.16,1.16,,,3,1882,12,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,OFF-BI-10003650 / GBC DocuBind 300 Electric Binding Machine,Office Supplies / Binders,,16,16,1,1,0,,13570.28,0.3,988.84,7.29,0.413,8,-3219.0,1.03,,,64,172,13,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,OFF-BI-10004632 / Ibico Hi-Tech Manual Binding System,Office Supplies / Binders,,24,24,1,0,1,,10418.6,0.23,-81.27,-0.78,0.35,8,-3202.4,1.03,,,104,1714,14,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,FUR-TA-10001950 / Balt Solid Wood Round Tables,Furniture / Tables,,8,8,1,0,1,,13037.51,0.28,-2402.12,-18.42,0.2,4,-3045.06,0.98,,,70,1880,15,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,OFF-SU-10002881 / Martin Yale Chadless Opener Electric Letter Opener,Office Supplies / Supplies,,12,12,1,0,1,,33312.4,0.73,-2598.37,-7.8,0.1,6,-2998.12,0.96,,,12,1881,17,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,"FUR-TA-10004154 / Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture / Tables,,10,10,1,0,1,,8892.35,0.19,-2294.8,-25.81,0.3,8,-2421.01,0.78,,,128,1878,21,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,FUR-TA-10004289 / BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture / Tables,,6,6,1,0,1,,3412.5,0.07,-2296.88,-67.31,0.483,6,-2296.88,0.74,,,347,1879,24,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,FUR-TA-10004256 / Bretford __ust In Time_ Height-Adjustable Multi-Task Work Tables,Furniture / Tables,,8,8,1,0,1,,11269.8,0.25,-1928.39,-17.11,0.225,6,-2162.13,0.69,,,92,1874,26,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,TEC-MA-10002210 / Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology / Machines,,4,4,1,0,1,,2425.41,0.05,-2114.46,-87.18,0.55,4,-2114.46,0.68,,,459,1877,27,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,FUR-BO-10001972 / O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture / Bookcases,,14,14,1,0,1,,5480.39,0.12,-1950.2,-35.58,0.421,10,-2095.37,0.67,,,232,1875,28,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,FUR-CH-10003312 / Hon 2090 __illow Soft_ Series Mid Back Swivel/Tilt Chairs,Furniture / Chairs,,12,12,1,0,1,,10564.85,0.23,-1978.1,-18.72,0.217,12,-1978.1,0.63,,,102,1876,31,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product_concentration,bottom_10_profit_products,product_loss_concentration,,80,80,10,0,10,,241753.92,5.26,-58916.74,-24.37,0.34,56,-73686.42,23.6,,,,,,Bottom-product concentration aggregate: quantify how much loss comes from the weakest products.
G3,bottom_product_loss_concentration,product_concentration,bottom_20_profit_products,product_loss_concentration,,182,182,20,0,20,,330295.75,7.19,-77931.16,-23.59,0.329,128,-96822.01,31.01,,,,,,Bottom-product concentration aggregate: quantify how much loss comes from the weakest products.
G4,subcategory_sku_dispersion,sub_category,Accessories,Technology,,1550,1546,147,140,7,,334760.64,7.29,83873.27,25.05,0.078,182,-1861.25,0.6,-14.72,45.26,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Appliances,Office Supplies,,932,932,99,84,15,,215064.32,4.68,36276.01,16.87,0.167,134,-17259.28,5.53,-275.0,43.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Art,Office Supplies,,1592,1592,164,164,0,,54237.58,1.18,13055.57,24.07,0.075,0,0.0,-0.0,6.25,48.28,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Binders,Office Supplies,,3046,3044,213,160,53,,406825.47,8.85,60443.53,14.86,0.372,1226,-77020.99,24.67,-99.33,45.26,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Bookcases,Furniture,,456,456,50,17,33,,229759.99,5.0,-6945.11,-3.02,0.211,218,-24304.41,7.78,-210.0,27.47,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Chairs,Furniture,,1234,1232,87,64,23,,656898.21,14.3,53180.33,8.1,0.17,470,-19761.68,6.33,-22.83,23.8,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Copiers,Technology,,136,136,13,13,0,,299056.06,6.51,111235.65,37.2,0.162,0,0.0,-0.0,20.0,42.73,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Envelopes,Office Supplies,,508,508,54,54,0,,32952.8,0.72,13928.35,42.27,0.08,0,0.0,-0.0,32.14,49.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Fasteners,Office Supplies,,434,434,43,35,7,,6048.56,0.13,1899.04,31.4,0.082,24,-66.39,0.02,-19.05,49.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Furnishings,Furniture,,1914,1912,187,163,24,,183410.33,3.99,26118.29,14.24,0.138,334,-12981.83,4.16,-80.0,46.69,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Labels,Office Supplies,,728,728,70,70,0,,24972.62,0.54,11092.51,44.42,0.069,0,0.0,-0.0,33.75,50.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Machines,Technology,,230,230,63,40,23,,378477.26,8.24,6769.51,1.79,0.306,88,-60237.34,19.29,-140.0,50.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Paper,Office Supplies,,2740,2736,282,282,0,,156958.41,3.42,68107.14,43.39,0.075,0,0.0,-0.0,31.25,50.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Phones,Technology,,1778,1778,189,160,29,,660014.11,14.37,89031.46,13.49,0.155,272,-15061.25,4.82,-25.0,43.13,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Storage,Office Supplies,,1692,1690,132,92,39,,447687.22,9.74,42557.65,9.51,0.075,322,-12852.61,4.12,-15.29,29.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Supplies,Office Supplies,,380,380,38,25,12,,93347.08,2.03,-2378.2,-2.55,0.077,66,-6031.24,1.93,-18.75,29.0,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G4,subcategory_sku_dispersion,sub_category,Tables,Furniture,,638,638,57,14,43,,413931.06,9.01,-35450.96,-8.56,0.261,406,-64824.3,20.76,-67.31,16.26,,,,Subcategory dispersion: compare subcategory-level margin with the count and range of positive and negative SKUs inside it.
G5,cross_region_sku_consistency,multi_region_product,TEC-MA-10000418 / Cubify CubeX 3D Printer Double Head Print,Technology / Machines,,6,6,2,1,1,1,22199.93,,-17759.94,-80.0,0.533,4,-18479.94,,-146.67,7.5,,1706,1,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-TA-10000198 / Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture / Tables,,10,10,4,1,3,1,19835.28,,-5752.23,-29.0,0.28,8,-6215.05,,-43.33,14.0,,1704,3,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,OFF-BI-10004995 / GBC DocuBind P400 Electric Binding System,Office Supplies / Binders,,12,12,4,2,2,1,35930.14,,-3756.33,-10.45,0.45,6,-13718.78,,-80.0,32.5,,1702,5,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,OFF-SU-10002881 / Martin Yale Chadless Opener Electric Letter Opener,Office Supplies / Supplies,,12,12,4,2,2,1,33312.4,,-2598.37,-7.8,0.1,6,-2998.12,,-22.5,2.0,,1701,6,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-TA-10001950 / Balt Solid Wood Round Tables,Furniture / Tables,,8,8,4,2,2,1,13037.51,,-2402.12,-18.42,0.2,4,-3045.06,,-51.67,9.0,,1700,7,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"FUR-TA-10004154 / Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture / Tables,,10,10,3,1,2,1,8892.35,,-2294.8,-25.81,0.3,8,-2421.01,,-30.0,22.0,,1698,9,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-BO-10001972 / O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture / Bookcases,,14,14,4,1,3,1,5480.39,,-1950.2,-35.58,0.421,10,-2095.37,,-66.0,17.0,,1695,12,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,TEC-MA-10001148 / Swingline SM12-08 MicroCut Jam Free Shredder,Technology / Machines,,10,10,2,1,1,1,10408.48,,-1764.24,-16.95,0.5,6,-3015.38,,-110.61,3.41,,1693,14,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,OFF-AP-10002534 / 3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies / Appliances,,10,10,3,2,1,1,5892.4,,-1744.15,-29.6,0.52,6,-2757.64,,-260.0,28.0,,1692,15,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"FUR-TA-10002958 / Bevis Oval Conference Table, Walnut",Furniture / Tables,,16,16,3,1,2,1,13884.14,,-1712.03,-12.33,0.275,12,-2688.09,,-38.33,13.28,,1691,16,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,OFF-ST-10004459 / Tennsco Single-Tier Lockers,Office Supplies / Storage,,16,16,4,2,2,1,18316.59,,-1651.5,-9.02,0.075,6,-2026.84,,-16.51,5.0,,1690,17,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,TEC-MA-10004679 / StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Technology / Machines,,8,8,3,1,2,1,4661.3,,-1571.52,-33.71,0.425,6,-1678.07,,-140.0,10.0,,1688,19,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-TA-10003954 / Hon 94000 Series Round Tables,Furniture / Tables,,10,10,3,1,2,1,14809.0,,-1362.43,-9.2,0.16,6,-2055.49,,-51.67,9.0,,1685,22,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"FUR-BO-10004834 / Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture / Bookcases,,10,10,3,1,2,1,31221.93,,-1339.09,-4.29,0.234,4,-3964.41,,-13.24,9.41,,1684,23,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"FUR-TA-10003238 / Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture / Tables,,12,12,3,1,2,1,8595.29,,-1223.18,-14.23,0.333,10,-1851.29,,-62.0,19.0,,1681,26,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-TA-10001768 / Hon Racetrack Conference Tables,Furniture / Tables,,12,12,3,1,2,1,7927.8,,-1197.05,-15.1,0.283,8,-1533.06,,-31.67,16.84,,1680,27,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-TA-10000577 / Bretford CR4500 Series Slim Rectangular Table,Furniture / Tables,,16,16,4,1,3,1,14485.54,,-1065.52,-7.36,0.263,10,-1949.98,,-40.0,15.49,,1678,29,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-FU-10001468 / Tenex Antistatic Computer Chair Mats,Furniture / Furnishings,,12,12,3,1,2,1,6634.02,,-1060.08,-15.98,0.233,10,-1299.45,,-125.0,4.26,,1677,30,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"FUR-FU-10003806 / Tenex Chairmat w/ Average Lip, 45"" x 53""",Furniture / Furnishings,,8,8,3,2,1,1,4116.99,,-1059.52,-25.74,0.3,4,-1362.24,,-125.0,10.0,,1676,31,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"FUR-TA-10002041 / Bevis Round Conference Table Top, X-Base",Furniture / Tables,,12,12,4,1,3,1,5342.84,,-1039.88,-19.46,0.267,10,-1118.77,,-53.45,11.0,,1675,32,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"FUR-CH-10003774 / Global Wood Trimmed Manager's Task Chair, Khaki",Furniture / Chairs,,28,28,4,1,3,1,8333.77,,-1006.24,-12.07,0.229,24,-1164.54,,-24.29,6.79,,1674,33,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,"TEC-MA-10002073 / 3D Systems Cube Printer, 2nd Generation, White",Technology / Machines,,4,4,2,1,1,1,4679.96,,-935.99,-20.0,0.35,2,-1143.99,,-44.0,10.0,,1669,38,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,OFF-BI-10004584 / GBC ProClick 150 Presentation Binding System,Office Supplies / Binders,,10,10,4,2,2,1,6445.99,,-922.66,-14.31,0.5,6,-2584.72,,-165.0,47.0,,1668,39,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
G5,cross_region_sku_consistency,multi_region_product,FUR-TA-10001539 / Chromcraft Rectangular Conference Tables,Furniture / Tables,,18,18,3,1,2,1,9905.35,,-900.49,-9.09,0.322,10,-1203.81,,-52.0,5.0,,1665,42,Cross-region details: selected multi-region products with mixed signs or large regional margin spreads.
