evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,violation_share_pct,fine_share_pct,avg_fine_per_violation,notes
risk_category_profile,risk_level_category,1,Personnel,,category_rank_in_risk,5.0,6131,3325,6131,0,0,0,1300500.0,1.1672,2.0819,212.1187,Check whether risk levels differ in the kinds of violations they carry.
facility_category_profile,facility_type_category,(convenience store),Food Maintenance,,category_rank_in_facility_type,1.0,1,1,1,0,0,0,100.0,0.0002,0.0002,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,(convenience store),Food Protection,,category_rank_in_facility_type,2.0,1,1,1,0,0,0,100.0,0.0002,0.0002,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,A-Not-For-Profit Chef Training Program,Food Protection,,category_rank_in_facility_type,1.0,5,1,9,0,0,0,900.0,0.0017,0.0014,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,A-Not-For-Profit Chef Training Program,Food Maintenance,,category_rank_in_facility_type,2.0,5,1,8,0,0,0,800.0,0.0015,0.0013,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ASSISTED LIVING,Food Maintenance,,category_rank_in_facility_type,1.0,22,4,48,0,0,0,3600.0,0.0091,0.0058,75.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ASSISTED LIVING,Food Protection,,category_rank_in_facility_type,2.0,18,3,39,6,0,0,5300.0,0.0074,0.0085,135.8974,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ASSISTED LIVING,Insect and Rodent Control,,category_rank_in_facility_type,3.0,10,1,12,0,0,0,2000.0,0.0023,0.0032,166.6667,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,CONVENIENCE STORE,Food Maintenance,,category_rank_in_facility_type,1.0,18,9,36,0,0,0,3100.0,0.0069,0.005,86.1111,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,CONVENIENCE STORE,Food Protection,,category_rank_in_facility_type,2.0,14,7,20,10,0,0,5000.0,0.0038,0.008,250.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,CONVENIENCE STORE,Insect and Rodent Control,,category_rank_in_facility_type,3.0,8,3,11,0,0,0,2000.0,0.0021,0.0032,181.8182,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,CULINARY SCHOOL,Food Maintenance,,category_rank_in_facility_type,1.0,13,2,33,0,0,0,3300.0,0.0063,0.0053,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,CULINARY SCHOOL,Food Protection,,category_rank_in_facility_type,2.0,9,2,16,4,0,0,3200.0,0.003,0.0051,200.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,CULINARY SCHOOL,Food Equipment and Utensil Sanitation,,category_rank_in_facility_type,3.0,2,1,2,2,0,0,1000.0,0.0004,0.0016,500.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,DAYCARE (0-6 YEARS OLD),Food Maintenance,,category_rank_in_facility_type,1.0,3,1,4,0,0,0,400.0,0.0008,0.0006,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,DAYCARE (0-6 YEARS OLD),Food Protection,,category_rank_in_facility_type,2.0,1,1,1,0,0,0,100.0,0.0002,0.0002,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,DINING HALL,Food Protection,,category_rank_in_facility_type,1.0,2,1,6,2,0,0,850.0,0.0011,0.0014,141.6667,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,DINING HALL,Food Maintenance,,category_rank_in_facility_type,2.0,2,1,2,0,0,0,100.0,0.0004,0.0002,50.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,DINING HALL,Insect and Rodent Control,,category_rank_in_facility_type,3.0,2,1,2,0,0,0,250.0,0.0004,0.0004,125.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,FITNESS CENTER,Food Maintenance,,category_rank_in_facility_type,1.0,4,1,9,0,0,0,900.0,0.0017,0.0014,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,FITNESS CENTER,Food Protection,,category_rank_in_facility_type,2.0,5,1,5,0,0,0,500.0,0.001,0.0008,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,FITNESS CENTER,Compliance,,category_rank_in_facility_type,3.0,2,1,2,0,0,0,250.0,0.0004,0.0004,125.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Long Term Care,Food Maintenance,,category_rank_in_facility_type,1.0,716,228,1998,0,0,0,173200.0,0.3804,0.2773,86.6867,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Long Term Care,Food Protection,,category_rank_in_facility_type,2.0,618,220,1065,84,0,0,129150.0,0.2028,0.2068,121.2676,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Long Term Care,Insect and Rodent Control,,category_rank_in_facility_type,3.0,199,83,231,0,0,0,36250.0,0.044,0.058,156.9264,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Long Term Care Facility,Food Maintenance,,category_rank_in_facility_type,1.0,15,2,28,0,0,0,2400.0,0.0053,0.0038,85.7143,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Long Term Care Facility,Food Protection,,category_rank_in_facility_type,2.0,11,2,19,4,0,0,3350.0,0.0036,0.0054,176.3158,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Long Term Care Facility,Insect and Rodent Control,,category_rank_in_facility_type,3.0,4,1,4,0,0,0,750.0,0.0008,0.0012,187.5,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,MAIN KITCHEN,Food Maintenance,,category_rank_in_facility_type,1.0,3,1,5,0,0,0,500.0,0.001,0.0008,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,MAIN KITCHEN,Food Protection,,category_rank_in_facility_type,2.0,3,1,4,0,0,0,400.0,0.0008,0.0006,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,MAIN KITCHEN,Food Equipment and Utensil,,category_rank_in_facility_type,3.0,2,1,2,0,0,0,500.0,0.0004,0.0008,250.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Museum/Gallery,Food Maintenance,,category_rank_in_facility_type,1.0,2,1,4,0,0,0,200.0,0.0008,0.0003,50.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Museum/Gallery,Food Equipment and Utensil Sanitation,,category_rank_in_facility_type,2.0,2,1,2,2,0,0,500.0,0.0004,0.0008,250.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Museum/Gallery,Insect and Rodent Control,,category_rank_in_facility_type,3.0,2,1,2,0,0,0,250.0,0.0004,0.0004,125.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,PACKAGED LIQUOR,Food Maintenance,,category_rank_in_facility_type,1.0,5,2,9,0,0,0,500.0,0.0017,0.0008,55.5556,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,PACKAGED LIQUOR,Insect and Rodent Control,,category_rank_in_facility_type,2.0,4,2,4,0,0,0,500.0,0.0008,0.0008,125.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,RESTAURANT/GROCERY STORE,Food Maintenance,,category_rank_in_facility_type,1.0,18,2,53,0,0,0,4200.0,0.0101,0.0067,79.2453,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,RESTAURANT/GROCERY STORE,Food Protection,,category_rank_in_facility_type,2.0,14,2,34,2,0,0,3850.0,0.0065,0.0062,113.2353,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,RESTAURANT/GROCERY STORE,Compliance,,category_rank_in_facility_type,3.0,4,2,4,2,0,0,750.0,0.0008,0.0012,187.5,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,RESTAURANT/HOSPITAL,Food Maintenance,,category_rank_in_facility_type,1.0,9,1,28,0,0,0,2200.0,0.0053,0.0035,78.5714,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,RESTAURANT/HOSPITAL,Food Protection,,category_rank_in_facility_type,2.0,9,1,19,2,0,0,2300.0,0.0036,0.0037,121.0526,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,RESTAURANT/HOSPITAL,Insect and Rodent Control,,category_rank_in_facility_type,3.0,4,1,4,0,0,0,500.0,0.0008,0.0008,125.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ROOF TOPS,Food Maintenance,,category_rank_in_facility_type,1.0,11,3,19,0,0,0,1900.0,0.0036,0.003,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ROOF TOPS,Food Protection,,category_rank_in_facility_type,2.0,5,3,6,1,0,0,1000.0,0.0011,0.0016,166.6667,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ROOF TOPS,Toilet and Hand Washing Facilities for Staff,,category_rank_in_facility_type,3.0,2,2,2,2,0,0,1000.0,0.0004,0.0016,500.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ROOFTOPS,Food Maintenance,,category_rank_in_facility_type,1.0,5,3,8,0,0,0,800.0,0.0015,0.0013,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,ROOFTOPS,Food Protection,,category_rank_in_facility_type,2.0,1,1,1,0,0,0,100.0,0.0002,0.0002,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,School,Food Maintenance,,category_rank_in_facility_type,1.0,7887,1064,20053,0,0,0,1888600.0,3.8176,3.0234,94.1804,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,School,Food Protection,,category_rank_in_facility_type,2.0,4851,1003,6772,370,0,0,787900.0,1.2892,1.2613,116.3467,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,School,Insect and Rodent Control,,category_rank_in_facility_type,3.0,1948,569,2122,0,0,0,360500.0,0.404,0.5771,169.8869,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,TAVERN/RESTAURANT,Food Maintenance,,category_rank_in_facility_type,1.0,1,1,5,0,0,0,500.0,0.001,0.0008,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,TAVERN/RESTAURANT,Food Protection,,category_rank_in_facility_type,2.0,1,1,2,0,0,0,200.0,0.0004,0.0003,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Wholesale,Food Maintenance,,category_rank_in_facility_type,1.0,348,173,996,0,0,0,79900.0,0.1896,0.1279,80.2209,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Wholesale,Food Protection,,category_rank_in_facility_type,2.0,218,108,339,41,0,0,42800.0,0.0645,0.0685,126.2537,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Wholesale,Insect and Rodent Control,,category_rank_in_facility_type,3.0,176,86,206,0,0,0,33500.0,0.0392,0.0536,162.6214,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,bakery/restaurant,Food Maintenance,,category_rank_in_facility_type,1.0,2,1,6,0,0,0,600.0,0.0011,0.001,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,bakery/restaurant,Food Protection,,category_rank_in_facility_type,2.0,2,1,3,0,0,0,300.0,0.0006,0.0005,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,banquets/room service,Food Maintenance,,category_rank_in_facility_type,1.0,3,1,4,0,0,0,400.0,0.0008,0.0006,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,banquets/room service,Food Protection,,category_rank_in_facility_type,2.0,2,1,3,0,0,0,300.0,0.0006,0.0005,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,coffee,Food Protection,,category_rank_in_facility_type,1.0,1,1,1,0,0,0,250.0,0.0002,0.0004,250.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,meat packing,Food Maintenance,,category_rank_in_facility_type,1.0,4,1,10,0,0,0,900.0,0.0019,0.0014,90.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,meat packing,Insect and Rodent Control,,category_rank_in_facility_type,2.0,2,1,2,0,0,0,500.0,0.0004,0.0008,250.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,meat packing,No Smoking Regulations,,category_rank_in_facility_type,3.0,1,1,1,0,0,0,100.0,0.0002,0.0002,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,newsstand,Food Maintenance,,category_rank_in_facility_type,1.0,2,1,3,0,0,0,300.0,0.0006,0.0005,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,newsstand,Insect and Rodent Control,,category_rank_in_facility_type,2.0,2,1,2,0,0,0,500.0,0.0004,0.0008,250.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,newsstand,Compliance,,category_rank_in_facility_type,3.0,1,1,1,1,0,0,500.0,0.0002,0.0008,500.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,restaurant,Food Maintenance,,category_rank_in_facility_type,1.0,4,1,11,0,0,0,1100.0,0.0021,0.0018,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,restaurant,Food Protection,,category_rank_in_facility_type,2.0,4,1,7,0,0,0,700.0,0.0013,0.0011,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,1023 CHILDERN'S SERVICES FACILITY,Food Maintenance,,category_rank_in_facility_type,1.0,21,7,56,0,0,0,5600.0,0.0107,0.009,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,1023 CHILDERN'S SERVICES FACILITY,Food Protection,,category_rank_in_facility_type,2.0,8,6,11,0,0,0,1100.0,0.0021,0.0018,100.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,1023 CHILDERN'S SERVICES FACILITY,Insect and Rodent Control,,category_rank_in_facility_type,3.0,4,2,4,0,0,0,1000.0,0.0008,0.0016,250.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,Airport Lounge,Food Protection,,category_rank_in_facility_type,1.0,2,1,2,0,0,0,250.0,0.0004,0.0004,125.0,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,BANQUET FACILITY,Food Maintenance,,category_rank_in_facility_type,1.0,10,1,26,0,0,0,2200.0,0.0049,0.0035,84.6154,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,BANQUET FACILITY,Food Protection,,category_rank_in_facility_type,2.0,7,1,12,0,0,0,1100.0,0.0023,0.0018,91.6667,Check whether facility-type patterns explain category-level burden.
facility_category_profile,facility_type_category,BANQUET FACILITY,Insect and Rodent Control,,category_rank_in_facility_type,3.0,8,1,8,0,0,0,1250.0,0.0015,0.002,156.25,Check whether facility-type patterns explain category-level burden.
