evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,warehouses,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
warehouse_performance,warehouse,WARE-UHY1004,4,4,warehouse_sales,,1265,,,,4,11985686.1125,4409461.6573,36.7894,11.5613,20.7636,,Use warehouse as a fulfillment and mix lens rather than a standalone quality label.
warehouse_performance,warehouse,WARE-NMK1003,4,4,warehouse_sales,,2505,,,,4,23136974.1575,8646499.4045,37.3709,11.2804,20.9633,,Use warehouse as a fulfillment and mix lens rather than a standalone quality label.
warehouse_performance,warehouse,WARE-PUJ1005,4,4,warehouse_sales,,1451,,,,4,13056173.42,4939300.4435,37.8311,11.6954,20.5555,,Use warehouse as a fulfillment and mix lens rather than a standalone quality label.
warehouse_performance,warehouse,WARE-XYS1001,4,2,warehouse_sales,,1222,,,,4,11054894.14,4072345.3053,36.8375,11.5569,20.3961,,Use warehouse as a fulfillment and mix lens rather than a standalone quality label.
warehouse_performance,warehouse,WARE-NBV1002,4,1,warehouse_sales,,691,,,,4,6096532.1725,2297042.8978,37.6779,11.6823,20.6469,,Use warehouse as a fulfillment and mix lens rather than a standalone quality label.
warehouse_performance,warehouse,WARE-MKL1006,4,3,warehouse_sales,,857,,,,4,7813119.7425,2926738.5965,37.4593,10.9277,20.3046,,Use warehouse as a fulfillment and mix lens rather than a standalone quality label.
channel_warehouse_mix,sales_channel_warehouse,Wholesale,WARE-NMK1003,1,warehouse_rank_in_channel,1.0,295,,,,,2806468.865,1072210.6638,38.205,,20.8407,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Wholesale,WARE-PUJ1005,2,warehouse_rank_in_channel,2.0,164,,,,,1494713.385,569283.29,38.0865,,20.4146,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Wholesale,WARE-UHY1004,3,warehouse_rank_in_channel,3.0,143,,,,,1342997.915,537597.4752,40.0297,,20.7622,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Distributor,WARE-NMK1003,1,warehouse_rank_in_channel,1.0,428,,,,,3991785.1275,1511903.9565,37.8754,,20.9743,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Distributor,WARE-PUJ1005,2,warehouse_rank_in_channel,2.0,262,,,,,2644418.8125,975200.1538,36.8777,,21.042,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Distributor,WARE-UHY1004,3,warehouse_rank_in_channel,3.0,217,,,,,1997673.1725,735040.0465,36.7948,,21.4332,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,In-Store,WARE-NMK1003,1,warehouse_rank_in_channel,1.0,1029,,,,,9507352.7625,3540348.7573,37.238,,20.9242,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,In-Store,WARE-PUJ1005,2,warehouse_rank_in_channel,2.0,599,,,,,5180629.7775,1961149.859,37.8554,,20.419,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,In-Store,WARE-UHY1004,3,warehouse_rank_in_channel,3.0,517,,,,,5015311.465,1847536.7683,36.8379,,20.3926,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Online,WARE-NMK1003,1,warehouse_rank_in_channel,1.0,753,,,,,6831367.4025,2522036.027,36.9185,,21.0584,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Online,WARE-PUJ1005,2,warehouse_rank_in_channel,2.0,426,,,,,3736411.445,1433667.1407,38.3702,,20.5023,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_warehouse_mix,sales_channel_warehouse,Online,WARE-XYS1001,3,warehouse_rank_in_channel,3.0,393,,,,,3347043.4575,1216919.1568,36.358,,20.542,,Identify whether channel patterns are tied to a few warehouse lanes.
channel_product_mix,sales_channel_product,Wholesale,Platters,1,product_rank_in_channel,1.0,25,,,,,286560.5075,92039.4005,32.1187,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Wholesale,Candles,2,product_rank_in_channel,2.0,22,,,,,259406.58,118026.4688,45.4986,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Wholesale,Serveware,3,product_rank_in_channel,3.0,24,,,,,258698.2225,107553.4043,41.5749,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Wholesale,Bathroom Furniture,4,product_rank_in_channel,4.0,23,,,,,255975.3425,108186.1973,42.2643,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Wholesale,Mirrors,5,product_rank_in_channel,5.0,20,,,,,254967.495,109493.3678,42.944,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Distributor,Collectibles,1,product_rank_in_channel,1.0,43,,,,,439493.87,176379.9842,40.1325,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Distributor,TV and video,2,product_rank_in_channel,2.0,37,,,,,436652.5675,167110.7198,38.2709,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Distributor,Table Linens,3,product_rank_in_channel,3.0,31,,,,,434209.0775,165168.6103,38.039,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Distributor,Bathroom Furniture,4,product_rank_in_channel,4.0,34,,,,,414438.3825,142719.7518,34.4369,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Distributor,Wardrobes,5,product_rank_in_channel,5.0,34,,,,,399405.9275,152429.435,38.164,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,In-Store,Accessories,1,product_rank_in_channel,1.0,87,,,,,1051637.695,399940.451,38.0303,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,In-Store,Furniture Cushions,2,product_rank_in_channel,2.0,85,,,,,860970.435,295042.8475,34.2686,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,In-Store,Serveware,3,product_rank_in_channel,3.0,89,,,,,826530.2575,314758.7958,38.0819,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,In-Store,Rugs,4,product_rank_in_channel,4.0,81,,,,,826020.3875,309319.0438,37.4469,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,In-Store,Platters,5,product_rank_in_channel,5.0,96,,,,,755983.445,292642.5023,38.7102,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Online,Dining Furniture,1,product_rank_in_channel,1.0,65,,,,,661238.2425,250346.5937,37.8603,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Online,Accessories,2,product_rank_in_channel,2.0,58,,,,,604802.3,230377.8542,38.0914,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Online,Bathroom Furniture,3,product_rank_in_channel,3.0,53,,,,,598147.3575,220826.2985,36.9184,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Online,Outdoor Furniture,4,product_rank_in_channel,4.0,59,,,,,582315.76,209629.8853,35.9993,,,,"Check whether product mix, not channel alone, explains channel quality."
channel_product_mix,sales_channel_product,Online,Basketball,5,product_rank_in_channel,5.0,52,,,,,578453.7125,229605.9238,39.6931,,,,"Check whether product mix, not channel alone, explains channel quality."
