evidence_block,grain,item,item_2,item_3,rank_label,rank_value,users,reviews,businesses,avg_user_stars,avg_review_stars,avg_business_stars,long_review_rate_pct,avg_elite_years,share_pct,notes
city_social_voice,city_recognition,Gilbert,ordinary_or_low_recognition,"",city_recognition_rank,10,4660,7958,625,3.747,3.7905,3.8042,13.2445,0.0,2.4645,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Tempe,multi_year_elite,"",city_recognition_rank,11,1049,7906,1043,3.7911,3.7052,3.7123,31.2041,4.4782,2.4484,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Scottsdale,short_elite,"",city_recognition_rank,12,1065,7324,1486,3.8528,3.8768,3.7594,29.4511,1.6345,2.2682,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Chandler,multi_year_elite,"",city_recognition_rank,13,589,3718,748,3.7435,3.7257,3.7162,29.5858,4.4995,1.1514,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Tempe,short_elite,"",city_recognition_rank,14,679,3689,803,3.8105,3.7574,3.7205,25.942,1.717,1.1424,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Peoria,ordinary_or_low_recognition,"",city_recognition_rank,15,2321,3595,383,3.6726,3.684,3.7071,12.7677,0.0,1.1133,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Mesa,multi_year_elite,"",city_recognition_rank,16,552,2641,721,3.7668,3.7895,3.7929,30.1022,4.5153,0.8179,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Chandler,short_elite,"",city_recognition_rank,17,380,1939,581,3.827,3.8571,3.7455,24.8066,1.6529,0.6005,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Goodyear,ordinary_or_low_recognition,"",city_recognition_rank,18,1201,1937,209,3.6946,3.6211,3.6242,10.0155,0.0,0.5999,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Glendale,multi_year_elite,"",city_recognition_rank,19,436,1929,500,3.7605,3.6656,3.6687,27.8383,4.3981,0.5974,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Surprise,ordinary_or_low_recognition,"",city_recognition_rank,20,1090,1890,239,3.6063,3.5868,3.6325,12.1164,0.0,0.5853,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Avondale,ordinary_or_low_recognition,"",city_recognition_rank,21,1126,1678,166,3.7384,3.8248,3.7968,10.6079,0.0,0.5197,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Phoenix,high_compliment_non_elite,"",city_recognition_rank,22,74,1665,1068,3.7562,3.7291,3.7168,33.6937,0.0,0.5156,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Gilbert,multi_year_elite,"",city_recognition_rank,23,329,1406,347,3.7927,3.8549,3.8133,27.3115,4.2888,0.4354,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Mesa,short_elite,"",city_recognition_rank,24,349,1319,507,3.8256,3.768,3.7657,22.2138,1.6816,0.4085,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Cave Creek,ordinary_or_low_recognition,"",city_recognition_rank,25,884,1149,103,3.7737,3.9399,3.9621,15.5788,0.0,0.3558,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Paradise Valley,ordinary_or_low_recognition,"",city_recognition_rank,26,880,974,71,3.7079,3.7515,3.8393,21.6632,0.0,0.3016,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Queen Creek,ordinary_or_low_recognition,"",city_recognition_rank,27,649,913,97,3.6889,3.7809,3.7974,11.5005,0.0,0.2827,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Scottsdale,high_compliment_non_elite,"",city_recognition_rank,28,58,894,586,3.693,3.6163,3.6997,31.6555,0.0,0.2769,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Peoria,multi_year_elite,"",city_recognition_rank,29,231,762,213,3.7421,3.6522,3.6916,27.2966,4.189,0.236,city-level concentration of recognized reviewer voice
city_social_voice,city_recognition,Gilbert,short_elite,"",city_recognition_rank,30,194,733,255,3.8226,3.9236,3.8117,19.6453,1.6521,0.227,city-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Restaurants,ordinary_or_low_recognition,"",category_recognition_rank,1,51087,159242,5483,3.7435,3.7654,3.7649,15.4815,0.0,15.7592,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Restaurants,multi_year_elite,"",category_recognition_rank,2,2637,43286,4515,3.7865,3.7249,3.7291,34.1265,4.4901,4.2838,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Food,ordinary_or_low_recognition,"",category_recognition_rank,3,16482,30230,2043,3.7874,3.9137,3.9274,12.7919,0.0,2.9917,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Nightlife,ordinary_or_low_recognition,"",category_recognition_rank,4,15513,27625,741,3.7484,3.7428,3.7656,16.7095,0.0,2.7339,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Bars,ordinary_or_low_recognition,"",category_recognition_rank,5,14464,25162,618,3.7542,3.7592,3.7835,16.358,0.0,2.4901,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,American (New),ordinary_or_low_recognition,"",category_recognition_rank,6,14389,23408,435,3.7864,3.8656,3.8897,18.6347,0.0,2.3166,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Mexican,ordinary_or_low_recognition,"",category_recognition_rank,7,13498,20425,815,3.7312,3.687,3.6635,13.3905,0.0,2.0213,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Restaurants,short_elite,"",category_recognition_rank,8,1629,19750,3590,3.8322,3.8027,3.7427,29.4278,1.6728,1.9545,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,American (Traditional),ordinary_or_low_recognition,"",category_recognition_rank,9,12390,18619,596,3.7037,3.6141,3.6292,15.2586,0.0,1.8426,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Italian,ordinary_or_low_recognition,"",category_recognition_rank,10,11878,17266,365,3.777,3.8901,3.9139,17.1204,0.0,1.7087,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Pizza,ordinary_or_low_recognition,"",category_recognition_rank,11,11656,16874,586,3.7413,3.8054,3.8173,14.7801,0.0,1.6699,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Breakfast & Brunch,ordinary_or_low_recognition,"",category_recognition_rank,12,10975,15490,312,3.7822,3.8451,3.85,14.9709,0.0,1.533,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Sandwiches,ordinary_or_low_recognition,"",category_recognition_rank,13,10220,14803,602,3.7798,3.8897,3.9013,13.3351,0.0,1.465,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Shopping,ordinary_or_low_recognition,"",category_recognition_rank,14,7631,12344,2407,3.7136,3.6644,3.7406,14.1769,0.0,1.2216,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Food,multi_year_elite,"",category_recognition_rank,15,1307,10673,1672,3.8082,3.9264,3.9207,27.7991,4.492,1.0562,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Burgers,ordinary_or_low_recognition,"",category_recognition_rank,16,7261,9986,374,3.7205,3.6717,3.6891,13.2385,0.0,0.9883,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Nightlife,multi_year_elite,"",category_recognition_rank,17,1444,9577,640,3.8029,3.746,3.7278,35.5122,4.4885,0.9478,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Bars,multi_year_elite,"",category_recognition_rank,18,1363,8542,540,3.8039,3.7542,3.7392,34.9567,4.4788,0.8454,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Coffee & Tea,ordinary_or_low_recognition,"",category_recognition_rank,19,5776,8080,398,3.8655,4.0429,4.034,12.0421,0.0,0.7996,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Chinese,ordinary_or_low_recognition,"",category_recognition_rank,20,5997,7943,343,3.6805,3.6064,3.5893,13.9872,0.0,0.7861,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Sushi Bars,ordinary_or_low_recognition,"",category_recognition_rank,21,5812,7673,123,3.7517,3.6876,3.6568,15.144,0.0,0.7594,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,American (New),multi_year_elite,"",category_recognition_rank,22,1341,7059,382,3.8109,3.8508,3.8549,40.1473,4.4319,0.6986,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Beauty & Spas,ordinary_or_low_recognition,"",category_recognition_rank,23,5810,6794,1093,3.8519,3.977,4.0057,15.4843,0.0,0.6724,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Arts & Entertainment,ordinary_or_low_recognition,"",category_recognition_rank,24,4791,6528,376,3.7433,3.793,3.8189,18.1679,0.0,0.646,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Hotels & Travel,ordinary_or_low_recognition,"",category_recognition_rank,25,5575,6436,486,3.6287,3.4279,3.4895,22.8713,0.0,0.6369,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Event Planning & Services,ordinary_or_low_recognition,"",category_recognition_rank,26,5532,6303,579,3.6807,3.5724,3.6576,22.1799,0.0,0.6238,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Japanese,ordinary_or_low_recognition,"",category_recognition_rank,27,4971,6270,155,3.7497,3.696,3.6773,15.0558,0.0,0.6205,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Steakhouses,ordinary_or_low_recognition,"",category_recognition_rank,28,4785,5810,119,3.693,3.7487,3.7356,21.6179,0.0,0.575,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Mediterranean,ordinary_or_low_recognition,"",category_recognition_rank,29,4728,5587,120,3.7994,3.9925,3.9715,13.7104,0.0,0.5529,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Shopping,multi_year_elite,"",category_recognition_rank,30,819,5521,1704,3.8074,3.8265,3.746,24.7419,4.5816,0.5464,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,American (Traditional),multi_year_elite,"",category_recognition_rank,31,1252,5338,530,3.7804,3.5974,3.5983,33.2334,4.5375,0.5283,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Active Life,ordinary_or_low_recognition,"",category_recognition_rank,32,4089,5102,680,3.8386,3.9343,4.0051,19.9138,0.0,0.5049,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Mexican,multi_year_elite,"",category_recognition_rank,33,1186,5092,645,3.7719,3.5789,3.5915,30.165,4.502,0.5039,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Seafood,ordinary_or_low_recognition,"",category_recognition_rank,34,4272,4980,108,3.7361,3.7898,3.754,19.1767,0.0,0.4928,category-level concentration of recognized reviewer voice
category_social_voice,category_recognition,Food,short_elite,"",category_recognition_rank,35,841,4755,1250,3.8509,3.9735,3.9077,21.4721,1.6869,0.4706,category-level concentration of recognized reviewer voice
compliment_type_signal,compliment_type_level,note,Low,ordinary_or_low_recognition,compliment_type_rank,1,10187,75494,11398,3.7447,3.7705,3.7618,19.1009,0.0,5.7561,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,plain,Low,ordinary_or_low_recognition,compliment_type_rank,2,9846,68829,11102,3.7627,3.7823,3.7671,18.7479,0.0,5.2479,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,cool,Low,ordinary_or_low_recognition,compliment_type_rank,3,9006,64778,10588,3.7819,3.8024,3.7693,19.3384,0.0,4.939,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,writer,Low,ordinary_or_low_recognition,compliment_type_rank,4,5929,49635,9682,3.7408,3.7589,3.7518,23.018,0.0,3.7844,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,hot,Low,ordinary_or_low_recognition,compliment_type_rank,5,5564,45758,9309,3.78,3.7942,3.7602,20.4664,0.0,3.4888,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,more,Low,multi_year_elite,compliment_type_rank,6,2095,42410,8561,3.7621,3.7561,3.7518,31.1365,4.3902,3.2336,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,funny,Low,ordinary_or_low_recognition,compliment_type_rank,7,4754,38987,8921,3.7049,3.7206,3.7453,21.6482,0.0,2.9726,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,photos,Low,multi_year_elite,compliment_type_rank,8,1530,35416,8032,3.7879,3.774,3.7472,31.7822,4.4682,2.7003,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,cute,Low,multi_year_elite,compliment_type_rank,9,1414,35193,8112,3.7815,3.7655,3.7433,32.0916,4.51,2.6833,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,profile,Low,multi_year_elite,compliment_type_rank,10,1479,34339,8136,3.7686,3.7505,3.7462,32.782,4.7198,2.6182,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,list,Low,multi_year_elite,compliment_type_rank,11,1303,31240,7641,3.7789,3.7665,3.7455,33.5851,4.6624,2.3819,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,more,Low,ordinary_or_low_recognition,compliment_type_rank,12,4069,30780,7857,3.7413,3.7479,3.7472,22.102,0.0,2.3468,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,funny,Low,multi_year_elite,compliment_type_rank,13,1489,29003,7250,3.7966,3.791,3.7678,27.9592,4.0783,2.2113,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,note,Medium,multi_year_elite,compliment_type_rank,14,1125,28282,7217,3.7757,3.7637,3.7517,31.1541,4.4128,2.1564,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,writer,Low,multi_year_elite,compliment_type_rank,15,1472,27227,7030,3.7949,3.7951,3.7648,24.5528,4.0026,2.0759,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,writer,Medium,multi_year_elite,compliment_type_rank,16,1007,23151,6628,3.7617,3.751,3.7477,37.1085,4.5381,1.7652,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,cool,Medium,multi_year_elite,compliment_type_rank,17,1226,23079,6483,3.8026,3.7938,3.765,27.2542,4.1366,1.7597,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,plain,Medium,multi_year_elite,compliment_type_rank,18,1098,21166,6266,3.7942,3.7844,3.753,28.8293,4.3094,1.6138,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,hot,Low,multi_year_elite,compliment_type_rank,19,1194,20796,5980,3.7815,3.7911,3.7826,24.6682,3.9023,1.5856,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,writer,Low,short_elite,compliment_type_rank,20,1345,18906,5851,3.8312,3.848,3.7697,26.5048,1.6848,1.4415,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,hot,Medium,multi_year_elite,compliment_type_rank,21,982,18772,6037,3.7913,3.771,3.7497,29.4002,4.2304,1.4313,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,photos,Low,ordinary_or_low_recognition,compliment_type_rank,22,2088,18594,6359,3.7769,3.7888,3.7586,18.635,0.0,1.4177,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,note,Low,multi_year_elite,compliment_type_rank,23,1285,18512,5669,3.8062,3.8114,3.779,24.7245,3.6858,1.4115,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,plain,Low,multi_year_elite,compliment_type_rank,24,1000,18172,5627,3.7933,3.79,3.783,23.7728,3.7368,1.3855,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,note,Low,short_elite,compliment_type_rank,25,1335,17893,5664,3.8527,3.8644,3.7777,24.7806,1.6275,1.3643,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,cool,High,multi_year_elite,compliment_type_rank,26,606,17273,5742,3.752,3.7367,3.7355,39.0494,4.8026,1.317,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,more,Low,short_elite,compliment_type_rank,27,1272,17103,5502,3.8234,3.8303,3.7623,29.6965,1.7199,1.304,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,plain,Low,short_elite,compliment_type_rank,28,1160,16397,5348,3.8495,3.8652,3.781,24.3825,1.653,1.2502,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,cute,Low,ordinary_or_low_recognition,compliment_type_rank,29,1799,16314,5784,3.7785,3.7976,3.7627,21.0494,0.0,1.2439,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,funny,Low,short_elite,compliment_type_rank,30,1105,16106,5424,3.842,3.8502,3.7758,26.2573,1.7105,1.228,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,funny,Medium,multi_year_elite,compliment_type_rank,31,697,15931,5546,3.7471,3.7331,3.7358,33.7518,4.6647,1.2147,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,hot,Low,short_elite,compliment_type_rank,32,1187,15656,5293,3.8287,3.8508,3.7707,25.7984,1.6711,1.1937,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,cool,Low,short_elite,compliment_type_rank,33,1133,15432,5209,3.8469,3.8703,3.779,24.0345,1.6264,1.1766,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,plain,High,multi_year_elite,compliment_type_rank,34,554,13815,5119,3.7292,3.7241,3.7299,41.0134,4.84,1.0533,compliment type and level as user-recognition overlay on review voice
compliment_type_signal,compliment_type_level,hot,High,multi_year_elite,compliment_type_rank,35,454,13333,5141,3.7707,3.7538,3.7243,40.7935,4.9158,1.0166,compliment type and level as user-recognition overlay on review voice
join_year_social_shift,join_year_recognition,2011,ordinary_or_low_recognition,"",join_year_recognition_rank,1,15919,53298,10484,3.7551,3.7925,3.792,13.629,0.0,16.5057,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2010,ordinary_or_low_recognition,"",join_year_recognition_rank,2,11551,47950,9472,3.7659,3.7865,3.7817,16.5673,0.0,14.8495,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2012,ordinary_or_low_recognition,"",join_year_recognition_rank,3,13886,35945,9256,3.7401,3.7698,3.7828,11.7652,0.0,11.1317,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2009,ordinary_or_low_recognition,"",join_year_recognition_rank,4,6852,32678,7519,3.7165,3.7371,3.7842,19.9125,0.0,10.12,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2013,ordinary_or_low_recognition,"",join_year_recognition_rank,5,11188,24104,7758,3.7513,3.7783,3.8065,10.4091,0.0,7.4647,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2008,ordinary_or_low_recognition,"",join_year_recognition_rank,6,3604,19036,5678,3.7346,3.7693,3.7885,21.6747,0.0,5.8952,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2009,multi_year_elite,"",join_year_recognition_rank,7,678,17773,5895,3.7628,3.7592,3.7494,29.0497,4.4248,5.5041,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2008,multi_year_elite,"",join_year_recognition_rank,8,645,14229,5264,3.7842,3.7658,3.759,32.6657,4.7962,4.4065,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2010,multi_year_elite,"",join_year_recognition_rank,9,541,12956,4949,3.8246,3.8084,3.772,31.1362,3.9297,4.0123,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2007,multi_year_elite,"",join_year_recognition_rank,10,507,10083,4151,3.7583,3.7204,3.7375,39.1649,5.5821,3.1226,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2007,ordinary_or_low_recognition,"",join_year_recognition_rank,11,1582,7727,3429,3.761,3.7779,3.7581,23.2302,0.0,2.393,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2008,short_elite,"",join_year_recognition_rank,12,295,5537,2772,3.8072,3.7974,3.7636,27.0002,1.5741,1.7147,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2011,multi_year_elite,"",join_year_recognition_rank,13,314,5313,2770,3.9075,3.9046,3.7904,28.2703,3.1843,1.6454,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2009,short_elite,"",join_year_recognition_rank,14,376,4871,2651,3.8077,3.8528,3.7842,26.8528,1.665,1.5085,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2011,short_elite,"",join_year_recognition_rank,15,319,4869,2741,3.8603,3.8872,3.7876,23.434,1.6913,1.5079,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2010,short_elite,"",join_year_recognition_rank,16,345,4862,2669,3.8791,3.8667,3.781,33.2374,1.7752,1.5057,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2006,multi_year_elite,"",join_year_recognition_rank,17,247,3798,2224,3.7605,3.7751,3.7097,39.5735,5.0729,1.1762,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2007,short_elite,"",join_year_recognition_rank,18,246,3630,2161,3.7273,3.7691,3.6974,30.1377,1.6278,1.1242,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2012,short_elite,"",join_year_recognition_rank,19,163,3196,2064,3.8844,3.883,3.7772,28.2541,1.7584,0.9898,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2006,ordinary_or_low_recognition,"",join_year_recognition_rank,20,477,1972,1319,3.6732,3.7404,3.7221,20.9939,0.0,0.6107,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2006,short_elite,"",join_year_recognition_rank,21,121,1482,1151,3.8553,3.7854,3.7078,24.0891,1.5958,0.459,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2009,high_compliment_non_elite,"",join_year_recognition_rank,22,26,1234,1101,3.404,3.3104,3.6528,25.2026,0.0,0.3822,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2012,multi_year_elite,"",join_year_recognition_rank,23,54,952,804,3.9727,3.9275,3.782,35.084,3.0,0.2948,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2005,multi_year_elite,"",join_year_recognition_rank,24,71,843,675,3.8594,3.7604,3.7456,31.9098,5.261,0.2611,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2014,ordinary_or_low_recognition,"",join_year_recognition_rank,25,546,815,726,3.762,3.8221,3.8883,8.3436,0.0,0.2524,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2010,high_compliment_non_elite,"",join_year_recognition_rank,26,15,777,703,3.9086,3.9189,3.7227,16.6023,0.0,0.2406,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2013,short_elite,"",join_year_recognition_rank,27,48,749,615,4.0053,3.9479,3.7617,28.972,1.7557,0.232,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2011,high_compliment_non_elite,"",join_year_recognition_rank,28,9,554,528,3.8096,3.6552,3.7906,57.0397,0.0,0.1716,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2007,high_compliment_non_elite,"",join_year_recognition_rank,29,10,349,329,3.9914,3.7393,3.6691,50.1433,0.0,0.1081,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2008,high_compliment_non_elite,"",join_year_recognition_rank,30,14,318,309,3.7358,3.7453,3.7484,25.4717,0.0,0.0985,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2006,high_compliment_non_elite,"",join_year_recognition_rank,31,10,257,249,3.5156,3.8444,3.6362,36.965,0.0,0.0796,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2005,ordinary_or_low_recognition,"",join_year_recognition_rank,32,76,212,183,3.816,3.9245,3.7925,14.1509,0.0,0.0657,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2005,short_elite,"",join_year_recognition_rank,33,28,196,181,3.9158,3.9031,3.6352,18.3673,1.8112,0.0607,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2013,high_compliment_non_elite,"",join_year_recognition_rank,34,6,184,183,3.837,3.8804,3.6359,14.6739,0.0,0.057,reviewer join year crossed with recognition bucket
join_year_social_shift,join_year_recognition,2010,high_fan_non_elite,"",join_year_recognition_rank,35,8,50,49,4.04,4.04,3.93,2.0,0.0,0.0155,reviewer join year crossed with recognition bucket
user_rating_profile,user_rating_recognition,user_avg_3.0_to_3.99,ordinary_or_low_recognition,"",user_rating_profile_rank,1,19074,87007,12311,3.3462,3.4371,3.7137,18.6686,0.0,26.945,user average-star bucket compared with recognition and review behavior
